county,id,date,2.5pctl,25pctl,50pctl,75pctl,97.5pctl
Kings County NY,36047,04/05/20,487,635,703,750,821
Queens County NY,36081,04/05/20,-164,19,97,162,268
New York County NY,36061,04/05/20,2220,2495,2575,2642,2743
Bronx County NY,36005,04/05/20,572,724,772,808,868
Richmond County NY,36085,04/05/20,161,216,245,273,311
Westchester County NY,36119,04/05/20,-89,226,357,467,603
Bergen County NJ,34003,04/05/20,305,401,430,464,511
Hudson County NJ,34017,04/05/20,105,164,185,204,231
Passaic County NJ,34031,04/05/20,174,209,226,239,248
Putnam County NY,36079,04/05/20,1,24,45,45,45
Rockland County NY,36087,04/05/20,-16,32,53,69,78
Kings County NY,36047,04/06/20,470,627,699,749,821
Queens County NY,36081,04/06/20,-212,-10,74,144,254
New York County NY,36061,04/06/20,2190,2483,2566,2637,2740
Bronx County NY,36005,04/06/20,571,726,774,809,868
Richmond County NY,36085,04/06/20,151,209,240,269,310
Westchester County NY,36119,04/06/20,-75,239,367,475,605
Bergen County NJ,34003,04/06/20,294,394,425,461,509
Hudson County NJ,34017,04/06/20,99,160,183,202,231
Passaic County NJ,34031,04/06/20,169,207,224,238,248
Putnam County NY,36079,04/06/20,0,23,45,45,45
Rockland County NY,36087,04/06/20,-16,32,53,69,78
Kings County NY,36047,04/07/20,454,619,695,748,822
Queens County NY,36081,04/07/20,-261,-43,50,126,243
New York County NY,36061,04/07/20,2163,2471,2558,2631,2739
Bronx County NY,36005,04/07/20,568,729,776,810,869
Richmond County NY,36085,04/07/20,143,203,235,266,310
Westchester County NY,36119,04/07/20,-51,253,379,484,608
Bergen County NJ,34003,04/07/20,281,387,420,458,507
Hudson County NJ,34017,04/07/20,94,156,180,200,231
Passaic County NJ,34031,04/07/20,164,204,222,237,248
Putnam County NY,36079,04/07/20,-2,23,45,45,45
Rockland County NY,36087,04/07/20,-17,31,53,69,78
Kings County NY,36047,04/08/20,438,610,690,746,824
Queens County NY,36081,04/08/20,-317,-76,27,108,230
New York County NY,36061,04/08/20,2134,2458,2550,2627,2740
Bronx County NY,36005,04/08/20,561,731,778,811,870
Richmond County NY,36085,04/08/20,133,197,231,263,309
Westchester County NY,36119,04/08/20,-28,266,392,492,610
Bergen County NJ,34003,04/08/20,264,381,416,455,505
Hudson County NJ,34017,04/08/20,87,152,178,198,231
Passaic County NJ,34031,04/08/20,159,201,220,236,248
Putnam County NY,36079,04/08/20,-6,23,45,45,45
Rockland County NY,36087,04/08/20,-21,30,53,69,78
Kings County NY,36047,04/09/20,422,601,686,744,825
Queens County NY,36081,04/09/20,-374,-106,2,92,218
New York County NY,36061,04/09/20,2102,2448,2543,2622,2740
Bronx County NY,36005,04/09/20,562,734,781,814,871
Richmond County NY,36085,04/09/20,122,192,226,260,308
Westchester County NY,36119,04/09/20,-8,281,407,502,613
Bergen County NJ,34003,04/09/20,253,374,412,452,504
Hudson County NJ,34017,04/09/20,80,149,175,196,231
Passaic County NJ,34031,04/09/20,154,198,217,235,248
Putnam County NY,36079,04/09/20,-8,23,45,45,45
Rockland County NY,36087,04/09/20,-21,30,53,70,78
Kings County NY,36047,04/10/20,401,592,681,742,826
Queens County NY,36081,04/10/20,-426,-140,-25,76,208
New York County NY,36061,04/10/20,2070,2435,2535,2619,2739
Bronx County NY,36005,04/10/20,559,738,784,816,873
Richmond County NY,36085,04/10/20,110,185,221,257,307
Westchester County NY,36119,04/10/20,9,295,420,514,616
Bergen County NJ,34003,04/10/20,238,369,409,449,504
Hudson County NJ,34017,04/10/20,72,145,172,194,231
Passaic County NJ,34031,04/10/20,148,195,214,233,248
Putnam County NY,36079,04/10/20,-10,23,44,45,45
Rockland County NY,36087,04/10/20,-22,30,53,71,78
Kings County NY,36047,04/11/20,379,582,675,740,827
Queens County NY,36081,04/11/20,-484,-176,-50,59,198
New York County NY,36061,04/11/20,2045,2424,2528,2616,2737
Bronx County NY,36005,04/11/20,554,741,788,819,874
Richmond County NY,36085,04/11/20,93,179,217,254,306
Westchester County NY,36119,04/11/20,25,311,436,524,618
Bergen County NJ,34003,04/11/20,223,363,405,446,502
Hudson County NJ,34017,04/11/20,62,142,170,192,231
Passaic County NJ,34031,04/11/20,141,191,212,231,248
Putnam County NY,36079,04/11/20,-13,22,43,45,45
Rockland County NY,36087,04/11/20,-24,29,53,72,78
Kings County NY,36047,04/12/20,352,570,670,739,827
Queens County NY,36081,04/12/20,-538,-207,-73,42,191
New York County NY,36061,04/12/20,2009,2415,2521,2614,2739
Bronx County NY,36005,04/12/20,553,742,791,822,875
Richmond County NY,36085,04/12/20,81,174,214,252,305
Westchester County NY,36119,04/12/20,39,327,450,534,621
Bergen County NJ,34003,04/12/20,208,356,402,443,500
Hudson County NJ,34017,04/12/20,53,139,168,191,231
Passaic County NJ,34031,04/12/20,134,188,210,229,248
Putnam County NY,36079,04/12/20,-18,21,42,45,45
Rockland County NY,36087,04/12/20,-25,28,53,73,78
Kings County NY,36047,04/13/20,323,558,665,738,827
Queens County NY,36081,04/13/20,-608,-243,-96,27,181
New York County NY,36061,04/13/20,1971,2404,2515,2609,2741
Bronx County NY,36005,04/13/20,553,744,794,825,876
Richmond County NY,36085,04/13/20,66,170,211,251,304
Westchester County NY,36119,04/13/20,55,343,463,544,624
Bergen County NJ,34003,04/13/20,189,350,398,441,499
Hudson County NJ,34017,04/13/20,42,136,166,189,231
Passaic County NJ,34031,04/13/20,129,184,208,227,248
Putnam County NY,36079,04/13/20,-23,20,41,45,45
Rockland County NY,36087,04/13/20,-27,28,53,73,78
Kings County NY,36047,04/14/20,294,548,661,736,828
Queens County NY,36081,04/14/20,-664,-276,-118,11,174
New York County NY,36061,04/14/20,1940,2392,2508,2607,2746
Bronx County NY,36005,04/14/20,549,746,796,827,878
Richmond County NY,36085,04/14/20,51,166,208,249,303
Westchester County NY,36119,04/14/20,72,359,477,554,629
Bergen County NJ,34003,04/14/20,175,343,394,439,499
Hudson County NJ,34017,04/14/20,31,133,164,188,231
Passaic County NJ,34031,04/14/20,124,181,206,225,247
Putnam County NY,36079,04/14/20,-27,19,40,45,45
Rockland County NY,36087,04/14/20,-30,27,53,73,78
Kings County NY,36047,04/15/20,268,535,656,734,827
Queens County NY,36081,04/15/20,-725,-306,-140,-1,170
New York County NY,36061,04/15/20,1910,2382,2502,2606,2748
Bronx County NY,36005,04/15/20,546,749,799,830,879
Richmond County NY,36085,04/15/20,37,162,206,247,302
Westchester County NY,36119,04/15/20,89,376,491,563,631
Bergen County NJ,34003,04/15/20,155,338,390,437,499
Hudson County NJ,34017,04/15/20,24,129,162,187,231
Passaic County NJ,34031,04/15/20,118,178,204,223,247
Putnam County NY,36079,04/15/20,-35,17,39,45,45
Rockland County NY,36087,04/15/20,-33,26,52,73,78
Kings County NY,36047,04/16/20,237,524,652,733,828
Queens County NY,36081,04/16/20,-790,-333,-156,-12,166
New York County NY,36061,04/16/20,1886,2375,2498,2607,2753
Bronx County NY,36005,04/16/20,544,751,801,832,881
Richmond County NY,36085,04/16/20,18,158,205,246,301
Westchester County NY,36119,04/16/20,104,388,506,573,636
Bergen County NJ,34003,04/16/20,134,333,388,436,500
Hudson County NJ,34017,04/16/20,13,126,160,186,231
Passaic County NJ,34031,04/16/20,113,175,202,221,247
Putnam County NY,36079,04/16/20,-40,16,38,45,45
Rockland County NY,36087,04/16/20,-37,25,52,73,78
Kings County NY,36047,04/17/20,204,514,648,732,829
Queens County NY,36081,04/17/20,-848,-357,-172,-21,167
New York County NY,36061,04/17/20,1853,2369,2494,2607,2756
Bronx County NY,36005,04/17/20,544,754,805,836,883
Richmond County NY,36085,04/17/20,4,154,203,246,301
Westchester County NY,36119,04/17/20,112,400,518,582,639
Bergen County NJ,34003,04/17/20,115,328,385,435,500
Hudson County NJ,34017,04/17/20,7,124,159,185,231
Passaic County NJ,34031,04/17/20,107,172,200,220,247
Putnam County NY,36079,04/17/20,-46,14,37,45,45
Rockland County NY,36087,04/17/20,-41,24,51,73,78
Kings County NY,36047,04/18/20,174,505,646,731,828
Queens County NY,36081,04/18/20,-905,-383,-188,-27,167
New York County NY,36061,04/18/20,1827,2360,2491,2609,2761
Bronx County NY,36005,04/18/20,541,757,808,839,885
Richmond County NY,36085,04/18/20,-15,152,202,246,302
Westchester County NY,36119,04/18/20,121,410,529,591,643
Bergen County NJ,34003,04/18/20,94,323,383,434,501
Hudson County NJ,34017,04/18/20,-7,122,158,185,231
Passaic County NJ,34031,04/18/20,103,170,198,218,247
Putnam County NY,36079,04/18/20,-51,12,36,45,45
Rockland County NY,36087,04/18/20,-45,23,52,72,78
Kings County NY,36047,04/19/20,139,497,642,729,829
Queens County NY,36081,04/19/20,-961,-403,-201,-33,168
New York County NY,36061,04/19/20,1805,2356,2490,2612,2765
Bronx County NY,36005,04/19/20,536,760,810,840,886
Richmond County NY,36085,04/19/20,-31,149,200,245,302
Westchester County NY,36119,04/19/20,126,423,540,600,648
Bergen County NJ,34003,04/19/20,79,320,381,433,501
Hudson County NJ,34017,04/19/20,-14,121,157,185,232
Passaic County NJ,34031,04/19/20,99,168,196,218,247
Putnam County NY,36079,04/19/20,-58,11,35,45,45
Rockland County NY,36087,04/19/20,-50,23,52,73,78
Kings County NY,36047,04/20/20,104,490,640,729,831
Queens County NY,36081,04/20/20,-1004,-421,-212,-34,171
New York County NY,36061,04/20/20,1796,2353,2491,2616,2773
Bronx County NY,36005,04/20/20,535,762,813,843,887
Richmond County NY,36085,04/20/20,-41,146,200,245,303
Westchester County NY,36119,04/20/20,131,436,551,606,651
Bergen County NJ,34003,04/20/20,66,317,379,433,501
Hudson County NJ,34017,04/20/20,-22,119,157,186,232
Passaic County NJ,34031,04/20/20,92,167,195,217,247
Putnam County NY,36079,04/20/20,-64,9,34,45,45
Rockland County NY,36087,04/20/20,-55,22,52,73,78
Kings County NY,36047,04/21/20,75,482,639,729,832
Queens County NY,36081,04/21/20,-1051,-437,-217,-35,173
New York County NY,36061,04/21/20,1774,2350,2491,2619,2780
Bronx County NY,36005,04/21/20,533,763,816,845,888
Richmond County NY,36085,04/21/20,-52,143,200,247,304
Westchester County NY,36119,04/21/20,133,447,559,613,655
Bergen County NJ,34003,04/21/20,54,316,378,433,501
Hudson County NJ,34017,04/21/20,-29,118,156,186,232
Passaic County NJ,34031,04/21/20,88,166,195,217,247
Putnam County NY,36079,04/21/20,-70,7,33,45,45
Rockland County NY,36087,04/21/20,-59,21,52,73,78
Kings County NY,36047,04/22/20,51,476,639,730,832
Queens County NY,36081,04/22/20,-1086,-449,-222,-36,178
New York County NY,36061,04/22/20,1765,2348,2494,2623,2786
Bronx County NY,36005,04/22/20,529,763,818,847,890
Richmond County NY,36085,04/22/20,-68,142,201,247,306
Westchester County NY,36119,04/22/20,131,458,568,620,659
Bergen County NJ,34003,04/22/20,43,314,378,434,502
Hudson County NJ,34017,04/22/20,-38,117,156,186,232
Passaic County NJ,34031,04/22/20,85,164,194,217,247
Putnam County NY,36079,04/22/20,-75,6,32,45,45
Rockland County NY,36087,04/22/20,-61,20,52,74,78
