county,id,day_to_overload
Autauga County AL,01001,30
Baldwin County AL,01003,37
Barbour County AL,01005,NA
Bibb County AL,01007,39
Blount County AL,01009,36
Bullock County AL,01011,38
Butler County AL,01013,NA
Calhoun County AL,01015,NA
Chambers County AL,01017,39
Cherokee County AL,01019,23
Chilton County AL,01021,37
Choctaw County AL,01023,NA
Clarke County AL,01025,NA
Clay County AL,01027,NA
Cleburne County AL,01029,33
Coffee County AL,01031,NA
Colbert County AL,01033,NA
Conecuh County AL,01035,NA
Coosa County AL,01037,41
Covington County AL,01039,36
Crenshaw County AL,01041,33
Cullman County AL,01043,NA
Dale County AL,01045,NA
Dallas County AL,01047,NA
DeKalb County AL,01049,41
Elmore County AL,01051,19
Escambia County AL,01053,41
Etowah County AL,01055,NA
Fayette County AL,01057,NA
Franklin County AL,01059,NA
Geneva County AL,01061,NA
Greene County AL,01063,38
Hale County AL,01065,34
Henry County AL,01067,NA
Houston County AL,01069,NA
Jackson County AL,01071,NA
Jefferson County AL,01073,NA
Lamar County AL,01075,NA
Lauderdale County AL,01077,NA
Lawrence County AL,01079,NA
Lee County AL,01081,NA
Limestone County AL,01083,40
Lowndes County AL,01085,32
Macon County AL,01087,32
Madison County AL,01089,NA
Marengo County AL,01091,NA
Marion County AL,01093,NA
Marshall County AL,01095,NA
Mobile County AL,01097,NA
Monroe County AL,01099,NA
Montgomery County AL,01101,33
Morgan County AL,01103,NA
Perry County AL,01105,NA
Pickens County AL,01107,35
Pike County AL,01109,NA
Randolph County AL,01111,34
Russell County AL,01113,NA
St. Clair County AL,01115,34
Shelby County AL,01117,32
Sumter County AL,01119,NA
Talladega County AL,01121,38
Tallapoosa County AL,01123,40
Tuscaloosa County AL,01125,33
Walker County AL,01127,39
Washington County AL,01129,NA
Wilcox County AL,01131,NA
Winston County AL,01133,NA
Aleutians East Borough AK,02013,NA
Aleutians West Census Area AK,02016,NA
Anchorage Municipality AK,02020,35
Bethel Census Area AK,02050,NA
Bristol Bay Borough AK,02060,NA
Denali Borough AK,02068,NA
Dillingham Census Area AK,02070,NA
Fairbanks North Star Borough AK,02090,NA
Haines Borough AK,02100,NA
Hoonah-Angoon Census Area AK,02105,NA
Juneau City and Borough AK,02110,NA
Kenai Peninsula Borough AK,02122,42
Ketchikan Gateway Borough AK,02130,NA
Kodiak Island Borough AK,02150,NA
Kusilvak Census Area AK,02158,NA
Lake and Peninsula Borough AK,02164,NA
Matanuska-Susitna Borough AK,02170,35
Nome Census Area AK,02180,NA
North Slope Borough AK,02185,40
Northwest Arctic Borough AK,02188,NA
Petersburg Borough AK,02195,NA
Prince of Wales-Hyder Census Area AK,02198,NA
Sitka City and Borough AK,02220,NA
Skagway Municipality AK,02230,NA
Southeast Fairbanks Census Area AK,02240,NA
Valdez-Cordova Census Area AK,02261,NA
Wrangell City and Borough AK,02275,NA
Yakutat City and Borough AK,02282,NA
Yukon-Koyukuk Census Area AK,02290,NA
Apache County AZ,04001,41
Cochise County AZ,04003,NA
Coconino County AZ,04005,NA
Gila County AZ,04007,39
Graham County AZ,04009,23
Greenlee County AZ,04011,31
La Paz County AZ,04012,37
Maricopa County AZ,04013,31
Mohave County AZ,04015,37
Navajo County AZ,04017,NA
Pima County AZ,04019,37
Pinal County AZ,04021,21
Santa Cruz County AZ,04023,42
Yavapai County AZ,04025,42
Yuma County AZ,04027,NA
Arkansas County AR,05001,40
Ashley County AR,05003,NA
