Fips_code,Days Until HealthCare Overwhelmed
01001,26
01003,37
01005,NA
01007,35
01009,33
01011,29
01013,40
01015,40
01017,40
01019,28
01021,34
01023,NA
01025,39
01027,NA
01029,34
01031,NA
01033,NA
01035,41
01037,35
01039,39
01041,29
01043,41
01045,NA
01047,NA
01049,NA
01051,18
01053,42
01055,NA
01057,NA
01059,NA
01061,NA
01063,30
01065,26
01067,NA
01069,NA
01071,NA
01073,NA
01075,NA
01077,NA
01079,NA
01081,NA
01083,25
01085,26
01087,26
01089,NA
01091,NA
01093,NA
01095,NA
01097,42
01099,NA
01101,29
01103,35
01105,37
01107,32
01109,39
01111,34
01113,NA
01115,29
01117,35
01119,39
01121,37
01123,41
01125,36
01127,35
01129,40
01131,NA
01133,41
02013,NA
02016,NA
02020,33
02050,NA
02060,NA
02068,NA
02070,NA
02090,NA
02100,NA
02105,NA
02110,NA
02122,NA
02130,NA
02150,NA
02158,NA
02164,NA
02170,28
02180,NA
02185,28
02188,NA
02195,NA
02198,NA
02220,NA
02230,NA
02240,NA
02261,41
02275,NA
02282,NA
02290,NA
04001,36
04003,38
04005,NA
04007,41
04009,NA
04011,NA
04012,39
04013,26
04015,NA
04017,NA
04019,26
04021,25
04023,30
04025,NA
04027,NA
05001,NA
05003,NA
05005,NA
05007,NA
05009,NA
05011,NA
05013,NA
05015,NA
05017,NA
05019,NA
05021,NA
05023,33
05025,NA
05027,NA
05029,NA
05031,NA
05033,NA
05035,11
05037,32
05039,NA
05041,NA
05043,NA
05045,NA
05047,NA
05049,NA
05051,NA
05053,28
05055,NA
05057,NA
05059,40
05061,NA
05063,NA
05065,NA
05067,NA
05069,NA
05071,NA
05073,NA
05075,NA
05077,39
05079,39
05081,NA
05083,NA
05085,16
05087,NA
05089,NA
05091,38
05093,NA
05095,40
05097,NA
05099,NA
05101,NA
05103,NA
05105,32
05107,NA
05109,NA
05111,30
05113,NA
05115,NA
05117,37
05119,NA
05121,NA
05123,39
05125,31
05127,NA
05129,NA
05131,NA
05133,NA
05135,NA
05137,NA
05139,NA
05141,41
05143,NA
05145,40
05147,NA
05149,NA
06001,31
06003,NA
06005,36
06007,NA
06009,30
06011,37
06013,27
06015,NA
06017,27
06019,29
06021,NA
06023,NA
06025,37
06027,NA
06029,36
06031,34
06033,NA
06035,NA
06037,30
06039,36
06041,36
06043,33
06045,NA
06047,29
06049,NA
06051,NA
06053,39
06055,40
06057,33
06059,24
06061,34
06063,37
06065,29
06067,37
06069,21
06071,33
06073,30
06075,32
06077,27
06079,30
06081,34
06083,29
06085,36
06087,37
06089,NA
06091,NA
06093,NA
06095,36
06097,39
06099,35
06101,42
06103,NA
06105,NA
06107,31
06109,41
06111,32
06113,28
06115,42
08001,29
08003,NA
08005,19
08007,NA
08009,NA
08011,NA
08013,26
08014,26
08015,37
08017,NA
08019,20
08021,NA
08023,NA
08025,NA
08027,42
08029,22
08031,23
08033,NA
08035,25
08037,14
08039,15
08041,18
08043,31
08045,36
08047,21
08049,27
08051,1
08053,37
08055,NA
08057,41
08059,19
08061,NA
08063,NA
08065,18
08067,NA
08069,21
08071,NA
08073,36
08075,NA
08077,36
08079,NA
08081,34
08083,NA
08085,33
08087,39
08089,42
08091,42
08093,18
08095,NA
08097,29
08099,NA
08101,35
08103,NA
08105,NA
08107,17
08109,NA
08111,NA
08113,NA
08115,NA
08117,35
08119,23
08121,NA
08123,14
08125,NA
09001,8
09003,16
09005,11
09007,18
09009,17
09011,20
09013,15
09015,26
10001,34
10003,25
10005,33
11001,35
12001,38
12003,12
12005,NA
12007,19
12009,NA
12011,16
12013,42
12015,28
12017,33
12019,25
12021,22
12023,35
12027,25
12029,37
12031,NA
12033,27
12035,18
12037,NA
12039,24
12041,22
12043,27
12045,NA
12047,32
12049,28
12051,30
12053,31
12055,41
12057,25
12059,33
12061,42
12063,NA
12065,38
12067,40
12069,27
12071,24
12073,42
12075,19
12077,NA
12079,33
12081,29
12083,30
12085,36
12086,16
12087,16
12089,30
12091,32
12093,33
12095,NA
12097,35
12099,22
12101,29
12103,30
12105,41
12107,15
12109,38
12111,28
12113,26
12115,24
12117,18
12119,1
12121,23
12123,NA
12125,23
12127,36
12129,32
12131,32
12133,NA
13001,NA
13003,NA
13005,NA
13007,33
13009,NA
13011,25
13013,25
13015,9
13017,NA
13019,27
13021,NA
13023,NA
13025,NA
13027,26
13029,NA
13031,NA
13033,41
13035,20
13037,34
13039,35
13043,NA
13045,36
13047,28
13049,20
13051,NA
13053,41
13055,26
13057,17
13059,40
13061,NA
13063,18
13065,NA
13067,24
13069,NA
13071,42
13073,20
13075,38
13077,31
13079,38
13081,NA
13083,41
13085,18
13087,NA
13089,27
13091,NA
13093,39
13095,28
13097,21
13099,37
13101,33
13103,NA
13105,41
13107,NA
13109,NA
13111,39
13113,31
13115,33
13117,23
13119,NA
13121,33
13123,23
13125,NA
13127,NA
13129,28
13131,41
13133,37
13135,19
13137,35
13139,32
13141,NA
13143,27
13145,34
13147,31
13149,31
13151,26
13153,NA
13155,NA
13157,19
13159,33
13161,NA
13163,NA
13165,NA
13167,NA
13169,32
13171,25
13173,28
13175,NA
13177,2
13179,41
13181,41
13183,NA
13185,29
13187,20
13189,NA
13191,NA
13193,38
13195,18
13197,NA
13199,32
13201,NA
13205,18
13207,32
13209,NA
13211,23
13213,31
13215,NA
13217,30
13219,13
13221,24
13223,28
13225,33
13227,30
13229,42
13231,27
13233,22
13235,NA
13237,35
13239,NA
13241,33
13243,35
13245,NA
13247,27
13249,41
13251,NA
13253,NA
13255,35
13257,NA
13259,NA
13261,33
13263,40
13265,NA
13267,NA
13269,NA
13271,NA
13273,20
13275,NA
13277,NA
13279,NA
13281,NA
13283,NA
13285,41
13287,32
13289,40
13291,NA
13293,NA
13295,28
13297,20
13299,NA
13301,NA
13303,42
13305,NA
13307,NA
13309,NA
13311,23
13313,38
13315,NA
13317,38
13319,NA
13321,15
15001,NA
15003,37
15005,NA
15007,NA
15009,31
16001,NA
16003,NA
16005,NA
16007,NA
16009,NA
16011,NA
16013,NA
16015,41
16017,NA
16019,NA
16021,NA
16023,NA
16025,NA
16027,NA
16029,NA
16031,NA
16033,NA
16035,NA
16037,NA
16039,NA
16041,NA
16043,NA
16045,NA
16047,NA
16049,NA
16051,NA
16053,NA
16055,NA
16057,NA
16059,NA
16061,NA
16063,NA
16065,NA
16067,NA
16069,NA
16071,NA
16073,NA
16075,NA
16077,NA
16079,NA
16081,NA
16083,NA
16085,NA
16087,NA
17001,NA
17003,NA
17005,41
17007,13
17009,NA
17011,NA
17013,NA
17015,35
17017,NA
17019,NA
17021,NA
17023,NA
17025,NA
17027,34
17029,NA
17031,19
17033,NA
17035,NA
17037,29
17039,38
17041,41
17043,24
17045,NA
17047,NA
17049,NA
17051,NA
17053,NA
17055,NA
17057,NA
17059,NA
17061,36
17063,27
17065,NA
17067,NA
17069,NA
17071,NA
17073,NA
17075,35
17077,NA
17079,NA
17081,NA
17083,35
17085,30
17087,NA
17089,20
17091,35
17093,5
17095,NA
17097,15
17099,32
17101,NA
17103,40
17105,34
17107,NA
17109,NA
17111,19
17113,41
17115,NA
17117,29
17119,34
17121,NA
17123,38
17125,NA
17127,NA
17129,NA
17131,NA
17133,15
17135,NA
17137,NA
17139,NA
17141,30
17143,NA
17145,NA
17147,35
17149,NA
17151,NA
17153,NA
17155,38
17157,33
17159,NA
17161,NA
17163,32
17165,NA
17167,NA
17169,NA
17171,NA
17173,NA
17175,NA
17177,NA
17179,38
17181,NA
17183,NA
17185,NA
17187,NA
17189,36
17191,NA
17193,NA
17195,NA
17197,18
17199,NA
17201,NA
17203,41
18001,40
18003,NA
18005,36
18007,42
18009,NA
18011,24
18013,23
18015,33
18017,NA
18019,38
18021,39
18023,23
18025,39
18027,NA
18029,NA
18031,35
18033,40
18035,42
18037,NA
18039,38
18041,NA
18043,NA
18045,36
18047,29
18049,NA
18051,NA
18053,41
18055,NA
18057,32
18059,31
18061,33
18063,27
18065,34
18067,34
18069,40
18071,42
18073,37
18075,NA
18077,NA
18079,36
18081,16
18083,NA
18085,39
18087,42
18089,29
18091,36
18093,NA
18095,36
18097,34
18099,40
18101,NA
18103,NA
18105,39
18107,35
18109,22
18111,27
18113,39
18115,NA
18117,NA
18119,26
18121,34
18123,NA
18125,NA
18127,30
18129,38
18131,NA
18133,29
18135,42
18137,NA
18139,29
18141,32
18143,36
18145,22
18147,NA
18149,38
18151,42
18153,NA
18155,NA
18157,NA
18159,41
18161,41
18163,NA
18165,NA
18167,NA
18169,NA
18171,NA
18173,NA
18175,34
18177,NA
18179,NA
18181,40
18183,37
19001,NA
19003,NA
19005,NA
19007,NA
19009,NA
19011,33
19013,NA
19015,NA
19017,NA
19019,41
19021,NA
19023,41
19025,NA
19027,NA
19029,NA
19031,24
19033,NA
19035,NA
19037,NA
19039,NA
19041,NA
19043,NA
19045,NA
19047,40
19049,40
19051,NA
19053,NA
19055,NA
19057,NA
19059,NA
19061,NA
19063,NA
19065,NA
19067,NA
19069,NA
19071,NA
19073,NA
19075,NA
19077,NA
19079,NA
19081,NA
19083,NA
19085,20
19087,38
19089,NA
19091,NA
19093,NA
19095,33
19097,NA
19099,NA
19101,41
19103,NA
19105,37
19107,27
19109,NA
19111,NA
19113,41
19115,27
19117,NA
19119,NA
19121,NA
19123,NA
19125,NA
19127,NA
19129,40
19131,NA
19133,NA
19135,NA
19137,NA
19139,33
19141,NA
19143,NA
19145,NA
19147,NA
19149,NA
19151,NA
19153,NA
19155,NA
19157,NA
19159,NA
19161,NA
19163,NA
19165,41
19167,NA
19169,NA
19171,37
19173,NA
19175,NA
19177,NA
19179,NA
19181,36
19183,15
19185,NA
19187,NA
19189,NA
19191,NA
19193,NA
19195,NA
19197,NA
20001,NA
20003,NA
20005,NA
20007,NA
20009,NA
20011,NA
20013,NA
20015,40
20017,NA
20019,NA
20021,NA
20023,NA
20025,NA
