Fips_code,Days Until HealthCare Overwhelmed
01001,39
01003,29
01005,NA
01007,26
01009,28
01011,NA
01013,18
01015,NA
01017,34
01019,NA
01021,36
01023,37
01025,26
01027,NA
01029,NA
01031,38
01033,NA
01035,NA
01037,32
01039,NA
01041,NA
01043,33
01045,40
01047,NA
01049,35
01051,32
01053,NA
01055,NA
01057,NA
01059,NA
01061,NA
01063,NA
01065,34
01067,NA
01069,NA
01071,NA
01073,30
01075,NA
01077,NA
01079,NA
01081,NA
01083,NA
01085,23
01087,22
01089,NA
01091,NA
01093,NA
01095,24
01097,19
01099,NA
01101,NA
01103,NA
01105,NA
01107,42
01109,NA
01111,41
01113,42
01115,25
01117,28
01119,40
01121,37
01123,10
01125,NA
01127,32
01129,22
01131,NA
01133,NA
02013,NA
02016,NA
02020,NA
02050,NA
02060,NA
02068,NA
02070,NA
02090,NA
02100,NA
02105,NA
02110,NA
02122,NA
02130,NA
02150,NA
02158,NA
02164,NA
02170,NA
02180,NA
02185,NA
02188,NA
02195,NA
02198,NA
02220,NA
02230,NA
02240,NA
02261,NA
02275,NA
02282,NA
02290,NA
04001,9
04003,35
04005,29
04007,NA
04009,NA
04011,NA
04012,NA
04013,28
04015,36
04017,16
04019,NA
04021,23
04023,42
04025,NA
04027,34
05001,NA
05003,NA
05005,NA
05007,NA
05009,NA
05011,NA
05013,NA
05015,NA
05017,NA
05019,NA
05021,NA
05023,NA
05025,40
05027,NA
05029,NA
05031,NA
05033,NA
05035,1
05037,NA
05039,NA
05041,22
05043,35
05045,40
05047,NA
05049,NA
05051,NA
05053,42
05055,NA
05057,NA
05059,NA
05061,NA
05063,NA
05065,NA
05067,NA
05069,35
05071,NA
05073,NA
05075,NA
05077,NA
05079,1
05081,NA
05083,NA
05085,25
05087,NA
05089,NA
05091,NA
05093,NA
05095,NA
05097,NA
05099,NA
05101,NA
05103,NA
05105,NA
05107,NA
05109,NA
05111,36
05113,NA
05115,NA
05117,NA
05119,NA
05121,NA
05123,41
05125,40
05127,NA
05129,NA
05131,NA
05133,NA
05135,NA
05137,NA
05139,39
05141,26
05143,NA
05145,NA
05147,NA
05149,NA
06001,NA
06003,NA
06005,NA
06007,NA
06009,NA
06011,NA
06013,NA
06015,NA
06017,NA
06019,41
06021,NA
06023,NA
06025,NA
06027,NA
06029,36
06031,36
06033,NA
06035,NA
06037,23
06039,NA
06041,39
06043,NA
06045,NA
06047,NA
06049,NA
06051,NA
06053,42
06055,NA
06057,NA
06059,35
06061,NA
06063,NA
06065,29
06067,NA
06069,NA
06071,32
06073,25
06075,NA
06077,NA
06079,NA
06081,30
06083,NA
06085,NA
06087,NA
06089,NA
06091,NA
06093,NA
06095,NA
06097,NA
06099,36
06101,40
06103,NA
06105,NA
06107,39
06109,NA
06111,39
06113,NA
06115,NA
08001,27
08003,NA
08005,16
08007,NA
08009,NA
08011,NA
08013,27
08014,27
08015,25
08017,NA
08019,32
08021,NA
08023,NA
08025,NA
08027,NA
08029,42
08031,40
08033,NA
08035,31
08037,25
08039,28
08041,NA
08043,30
08045,NA
08047,NA
08049,NA
08051,14
08053,NA
08055,NA
08057,NA
08059,15
08061,NA
08063,NA
08065,15
08067,38
08069,26
08071,NA
08073,NA
08075,37
08077,NA
08079,NA
08081,NA
08083,NA
08085,38
08087,5
08089,NA
08091,NA
08093,36
08095,NA
08097,NA
08099,NA
08101,40
08103,NA
08105,NA
08107,NA
08109,NA
08111,NA
08113,NA
08115,NA
08117,NA
08119,36
08121,NA
08123,1
08125,NA
09001,1
09003,1
09005,1
09007,1
09009,1
09011,23
09013,22
09015,18
10001,22
10003,33
10005,1
11001,18
12001,NA
12003,NA
12005,NA
12007,NA
12009,NA
12011,NA
12013,NA
12015,NA
12017,NA
12019,NA
12021,39
12023,NA
12027,NA
12029,NA
12031,NA
12033,NA
12035,20
12037,NA
12039,3
12041,NA
12043,NA
12045,NA
12047,NA
12049,NA
12051,40
12053,NA
12055,NA
12057,NA
12059,NA
12061,NA
12063,NA
12065,NA
12067,NA
12069,NA
12071,NA
12073,NA
12075,NA
12077,NA
12079,42
12081,NA
12083,NA
12085,NA
12086,NA
12087,NA
12089,NA
12091,NA
12093,NA
12095,NA
12097,NA
12099,NA
12101,NA
12103,NA
12105,NA
12107,NA
12109,NA
12111,NA
12113,37
12115,NA
12117,40
12119,1
12121,1
12123,NA
12125,NA
12127,NA
12129,NA
12131,NA
12133,NA
13001,NA
13003,NA
13005,NA
13007,NA
13009,16
13011,32
13013,31
13015,28
13017,NA
13019,29
13021,NA
13023,NA
13025,NA
13027,38
13029,NA
13031,NA
13033,37
13035,3
13037,15
13039,NA
13043,NA
13045,40
13047,31
13049,NA
13051,NA
13053,NA
13055,NA
13057,33
13059,NA
13061,NA
13063,29
13065,NA
13067,36
13069,39
13071,NA
13073,1
13075,39
13077,42
13079,NA
13081,NA
13083,NA
13085,33
13087,NA
13089,41
13091,NA
13093,32
13095,NA
13097,37
13099,1
13101,NA
13103,NA
13105,NA
13107,NA
13109,NA
13111,NA
13113,NA
13115,NA
13117,31
13119,NA
13121,NA
13123,8
13125,NA
13127,NA
13129,27
13131,41
13133,30
13135,2
13137,2
13139,42
13141,33
13143,38
13145,33
13147,NA
13149,NA
13151,31
13153,NA
13155,NA
13157,24
13159,42
13161,NA
13163,NA
13165,37
13167,42
13169,33
13171,26
13173,NA
13175,NA
13177,1
13179,NA
13181,NA
13183,NA
13185,NA
13187,31
13189,28
13191,NA
13193,30
13195,28
13197,39
13199,35
13201,16
13205,1
13207,37
13209,NA
13211,35
13213,29
13215,NA
13217,23
13219,32
13221,NA
13223,31
13225,42
13227,NA
13229,NA
13231,33
13233,22
13235,NA
13237,28
13239,NA
13241,NA
13243,38
13245,NA
13247,32
13249,NA
13251,NA
13253,38
13255,33
13257,35
13259,NA
13261,NA
13263,NA
13265,NA
13267,NA
13269,NA
13271,NA
13273,1
13275,NA
13277,NA
13279,NA
13281,NA
13283,NA
13285,NA
13287,NA
13289,NA
13291,NA
13293,42
13295,31
13297,22
13299,NA
13301,NA
13303,25
13305,NA
13307,NA
13309,NA
13311,30
13313,NA
13315,NA
13317,NA
13319,33
13321,1
15001,NA
15003,NA
15005,NA
15007,NA
15009,NA
16001,29
16003,NA
16005,NA
16007,NA
16009,NA
16011,NA
16013,NA
16015,NA
16017,NA
16019,NA
16021,NA
16023,NA
16025,NA
16027,39
16029,NA
16031,NA
16033,NA
16035,NA
16037,NA
16039,NA
16041,NA
16043,NA
16045,29
16047,NA
16049,NA
16051,NA
16053,38
16055,NA
16057,NA
16059,NA
16061,NA
16063,NA
16065,NA
16067,NA
16069,NA
16071,NA
16073,NA
16075,NA
16077,NA
16079,NA
16081,NA
16083,41
16085,NA
16087,NA
17001,NA
17003,NA
17005,39
17007,3
17009,NA
17011,NA
17013,NA
17015,NA
17017,36
17019,NA
17021,40
17023,NA
17025,NA
17027,14
17029,NA
17031,25
17033,NA
17035,NA
17037,29
17039,NA
17041,NA
17043,26
17045,NA
17047,NA
17049,NA
17051,NA
17053,NA
17055,NA
17057,NA
17059,NA
17061,NA
17063,37
17065,NA
17067,NA
17069,NA
17071,NA
17073,37
17075,39
17077,NA
17079,NA
17081,NA
17083,41
17085,32
17087,NA
17089,9
17091,NA
17093,1
17095,NA
17097,1
17099,34
17101,NA
17103,36
17105,30
17107,NA
17109,NA
17111,18
17113,NA
17115,NA
17117,20
17119,29
17121,NA
17123,NA
17125,NA
17127,NA
17129,NA
17131,36
17133,20
17135,NA
17137,NA
17139,NA
17141,11
17143,NA
17145,40
17147,NA
17149,NA
17151,NA
17153,NA
17155,NA
17157,28
17159,NA
17161,30
17163,27
17165,NA
17167,38
17169,NA
17171,NA
17173,NA
17175,NA
17177,36
17179,34
17181,NA
17183,NA
17185,NA
17187,42
17189,40
17191,NA
17193,NA
17195,24
17197,1
17199,NA
17201,33
17203,NA
18001,NA
18003,NA
18005,25
18007,NA
18009,NA
18011,30
18013,33
18015,31
18017,6
18019,29
18021,NA
18023,17
18025,NA
18027,NA
18029,20
18031,13
18033,NA
18035,31
18037,NA
18039,26
18041,NA
18043,NA
18045,NA
