Fips_code,Days Until HealthCare Overwhelmed
01001,NA
01003,NA
01005,NA
01007,NA
01009,NA
01011,NA
01013,NA
01015,9
01017,NA
01019,NA
01021,NA
01023,NA
01025,1
01027,NA
01029,NA
01031,1
01033,NA
01035,19
01037,NA
01039,NA
01041,1
01043,NA
01045,1
01047,NA
01049,1
01051,1
01053,NA
01055,NA
01057,NA
01059,1
01061,NA
01063,NA
01065,NA
01067,NA
01069,NA
01071,16
01073,NA
01075,20
01077,NA
01079,NA
01081,NA
01083,NA
01085,NA
01087,NA
01089,NA
01091,NA
01093,NA
01095,NA
01097,NA
01099,NA
01101,NA
01103,NA
01105,1
01107,NA
01109,NA
01111,1
01113,NA
01115,1
01117,NA
01119,NA
01121,NA
01123,NA
01125,NA
01127,NA
01129,1
01131,NA
01133,NA
02013,NA
02016,NA
02020,NA
02050,NA
02060,NA
02068,NA
02070,NA
02090,NA
02100,NA
02105,NA
02110,NA
02122,NA
02130,NA
02150,NA
02158,NA
02164,NA
02170,NA
02180,NA
02185,NA
02188,NA
02195,NA
02198,NA
02220,NA
02230,NA
02240,NA
02261,NA
02275,NA
02282,NA
02290,NA
04001,1
04003,NA
04005,NA
04007,NA
04009,NA
04011,NA
04012,NA
04013,NA
04015,NA
04017,NA
04019,NA
04021,NA
04023,1
04025,NA
04027,NA
05001,NA
05003,NA
05005,NA
05007,NA
05009,NA
05011,NA
05013,NA
05015,NA
05017,NA
05019,NA
05021,NA
05023,NA
05025,NA
05027,NA
05029,NA
05031,NA
05033,NA
05035,15
05037,NA
05039,NA
05041,NA
05043,NA
05045,NA
05047,NA
05049,NA
05051,NA
05053,NA
05055,NA
05057,NA
05059,NA
05061,NA
05063,NA
05065,NA
05067,NA
05069,NA
05071,NA
05073,NA
05075,NA
05077,NA
05079,NA
05081,NA
05083,NA
05085,NA
05087,NA
05089,NA
05091,NA
05093,NA
05095,NA
05097,NA
05099,NA
05101,NA
05103,NA
05105,NA
05107,NA
05109,NA
05111,NA
05113,NA
05115,NA
05117,NA
05119,NA
05121,NA
05123,NA
05125,NA
05127,NA
05129,NA
05131,NA
05133,NA
05135,NA
05137,NA
05139,NA
05141,NA
05143,NA
05145,NA
05147,NA
05149,NA
06001,NA
06003,NA
06005,NA
06007,NA
06009,NA
06011,NA
06013,NA
06015,NA
06017,NA
06019,NA
06021,NA
06023,NA
06025,NA
06027,NA
06029,NA
06031,NA
06033,NA
06035,NA
06037,NA
06039,NA
06041,NA
06043,NA
06045,NA
06047,NA
06049,NA
06051,NA
06053,NA
06055,NA
06057,NA
06059,NA
06061,NA
06063,NA
06065,NA
06067,NA
06069,NA
06071,NA
06073,NA
06075,NA
06077,NA
06079,NA
06081,NA
06083,NA
06085,NA
06087,NA
06089,NA
06091,NA
06093,NA
06095,NA
06097,NA
06099,NA
06101,NA
06103,NA
06105,NA
06107,NA
06109,NA
06111,NA
06113,NA
06115,NA
08001,NA
08003,NA
08005,NA
08007,NA
08009,NA
08011,NA
08013,NA
08014,NA
08015,NA
08017,NA
08019,NA
08021,NA
08023,NA
08025,NA
08027,NA
08029,NA
08031,NA
08033,NA
08035,NA
08037,NA
08039,NA
08041,NA
08043,NA
08045,NA
08047,NA
08049,NA
08051,NA
08053,NA
08055,NA
08057,NA
08059,NA
08061,NA
08063,NA
08065,NA
08067,NA
08069,NA
08071,NA
08073,NA
08075,NA
08077,NA
08079,NA
08081,NA
08083,NA
08085,NA
08087,NA
08089,NA
08091,NA
08093,NA
08095,NA
08097,NA
08099,NA
08101,NA
08103,NA
08105,NA
08107,NA
08109,NA
08111,NA
08113,NA
08115,NA
08117,NA
08119,NA
08121,NA
08123,NA
08125,NA
09001,NA
09003,NA
09005,NA
09007,NA
09009,NA
09011,NA
09013,NA
09015,NA
10001,NA
10003,NA
10005,NA
11001,NA
12001,NA
12003,NA
12005,NA
12007,NA
12009,NA
12011,NA
12013,NA
12015,NA
12017,NA
12019,NA
12021,NA
12023,NA
12027,NA
12029,NA
12031,NA
12033,NA
12035,NA
12037,NA
12039,1
12041,NA
12043,NA
12045,NA
12047,NA
12049,NA
12051,NA
12053,NA
12055,NA
12057,NA
12059,NA
12061,NA
12063,NA
12065,NA
12067,NA
12069,NA
12071,NA
12073,NA
12075,NA
12077,NA
12079,NA
12081,NA
12083,NA
12085,NA
12086,NA
12087,NA
12089,NA
12091,NA
12093,NA
12095,NA
12097,NA
12099,NA
12101,NA
12103,NA
12105,NA
12107,NA
12109,NA
12111,NA
12113,NA
12115,NA
12117,NA
12119,NA
12121,NA
12123,NA
12125,NA
12127,NA
12129,NA
12131,NA
12133,NA
13001,NA
13003,NA
13005,NA
13007,NA
13009,NA
13011,NA
13013,NA
13015,NA
13017,NA
13019,NA
13021,NA
13023,NA
13025,NA
13027,NA
13029,NA
13031,NA
13033,NA
13035,NA
13037,NA
13039,NA
13043,NA
13045,NA
13047,16
13049,15
13051,NA
13053,7
13055,NA
13057,NA
13059,NA
13061,NA
13063,NA
13065,NA
13067,NA
13069,NA
13071,NA
13073,1
13075,NA
13077,NA
13079,NA
13081,NA
13083,NA
13085,NA
13087,NA
13089,NA
13091,NA
13093,NA
13095,NA
13097,NA
13099,NA
13101,NA
13103,NA
13105,NA
13107,NA
13109,NA
13111,NA
13113,NA
13115,NA
13117,NA
13119,NA
13121,NA
13123,NA
13125,NA
13127,NA
13129,NA
13131,NA
13133,NA
13135,NA
13137,NA
13139,NA
13141,NA
13143,NA
13145,NA
13147,NA
13149,NA
13151,NA
13153,NA
13155,NA
13157,5
13159,NA
13161,NA
13163,NA
13165,NA
13167,NA
13169,NA
13171,NA
13173,NA
13175,NA
13177,NA
13179,1
13181,NA
13183,NA
13185,NA
13187,NA
13189,NA
13191,NA
13193,NA
13195,NA
13197,NA
13199,NA
13201,NA
13205,NA
13207,NA
13209,NA
13211,NA
13213,NA
13215,NA
13217,NA
13219,NA
13221,NA
13223,NA
13225,NA
13227,NA
13229,NA
13231,NA
13233,11
13235,NA
13237,NA
13239,NA
13241,NA
13243,NA
13245,NA
13247,NA
13249,NA
13251,NA
13253,NA
13255,NA
13257,NA
13259,NA
13261,NA
13263,NA
13265,NA
13267,NA
13269,NA
13271,NA
13273,NA
13275,NA
13277,NA
13279,NA
13281,NA
13283,NA
13285,NA
13287,NA
13289,NA
13291,NA
13293,NA
13295,15
13297,14
13299,NA
13301,NA
13303,13
13305,NA
13307,NA
13309,NA
13311,NA
13313,NA
13315,NA
13317,NA
13319,NA
13321,NA
15001,NA
15003,NA
15005,NA
15007,NA
15009,NA
16001,NA
16003,NA
16005,NA
16007,NA
16009,NA
16011,NA
16013,NA
16015,NA
16017,NA
16019,NA
16021,NA
16023,NA
16025,NA
16027,NA
16029,NA
16031,NA
16033,NA
16035,NA
16037,NA
16039,NA
16041,NA
16043,NA
16045,NA
16047,NA
16049,NA
16051,NA
16053,NA
16055,NA
16057,NA
16059,NA
16061,NA
16063,NA
16065,NA
16067,NA
16069,NA
16071,NA
16073,NA
16075,NA
16077,NA
16079,NA
