ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,53,13,98,442,143,847
2,Baldwin County AL,01003,01,49,30,96,255,151,459
3,Barbour County AL,01005,01,65,21,127,673,288,1188
4,Bibb County AL,01007,01,125,72,215,1179,611,2258
5,Blount County AL,01009,01,98,49,158,774,364,1476
6,Bullock County AL,01011,01,35,15,73,372,223,616
7,Butler County AL,01013,01,70,29,133,415,242,637
8,Calhoun County AL,01015,01,210,125,298,1369,736,1976
9,Chambers County AL,01017,01,46,18,96,300,134,538
10,Cherokee County AL,01019,01,47,12,103,561,218,1116
11,Chilton County AL,01021,01,81,32,140,629,295,1299
12,Choctaw County AL,01023,01,63,23,120,639,305,1043
13,Clarke County AL,01025,01,106,48,163,1423,731,2232
14,Clay County AL,01027,01,226,103,371,2364,1353,3295
15,Cleburne County AL,01029,01,72,20,132,1022,432,1993
16,Coffee County AL,01031,01,54,15,103,427,143,897
17,Colbert County AL,01033,01,140,75,227,887,449,1255
18,Conecuh County AL,01035,01,156,66,248,1498,901,2406
19,Coosa County AL,01037,01,29,0,97,465,168,809
20,Covington County AL,01039,01,68,38,114,781,354,1584
21,Crenshaw County AL,01041,01,230,124,373,1793,1157,2829
22,Cullman County AL,01043,01,85,51,136,428,249,652
23,Dale County AL,01045,01,44,9,109,339,62,856
24,Dallas County AL,01047,01,78,41,131,671,435,1053
25,DeKalb County AL,01049,01,84,45,136,528,295,786
26,Elmore County AL,01051,01,37,12,76,307,51,687
27,Escambia County AL,01053,01,190,137,260,1820,1324,2733
28,Etowah County AL,01055,01,103,55,152,682,352,1048
29,Fayette County AL,01057,01,139,62,273,1021,630,1817
30,Franklin County AL,01059,01,155,107,221,1258,908,1856
31,Geneva County AL,01061,01,57,10,137,547,80,1577
32,Greene County AL,01063,01,45,6,129,468,149,853
33,Hale County AL,01065,01,99,34,192,1074,501,1861
34,Henry County AL,01067,01,100,29,165,1093,565,1688
35,Houston County AL,01069,01,61,34,113,416,213,831
36,Jackson County AL,01071,01,161,101,229,1011,672,1379
