county,id,date,2.5pctl,25pctl,50pctl,75pctl,97.5pctl
Kings County NY,36047,03/31/20,677,732,759,783,817
Queens County NY,36081,03/31/20,237,297,320,345,380
New York County NY,36061,03/31/20,2696,2752,2777,2799,2836
Bronx County NY,36005,03/31/20,735,782,805,829,862
Richmond County NY,36085,03/31/20,223,258,279,296,314
Westchester County NY,36119,03/31/20,395,475,510,544,604
Bergen County NJ,34003,03/31/20,442,474,497,511,525
Hudson County NJ,34017,03/31/20,186,211,221,228,236
Passaic County NJ,34031,03/31/20,193,213,225,233,245
Putnam County NY,36079,03/31/20,27,38,42,45,45
Rockland County NY,36087,03/31/20,-24,13,34,51,69
Kings County NY,36047,04/01/20,647,709,737,764,803
Queens County NY,36081,04/01/20,207,271,296,325,365
New York County NY,36061,04/01/20,2668,2730,2757,2782,2823
Bronx County NY,36005,04/01/20,707,761,786,812,849
Richmond County NY,36085,04/01/20,208,246,269,288,309
Westchester County NY,36119,04/01/20,382,464,499,535,597
Bergen County NJ,34003,04/01/20,430,466,489,505,522
Hudson County NJ,34017,04/01/20,177,205,216,225,235
Passaic County NJ,34031,04/01/20,182,206,219,229,243
Putnam County NY,36079,04/01/20,24,36,41,45,45
Rockland County NY,36087,04/01/20,-39,2,24,43,64
Kings County NY,36047,04/02/20,612,681,711,740,785
Queens County NY,36081,04/02/20,168,239,266,298,345
New York County NY,36061,04/02/20,2638,2703,2733,2761,2806
Bronx County NY,36005,04/02/20,676,734,762,791,835
Richmond County NY,36085,04/02/20,190,232,257,278,302
Westchester County NY,36119,04/02/20,365,449,486,523,588
Bergen County NJ,34003,04/02/20,417,455,479,497,518
Hudson County NJ,34017,04/02/20,167,197,211,221,233
Passaic County NJ,34031,04/02/20,170,197,211,223,241
Putnam County NY,36079,04/02/20,20,34,40,45,45
Rockland County NY,36087,04/02/20,-57,-12,11,32,57
Kings County NY,36047,04/03/20,570,646,679,712,761
Queens County NY,36081,04/03/20,120,201,230,266,319
New York County NY,36061,04/03/20,2600,2671,2704,2735,2786
Bronx County NY,36005,04/03/20,640,704,735,766,816
Richmond County NY,36085,04/03/20,171,216,242,267,295
Westchester County NY,36119,04/03/20,345,433,471,509,576
Bergen County NJ,34003,04/03/20,400,442,468,488,514
Hudson County NJ,34017,04/03/20,153,188,204,215,229
Passaic County NJ,34031,04/03/20,156,186,202,216,237
Putnam County NY,36079,04/03/20,16,32,39,44,45
Rockland County NY,36087,04/03/20,-79,-31,-5,18,47
Kings County NY,36047,04/04/20,522,605,643,679,734
Queens County NY,36081,04/04/20,64,153,186,225,291
New York County NY,36061,04/04/20,2553,2630,2668,2703,2760
Bronx County NY,36005,04/04/20,598,667,701,735,791
Richmond County NY,36085,04/04/20,146,197,224,253,285
Westchester County NY,36119,04/04/20,324,414,453,493,565
Bergen County NJ,34003,04/04/20,382,428,455,478,506
Hudson County NJ,34017,04/04/20,136,175,194,206,223
Passaic County NJ,34031,04/04/20,139,172,190,207,232
Putnam County NY,36079,04/04/20,11,29,37,43,45
Rockland County NY,36087,04/04/20,-106,-51,-23,2,35
Kings County NY,36047,04/05/20,466,557,598,639,706
Queens County NY,36081,04/05/20,0,95,134,177,248
New York County NY,36061,04/05/20,2501,2584,2626,2663,2728
Bronx County NY,36005,04/05/20,547,624,661,698,764
Richmond County NY,36085,04/05/20,119,176,205,236,272
Westchester County NY,36119,04/05/20,297,390,429,471,549
Bergen County NJ,34003,04/05/20,361,410,438,464,496
Hudson County NJ,34017,04/05/20,119,160,182,196,217
Passaic County NJ,34031,04/05/20,118,155,176,195,224
Putnam County NY,36079,04/05/20,5,26,35,42,45
Rockland County NY,36087,04/05/20,-138,-77,-47,-19,20
Kings County NY,36047,04/06/20,404,504,548,592,669
Queens County NY,36081,04/06/20,-75,28,73,122,202
New York County NY,36061,04/06/20,2441,2530,2576,2617,2691
Bronx County NY,36005,04/06/20,490,574,615,656,729
Richmond County NY,36085,04/06/20,90,152,182,216,257
Westchester County NY,36119,04/06/20,263,361,401,445,529
Bergen County NJ,34003,04/06/20,332,387,418,446,483
Hudson County NJ,34017,04/06/20,95,140,165,181,207
Passaic County NJ,34031,04/06/20,92,135,158,179,213
Putnam County NY,36079,04/06/20,-3,22,32,40,45
Rockland County NY,36087,04/06/20,-173,-108,-75,-43,2
Kings County NY,36047,04/07/20,330,442,490,540,629
Queens County NY,36081,04/07/20,-166,-50,1,53,140
New York County NY,36061,04/07/20,2367,2465,2515,2560,2644
Bronx County NY,36005,04/07/20,425,517,561,606,685
Richmond County NY,36085,04/07/20,58,124,156,193,239
Westchester County NY,36119,04/07/20,219,327,369,416,502
Bergen County NJ,34003,04/07/20,295,357,391,423,468
Hudson County NJ,34017,04/07/20,67,117,146,165,194
Passaic County NJ,34031,04/07/20,64,111,136,160,198
Putnam County NY,36079,04/07/20,-10,18,29,38,45
Rockland County NY,36087,04/07/20,-216,-146,-109,-74,-24
Kings County NY,36047,04/08/20,236,371,425,481,582
Queens County NY,36081,04/08/20,-273,-141,-84,-21,81
New York County NY,36061,04/08/20,2287,2392,2450,2500,2589
Bronx County NY,36005,04/08/20,348,449,499,552,641
Richmond County NY,36085,04/08/20,20,94,129,167,219
Westchester County NY,36119,04/08/20,170,286,332,383,476
Bergen County NJ,34003,04/08/20,252,321,361,395,451
Hudson County NJ,34017,04/08/20,35,90,122,144,180
Passaic County NJ,34031,04/08/20,31,82,111,138,182
Putnam County NY,36079,04/08/20,-17,13,25,36,44
Rockland County NY,36087,04/08/20,-268,-190,-147,-109,-52
Kings County NY,36047,04/09/20,128,291,353,415,533
Queens County NY,36081,04/09/20,-407,-249,-181,-106,13
New York County NY,36061,04/09/20,2194,2309,2372,2431,2530
Bronx County NY,36005,04/09/20,253,372,429,488,590
Richmond County NY,36085,04/09/20,-21,60,98,140,198
Westchester County NY,36119,04/09/20,100,238,290,346,448
Bergen County NJ,34003,04/09/20,201,276,321,359,428
Hudson County NJ,34017,04/09/20,-5,57,94,120,159
Passaic County NJ,34031,04/09/20,-5,49,82,113,164
Putnam County NY,36079,04/09/20,-26,8,21,33,43
Rockland County NY,36087,04/09/20,-325,-238,-190,-149,-84
Kings County NY,36047,04/10/20,2,198,277,350,480
Queens County NY,36081,04/10/20,-557,-372,-287,-198,-58
New York County NY,36061,04/10/20,2089,2216,2287,2354,2473
Bronx County NY,36005,04/10/20,146,285,350,421,540
Richmond County NY,36085,04/10/20,-65,23,64,110,175
Westchester County NY,36119,04/10/20,22,177,242,305,423
Bergen County NJ,34003,04/10/20,141,222,271,315,401
Hudson County NJ,34017,04/10/20,-47,20,61,90,141
Passaic County NJ,34031,04/10/20,-47,11,49,84,143
Putnam County NY,36079,04/10/20,-34,2,16,30,42
Rockland County NY,36087,04/10/20,-387,-292,-241,-194,-116
Kings County NY,36047,04/11/20,-158,96,194,279,430
Queens County NY,36081,04/11/20,-737,-510,-398,-293,-127
New York County NY,36061,04/11/20,1966,2114,2196,2269,2408
Bronx County NY,36005,04/11/20,39,190,265,350,494
Richmond County NY,36085,04/11/20,-111,-17,28,79,152
Westchester County NY,36119,04/11/20,-76,107,186,260,391
Bergen County NJ,34003,04/11/20,70,156,210,261,371
Hudson County NJ,34017,04/11/20,-98,-22,23,58,119
Passaic County NJ,34031,04/11/20,-97,-33,11,50,123
Putnam County NY,36079,04/11/20,-44,-5,11,26,41
Rockland County NY,36087,04/11/20,-457,-352,-297,-244,-150
Kings County NY,36047,04/12/20,-337,-13,103,208,379
Queens County NY,36081,04/12/20,-953,-657,-524,-400,-193
New York County NY,36061,04/12/20,1825,2001,2095,2179,2348
Bronx County NY,36005,04/12/20,-89,82,175,277,447
Richmond County NY,36085,04/12/20,-158,-60,-12,43,128
Westchester County NY,36119,04/12/20,-189,29,126,215,364
Bergen County NJ,34003,04/12/20,-17,81,141,198,340
Hudson County NJ,34017,04/12/20,-153,-68,-18,22,97
Passaic County NJ,34031,04/12/20,-152,-80,-31,13,100
Putnam County NY,36079,04/12/20,-54,-13,5,22,39
Rockland County NY,36087,04/12/20,-532,-418,-357,-299,-185
Kings County NY,36047,04/13/20,-544,-134,3,132,324
Queens County NY,36081,04/13/20,-1183,-821,-658,-508,-261
New York County NY,36061,04/13/20,1672,1875,1982,2075,2291
Bronx County NY,36005,04/13/20,-224,-33,76,197,405
Richmond County NY,36085,04/13/20,-211,-106,-55,6,111
Westchester County NY,36119,04/13/20,-317,-62,54,167,334
Bergen County NJ,34003,04/13/20,-116,-4,59,122,302
Hudson County NJ,34017,04/13/20,-214,-119,-64,-18,78
Passaic County NJ,34031,04/13/20,-212,-131,-79,-28,76
Putnam County NY,36079,04/13/20,-65,-21,-1,18,37
Rockland County NY,36087,04/13/20,-613,-490,-422,-356,-220
Kings County NY,36047,04/14/20,-766,-267,-102,51,277
Queens County NY,36081,04/14/20,-1450,-999,-809,-630,-325
New York County NY,36061,04/14/20,1507,1745,1863,1971,2227
Bronx County NY,36005,04/14/20,-373,-154,-32,110,366
Richmond County NY,36085,04/14/20,-263,-155,-99,-32,87
Westchester County NY,36119,04/14/20,-462,-161,-18,113,306
Bergen County NJ,34003,04/14/20,-225,-100,-33,41,269
Hudson County NJ,34017,04/14/20,-278,-175,-117,-66,55
Passaic County NJ,34031,04/14/20,-275,-190,-131,-75,53
Putnam County NY,36079,04/14/20,-78,-30,-8,13,35
Rockland County NY,36087,04/14/20,-696,-562,-490,-415,-253
Kings County NY,36047,04/15/20,-1016,-405,-210,-29,227
Queens County NY,36081,04/15/20,-1743,-1200,-964,-757,-390
New York County NY,36061,04/15/20,1329,1600,1737,1857,2163
Bronx County NY,36005,04/15/20,-526,-284,-147,26,325
Richmond County NY,36085,04/15/20,-319,-205,-144,-73,66
Westchester County NY,36119,04/15/20,-633,-271,-99,63,277
Bergen County NJ,34003,04/15/20,-348,-208,-132,-52,236
Hudson County NJ,34017,04/15/20,-353,-239,-174,-116,35
Passaic County NJ,34031,04/15/20,-346,-251,-186,-124,30
Putnam County NY,36079,04/15/20,-90,-38,-15,8,33
Rockland County NY,36087,04/15/20,-787,-640,-561,-481,-287
Kings County NY,36047,04/16/20,-1312,-565,-327,-112,171
Queens County NY,36081,04/16/20,-2064,-1419,-1130,-890,-450
New York County NY,36061,04/16/20,1131,1449,1603,1743,2111
Bronx County NY,36005,04/16/20,-712,-426,-266,-65,286
Richmond County NY,36085,04/16/20,-383,-256,-190,-113,51
Westchester County NY,36119,04/16/20,-823,-388,-185,4,250
Bergen County NJ,34003,04/16/20,-482,-325,-240,-153,199
Hudson County NJ,34017,04/16/20,-433,-307,-236,-170,17
Passaic County NJ,34031,04/16/20,-423,-318,-246,-178,4
Putnam County NY,36079,04/16/20,-102,-48,-23,3,31
Rockland County NY,36087,04/16/20,-878,-723,-637,-548,-324
Kings County NY,36047,04/17/20,-1614,-736,-458,-195,122
Queens County NY,36081,04/17/20,-2399,-1638,-1304,-1026,-509
New York County NY,36061,04/17/20,923,1289,1460,1623,2056
Bronx County NY,36005,04/17/20,-903,-575,-391,-156,254
Richmond County NY,36085,04/17/20,-442,-306,-238,-154,29
Westchester County NY,36119,04/17/20,-1028,-521,-275,-49,225
Bergen County NJ,34003,04/17/20,-622,-448,-356,-263,159
Hudson County NJ,34017,04/17/20,-520,-377,-299,-227,-7
Passaic County NJ,34031,04/17/20,-501,-388,-311,-235,-22
Putnam County NY,36079,04/17/20,-117,-58,-31,-3,29
Rockland County NY,36087,04/17/20,-975,-808,-714,-617,-361
Kings County NY,36047,04/18/20,-1974,-918,-593,-281,71
Queens County NY,36081,04/18/20,-2785,-1882,-1495,-1169,-576
New York County NY,36061,04/18/20,699,1117,1317,1495,1992
Bronx County NY,36005,04/18/20,-1100,-733,-527,-256,220
Richmond County NY,36085,04/18/20,-505,-359,-288,-198,17
Westchester County NY,36119,04/18/20,-1238,-660,-370,-108,197
Bergen County NJ,34003,04/18/20,-775,-584,-482,-383,119
Hudson County NJ,34017,04/18/20,-607,-453,-369,-292,-32
Passaic County NJ,34031,04/18/20,-586,-463,-378,-293,-47
Putnam County NY,36079,04/18/20,-132,-69,-39,-9,27
Rockland County NY,36087,04/18/20,-1072,-895,-793,-689,-392
Kings County NY,36047,04/19/20,-2338,-1119,-731,-370,23
Queens County NY,36081,04/19/20,-3170,-2136,-1702,-1308,-632
New York County NY,36061,04/19/20,459,939,1163,1363,1933
Bronx County NY,36005,04/19/20,-1324,-899,-666,-354,183
Richmond County NY,36085,04/19/20,-568,-414,-340,-244,1
Westchester County NY,36119,04/19/20,-1459,-808,-471,-173,169
Bergen County NJ,34003,04/19/20,-934,-725,-614,-505,82
Hudson County NJ,34017,04/19/20,-704,-534,-444,-358,-55
Passaic County NJ,34031,04/19/20,-674,-540,-452,-358,-74
Putnam County NY,36079,04/19/20,-147,-80,-48,-16,25
Rockland County NY,36087,04/19/20,-1175,-985,-876,-763,-422
Kings County NY,36047,04/20/20,-2734,-1332,-885,-461,-28
Queens County NY,36081,04/20/20,-3596,-2416,-1915,-1464,-687
New York County NY,36061,04/20/20,224,750,995,1219,1873
Bronx County NY,36005,04/20/20,-1555,-1074,-812,-463,155
Richmond County NY,36085,04/20/20,-633,-472,-392,-290,-14
Westchester County NY,36119,04/20/20,-1696,-970,-575,-234,143
Bergen County NJ,34003,04/20/20,-1097,-875,-755,-636,38
Hudson County NJ,34017,04/20/20,-800,-619,-523,-431,-78
Passaic County NJ,34031,04/20/20,-768,-622,-530,-425,-99
Putnam County NY,36079,04/20/20,-162,-91,-57,-22,22
Rockland County NY,36087,04/20/20,-1278,-1075,-960,-838,-448
Kings County NY,36047,04/21/20,-3156,-1550,-1037,-548,-74
Queens County NY,36081,04/21/20,-4041,-2721,-2131,-1616,-742
New York County NY,36061,04/21/20,-41,552,823,1076,1818
Bronx County NY,36005,04/21/20,-1797,-1259,-969,-572,123
Richmond County NY,36085,04/21/20,-696,-530,-443,-335,-27
Westchester County NY,36119,04/21/20,-1954,-1136,-689,-295,121
Bergen County NJ,34003,04/21/20,-1275,-1032,-903,-770,-7
Hudson County NJ,34017,04/21/20,-900,-708,-605,-503,-98
Passaic County NJ,34031,04/21/20,-870,-708,-609,-496,-124
