county,id,date,2.5pctl,25pctl,50pctl,75pctl,97.5pctl
Kings County NY,36047,03/31/20,674,729,757,786,822
Queens County NY,36081,03/31/20,239,295,321,347,384
New York County NY,36061,03/31/20,2699,2753,2778,2802,2841
Bronx County NY,36005,03/31/20,724,780,805,830,867
Richmond County NY,36085,03/31/20,219,259,281,297,315
Westchester County NY,36119,03/31/20,399,473,512,544,604
Bergen County NJ,34003,03/31/20,436,472,495,510,528
Hudson County NJ,34017,03/31/20,189,209,220,227,236
Passaic County NJ,34031,03/31/20,185,215,227,235,246
Putnam County NY,36079,03/31/20,28,40,42,45,45
Rockland County NY,36087,03/31/20,-25,15,34,49,67
Kings County NY,36047,04/01/20,643,705,734,766,806
Queens County NY,36081,04/01/20,208,268,297,327,368
New York County NY,36061,04/01/20,2672,2730,2757,2785,2827
Bronx County NY,36005,04/01/20,697,759,786,813,855
Richmond County NY,36085,04/01/20,203,247,271,289,310
Westchester County NY,36119,04/01/20,386,462,501,534,597
Bergen County NJ,34003,04/01/20,424,463,488,504,525
Hudson County NJ,34017,04/01/20,180,203,215,224,234
Passaic County NJ,34031,04/01/20,175,208,222,231,245
Putnam County NY,36079,04/01/20,25,38,41,45,45
Rockland County NY,36087,04/01/20,-41,2,23,40,63
Kings County NY,36047,04/02/20,607,676,708,743,790
Queens County NY,36081,04/02/20,171,237,269,302,347
New York County NY,36061,04/02/20,2641,2702,2733,2763,2811
Bronx County NY,36005,04/02/20,668,733,762,792,839
Richmond County NY,36085,04/02/20,186,232,258,279,305
Westchester County NY,36119,04/02/20,372,450,489,523,589
Bergen County NJ,34003,04/02/20,410,452,479,496,521
Hudson County NJ,34017,04/02/20,167,196,209,220,233
Passaic County NJ,34031,04/02/20,162,199,215,226,242
Putnam County NY,36079,04/02/20,21,36,40,45,45
Rockland County NY,36087,04/02/20,-61,-12,10,29,57
Kings County NY,36047,04/03/20,566,641,676,715,769
Queens County NY,36081,04/03/20,126,197,232,270,321
New York County NY,36061,04/03/20,2600,2669,2702,2736,2790
Bronx County NY,36005,04/03/20,629,701,732,766,820
Richmond County NY,36085,04/03/20,166,216,244,267,297
Westchester County NY,36119,04/03/20,355,433,474,509,578
Bergen County NJ,34003,04/03/20,395,440,468,487,515
Hudson County NJ,34017,04/03/20,155,187,201,214,231
Passaic County NJ,34031,04/03/20,149,189,206,219,238
Putnam County NY,36079,04/03/20,17,34,38,44,45
Rockland County NY,36087,04/03/20,-83,-30,-6,16,49
Kings County NY,36047,04/04/20,521,602,641,682,742
Queens County NY,36081,04/04/20,68,150,188,230,289
New York County NY,36061,04/04/20,2558,2631,2667,2705,2766
Bronx County NY,36005,04/04/20,586,664,699,735,795
Richmond County NY,36085,04/04/20,144,198,227,253,289
Westchester County NY,36119,04/04/20,330,412,456,492,566
Bergen County NJ,34003,04/04/20,377,425,455,475,509
Hudson County NJ,34017,04/04/20,140,175,191,206,227
Passaic County NJ,34031,04/04/20,132,175,194,210,233
Putnam County NY,36079,04/04/20,12,31,36,43,45
Rockland County NY,36087,04/04/20,-109,-52,-26,-1,37
Kings County NY,36047,04/05/20,460,553,597,641,712
Queens County NY,36081,04/05/20,6,92,136,182,251
New York County NY,36061,04/05/20,2504,2584,2623,2665,2734
Bronx County NY,36005,04/05/20,535,619,660,699,766
Richmond County NY,36085,04/05/20,119,177,208,236,277
Westchester County NY,36119,04/05/20,301,388,433,471,549
Bergen County NJ,34003,04/05/20,353,406,439,461,500
Hudson County NJ,34017,04/05/20,121,159,178,195,220
Passaic County NJ,34031,04/05/20,111,158,180,198,227
Putnam County NY,36079,04/05/20,7,28,34,42,45
Rockland County NY,36087,04/05/20,-140,-77,-48,-21,23
Kings County NY,36047,04/06/20,396,499,546,593,673
Queens County NY,36081,04/06/20,-70,24,76,127,205
New York County NY,36061,04/06/20,2440,2528,2571,2617,2695
Bronx County NY,36005,04/06/20,473,569,614,656,731
Richmond County NY,36085,04/06/20,91,152,185,215,262
Westchester County NY,36119,04/06/20,265,359,406,446,528
Bergen County NJ,34003,04/06/20,325,383,418,443,488
Hudson County NJ,34017,04/06/20,97,139,162,182,211
Passaic County NJ,34031,04/06/20,83,136,161,182,216
Putnam County NY,36079,04/06/20,1,24,31,41,45
Rockland County NY,36087,04/06/20,-177,-109,-78,-48,1
Kings County NY,36047,04/07/20,318,434,487,539,629
Queens County NY,36081,04/07/20,-165,-61,0,57,145
New York County NY,36061,04/07/20,2360,2461,2511,2562,2647
Bronx County NY,36005,04/07/20,404,507,557,606,688
Richmond County NY,36085,04/07/20,59,124,160,191,245
Westchester County NY,36119,04/07/20,217,321,371,415,500
Bergen County NJ,34003,04/07/20,289,352,390,419,470
Hudson County NJ,34017,04/07/20,69,114,141,164,200
Passaic County NJ,34031,04/07/20,49,112,139,163,205
Putnam County NY,36079,04/07/20,-8,20,28,39,45
Rockland County NY,36087,04/07/20,-219,-147,-114,-80,-25
Kings County NY,36047,04/08/20,209,358,419,478,579
Queens County NY,36081,04/08/20,-294,-163,-91,-26,80
New York County NY,36061,04/08/20,2268,2380,2437,2495,2590
Bronx County NY,36005,04/08/20,315,433,489,549,640
Richmond County NY,36085,04/08/20,20,90,130,164,224
Westchester County NY,36119,04/08/20,159,274,333,381,472
Bergen County NJ,34003,04/08/20,241,311,354,387,447
Hudson County NJ,34017,04/08/20,33,85,115,142,184
Passaic County NJ,34031,04/08/20,14,82,111,139,191
Putnam County NY,36079,04/08/20,-15,15,24,36,44
Rockland County NY,36087,04/08/20,-271,-194,-156,-118,-56
Kings County NY,36047,04/09/20,80,265,340,409,523
Queens County NY,36081,04/09/20,-446,-286,-198,-119,10
New York County NY,36061,04/09/20,2162,2288,2352,2419,2532
Bronx County NY,36005,04/09/20,214,345,411,483,585
Richmond County NY,36085,04/09/20,-23,53,97,134,204
Westchester County NY,36119,04/09/20,80,214,283,342,440
Bergen County NJ,34003,04/09/20,179,257,306,344,423
Hudson County NJ,34017,04/09/20,-11,47,82,113,168
Passaic County NJ,34031,04/09/20,-30,43,76,108,172
Putnam County NY,36079,04/09/20,-24,9,20,33,43
Rockland County NY,36087,04/09/20,-335,-249,-206,-164,-89
Kings County NY,36047,04/10/20,-77,152,248,332,464
Queens County NY,36081,04/10/20,-651,-430,-325,-228,-66
New York County NY,36061,04/10/20,2035,2174,2250,2329,2467
Bronx County NY,36005,04/10/20,85,243,318,403,533
Richmond County NY,36085,04/10/20,-72,10,58,100,181
Westchester County NY,36119,04/10/20,-29,139,222,296,413
Bergen County NJ,34003,04/10/20,97,187,241,284,394
Hudson County NJ,34017,04/10/20,-63,2,41,78,152
Passaic County NJ,34031,04/10/20,-90,-4,33,70,148
Putnam County NY,36079,04/10/20,-38,1,14,29,42
Rockland County NY,36087,04/10/20,-407,-311,-265,-219,-123
Kings County NY,36047,04/11/20,-299,21,145,247,401
Queens County NY,36081,04/11/20,-892,-608,-474,-350,-143
New York County NY,36061,04/11/20,1874,2038,2128,2219,2402
Bronx County NY,36005,04/11/20,-64,121,209,313,486
Richmond County NY,36085,04/11/20,-130,-39,12,58,156
Westchester County NY,36119,04/11/20,-163,46,146,242,380
Bergen County NJ,34003,04/11/20,1,99,160,209,361
Hudson County NJ,34017,04/11/20,-127,-53,-9,33,129
Passaic County NJ,34031,04/11/20,-155,-60,-18,26,126
Putnam County NY,36079,04/11/20,-49,-8,8,25,40
