county,id,date,2.5pctl,25pctl,50pctl,75pctl,97.5pctl
Kings County NY,36047,03/31/20,199,254,282,311,347
Queens County NY,36081,03/31/20,18,74,100,126,163
New York County NY,36061,03/31/20,1272,1326,1351,1375,1414
Bronx County NY,36005,03/31/20,269,325,350,375,412
Richmond County NY,36085,03/31/20,41,81,103,119,137
Westchester County NY,36119,03/31/20,79,153,192,224,284
Bergen County NJ,34003,03/31/20,170,206,229,244,262
Hudson County NJ,34017,03/31/20,51,71,82,89,98
Passaic County NJ,34031,03/31/20,46,76,88,96,107
Putnam County NY,36079,03/31/20,9,21,23,26,26
Rockland County NY,36087,03/31/20,-74,-34,-15,0,18
Kings County NY,36047,04/01/20,168,230,259,291,331
Queens County NY,36081,04/01/20,-13,47,76,106,147
New York County NY,36061,04/01/20,1245,1303,1330,1358,1400
Bronx County NY,36005,04/01/20,242,304,331,358,400
Richmond County NY,36085,04/01/20,25,69,93,111,132
Westchester County NY,36119,04/01/20,66,142,181,214,277
Bergen County NJ,34003,04/01/20,158,197,222,238,259
Hudson County NJ,34017,04/01/20,42,65,77,86,96
Passaic County NJ,34031,04/01/20,36,69,83,92,106
Putnam County NY,36079,04/01/20,6,19,22,26,26
Rockland County NY,36087,04/01/20,-90,-47,-26,-9,14
Kings County NY,36047,04/02/20,132,201,233,268,315
Queens County NY,36081,04/02/20,-50,16,48,81,126
New York County NY,36061,04/02/20,1214,1275,1306,1336,1384
Bronx County NY,36005,04/02/20,213,278,307,337,384
Richmond County NY,36085,04/02/20,8,54,80,101,127
Westchester County NY,36119,04/02/20,52,130,169,203,269
Bergen County NJ,34003,04/02/20,144,186,213,230,255
Hudson County NJ,34017,04/02/20,29,58,71,82,95
Passaic County NJ,34031,04/02/20,23,60,76,87,103
Putnam County NY,36079,04/02/20,2,17,21,26,26
Rockland County NY,36087,04/02/20,-110,-61,-39,-20,8
Kings County NY,36047,04/03/20,91,166,201,240,294
Queens County NY,36081,04/03/20,-95,-24,11,49,100
New York County NY,36061,04/03/20,1173,1242,1275,1309,1363
Bronx County NY,36005,04/03/20,174,246,277,311,365
Richmond County NY,36085,04/03/20,-12,38,66,89,119
Westchester County NY,36119,04/03/20,35,113,154,189,258
Bergen County NJ,34003,04/03/20,129,174,202,221,249
Hudson County NJ,34017,04/03/20,17,49,63,76,93
Passaic County NJ,34031,04/03/20,10,50,67,80,99
Putnam County NY,36079,04/03/20,-2,15,19,25,26
Rockland County NY,36087,04/03/20,-132,-79,-55,-33,0
Kings County NY,36047,04/04/20,46,127,166,207,267
Queens County NY,36081,04/04/20,-153,-71,-33,9,68
New York County NY,36061,04/04/20,1131,1204,1240,1278,1339
Bronx County NY,36005,04/04/20,131,209,244,280,340
Richmond County NY,36085,04/04/20,-34,20,49,75,111
Westchester County NY,36119,04/04/20,10,92,136,172,246
Bergen County NJ,34003,04/04/20,111,159,189,209,243
Hudson County NJ,34017,04/04/20,2,37,53,68,89
Passaic County NJ,34031,04/04/20,-7,36,55,71,94
Putnam County NY,36079,04/04/20,-7,12,17,24,26
Rockland County NY,36087,04/04/20,-158,-101,-75,-50,-12
Kings County NY,36047,04/05/20,-15,78,122,166,237
Queens County NY,36081,04/05/20,-215,-129,-85,-39,30
New York County NY,36061,04/05/20,1077,1157,1196,1238,1307
Bronx County NY,36005,04/05/20,80,164,205,244,311
Richmond County NY,36085,04/05/20,-59,-1,30,58,99
Westchester County NY,36119,04/05/20,-19,68,113,151,229
Bergen County NJ,34003,04/05/20,87,140,173,195,234
Hudson County NJ,34017,04/05/20,-17,21,40,57,82
Passaic County NJ,34031,04/05/20,-28,19,41,59,88
Putnam County NY,36079,04/05/20,-12,9,15,23,26
Rockland County NY,36087,04/05/20,-189,-126,-97,-70,-26
Kings County NY,36047,04/06/20,-79,24,71,118,198
Queens County NY,36081,04/06/20,-291,-197,-145,-94,-16
New York County NY,36061,04/06/20,1013,1101,1144,1190,1268
Bronx County NY,36005,04/06/20,18,114,159,201,276
Richmond County NY,36085,04/06/20,-87,-26,7,37,84
Westchester County NY,36119,04/06/20,-55,39,86,126,208
Bergen County NJ,34003,04/06/20,59,117,152,177,222
Hudson County NJ,34017,04/06/20,-41,1,24,44,73
Passaic County NJ,34031,04/06/20,-56,-3,22,43,77
Putnam County NY,36079,04/06/20,-18,5,12,22,26
Rockland County NY,36087,04/06/20,-226,-158,-127,-97,-48
Kings County NY,36047,04/07/20,-157,-41,12,64,154
Queens County NY,36081,04/07/20,-386,-282,-221,-164,-76
New York County NY,36061,04/07/20,933,1034,1084,1135,1220
Bronx County NY,36005,04/07/20,-51,52,102,151,233
Richmond County NY,36085,04/07/20,-119,-54,-18,13,67
Westchester County NY,36119,04/07/20,-103,1,51,95,180
Bergen County NJ,34003,04/07/20,23,86,124,153,204
Hudson County NJ,34017,04/07/20,-69,-24,3,26,62
Passaic County NJ,34031,04/07/20,-90,-27,0,24,66
Putnam County NY,36079,04/07/20,-27,1,9,20,26
Rockland County NY,36087,04/07/20,-268,-196,-163,-129,-74
Kings County NY,36047,04/08/20,-266,-117,-56,3,104
Queens County NY,36081,04/08/20,-515,-384,-312,-247,-141
New York County NY,36061,04/08/20,841,953,1010,1068,1163
Bronx County NY,36005,04/08/20,-140,-22,34,94,185
Richmond County NY,36085,04/08/20,-158,-88,-48,-14,46
Westchester County NY,36119,04/08/20,-161,-46,13,61,152
Bergen County NJ,34003,04/08/20,-25,45,88,121,181
Hudson County NJ,34017,04/08/20,-105,-53,-23,4,46
Passaic County NJ,34031,04/08/20,-125,-57,-28,0,52
Putnam County NY,36079,04/08/20,-34,-4,5,17,25
Rockland County NY,36087,04/08/20,-320,-243,-205,-167,-105
Kings County NY,36047,04/09/20,-395,-210,-135,-66,48
Queens County NY,36081,04/09/20,-667,-507,-419,-340,-211
New York County NY,36061,04/09/20,735,861,925,992,1105
Bronx County NY,36005,04/09/20,-241,-110,-44,28,130
Richmond County NY,36085,04/09/20,-201,-125,-81,-44,26
Westchester County NY,36119,04/09/20,-240,-106,-37,22,120
Bergen County NJ,34003,04/09/20,-87,-9,40,78,157
Hudson County NJ,34017,04/09/20,-149,-91,-56,-25,30
Passaic County NJ,34031,04/09/20,-169,-96,-63,-31,33
Putnam County NY,36079,04/09/20,-43,-10,1,14,24
Rockland County NY,36087,04/09/20,-384,-298,-255,-213,-138
Kings County NY,36047,04/10/20,-552,-323,-227,-143,-11
Queens County NY,36081,04/10/20,-872,-651,-546,-449,-287
New York County NY,36061,04/10/20,608,747,823,902,1040
Bronx County NY,36005,04/10/20,-370,-212,-137,-52,78
Richmond County NY,36085,04/10/20,-250,-168,-120,-78,3
Westchester County NY,36119,04/10/20,-349,-181,-98,-24,93
Bergen County NJ,34003,04/10/20,-169,-79,-25,18,128
Hudson County NJ,34017,04/10/20,-201,-136,-97,-60,14
Passaic County NJ,34031,04/10/20,-229,-143,-106,-69,9
Putnam County NY,36079,04/10/20,-57,-18,-5,10,23
Rockland County NY,36087,04/10/20,-456,-360,-314,-268,-172
Kings County NY,36047,04/11/20,-774,-454,-330,-228,-74
Queens County NY,36081,04/11/20,-1113,-829,-695,-571,-364
New York County NY,36061,04/11/20,447,611,701,792,975
Bronx County NY,36005,04/11/20,-519,-334,-246,-142,31
Richmond County NY,36085,04/11/20,-308,-217,-166,-120,-22
Westchester County NY,36119,04/11/20,-483,-274,-174,-78,60
Bergen County NJ,34003,04/11/20,-265,-167,-106,-57,95
Hudson County NJ,34017,04/11/20,-265,-191,-147,-105,-9
Passaic County NJ,34031,04/11/20,-294,-199,-157,-113,-13
Putnam County NY,36079,04/11/20,-68,-27,-11,6,21
Rockland County NY,36087,04/11/20,-542,-437,-385,-332,-212
Kings County NY,36047,04/12/20,-1054,-611,-459,-320,-142
Queens County NY,36081,04/12/20,-1418,-1043,-871,-713,-445
New York County NY,36061,04/12/20,258,452,562,666,898
Bronx County NY,36005,04/12/20,-707,-480,-372,-249,-22
Richmond County NY,36085,04/12/20,-373,-274,-218,-168,-41
Westchester County NY,36119,04/12/20,-656,-399,-262,-139,23
Bergen County NJ,34003,04/12/20,-394,-281,-212,-155,55
Hudson County NJ,34017,04/12/20,-344,-259,-208,-159,-30
Passaic County NJ,34031,04/12/20,-373,-265,-218,-167,-41
Putnam County NY,36079,04/12/20,-82,-37,-19,1,19
Rockland County NY,36087,04/12/20,-638,-526,-465,-404,-252
Kings County NY,36047,04/13/20,-1409,-806,-615,-428,-204
Queens County NY,36081,04/13/20,-1808,-1311,-1081,-881,-528
New York County NY,36061,04/13/20,27,267,397,521,824
Bronx County NY,36005,04/13/20,-939,-652,-524,-370,-77
Richmond County NY,36085,04/13/20,-445,-339,-279,-222,-66
Westchester County NY,36119,04/13/20,-874,-549,-370,-206,-13
Bergen County NJ,34003,04/13/20,-540,-417,-340,-273,11
Hudson County NJ,34017,04/13/20,-441,-342,-282,-225,-56
Passaic County NJ,34031,04/13/20,-467,-345,-293,-236,-69
Putnam County NY,36079,04/13/20,-100,-48,-28,-6,16
Rockland County NY,36087,04/13/20,-754,-625,-559,-486,-295
Kings County NY,36047,04/14/20,-1807,-1038,-796,-540,-276
Queens County NY,36081,04/14/20,-2260,-1626,-1331,-1069,-611
New York County NY,36061,04/14/20,-250,48,201,357,740
Bronx County NY,36005,04/14/20,-1189,-857,-702,-510,-127
Richmond County NY,36085,04/14/20,-536,-415,-348,-285,-95
Westchester County NY,36119,04/14/20,-1128,-728,-491,-282,-53
Bergen County NJ,34003,04/14/20,-729,-584,-499,-421,-44
Hudson County NJ,34017,04/14/20,-547,-437,-371,-305,-87
Passaic County NJ,34031,04/14/20,-574,-438,-380,-315,-102
Putnam County NY,36079,04/14/20,-118,-63,-38,-13,12
Rockland County NY,36087,04/14/20,-879,-742,-669,-586,-340
Kings County NY,36047,04/15/20,-2310,-1311,-1000,-675,-348
Queens County NY,36081,04/15/20,-2826,-2012,-1621,-1288,-700
New York County NY,36061,04/15/20,-587,-214,-32,157,653
Bronx County NY,36005,04/15/20,-1496,-1097,-909,-663,-181
Richmond County NY,36085,04/15/20,-640,-505,-429,-359,-119
Westchester County NY,36119,04/15/20,-1425,-943,-641,-380,-92
Bergen County NJ,34003,04/15/20,-949,-781,-683,-590,-97
Hudson County NJ,34017,04/15/20,-676,-553,-478,-400,-122
Passaic County NJ,34031,04/15/20,-699,-551,-486,-411,-135
Putnam County NY,36079,04/15/20,-141,-79,-51,-21,8
Rockland County NY,36087,04/15/20,-1017,-874,-788,-696,-396
Kings County NY,36047,04/16/20,-2912,-1641,-1241,-829,-435
Queens County NY,36081,04/16/20,-3487,-2466,-1973,-1540,-800
New York County NY,36061,04/16/20,-963,-523,-300,-74,559
Bronx County NY,36005,04/16/20,-1841,-1380,-1159,-849,-233
Richmond County NY,36085,04/16/20,-759,-604,-519,-442,-152
Westchester County NY,36119,04/16/20,-1799,-1203,-803,-501,-136
Bergen County NJ,34003,04/16/20,-1211,-1021,-908,-796,-166
Hudson County NJ,34017,04/16/20,-834,-687,-606,-513,-159
Passaic County NJ,34031,04/16/20,-842,-682,-610,-525,-175
Putnam County NY,36079,04/16/20,-167,-99,-66,-31,4
Rockland County NY,36087,04/16/20,-1173,-1022,-924,-817,-452
Kings County NY,36047,04/17/20,-3631,-2055,-1532,-999,-516
Queens County NY,36081,04/17/20,-4259,-2997,-2374,-1833,-889
New York County NY,36061,04/17/20,-1403,-875,-620,-340,455
Bronx County NY,36005,04/17/20,-2268,-1715,-1435,-1054,-294
Richmond County NY,36085,04/17/20,-893,-720,-627,-535,-176
Westchester County NY,36119,04/17/20,-2223,-1496,-1002,-624,-185
Bergen County NJ,34003,04/17/20,-1508,-1304,-1172,-1043,-240
Hudson County NJ,34017,04/17/20,-1009,-843,-753,-648,-204
Passaic County NJ,34031,04/17/20,-1010,-833,-753,-654,-221
Putnam County NY,36079,04/17/20,-199,-122,-83,-44,-3
Rockland County NY,36087,04/17/20,-1347,-1183,-1074,-958,-512
Kings County NY,36047,04/18/20,-4528,-2529,-1882,-1184,-620
Queens County NY,36081,04/18/20,-5185,-3603,-2854,-2170,-1007
New York County NY,36061,04/18/20,-1924,-1292,-987,-655,334
Bronx County NY,36005,04/18/20,-2766,-2102,-1756,-1288,-363
Richmond County NY,36085,04/18/20,-1042,-848,-745,-640,-203
Westchester County NY,36119,04/18/20,-2709,-1830,-1233,-756,-240
Bergen County NJ,34003,04/18/20,-1857,-1625,-1478,-1325,-322
Hudson County NJ,34017,04/18/20,-1209,-1029,-927,-806,-251
Passaic County NJ,34031,04/18/20,-1206,-1010,-922,-803,-271
Putnam County NY,36079,04/18/20,-234,-150,-103,-59,-9
Rockland County NY,36087,04/18/20,-1534,-1362,-1241,-1111,-570
Kings County NY,36047,04/19/20,-5525,-3096,-2279,-1394,-745
Queens County NY,36081,04/19/20,-6233,-4349,-3419,-2553,-1139
New York County NY,36061,04/19/20,-2519,-1775,-1416,-1022,208
Bronx County NY,36005,04/19/20,-3300,-2538,-2150,-1564,-423
Richmond County NY,36085,04/19/20,-1221,-997,-876,-757,-237
Westchester County NY,36119,04/19/20,-3271,-2226,-1499,-899,-297
Bergen County NJ,34003,04/19/20,-2266,-2000,-1821,-1643,-424
Hudson County NJ,34017,04/19/20,-1447,-1241,-1124,-986,-304
Passaic County NJ,34031,04/19/20,-1421,-1210,-1111,-972,-330
Putnam County NY,36079,04/19/20,-273,-180,-128,-75,-16
Rockland County NY,36087,04/19/20,-1746,-1559,-1424,-1281,-632
