county,id,date,2.5pctl,25pctl,50pctl,75pctl,97.5pctl
Kings County NY,36047,03/31/20,330,385,413,442,478
Queens County NY,36081,03/31/20,87,143,169,195,232
New York County NY,36061,03/31/20,1755,1809,1834,1858,1897
Bronx County NY,36005,03/31/20,417,473,498,523,560
Richmond County NY,36085,03/31/20,91,131,153,169,187
Westchester County NY,36119,03/31/20,195,269,308,340,400
Bergen County NJ,34003,03/31/20,260,296,319,334,352
Hudson County NJ,34017,03/31/20,84,104,115,122,131
Passaic County NJ,34031,03/31/20,82,112,124,132,143
Putnam County NY,36079,03/31/20,17,29,31,34,34
Rockland County NY,36087,03/31/20,-64,-24,-5,10,28
Kings County NY,36047,04/01/20,299,361,390,422,462
Queens County NY,36081,04/01/20,56,116,145,175,216
New York County NY,36061,04/01/20,1728,1786,1813,1841,1883
Bronx County NY,36005,04/01/20,390,452,479,506,548
Richmond County NY,36085,04/01/20,75,119,143,161,182
Westchester County NY,36119,04/01/20,182,258,297,330,393
Bergen County NJ,34003,04/01/20,248,287,312,328,349
Hudson County NJ,34017,04/01/20,75,98,110,119,129
Passaic County NJ,34031,04/01/20,72,105,119,128,142
Putnam County NY,36079,04/01/20,14,27,30,34,34
Rockland County NY,36087,04/01/20,-80,-37,-16,1,24
Kings County NY,36047,04/02/20,263,332,364,399,446
Queens County NY,36081,04/02/20,19,85,117,150,195
New York County NY,36061,04/02/20,1697,1758,1789,1819,1867
Bronx County NY,36005,04/02/20,361,426,455,485,532
Richmond County NY,36085,04/02/20,58,104,130,151,177
Westchester County NY,36119,04/02/20,168,246,285,319,385
Bergen County NJ,34003,04/02/20,234,276,303,320,345
Hudson County NJ,34017,04/02/20,62,91,104,115,128
Passaic County NJ,34031,04/02/20,59,96,112,123,139
Putnam County NY,36079,04/02/20,10,25,29,34,34
Rockland County NY,36087,04/02/20,-100,-51,-29,-10,18
Kings County NY,36047,04/03/20,222,297,332,371,425
Queens County NY,36081,04/03/20,-26,45,80,118,169
New York County NY,36061,04/03/20,1656,1725,1758,1792,1846
Bronx County NY,36005,04/03/20,322,394,425,459,513
Richmond County NY,36085,04/03/20,38,88,116,139,169
Westchester County NY,36119,04/03/20,151,229,270,305,374
Bergen County NJ,34003,04/03/20,219,264,292,311,339
Hudson County NJ,34017,04/03/20,50,82,96,109,126
Passaic County NJ,34031,04/03/20,46,86,103,116,135
Putnam County NY,36079,04/03/20,6,23,27,33,34
Rockland County NY,36087,04/03/20,-122,-69,-45,-23,10
Kings County NY,36047,04/04/20,177,258,297,338,398
Queens County NY,36081,04/04/20,-84,-2,36,78,137
New York County NY,36061,04/04/20,1614,1687,1723,1761,1822
Bronx County NY,36005,04/04/20,279,357,392,428,488
Richmond County NY,36085,04/04/20,16,70,99,125,161
Westchester County NY,36119,04/04/20,126,208,252,288,362
Bergen County NJ,34003,04/04/20,201,249,279,299,333
Hudson County NJ,34017,04/04/20,35,70,86,101,122
Passaic County NJ,34031,04/04/20,29,72,91,107,130
Putnam County NY,36079,04/04/20,1,20,25,32,34
Rockland County NY,36087,04/04/20,-148,-91,-65,-40,-2
Kings County NY,36047,04/05/20,116,209,253,297,368
Queens County NY,36081,04/05/20,-146,-60,-16,30,99
New York County NY,36061,04/05/20,1560,1640,1679,1721,1790
Bronx County NY,36005,04/05/20,228,312,353,392,459
Richmond County NY,36085,04/05/20,-9,49,80,108,149
Westchester County NY,36119,04/05/20,97,184,229,267,345
Bergen County NJ,34003,04/05/20,177,230,263,285,324
Hudson County NJ,34017,04/05/20,16,54,73,90,115
Passaic County NJ,34031,04/05/20,8,55,77,95,124
Putnam County NY,36079,04/05/20,-4,17,23,31,34
Rockland County NY,36087,04/05/20,-179,-116,-87,-60,-16
Kings County NY,36047,04/06/20,52,155,202,249,329
Queens County NY,36081,04/06/20,-222,-128,-76,-25,53
New York County NY,36061,04/06/20,1496,1584,1627,1673,1751
Bronx County NY,36005,04/06/20,166,262,307,349,424
Richmond County NY,36085,04/06/20,-37,24,57,87,134
Westchester County NY,36119,04/06/20,61,155,202,242,324
Bergen County NJ,34003,04/06/20,149,207,242,267,312
Hudson County NJ,34017,04/06/20,-8,34,57,77,106
Passaic County NJ,34031,04/06/20,-20,33,58,79,113
Putnam County NY,36079,04/06/20,-10,13,20,30,34
Rockland County NY,36087,04/06/20,-216,-148,-117,-87,-38
Kings County NY,36047,04/07/20,-26,90,143,195,285
Queens County NY,36081,04/07/20,-317,-213,-152,-95,-7
New York County NY,36061,04/07/20,1416,1517,1567,1618,1703
Bronx County NY,36005,04/07/20,97,200,250,299,381
Richmond County NY,36085,04/07/20,-69,-4,32,63,117
Westchester County NY,36119,04/07/20,13,117,167,211,296
Bergen County NJ,34003,04/07/20,113,176,214,243,294
Hudson County NJ,34017,04/07/20,-36,9,36,59,95
Passaic County NJ,34031,04/07/20,-54,9,36,60,102
Putnam County NY,36079,04/07/20,-19,9,17,28,34
Rockland County NY,36087,04/07/20,-258,-186,-153,-119,-64
Kings County NY,36047,04/08/20,-135,14,75,134,235
Queens County NY,36081,04/08/20,-446,-315,-243,-178,-72
New York County NY,36061,04/08/20,1324,1436,1493,1551,1646
Bronx County NY,36005,04/08/20,8,126,182,242,333
Richmond County NY,36085,04/08/20,-108,-38,2,36,96
Westchester County NY,36119,04/08/20,-45,70,129,177,268
Bergen County NJ,34003,04/08/20,65,135,178,211,271
Hudson County NJ,34017,04/08/20,-72,-20,10,37,79
Passaic County NJ,34031,04/08/20,-89,-21,8,36,88
Putnam County NY,36079,04/08/20,-26,4,13,25,33
Rockland County NY,36087,04/08/20,-310,-233,-195,-157,-95
Kings County NY,36047,04/09/20,-264,-79,-4,65,179
Queens County NY,36081,04/09/20,-598,-438,-350,-271,-142
New York County NY,36061,04/09/20,1218,1344,1408,1475,1588
Bronx County NY,36005,04/09/20,-93,38,104,176,278
Richmond County NY,36085,04/09/20,-151,-75,-31,6,76
Westchester County NY,36119,04/09/20,-124,10,79,138,236
Bergen County NJ,34003,04/09/20,3,81,130,168,247
Hudson County NJ,34017,04/09/20,-116,-58,-23,8,63
Passaic County NJ,34031,04/09/20,-133,-60,-27,5,69
Putnam County NY,36079,04/09/20,-35,-2,9,22,32
Rockland County NY,36087,04/09/20,-374,-288,-245,-203,-128
Kings County NY,36047,04/10/20,-421,-192,-96,-12,120
Queens County NY,36081,04/10/20,-803,-582,-477,-380,-218
New York County NY,36061,04/10/20,1091,1230,1306,1385,1523
Bronx County NY,36005,04/10/20,-222,-64,11,96,226
Richmond County NY,36085,04/10/20,-200,-118,-70,-28,53
Westchester County NY,36119,04/10/20,-233,-65,18,92,209
Bergen County NJ,34003,04/10/20,-79,11,65,108,218
Hudson County NJ,34017,04/10/20,-168,-103,-64,-27,47
Passaic County NJ,34031,04/10/20,-193,-107,-70,-33,45
