county,id,date,2.5pctl,25pctl,50pctl,75pctl,97.5pctl
Kings County NY,36047,03/31/20,84,139,166,190,224
Queens County NY,36081,03/31/20,-69,-9,14,39,74
New York County NY,36061,03/31/20,573,629,654,676,713
Bronx County NY,36005,03/31/20,88,135,158,182,215
Richmond County NY,36085,03/31/20,-3,32,53,70,88
Westchester County NY,36119,03/31/20,-106,-26,9,43,103
Bergen County NJ,34003,03/31/20,44,76,99,113,127
Hudson County NJ,34017,03/31/20,34,59,69,76,84
Passaic County NJ,34031,03/31/20,27,47,59,67,79
Putnam County NY,36079,03/31/20,-10,1,5,8,8
Rockland County NY,36087,03/31/20,-71,-34,-13,4,22
Kings County NY,36047,04/01/20,54,116,144,171,210
Queens County NY,36081,04/01/20,-99,-35,-10,19,59
New York County NY,36061,04/01/20,545,607,634,659,700
Bronx County NY,36005,04/01/20,60,114,139,165,202
Richmond County NY,36085,04/01/20,-18,20,43,62,83
Westchester County NY,36119,04/01/20,-119,-37,-2,34,96
Bergen County NJ,34003,04/01/20,32,68,91,107,124
Hudson County NJ,34017,04/01/20,25,53,64,73,83
Passaic County NJ,34031,04/01/20,16,40,53,63,77
Putnam County NY,36079,04/01/20,-13,-1,4,8,8
Rockland County NY,36087,04/01/20,-86,-45,-23,-4,17
Kings County NY,36047,04/02/20,19,88,118,147,192
Queens County NY,36081,04/02/20,-138,-67,-40,-8,39
New York County NY,36061,04/02/20,515,580,610,638,683
Bronx County NY,36005,04/02/20,29,87,115,144,188
Richmond County NY,36085,04/02/20,-36,6,31,52,76
Westchester County NY,36119,04/02/20,-136,-52,-15,22,87
Bergen County NJ,34003,04/02/20,19,57,81,99,120
Hudson County NJ,34017,04/02/20,15,45,59,69,81
Passaic County NJ,34031,04/02/20,4,31,45,57,75
Putnam County NY,36079,04/02/20,-17,-3,3,8,8
Rockland County NY,36087,04/02/20,-104,-59,-36,-15,10
Kings County NY,36047,04/03/20,-23,53,86,119,168
Queens County NY,36081,04/03/20,-186,-105,-76,-40,13
New York County NY,36061,04/03/20,477,548,581,612,663
Bronx County NY,36005,04/03/20,-7,57,88,119,169
Richmond County NY,36085,04/03/20,-55,-10,16,41,69
Westchester County NY,36119,04/03/20,-156,-68,-30,8,75
Bergen County NJ,34003,04/03/20,2,44,70,90,116
Hudson County NJ,34017,04/03/20,1,36,52,63,77
Passaic County NJ,34031,04/03/20,-10,20,36,50,71
Putnam County NY,36079,04/03/20,-21,-5,2,7,8
Rockland County NY,36087,04/03/20,-126,-78,-52,-29,0
Kings County NY,36047,04/04/20,-71,12,50,86,141
Queens County NY,36081,04/04/20,-242,-153,-120,-81,-15
New York County NY,36061,04/04/20,430,507,545,580,637
Bronx County NY,36005,04/04/20,-49,20,54,88,144
Richmond County NY,36085,04/04/20,-80,-29,-2,27,59
Westchester County NY,36119,04/04/20,-177,-87,-48,-8,64
Bergen County NJ,34003,04/04/20,-16,30,57,80,108
Hudson County NJ,34017,04/04/20,-16,23,42,54,71
Passaic County NJ,34031,04/04/20,-27,6,24,41,66
Putnam County NY,36079,04/04/20,-26,-8,0,6,8
Rockland County NY,36087,04/04/20,-153,-98,-70,-45,-12
Kings County NY,36047,04/05/20,-127,-36,5,46,113
Queens County NY,36081,04/05/20,-306,-211,-172,-129,-58
New York County NY,36061,04/05/20,378,461,503,540,605
Bronx County NY,36005,04/05/20,-100,-23,14,51,117
Richmond County NY,36085,04/05/20,-107,-50,-21,10,46
Westchester County NY,36119,04/05/20,-204,-111,-72,-30,48
Bergen County NJ,34003,04/05/20,-37,12,40,66,98
Hudson County NJ,34017,04/05/20,-33,8,30,44,65
Passaic County NJ,34031,04/05/20,-48,-11,10,29,58
Putnam County NY,36079,04/05/20,-32,-11,-2,5,8
Rockland County NY,36087,04/05/20,-185,-124,-94,-66,-27
Kings County NY,36047,04/06/20,-189,-89,-45,-1,76
Queens County NY,36081,04/06/20,-381,-278,-233,-184,-104
New York County NY,36061,04/06/20,318,407,453,494,568
Bronx County NY,36005,04/06/20,-157,-73,-32,9,82
Richmond County NY,36085,04/06/20,-136,-74,-44,-10,31
Westchester County NY,36119,04/06/20,-238,-140,-100,-56,28
Bergen County NJ,34003,04/06/20,-66,-11,20,48,85
Hudson County NJ,34017,04/06/20,-57,-12,13,29,55
Passaic County NJ,34031,04/06/20,-74,-31,-8,13,47
Putnam County NY,36079,04/06/20,-40,-15,-5,3,8
Rockland County NY,36087,04/06/20,-220,-155,-122,-90,-45
Kings County NY,36047,04/07/20,-263,-151,-103,-53,36
Queens County NY,36081,04/07/20,-472,-356,-305,-253,-166
New York County NY,36061,04/07/20,244,342,392,437,521
Bronx County NY,36005,04/07/20,-222,-130,-86,-41,38
Richmond County NY,36085,04/07/20,-168,-102,-70,-33,13
Westchester County NY,36119,04/07/20,-282,-174,-132,-85,1
Bergen County NJ,34003,04/07/20,-103,-41,-7,25,70
Hudson County NJ,34017,04/07/20,-85,-35,-6,13,42
Passaic County NJ,34031,04/07/20,-102,-55,-30,-6,32
Putnam County NY,36079,04/07/20,-47,-19,-8,1,8
Rockland County NY,36087,04/07/20,-263,-193,-156,-121,-71
Kings County NY,36047,04/08/20,-357,-222,-168,-112,-11
Queens County NY,36081,04/08/20,-579,-447,-390,-327,-225
New York County NY,36061,04/08/20,164,269,327,377,466
Bronx County NY,36005,04/08/20,-299,-198,-148,-95,-6
Richmond County NY,36085,04/08/20,-206,-132,-97,-59,-7
Westchester County NY,36119,04/08/20,-331,-215,-169,-118,-25
Bergen County NJ,34003,04/08/20,-146,-77,-37,-3,53
Hudson County NJ,34017,04/08/20,-117,-62,-30,-8,28
Passaic County NJ,34031,04/08/20,-135,-84,-55,-28,16
Putnam County NY,36079,04/08/20,-54,-24,-12,-1,7
Rockland County NY,36087,04/08/20,-315,-237,-194,-156,-99
Kings County NY,36047,04/09/20,-465,-302,-240,-178,-60
Queens County NY,36081,04/09/20,-713,-555,-487,-412,-293
