ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,55,31,89,443,274,778
2,Baldwin County AL,01003,01,36,24,51,634,419,1057
3,Barbour County AL,01005,01,33,8,78,295,129,572
4,Bibb County AL,01007,01,62,30,96,495,339,712
5,Blount County AL,01009,01,25,13,44,221,128,399
6,Bullock County AL,01011,01,20,10,69,154,60,356
7,Butler County AL,01013,01,0,0,10,22,7,79
8,Calhoun County AL,01015,01,70,43,114,629,370,969
9,Chambers County AL,01017,01,84,42,126,366,216,538
10,Cherokee County AL,01019,01,47,19,95,410,178,808
11,Chilton County AL,01021,01,58,32,88,517,306,790
12,Choctaw County AL,01023,01,24,0,65,224,73,490
13,Clarke County AL,01025,01,147,84,213,1065,808,1401
14,Clay County AL,01027,01,108,38,208,1377,703,2161
15,Cleburne County AL,01029,01,111,47,189,1168,793,1633
16,Coffee County AL,01031,01,77,44,147,522,269,940
17,Colbert County AL,01033,01,88,53,133,610,382,983
18,Conecuh County AL,01035,01,8,0,33,67,9,239
19,Coosa County AL,01037,01,20,10,79,188,72,499
20,Covington County AL,01039,01,110,66,154,727,537,1034
21,Crenshaw County AL,01041,01,15,8,52,142,41,302
22,Cullman County AL,01043,01,62,35,108,472,332,819
23,Dale County AL,01045,01,105,66,147,2422,1683,2932
24,Dallas County AL,01047,01,21,8,50,182,109,317
25,DeKalb County AL,01049,01,293,231,365,1906,1447,2614
26,Elmore County AL,01051,01,89,60,123,1200,649,1771
27,Escambia County AL,01053,01,3,0,14,39,12,72
28,Etowah County AL,01055,01,24,9,48,197,66,430
29,Fayette County AL,01057,01,44,12,106,573,236,982
30,Franklin County AL,01059,01,59,32,101,527,376,856
31,Geneva County AL,01061,01,171,111,245,1697,1126,2705
32,Greene County AL,01063,01,13,0,37,41,4,187
33,Hale County AL,01065,01,44,15,78,391,227,548
34,Henry County AL,01067,01,83,36,154,607,390,919
35,Houston County AL,01069,01,51,3,113,156,4,534
36,Jackson County AL,01071,01,166,117,212,1161,888,1580
37,Jefferson County AL,01073,01,62,42,80,395,276,546
38,Lamar County AL,01075,01,37,7,89,476,239,848
39,Lauderdale County AL,01077,01,64,38,97,1115,355,1691
40,Lawrence County AL,01079,01,70,30,106,646,404,991
41,Lee County AL,01081,01,59,32,94,322,151,536
42,Limestone County AL,01083,01,150,112,192,1498,1019,2003
43,Lowndes County AL,01085,01,10,0,20,31,0,101
44,Macon County AL,01087,01,22,6,50,244,126,559
45,Madison County AL,01089,01,41,24,63,321,186,505
46,Marengo County AL,01091,01,15,5,37,101,43,180
47,Marion County AL,01093,01,31,10,62,219,107,420
48,Marshall County AL,01095,01,65,40,94,466,283,668
49,Mobile County AL,01097,01,24,16,32,202,132,332
50,Monroe County AL,01099,01,5,0,19,24,1,110
51,Montgomery County AL,01101,01,49,35,65,604,331,848
52,Morgan County AL,01103,01,129,94,163,1003,681,1514
53,Perry County AL,01105,01,12,1,35,50,4,242
54,Pickens County AL,01107,01,46,13,83,464,273,686
55,Pike County AL,01109,01,47,15,93,392,177,862
56,Randolph County AL,01111,01,113,50,177,842,586,1174
57,Russell County AL,01113,01,31,14,56,311,157,567
58,St. Clair County AL,01115,01,83,60,117,1526,881,2025
59,Shelby County AL,01117,01,70,45,97,397,240,556
60,Sumter County AL,01119,01,17,1,41,90,34,264
