ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,26,12,50,306,151,480
2,Baldwin County AL,01003,01,180,115,268,740,470,1170
3,Barbour County AL,01005,01,0,0,8,16,0,97
4,Bibb County AL,01007,01,14,5,27,92,42,235
5,Blount County AL,01009,01,95,42,157,556,328,990
6,Bullock County AL,01011,01,0,0,0,0,0,0
7,Butler County AL,01013,01,41,0,103,207,1,698
8,Calhoun County AL,01015,01,293,207,444,1434,952,2036
9,Chambers County AL,01017,01,12,3,27,66,18,144
10,Cherokee County AL,01019,01,19,3,59,239,109,580
11,Chilton County AL,01021,01,189,106,283,1583,996,2418
12,Choctaw County AL,01023,01,16,0,88,230,0,669
13,Clarke County AL,01025,01,0,0,13,0,0,219
14,Clay County AL,01027,01,46,8,116,638,319,1243
15,Cleburne County AL,01029,01,149,53,246,1354,878,2020
16,Coffee County AL,01031,01,139,82,214,867,521,1449
17,Colbert County AL,01033,01,57,24,103,481,249,1061
18,Conecuh County AL,01035,01,0,0,25,29,0,198
19,Coosa County AL,01037,01,0,0,39,32,5,297
20,Covington County AL,01039,01,5,0,22,61,17,278
21,Crenshaw County AL,01041,01,1,0,15,1,0,51
22,Cullman County AL,01043,01,43,6,94,210,59,438
23,Dale County AL,01045,01,156,100,235,1152,819,1524
24,Dallas County AL,01047,01,23,4,53,199,57,496
25,DeKalb County AL,01049,01,14,0,42,79,8,199
26,Elmore County AL,01051,01,128,76,226,946,507,1629
27,Escambia County AL,01053,01,12,6,29,113,67,179
28,Etowah County AL,01055,01,170,111,233,1027,708,1516
29,Fayette County AL,01057,01,41,15,83,378,154,624
30,Franklin County AL,01059,01,56,20,91,572,246,979
31,Geneva County AL,01061,01,11,0,67,118,0,672
32,Greene County AL,01063,01,0,0,12,0,0,110
33,Hale County AL,01065,01,7,0,41,182,82,397
34,Henry County AL,01067,01,18,1,54,260,116,492
35,Houston County AL,01069,01,1,0,10,7,0,93
36,Jackson County AL,01071,01,3,0,18,36,0,118
37,Jefferson County AL,01073,01,26,0,69,103,0,305
38,Lamar County AL,01075,01,0,0,15,15,0,134
39,Lauderdale County AL,01077,01,60,25,108,356,160,784
40,Lawrence County AL,01079,01,47,20,89,390,213,704
41,Lee County AL,01081,01,0,0,65,0,0,536
42,Limestone County AL,01083,01,2,0,28,11,0,155
43,Lowndes County AL,01085,01,0,0,10,0,0,30
44,Macon County AL,01087,01,26,2,62,425,118,952
45,Madison County AL,01089,01,0,0,7,0,0,36
46,Marengo County AL,01091,01,5,0,16,61,10,143
47,Marion County AL,01093,01,19,5,43,85,45,193
48,Marshall County AL,01095,01,2,0,7,5,1,22
49,Mobile County AL,01097,01,50,26,89,208,103,344
50,Monroe County AL,01099,01,0,0,0,0,0,10
51,Montgomery County AL,01101,01,8,0,29,46,0,163
52,Morgan County AL,01103,01,0,0,23,0,0,175
53,Perry County AL,01105,01,0,0,23,62,0,227
54,Pickens County AL,01107,01,15,0,76,271,1,904
55,Pike County AL,01109,01,44,15,85,316,146,612
56,Randolph County AL,01111,01,9,0,23,91,25,196
57,Russell County AL,01113,01,0,0,19,9,0,165
58,St. Clair County AL,01115,01,19,0,54,145,5,416
59,Shelby County AL,01117,01,0,0,32,0,0,146
60,Sumter County AL,01119,01,0,0,0,0,0,0
61,Talladega County AL,01121,01,18,5,37,158,88,352
62,Tallapoosa County AL,01123,01,5,0,15,42,16,82
63,Tuscaloosa County AL,01125,01,9,0,29,49,0,158
64,Walker County AL,01127,01,90,26,168,478,156,858
65,Washington County AL,01129,01,0,0,13,6,0,70
66,Wilcox County AL,01131,01,0,0,38,59,0,436
67,Winston County AL,01133,01,141,66,223,1245,640,1805
68,Aleutians East Borough AK,02013,02,0,0,0,0,0,0
69,Aleutians West Census Area AK,02016,02,0,0,0,0,0,0
70,Anchorage Municipality AK,02020,02,105,34,158,490,138,843
71,Bethel Census Area AK,02050,02,6,1,22,35,13,79
72,Bristol Bay Borough AK,02060,02,0,0,0,0,0,0
73,Denali Borough AK,02068,02,0,0,0,0,0,0
74,Dillingham Census Area AK,02070,02,0,0,0,0,0,0
75,Fairbanks North Star Borough AK,02090,02,0,0,0,0,0,0
76,Haines Borough AK,02100,02,0,0,0,0,0,0
77,Hoonah-Angoon Census Area AK,02105,02,0,0,0,0,0,0
78,Juneau City and Borough AK,02110,02,44,18,77,486,334,752
79,Kenai Peninsula Borough AK,02122,02,2,0,11,16,0,56
80,Ketchikan Gateway Borough AK,02130,02,0,0,0,0,0,0
81,Kodiak Island Borough AK,02150,02,0,0,0,0,0,0
82,Kusilvak Census Area AK,02158,02,0,0,0,0,0,0
83,Lake and Peninsula Borough AK,02164,02,0,0,0,0,0,0
84,Matanuska-Susitna Borough AK,02170,02,5,0,18,22,1,62
