fips,Scenario_1_sum,Scenario_1_diff,Scenario_2_sum,Scenario_2_diff,Scenario_3_sum,Scenario_3_diff
01001,1803,-97,1923,-82,1813,-95
01003,1755,-205,1795,-199,1759,-205
01005,244,-15,242,-13,242,-13
01007,229,-25,235,-23,227,-25
01009,639,-58,659,-54,638,-57
01011,66,-6,67,-6,67,-6
01013,290,-23,307,-20,295,-23
01015,1785,-142,1847,-130,1793,-139
01017,222,-23,232,-22,221,-24
01019,227,-28,228,-28,228,-28
01021,540,-49,563,-45,539,-49
01023,166,-16,166,-15,168,-17
01025,225,-27,227,-26,221,-27
01027,193,-22,201,-21,198,-22
01029,226,-21,234,-19,227,-21
01031,458,-58,470,-57,457,-58
01033,755,-97,762,-96,752,-97
01035,108,-13,108,-13,106,-13
01037,167,-13,171,-13,167,-12
01039,1831,-132,1931,-121,1839,-134
01041,266,-19,272,-17,263,-17
01043,1354,-136,1409,-128,1353,-136
01045,392,-42,407,-39,393,-42
01047,377,-44,386,-42,378,-44
01049,653,-86,660,-85,654,-86
01051,1422,-113,1500,-102,1423,-113
01053,273,-34,278,-33,271,-34
01055,1055,-132,1074,-129,1049,-133
01057,184,-23,185,-23,182,-24
01059,648,-63,675,-59,652,-63
01061,331,-31,334,-29,330,-30
01063,77,-7,80,-6,79,-6
01065,130,-15,131,-14,129,-15
01067,171,-20,175,-19,172,-20
01069,879,-96,907,-92,885,-96
01071,873,-96,907,-90,881,-95
01073,6345,-667,6583,-626,6352,-668
01075,144,-19,143,-19,144,-19
01077,1114,-130,1139,-125,1111,-129
01079,427,-46,438,-45,426,-47
01081,1571,-128,1621,-121,1579,-128
01083,965,-112,991,-107,968,-111
01085,176,-8,191,-6,181,-7
01087,238,-16,247,-14,236,-16
01089,4412,-433,4613,-403,4414,-434
01091,145,-14,144,-14,142,-14
01093,350,-40,360,-39,349,-40
01095,1381,-160,1421,-153,1389,-159
01097,3052,-339,3166,-322,3055,-338
01099,294,-30,293,-30,300,-29
01101,4680,-287,4940,-244,4687,-277
01103,1561,-177,1607,-169,1566,-177
01105,94,-8,97,-7,96,-7
01107,109,-18,109,-18,109,-18
01109,344,-39,349,-38,344,-40
01111,226,-19,232,-18,228,-20
01113,402,-39,414,-37,405,-39
01115,808,-94,824,-91,803,-94
01117,2457,-265,2527,-252,2454,-264
01119,120,-16,120,-16,119,-16
01121,733,-92,733,-92,736,-92
01123,341,-42,344,-42,344,-42
01125,1430,-199,1432,-198,1427,-199
01127,1495,-160,1555,-150,1511,-158
01129,103,-14,103,-14,103,-14
01131,119,-13,122,-12,119,-13
01133,542,-61,561,-58,547,-60
02013,110,-4,123,-2,111,-4
02016,82,-7,85,-6,81,-7
02020,5372,-544,5590,-505,5361,-542
02050,1236,-19,1301,-9,1231,-19
02060,0,0,0,0,0,0
02068,0,0,0,0,0,0
02070,307,-6,322,-1,299,-5
02090,2700,-200,2834,-177,2718,-198
02100,39,1,41,1,38,0
02105,0,0,0,0,0,0
02110,659,-45,697,-39,657,-46
02122,2044,-82,2170,-66,2057,-79
02130,549,-23,569,-18,539,-21
02150,330,-17,338,-16,336,-17
02158,475,-17,512,-13,478,-17
02164,24,-2,27,-1,23,-2
02170,3800,-177,3979,-151,3809,-175
02180,933,-49,1000,-41,948,-48
02185,801,-10,845,-2,800,-10
02188,474,-23,510,-18,472,-23
02195,0,0,0,0,0,0
02198,213,-8,225,-6,217,-8
02220,228,-12,241,-9,226,-11
02230,0,0,0,0,0,0
02240,363,-4,387,-1,372,-4
02261,0,0,0,0,0,0
02275,14,-2,15,-2,15,-2
02282,0,0,0,0,0,0
02290,48,-2,54,-1,47,-2
04001,1558,-91,1572,-89,1563,-89
04003,2216,-209,2320,-195,2222,-209
04005,1604,-188,1654,-181,1605,-189
04007,1321,-76,1437,-58,1332,-75
04009,1378,-26,1379,-29,1394,-19
04011,147,-10,155,-9,149,-10
04012,277,-20,285,-19,281,-20
04013,52716,-4919,55019,-4516,52785,-4930
04015,2509,-280,2587,-264,2498,-278
04017,1406,-151,1443,-147,1409,-150
04019,15246,-1189,15891,-1067,15233,-1183
04021,5840,-650,5904,-643,5820,-652
04023,1206,-120,1251,-111,1198,-120
04025,2986,-193,3116,-169,2994,-190
04027,2223,-301,2240,-299,2218,-301
05001,180,-20,184,-19,181,-19
05003,299,-18,313,-15,300,-17
05005,300,-28,307,-27,299,-28
05007,2600,-249,2701,-232,2594,-250
05009,391,-31,405,-31,387,-32
05011,154,-10,161,-9,153,-10
05013,58,-3,61,-2,57,-3
05015,338,-8,327,-9,332,-6
