ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,85,19,166,369,111,683
2,Baldwin County AL,01003,01,118,72,173,485,305,748
3,Barbour County AL,01005,01,123,28,242,460,95,913
4,Bibb County AL,01007,01,141,65,225,703,359,1148
5,Blount County AL,01009,01,86,34,179,381,186,633
6,Bullock County AL,01011,01,60,13,143,254,59,593
7,Butler County AL,01013,01,151,68,257,665,254,1084
8,Calhoun County AL,01015,01,120,44,201,553,201,864
9,Chambers County AL,01017,01,129,61,258,629,285,1153
10,Cherokee County AL,01019,01,99,35,193,482,165,850
11,Chilton County AL,01021,01,84,23,166,329,118,600
12,Choctaw County AL,01023,01,1,0,69,5,0,353
13,Clarke County AL,01025,01,135,67,216,592,343,873
14,Clay County AL,01027,01,86,6,198,472,19,1304
15,Cleburne County AL,01029,01,27,0,180,130,0,643
16,Coffee County AL,01031,01,165,76,243,993,571,1517
17,Colbert County AL,01033,01,188,114,305,817,512,1192
18,Conecuh County AL,01035,01,55,12,221,250,30,802
19,Coosa County AL,01037,01,249,102,483,903,452,1653
20,Covington County AL,01039,01,115,52,225,418,180,849
21,Crenshaw County AL,01041,01,94,18,191,357,69,787
22,Cullman County AL,01043,01,165,107,235,625,404,884
23,Dale County AL,01045,01,132,62,211,813,362,1410
24,Dallas County AL,01047,01,123,51,217,568,270,1012
25,DeKalb County AL,01049,01,113,44,177,426,161,773
26,Elmore County AL,01051,01,120,65,199,665,390,997
27,Escambia County AL,01053,01,174,109,252,724,513,1103
28,Etowah County AL,01055,01,99,52,135,456,248,689
29,Fayette County AL,01057,01,253,144,425,975,648,1524
30,Franklin County AL,01059,01,95,47,180,351,167,629
31,Geneva County AL,01061,01,144,51,279,573,235,1109
32,Greene County AL,01063,01,28,4,138,113,42,638
33,Hale County AL,01065,01,61,12,164,243,68,696
34,Henry County AL,01067,01,190,37,369,718,187,1387
35,Houston County AL,01069,01,145,95,232,738,519,1169
36,Jackson County AL,01071,01,94,38,172,397,176,660
37,Jefferson County AL,01073,01,165,120,216,619,434,821
38,Lamar County AL,01075,01,123,25,261,537,173,1125
39,Lauderdale County AL,01077,01,154,76,226,636,362,948
40,Lawrence County AL,01079,01,156,79,232,754,378,1117
41,Lee County AL,01081,01,133,83,191,488,297,731
42,Limestone County AL,01083,01,110,51,195,533,291,846
43,Lowndes County AL,01085,01,24,10,105,106,26,421
44,Macon County AL,01087,01,117,14,232,492,127,959
45,Madison County AL,01089,01,158,115,201,681,444,879
46,Marengo County AL,01091,01,78,20,170,300,101,638
47,Marion County AL,01093,01,86,18,214,341,83,664
48,Marshall County AL,01095,01,101,50,160,378,177,595
49,Mobile County AL,01097,01,130,88,181,471,320,652
50,Monroe County AL,01099,01,105,18,251,367,77,974
51,Montgomery County AL,01101,01,113,64,165,511,290,719
52,Morgan County AL,01103,01,145,91,228,606,380,905
53,Perry County AL,01105,01,44,0,214,210,0,972
54,Pickens County AL,01107,01,96,26,173,379,155,592
55,Pike County AL,01109,01,101,53,180,419,268,697
56,Randolph County AL,01111,01,45,0,159,199,0,682
57,Russell County AL,01113,01,125,60,210,495,233,742
58,St. Clair County AL,01115,01,164,86,258,637,329,981
59,Shelby County AL,01117,01,143,99,197,513,340,725
60,Sumter County AL,01119,01,85,12,202,287,43,838
61,Talladega County AL,01121,01,17,10,31,96,68,134
62,Tallapoosa County AL,01123,01,14,4,26,66,33,98
63,Tuscaloosa County AL,01125,01,114,64,170,427,243,642
64,Walker County AL,01127,01,180,96,305,687,406,1214
65,Washington County AL,01129,01,30,0,128,140,0,424
66,Wilcox County AL,01131,01,120,59,221,607,388,1167
67,Winston County AL,01133,01,165,52,283,732,221,1178
68,Aleutians East Borough AK,02013,02,0,0,57,1,1,143
69,Aleutians West Census Area AK,02016,02,0,0,0,0,0,0
70,Anchorage Municipality AK,02020,02,147,105,216,535,365,782
71,Bethel Census Area AK,02050,02,382,229,570,1439,873,2191
72,Bristol Bay Borough AK,02060,02,0,0,0,0,0,0
73,Denali Borough AK,02068,02,997,512,1673,3810,2199,6211
74,Dillingham Census Area AK,02070,02,44,0,226,162,0,813
75,Fairbanks North Star Borough AK,02090,02,135,84,194,499,306,690
76,Haines Borough AK,02100,02,172,54,664,725,191,1793
77,Hoonah-Angoon Census Area AK,02105,02,0,0,0,0,0,0
78,Juneau City and Borough AK,02110,02,131,35,207,519,166,845
79,Kenai Peninsula Borough AK,02122,02,230,146,335,918,605,1363
80,Ketchikan Gateway Borough AK,02130,02,53,8,131,239,46,484
81,Kodiak Island Borough AK,02150,02,118,8,227,410,47,839
82,Kusilvak Census Area AK,02158,02,86,15,186,364,82,756
83,Lake and Peninsula Borough AK,02164,02,1,0,191,71,0,757
84,Matanuska-Susitna Borough AK,02170,02,165,100,249,594,395,887
85,Nome Census Area AK,02180,02,192,89,338,708,426,1135
86,North Slope Borough AK,02185,02,117,0,346,506,11,1338
87,Northwest Arctic Borough AK,02188,02,29,0,210,136,0,672
88,Petersburg Borough AK,02195,02,4,4,161,86,23,1090
89,Prince of Wales-Hyder Census Area AK,02198,02,66,16,287,296,64,845
90,Sitka City and Borough AK,02220,02,195,38,409,737,213,1551
91,Skagway Municipality AK,02230,02,108,107,500,340,236,1516
92,Southeast Fairbanks Census Area AK,02240,02,81,16,247,340,45,1102
93,Valdez-Cordova Census Area AK,02261,02,0,0,0,0,0,0
94,Wrangell City and Borough AK,02275,02,0,0,40,40,0,121
95,Yakutat City and Borough AK,02282,02,174,3,174,361,190,1034
96,Yukon-Koyukuk Census Area AK,02290,02,0,0,38,0,0,95
97,Apache County AZ,04001,04,249,156,343,1029,617,1429
98,Cochise County AZ,04003,04,85,45,167,325,142,607
99,Coconino County AZ,04005,04,67,33,107,330,165,531
100,Gila County AZ,04007,04,279,166,431,1022,608,1657
101,Graham County AZ,04009,04,220,93,358,842,389,1418
102,Greenlee County AZ,04011,04,59,0,262,274,0,1334
103,La Paz County AZ,04012,04,63,25,138,235,84,486
104,Maricopa County AZ,04013,04,81,55,103,293,205,402
105,Mohave County AZ,04015,04,79,34,128,296,132,488
106,Navajo County AZ,04017,04,106,52,186,432,205,778
107,Pima County AZ,04019,04,85,51,119,298,173,443
108,Pinal County AZ,04021,04,95,57,137,358,225,548
109,Santa Cruz County AZ,04023,04,126,55,278,497,195,1001
110,Yavapai County AZ,04025,04,63,34,96,246,125,390
111,Yuma County AZ,04027,04,66,12,115,247,41,470
112,Arkansas County AR,05001,05,155,39,325,635,142,1135
113,Ashley County AR,05003,05,89,7,186,357,58,788
114,Baxter County AR,05005,05,69,9,146,264,54,517
115,Benton County AR,05007,05,57,27,90,238,109,367
116,Boone County AR,05009,05,89,8,161,317,53,638
117,Bradley County AR,05011,05,54,0,206,286,0,774
118,Calhoun County AR,05013,05,65,21,278,298,85,1064
119,Carroll County AR,05015,05,42,0,187,188,0,690
120,Chicot County AR,05017,05,21,0,162,88,0,709
121,Clark County AR,05019,05,76,6,229,330,38,839
122,Clay County AR,05021,05,113,3,234,487,53,918
123,Cleburne County AR,05023,05,102,4,259,382,10,932
124,Cleveland County AR,05025,05,40,0,191,172,0,667
125,Columbia County AR,05027,05,115,13,261,408,48,923
126,Conway County AR,05029,05,83,0,193,296,25,747
127,Craighead County AR,05031,05,143,75,236,578,344,978
128,Crawford County AR,05033,05,113,43,179,436,154,671
129,Crittenden County AR,05035,05,110,34,200,407,162,708
130,Cross County AR,05037,05,148,14,349,561,66,1295
131,Dallas County AR,05039,05,16,0,165,51,0,607
132,Desha County AR,05041,05,78,0,245,348,0,1054
133,Drew County AR,05043,05,78,0,210,305,0,773
134,Faulkner County AR,05045,05,111,61,198,517,316,847
135,Franklin County AR,05047,05,31,0,170,128,0,683
136,Fulton County AR,05049,05,41,0,160,240,0,716
137,Garland County AR,05051,05,76,24,118,286,107,426
138,Grant County AR,05053,05,46,0,190,206,0,693
139,Greene County AR,05055,05,172,79,298,640,316,956
140,Hempstead County AR,05057,05,92,0,219,377,32,946
141,Hot Spring County AR,05059,05,198,81,344,744,298,1300
142,Howard County AR,05061,05,165,13,370,650,24,1389
143,Independence County AR,05063,05,93,16,189,392,58,789
144,Izard County AR,05065,05,98,7,222,508,73,1097
145,Jackson County AR,05067,05,102,5,242,378,61,852
146,Jefferson County AR,05069,05,103,25,174,387,110,648
147,Johnson County AR,05071,05,77,4,160,301,10,639
148,Lafayette County AR,05073,05,50,7,225,252,41,900
149,Lawrence County AR,05075,05,140,0,355,630,1,1342
150,Lee County AR,05077,05,120,0,370,470,9,1297
151,Lincoln County AR,05079,05,81,7,250,322,30,932
152,Little River County AR,05081,05,156,10,424,583,38,1392
153,Logan County AR,05083,05,105,23,241,500,95,1052
154,Lonoke County AR,05085,05,83,35,167,480,218,909
155,Madison County AR,05087,05,136,32,316,527,134,1254
156,Marion County AR,05089,05,57,1,194,233,23,591
157,Miller County AR,05091,05,126,66,222,492,273,815
158,Mississippi County AR,05093,05,110,49,190,501,253,813
159,Monroe County AR,05095,05,63,0,283,250,8,833
160,Montgomery County AR,05097,05,11,0,137,37,0,723
161,Nevada County AR,05099,05,38,13,125,195,35,598
162,Newton County AR,05101,05,31,0,313,146,0,1034
163,Ouachita County AR,05103,05,90,8,219,419,52,989
164,Perry County AR,05105,05,88,0,315,420,0,1116
165,Phillips County AR,05107,05,90,16,187,326,92,641
166,Pike County AR,05109,05,56,0,330,240,0,1341
