county,id,date,2.5pctl,25pctl,50pctl,75pctl,97.5pctl
Kings County NY,36047,04/09/20,684,793,823,842,863
Queens County NY,36081,04/09/20,149,238,285,319,366
New York County NY,36061,04/09/20,2594,2746,2773,2814,2853
Bronx County NY,36005,04/09/20,784,867,878,888,895
Richmond County NY,36085,04/09/20,265,292,302,307,326
Westchester County NY,36119,04/09/20,433,574,621,651,663
Bergen County NJ,34003,04/09/20,446,492,508,517,531
Hudson County NJ,34017,04/09/20,183,212,223,226,236
Passaic County NJ,34031,04/09/20,214,230,238,240,248
Putnam County NY,36079,04/09/20,36,45,39,45,45
Rockland County NY,36087,04/09/20,35,63,70,78,78
Kings County NY,36047,04/10/20,668,793,824,843,863
Queens County NY,36081,04/10/20,131,228,280,317,364
New York County NY,36061,04/10/20,2581,2744,2771,2814,2852
Bronx County NY,36005,04/10/20,787,871,881,890,896
Richmond County NY,36085,04/10/20,263,290,301,306,326
Westchester County NY,36119,04/10/20,430,581,627,655,665
Bergen County NJ,34003,04/10/20,445,492,508,516,532
Hudson County NJ,34017,04/10/20,182,212,223,226,236
Passaic County NJ,34031,04/10/20,213,229,237,240,248
Putnam County NY,36079,04/10/20,36,46,39,45,45
Rockland County NY,36087,04/10/20,35,63,70,78,78
Kings County NY,36047,04/11/20,659,794,825,844,865
Queens County NY,36081,04/11/20,117,221,277,314,362
New York County NY,36061,04/11/20,2559,2742,2771,2814,2852
Bronx County NY,36005,04/11/20,786,875,883,891,897
Richmond County NY,36085,04/11/20,259,287,300,305,326
Westchester County NY,36119,04/11/20,426,587,631,659,667
Bergen County NJ,34003,04/11/20,444,492,508,516,532
Hudson County NJ,34017,04/11/20,181,211,222,226,236
Passaic County NJ,34031,04/11/20,212,228,236,239,248
Putnam County NY,36079,04/11/20,36,47,39,45,45
Rockland County NY,36087,04/11/20,34,63,70,78,78
Kings County NY,36047,04/12/20,650,792,824,843,864
Queens County NY,36081,04/12/20,86,208,270,311,359
New York County NY,36061,04/12/20,2546,2737,2768,2812,2852
Bronx County NY,36005,04/12/20,783,876,883,892,897
Richmond County NY,36085,04/12/20,252,285,298,304,325
Westchester County NY,36119,04/12/20,417,590,634,662,669
Bergen County NJ,34003,04/12/20,436,490,508,516,532
Hudson County NJ,34017,04/12/20,180,211,222,226,236
Passaic County NJ,34031,04/12/20,207,227,236,239,248
Putnam County NY,36079,04/12/20,37,47,39,45,45
Rockland County NY,36087,04/12/20,35,63,70,78,78
Kings County NY,36047,04/13/20,641,790,822,843,863
Queens County NY,36081,04/13/20,63,200,263,309,358
New York County NY,36061,04/13/20,2516,2730,2764,2810,2851
Bronx County NY,36005,04/13/20,781,877,883,892,897
Richmond County NY,36085,04/13/20,251,283,297,303,324
Westchester County NY,36119,04/13/20,409,592,637,663,670
Bergen County NJ,34003,04/13/20,426,489,507,515,531
Hudson County NJ,34017,04/13/20,175,209,221,225,236
Passaic County NJ,34031,04/13/20,204,225,235,239,248
Putnam County NY,36079,04/13/20,38,47,39,45,45
Rockland County NY,36087,04/13/20,35,62,70,78,78
Kings County NY,36047,04/14/20,632,788,821,842,864
Queens County NY,36081,04/14/20,35,187,256,304,356
New York County NY,36061,04/14/20,2497,2726,2762,2809,2852
Bronx County NY,36005,04/14/20,777,876,883,892,897
Richmond County NY,36085,04/14/20,242,280,296,302,323
Westchester County NY,36119,04/14/20,405,594,638,665,671
Bergen County NJ,34003,04/14/20,420,487,506,514,532
Hudson County NJ,34017,04/14/20,169,207,220,225,236
Passaic County NJ,34031,04/14/20,201,225,234,239,248
Putnam County NY,36079,04/14/20,38,47,39,45,45
Rockland County NY,36087,04/14/20,34,62,70,78,78
Kings County NY,36047,04/15/20,613,783,819,840,863
Queens County NY,36081,04/15/20,3,176,247,300,355
New York County NY,36061,04/15/20,2476,2721,2758,2806,2850
Bronx County NY,36005,04/15/20,769,874,882,892,897
Richmond County NY,36085,04/15/20,236,279,295,301,323
Westchester County NY,36119,04/15/20,399,592,640,666,673
Bergen County NJ,34003,04/15/20,415,484,505,513,532
Hudson County NJ,34017,04/15/20,167,206,219,224,236
Passaic County NJ,34031,04/15/20,199,223,232,238,248
Putnam County NY,36079,04/15/20,37,47,39,45,45
Rockland County NY,36087,04/15/20,30,61,70,78,78
Kings County NY,36047,04/16/20,596,778,817,838,862
Queens County NY,36081,04/16/20,-13,167,241,299,353
New York County NY,36061,04/16/20,2462,2714,2754,2804,2849
Bronx County NY,36005,04/16/20,763,873,882,892,897
Richmond County NY,36085,04/16/20,230,276,294,300,324
Westchester County NY,36119,04/16/20,391,592,641,666,674
Bergen County NJ,34003,04/16/20,408,482,504,513,531
Hudson County NJ,34017,04/16/20,164,203,217,223,236
Passaic County NJ,34031,04/16/20,195,221,231,238,248
Putnam County NY,36079,04/16/20,37,47,39,45,45
Rockland County NY,36087,04/16/20,29,60,70,78,78
Kings County NY,36047,04/17/20,583,775,815,837,862
Queens County NY,36081,04/17/20,-37,160,239,298,354
New York County NY,36061,04/17/20,2447,2710,2751,2801,2847
Bronx County NY,36005,04/17/20,757,871,882,892,897
Richmond County NY,36085,04/17/20,220,275,294,300,325
Westchester County NY,36119,04/17/20,374,591,641,666,674
Bergen County NJ,34003,04/17/20,402,481,502,512,532
Hudson County NJ,34017,04/17/20,161,201,215,222,236
Passaic County NJ,34031,04/17/20,191,220,230,238,248
Putnam County NY,36079,04/17/20,35,47,39,45,45
Rockland County NY,36087,04/17/20,29,59,70,78,78
Kings County NY,36047,04/18/20,571,771,812,835,861
Queens County NY,36081,04/18/20,-70,154,236,299,357
New York County NY,36061,04/18/20,2442,2706,2750,2800,2845
Bronx County NY,36005,04/18/20,753,872,882,892,897
Richmond County NY,36085,04/18/20,216,274,293,299,325
Westchester County NY,36119,04/18/20,365,591,641,666,675
Bergen County NJ,34003,04/18/20,395,480,501,512,532
Hudson County NJ,34017,04/18/20,157,200,214,222,236
Passaic County NJ,34031,04/18/20,189,220,229,237,248
Putnam County NY,36079,04/18/20,33,47,39,45,45
Rockland County NY,36087,04/18/20,28,58,70,78,78
Kings County NY,36047,04/19/20,562,768,811,834,860
Queens County NY,36081,04/19/20,-86,147,236,301,359
New York County NY,36061,04/19/20,2435,2705,2748,2798,2844
Bronx County NY,36005,04/19/20,747,870,882,891,897
Richmond County NY,36085,04/19/20,214,273,293,300,325
Westchester County NY,36119,04/19/20,353,590,641,667,675
Bergen County NJ,34003,04/19/20,391,479,501,512,532
Hudson County NJ,34017,04/19/20,155,199,214,222,236
Passaic County NJ,34031,04/19/20,187,220,229,237,248
Putnam County NY,36079,04/19/20,32,47,39,45,45
Rockland County NY,36087,04/19/20,27,58,70,78,78
Kings County NY,36047,04/20/20,554,767,811,834,860
Queens County NY,36081,04/20/20,-105,144,238,301,361
New York County NY,36061,04/20/20,2431,2706,2747,2797,2844
Bronx County NY,36005,04/20/20,743,867,880,890,897
Richmond County NY,36085,04/20/20,214,272,293,299,325
Westchester County NY,36119,04/20/20,336,590,641,666,675
Bergen County NJ,34003,04/20/20,393,480,502,512,533
Hudson County NJ,34017,04/20/20,150,198,212,221,236
Passaic County NJ,34031,04/20/20,183,219,229,237,248
Putnam County NY,36079,04/20/20,32,47,39,45,45
Rockland County NY,36087,04/20/20,27,58,70,78,78
Kings County NY,36047,04/21/20,548,766,811,833,859
Queens County NY,36081,04/21/20,-116,143,241,302,362
New York County NY,36061,04/21/20,2436,2707,2749,2797,2845
Bronx County NY,36005,04/21/20,739,866,880,890,897
Richmond County NY,36085,04/21/20,210,271,293,299,325
Westchester County NY,36119,04/21/20,326,591,640,665,675
Bergen County NJ,34003,04/21/20,395,480,502,513,534
Hudson County NJ,34017,04/21/20,150,197,212,221,236
Passaic County NJ,34031,04/21/20,181,219,229,237,248
Putnam County NY,36079,04/21/20,33,47,39,45,45
Rockland County NY,36087,04/21/20,28,58,70,78,78
Kings County NY,36047,04/22/20,551,765,812,833,859
Queens County NY,36081,04/22/20,-135,145,244,306,366
New York County NY,36061,04/22/20,2438,2709,2751,2799,2848
Bronx County NY,36005,04/22/20,735,865,880,890,897
Richmond County NY,36085,04/22/20,207,271,294,300,325
Westchester County NY,36119,04/22/20,328,591,639,665,675
Bergen County NJ,34003,04/22/20,397,481,502,514,534
Hudson County NJ,34017,04/22/20,150,197,212,222,236
Passaic County NJ,34031,04/22/20,179,218,229,237,248
Putnam County NY,36079,04/22/20,34,47,39,45,45
Rockland County NY,36087,04/22/20,28,58,70,78,78
Kings County NY,36047,04/23/20,548,764,812,832,860
Queens County NY,36081,04/23/20,-158,152,249,310,368
New York County NY,36061,04/23/20,2442,2713,2753,2801,2850
Bronx County NY,36005,04/23/20,734,865,880,890,897
Richmond County NY,36085,04/23/20,206,273,295,301,325
Westchester County NY,36119,04/23/20,336,595,641,665,675
Bergen County NJ,34003,04/23/20,401,483,503,515,534
Hudson County NJ,34017,04/23/20,148,196,212,222,236
Passaic County NJ,34031,04/23/20,181,219,229,237,248
Putnam County NY,36079,04/23/20,35,47,39,45,45
Rockland County NY,36087,04/23/20,26,58,70,78,78
Kings County NY,36047,04/24/20,547,765,813,833,861
