county,id,day_to_overload
Autauga County AL,01001,24
Baldwin County AL,01003,39
Barbour County AL,01005,NA
Bibb County AL,01007,28
Blount County AL,01009,23
Bullock County AL,01011,25
Butler County AL,01013,37
Calhoun County AL,01015,34
Chambers County AL,01017,33
Cherokee County AL,01019,22
Chilton County AL,01021,28
Choctaw County AL,01023,39
Clarke County AL,01025,34
Clay County AL,01027,41
Cleburne County AL,01029,22
Coffee County AL,01031,38
Colbert County AL,01033,41
Conecuh County AL,01035,34
Coosa County AL,01037,27
Covington County AL,01039,28
Crenshaw County AL,01041,24
Cullman County AL,01043,30
Dale County AL,01045,41
Dallas County AL,01047,40
DeKalb County AL,01049,37
Elmore County AL,01051,16
Escambia County AL,01053,42
Etowah County AL,01055,39
Fayette County AL,01057,36
Franklin County AL,01059,40
Geneva County AL,01061,40
Greene County AL,01063,22
Hale County AL,01065,18
Henry County AL,01067,37
Houston County AL,01069,NA
Jackson County AL,01071,34
Jefferson County AL,01073,31
Lamar County AL,01075,31
Lauderdale County AL,01077,36
Lawrence County AL,01079,35
Lee County AL,01081,34
Limestone County AL,01083,13
Lowndes County AL,01085,21
Macon County AL,01087,18
Madison County AL,01089,29
Marengo County AL,01091,41
Marion County AL,01093,28
Marshall County AL,01095,34
Mobile County AL,01097,38
Monroe County AL,01099,NA
Montgomery County AL,01101,28
Morgan County AL,01103,27
Perry County AL,01105,28
Pickens County AL,01107,28
Pike County AL,01109,38
Randolph County AL,01111,23
Russell County AL,01113,40
St. Clair County AL,01115,21
Shelby County AL,01117,25
Sumter County AL,01119,30
Talladega County AL,01121,30
Tallapoosa County AL,01123,34
Tuscaloosa County AL,01125,25
Walker County AL,01127,27
Washington County AL,01129,35
Wilcox County AL,01131,38
Winston County AL,01133,31
Aleutians East Borough AK,02013,42
Aleutians West Census Area AK,02016,NA
Anchorage Municipality AK,02020,23
Bethel Census Area AK,02050,NA
Bristol Bay Borough AK,02060,41
Denali Borough AK,02068,NA
Dillingham Census Area AK,02070,NA
Fairbanks North Star Borough AK,02090,NA
Haines Borough AK,02100,NA
Hoonah-Angoon Census Area AK,02105,NA
Juneau City and Borough AK,02110,NA
Kenai Peninsula Borough AK,02122,39
Ketchikan Gateway Borough AK,02130,NA
Kodiak Island Borough AK,02150,42
Kusilvak Census Area AK,02158,NA
Lake and Peninsula Borough AK,02164,NA
Matanuska-Susitna Borough AK,02170,26
Nome Census Area AK,02180,NA
North Slope Borough AK,02185,21
Northwest Arctic Borough AK,02188,35
Petersburg Borough AK,02195,NA
Prince of Wales-Hyder Census Area AK,02198,NA
Sitka City and Borough AK,02220,NA
Skagway Municipality AK,02230,NA
Southeast Fairbanks Census Area AK,02240,42
Valdez-Cordova Census Area AK,02261,30
Wrangell City and Borough AK,02275,NA
Yakutat City and Borough AK,02282,NA
Yukon-Koyukuk Census Area AK,02290,40
Apache County AZ,04001,26
Cochise County AZ,04003,29
Coconino County AZ,04005,42
Gila County AZ,04007,33
Graham County AZ,04009,33
Greenlee County AZ,04011,31
La Paz County AZ,04012,32
Maricopa County AZ,04013,19
Mohave County AZ,04015,28
Navajo County AZ,04017,34
Pima County AZ,04019,17
Pinal County AZ,04021,19
Santa Cruz County AZ,04023,25
Yavapai County AZ,04025,37
Yuma County AZ,04027,28
Arkansas County AR,05001,37
Ashley County AR,05003,NA
Baxter County AR,05005,NA
Benton County AR,05007,NA
Boone County AR,05009,NA
Bradley County AR,05011,NA
Calhoun County AR,05013,40
Carroll County AR,05015,NA
Chicot County AR,05017,NA
Clark County AR,05019,37
Clay County AR,05021,NA
Cleburne County AR,05023,34
Cleveland County AR,05025,33
Columbia County AR,05027,NA
Conway County AR,05029,36
Craighead County AR,05031,NA
Crawford County AR,05033,NA
Crittenden County AR,05035,6
Cross County AR,05037,24
Dallas County AR,05039,NA
Desha County AR,05041,33
Drew County AR,05043,NA
Faulkner County AR,05045,34
Franklin County AR,05047,NA
Fulton County AR,05049,NA
Garland County AR,05051,41
Grant County AR,05053,21
Greene County AR,05055,NA
Hempstead County AR,05057,NA
Hot Spring County AR,05059,34
Howard County AR,05061,NA
Independence County AR,05063,NA
Izard County AR,05065,NA
Jackson County AR,05067,35
Jefferson County AR,05069,36
Johnson County AR,05071,NA
Lafayette County AR,05073,NA
Lawrence County AR,05075,41
Lee County AR,05077,29
Lincoln County AR,05079,30
Little River County AR,05081,40
Logan County AR,05083,NA
Lonoke County AR,05085,10
Madison County AR,05087,NA
Marion County AR,05089,NA
Miller County AR,05091,26
Mississippi County AR,05093,40
Monroe County AR,05095,32
Montgomery County AR,05097,37
Nevada County AR,05099,NA
Newton County AR,05101,NA
Ouachita County AR,05103,NA
Perry County AR,05105,25
Phillips County AR,05107,41
Pike County AR,05109,40
Poinsett County AR,05111,21
Polk County AR,05113,NA
Pope County AR,05115,41
Prairie County AR,05117,27
Pulaski County AR,05119,36
Randolph County AR,05121,NA
St. Francis County AR,05123,32
Saline County AR,05125,24
Scott County AR,05127,NA
Searcy County AR,05129,38
Sebastian County AR,05131,NA
Sevier County AR,05133,NA
Sharp County AR,05135,NA
Stone County AR,05137,NA
Union County AR,05139,NA
Van Buren County AR,05141,31
Washington County AR,05143,NA
White County AR,05145,35
Woodruff County AR,05147,38
Yell County AR,05149,NA
Alameda County CA,06001,27
Alpine County CA,06003,34
Amador County CA,06005,31
Butte County CA,06007,39
Calaveras County CA,06009,25
