Fips_code,Days Until HealthCare Overwhelmed
01001,32
01003,41
01005,NA
01007,42
01009,39
01011,38
01013,NA
01015,NA
01017,NA
01019,23
01021,39
01023,NA
01025,NA
01027,NA
01029,33
01031,NA
01033,NA
01035,NA
01037,41
01039,41
01041,33
01043,NA
01045,NA
01047,NA
01049,NA
01051,22
01053,NA
01055,NA
01057,NA
01059,NA
01061,NA
01063,38
01065,34
01067,NA
01069,NA
01071,NA
01073,NA
01075,NA
01077,NA
01079,NA
01081,NA
01083,41
01085,32
01087,32
01089,NA
01091,NA
01093,NA
01095,NA
01097,NA
01099,NA
01101,36
01103,NA
01105,NA
01107,38
01109,NA
01111,34
01113,NA
01115,36
01117,35
01119,NA
01121,42
01123,NA
01125,37
01127,40
01129,NA
01131,NA
01133,NA
02013,NA
02016,NA
02020,38
02050,NA
02060,NA
02068,NA
02070,NA
02090,NA
02100,NA
02105,NA
02110,NA
02122,NA
02130,NA
02150,NA
02158,NA
02164,NA
02170,39
02180,NA
02185,40
02188,NA
02195,NA
02198,NA
02220,NA
02230,NA
02240,NA
02261,NA
02275,NA
02282,NA
02290,NA
04001,41
04003,NA
04005,NA
04007,41
04009,26
04011,31
04012,40
04013,34
04015,41
04017,NA
04019,41
04021,25
04023,NA
04025,NA
04027,NA
05001,40
05003,NA
05005,NA
05007,NA
05009,NA
05011,NA
05013,NA
05015,NA
05017,NA
05019,NA
05021,NA
05023,NA
05025,31
05027,NA
05029,NA
05031,NA
05033,NA
05035,32
05037,NA
05039,NA
05041,37
05043,NA
05045,NA
05047,NA
05049,NA
05051,NA
05053,27
05055,NA
05057,NA
05059,40
05061,NA
05063,NA
05065,NA
05067,NA
05069,30
05071,NA
05073,NA
05075,NA
05077,NA
05079,29
05081,NA
05083,NA
05085,22
05087,NA
05089,NA
05091,NA
05093,NA
05095,NA
05097,NA
05099,NA
05101,NA
05103,NA
05105,37
05107,NA
05109,NA
05111,NA
05113,NA
05115,NA
05117,39
05119,NA
05121,NA
05123,NA
05125,29
05127,NA
05129,NA
05131,NA
05133,NA
05135,NA
05137,NA
05139,NA
05141,NA
05143,NA
05145,42
05147,NA
05149,NA
06001,24
06003,NA
06005,31
06007,41
06009,24
06011,31
06013,28
06015,NA
06017,27
06019,30
06021,36
06023,26
06025,38
06027,NA
06029,41
06031,35
06033,36
06035,35
06037,29
06039,32
06041,18
06043,33
06045,42
06047,30
06049,40
06051,NA
06053,26
06055,32
06057,27
06059,35
06061,28
06063,30
06065,32
06067,28
06069,21
06071,33
06073,30
06075,28
06077,25
06079,22
06081,21
06083,31
06085,27
06087,18
06089,29
06091,NA
06093,40
06095,30
06097,23
06099,27
06101,31
06103,34
06105,31
06107,26
06109,35
06111,25
06113,21
06115,37
08001,35
08003,NA
08005,24
08007,NA
08009,NA
08011,NA
08013,38
08014,31
08015,33
08017,NA
08019,26
08021,NA
08023,NA
08025,NA
08027,NA
08029,25
08031,34
08033,NA
08035,29
08037,5
08039,20
08041,34
08043,36
08045,24
08047,28
08049,25
08051,1
08053,NA
08055,NA
08057,NA
08059,25
08061,NA
08063,NA
08065,17
08067,NA
08069,37
08071,NA
08073,42
08075,NA
08077,35
08079,NA
08081,36
08083,NA
08085,34
08087,NA
08089,39
08091,42
08093,20
08095,NA
08097,14
08099,NA
08101,33
08103,36
08105,NA
08107,20
08109,NA
08111,NA
08113,NA
08115,NA
08117,16
08119,31
08121,NA
08123,30
08125,NA
09001,19
09003,27
09005,18
09007,25
09009,26
09011,30
09013,25
09015,30
10001,40
10003,29
10005,36
11001,39
12001,NA
12003,16
12005,33
12007,17
12009,NA
12011,23
12013,34
12015,28
12017,41
12019,28
12021,21
12023,27
12027,26
12029,42
12031,36
12033,30
12035,25
12037,NA
12039,15
12041,32
12043,30
12045,31
12047,29
12049,29
12051,32
12053,36
12055,30
12057,37
12059,31
12061,39
12063,NA
12065,34
12067,41
12069,39
12071,26
12073,37
12075,25
12077,36
12079,29
12081,32
12083,36
12085,35
12086,25
12087,24
12089,23
12091,25
12093,37
12095,NA
12097,42
12099,26
12101,33
12103,35
12105,40
12107,24
12109,35
12111,31
12113,22
12115,32
12117,35
12119,9
12121,23
12123,NA
12125,27
12127,29
12129,29
12131,27
12133,33
13001,NA
13003,NA
13005,NA
13007,NA
13009,NA
13011,27
13013,24
13015,19
13017,NA
13019,27
13021,NA
13023,NA
13025,NA
13027,25
13029,NA
13031,NA
13033,26
13035,22
13037,NA
13039,33
13043,NA
13045,29
13047,28
13049,20
13051,NA
13053,NA
13055,23
13057,16
13059,33
13061,NA
13063,20
13065,41
13067,25
13069,NA
13071,42
13073,8
13075,34
13077,25
13079,42
13081,NA
13083,40
13085,22
13087,NA
13089,28
13091,NA
13093,NA
13095,39
13097,25
13099,NA
13101,34
13103,NA
13105,37
13107,NA
13109,NA
13111,40
13113,25
13115,29
13117,24
13119,NA
13121,29
13123,25
13125,NA
13127,NA
13129,24
13131,42
13133,31
13135,21
13137,37
13139,34
13141,NA
13143,25
13145,31
13147,30
13149,28
13151,26
13153,NA
13155,NA
13157,20
13159,31
13161,NA
13163,39
13165,NA
13167,NA
13169,37
13171,26
13173,30
13175,NA
13177,16
13179,38
13181,37
13183,NA
13185,27
13187,24
13189,37
13191,NA
13193,NA
13195,18
13197,NA
13199,27
13201,NA
13205,28
13207,31
13209,NA
13211,22
13213,31
13215,NA
13217,25
13219,16
13221,24
13223,30
13225,37
13227,29
13229,42
13231,26
13233,8
13235,NA
13237,33
13239,NA
13241,35
13243,NA
13245,NA
13247,27
13249,NA
13251,NA
13253,NA
13255,32
13257,NA
13259,NA
13261,NA
13263,38
13265,NA
13267,NA
13269,NA
13271,NA
13273,33
13275,NA
13277,NA
13279,NA
13281,NA
13283,NA
13285,37
13287,40
13289,NA
13291,NA
13293,NA
13295,27
13297,23
13299,NA
13301,42
13303,42
13305,NA
13307,NA
13309,NA
13311,26
13313,37
13315,NA
13317,34
13319,NA
13321,26
15001,NA
15003,30
15005,NA
15007,NA
15009,38
16001,NA
16003,NA
16005,NA
16007,NA
16009,NA
16011,NA
16013,NA
16015,NA
16017,NA
16019,NA
16021,NA
16023,NA
16025,NA
16027,NA
16029,NA
16031,NA
16033,NA
16035,NA
16037,NA
16039,NA
16041,NA
16043,NA
16045,NA
16047,NA
16049,NA
16051,NA
16053,NA
16055,NA
16057,NA
16059,NA
16061,NA
16063,NA
16065,NA
16067,NA
16069,NA
16071,NA
16073,NA
16075,NA
16077,NA
16079,NA
16081,NA
16083,NA
16085,NA
16087,NA
17001,NA
17003,NA
17005,NA
17007,24
17009,NA
17011,NA
17013,NA
17015,NA
17017,NA
17019,NA
17021,NA
17023,NA
17025,NA
17027,NA
17029,NA
17031,34
17033,NA
17035,NA
17037,33
17039,NA
17041,NA
17043,30
17045,NA
17047,NA
17049,NA
17051,NA
17053,NA
17055,NA
17057,NA
17059,NA
17061,NA
17063,34
17065,NA
17067,NA
17069,NA
17071,NA
17073,NA
17075,NA
17077,NA
17079,NA
17081,NA
17083,NA
17085,34
17087,NA
17089,32
17091,40
17093,13
