Fips_code,Days Until HealthCare Overwhelmed
01001,30
01003,34
01005,NA
01007,35
01009,30
01011,37
01013,42
01015,40
01017,NA
01019,27
01021,35
01023,NA
01025,NA
01027,NA
01029,36
01031,NA
01033,NA
01035,NA
01037,41
01039,39
01041,34
01043,38
01045,NA
01047,NA
01049,42
01051,18
01053,41
01055,NA
01057,NA
01059,NA
01061,NA
01063,40
01065,34
01067,NA
01069,NA
01071,NA
01073,31
01075,NA
01077,NA
01079,NA
01081,NA
01083,28
01085,33
01087,30
01089,41
01091,NA
01093,NA
01095,NA
01097,NA
01099,NA
01101,29
01103,40
01105,NA
01107,38
01109,NA
01111,37
01113,NA
01115,30
01117,29
01119,NA
01121,36
01123,40
01125,34
01127,36
01129,NA
01131,NA
01133,42
02013,NA
02016,NA
02020,37
02050,NA
02060,NA
02068,NA
02070,NA
02090,NA
02100,NA
02105,NA
02110,NA
02122,NA
02130,NA
02150,NA
02158,NA
02164,NA
02170,37
02180,NA
02185,42
02188,NA
02195,NA
02198,NA
02220,NA
02230,NA
02240,NA
02261,NA
02275,NA
02282,NA
02290,NA
04001,NA
04003,39
04005,NA
04007,36
04009,17
04011,29
04012,39
04013,28
04015,33
04017,NA
04019,30
04021,18
04023,37
04025,42
04027,36
05001,38
05003,NA
05005,NA
05007,NA
05009,NA
05011,NA
05013,NA
05015,NA
05017,NA
05019,NA
05021,NA
05023,NA
05025,28
05027,NA
05029,NA
05031,NA
05033,NA
05035,29
05037,NA
05039,NA
05041,35
05043,38
05045,38
05047,NA
05049,NA
05051,NA
05053,23
05055,NA
05057,NA
05059,37
05061,NA
05063,NA
05065,NA
05067,NA
05069,22
05071,NA
05073,NA
05075,NA
05077,NA
05079,28
05081,NA
05083,NA
05085,24
05087,NA
05089,NA
05091,NA
05093,NA
05095,NA
05097,NA
05099,NA
05101,NA
05103,NA
05105,39
05107,NA
05109,NA
05111,NA
05113,NA
05115,NA
05117,39
05119,36
05121,NA
05123,NA
05125,23
05127,NA
05129,NA
05131,NA
05133,NA
05135,NA
05137,NA
05139,NA
05141,NA
05143,NA
05145,37
05147,NA
05149,NA
06001,18
06003,NA
06005,27
06007,39
06009,17
06011,31
06013,18
06015,NA
06017,22
06019,26
06021,38
06023,28
06025,28
06027,NA
06029,34
06031,29
06033,31
06035,34
06037,23
06039,22
06041,9
06043,34
06045,35
06047,25
06049,36
06051,NA
06053,20
06055,25
06057,23
06059,24
06061,25
06063,31
06065,24
06067,18
06069,18
06071,24
06073,22
06075,18
06077,17
06079,10
06081,12
06083,22
06085,14
06087,11
06089,23
06091,NA
06093,33
06095,20
06097,15
06099,22
06101,29
06103,30
06105,33
06107,20
06109,32
06111,19
06113,15
06115,31
08001,26
08003,NA
08005,15
08007,NA
08009,NA
08011,NA
08013,27
08014,26
08015,33
08017,NA
08019,25
08021,NA
08023,NA
08025,NA
08027,NA
08029,20
08031,24
08033,NA
08035,20
08037,1
08039,21
08041,22
08043,33
08045,13
08047,29
08049,27
08051,1
08053,NA
08055,NA
08057,NA
08059,15
08061,NA
08063,NA
08065,15
08067,NA
08069,26
08071,NA
08073,41
08075,NA
08077,29
08079,NA
08081,36
08083,NA
08085,33
08087,42
08089,NA
08091,NA
08093,21
08095,NA
08097,1
08099,NA
08101,30
08103,34
08105,NA
08107,23
08109,NA
08111,NA
08113,NA
08115,NA
08117,13
08119,31
08121,NA
08123,19
08125,NA
09001,12
09003,25
09005,13
09007,25
09009,20
09011,25
09013,24
09015,28
10001,34
10003,22
10005,36
11001,25
12001,33
12003,16
12005,25
12007,19
12009,38
12011,19
12013,34
12015,19
12017,30
12019,22
12021,14
12023,20
12027,19
12029,42
12031,31
12033,27
12035,18
12037,42
12039,14
12041,30
12043,32
12045,33
12047,29
12049,29
12051,28
12053,30
12055,21
12057,28
12059,32
12061,38
12063,40
12065,30
12067,41
12069,29
12071,17
12073,23
12075,24
12077,36
12079,30
12081,19
12083,25
12085,32
12086,16
12087,16
12089,19
12091,18
12093,32
12095,36
12097,27
12099,21
12101,27
12103,25
12105,34
12107,18
12109,29
12111,25
12113,17
12115,26
12117,20
12119,6
12121,22
12123,NA
12125,26
12127,24
12129,23
12131,23
12133,32
13001,NA
13003,NA
13005,NA
13007,NA
13009,NA
13011,30
13013,26
13015,8
13017,NA
13019,28
13021,NA
13023,NA
13025,NA
13027,25
13029,NA
13031,NA
13033,28
13035,26
13037,NA
13039,31
13043,NA
13045,27
13047,29
13049,19
13051,NA
13053,NA
13055,27
13057,13
13059,23
13061,NA
13063,15
13065,42
13067,16
13069,NA
13071,41
13073,6
13075,33
13077,20
13079,NA
13081,NA
13083,NA
13085,24
13087,36
13089,23
13091,NA
13093,NA
13095,33
13097,21
13099,NA
13101,33
13103,NA
13105,34
13107,NA
13109,NA
13111,37
13113,18
13115,25
13117,22
13119,36
13121,24
13123,24
13125,NA
13127,NA
13129,17
13131,36
13133,36
13135,18
13137,37
13139,34
13141,NA
13143,27
13145,37
13147,29
13149,29
13151,22
13153,NA
13155,NA
13157,22
13159,35
13161,NA
13163,37
13165,40
13167,NA
13169,42
13171,29
13173,30
13175,NA
13177,17
13179,NA
13181,32
13183,NA
13185,20
13187,26
13189,33
13191,NA
13193,NA
13195,19
13197,NA
13199,28
13201,NA
13205,31
13207,33
13209,NA
13211,27
13213,30
13215,NA
13217,26
13219,19
13221,21
13223,23
13225,41
13227,27
13229,NA
13231,29
13233,8
13235,NA
13237,36
13239,NA
13241,39
13243,NA
13245,32
13247,23
13249,NA
13251,NA
13253,NA
13255,31
13257,42
13259,NA
13261,41
13263,41
13265,NA
13267,NA
13269,NA
13271,NA
13273,38
13275,40
13277,NA
13279,NA
13281,NA
13283,NA
13285,35
13287,NA
13289,NA
13291,NA
13293,NA
13295,30
13297,23
13299,NA
13301,41
13303,40
13305,NA
13307,NA
13309,NA
13311,30
13313,33
13315,NA
13317,35
13319,NA
13321,31
15001,40
15003,21
15005,NA
15007,NA
15009,34
16001,NA
16003,NA
16005,NA
16007,NA
16009,NA
16011,NA
16013,NA
16015,NA
16017,NA
16019,NA
16021,NA
16023,NA
16025,NA
16027,NA
16029,NA
16031,NA
16033,NA
16035,NA
16037,NA
16039,NA
16041,NA
16043,NA
16045,NA
16047,NA
16049,NA
16051,NA
16053,NA
16055,NA
16057,NA
16059,NA
16061,NA
16063,NA
16065,NA
16067,NA
16069,NA
16071,NA
16073,NA
16075,NA
16077,NA
16079,NA
16081,NA
16083,NA
16085,NA
16087,NA
17001,NA
17003,NA
17005,NA
17007,22
17009,NA
17011,NA
17013,NA
17015,42
17017,NA
17019,NA
17021,NA
17023,NA
17025,NA
17027,NA
17029,NA
17031,20
17033,NA
17035,NA
17037,30
17039,NA
17041,NA
17043,22
17045,NA
17047,NA
17049,NA
17051,NA
17053,NA
17055,NA
17057,NA
17059,NA
17061,NA
17063,30
17065,NA
17067,NA
17069,NA
17071,NA
17073,NA
17075,38
17077,NA
17079,NA
17081,NA
17083,NA
17085,36
17087,NA
17089,21
17091,34
17093,15
17095,NA
17097,19
17099,34
17101,NA
17103,42
17105,38
17107,NA
17109,NA
17111,21
17113,42
17115,NA
17117,NA
17119,NA
17121,NA
17123,NA
17125,NA
17127,NA
17129,NA
17131,NA
17133,37
17135,NA
17137,NA
17139,NA
17141,34
17143,NA
17145,NA
17147,NA
17149,NA
17151,NA
17153,NA
17155,NA
17157,NA
17159,NA
17161,NA
17163,NA
17165,NA
17167,NA
17169,NA
17171,NA
17173,NA
17175,NA
17177,40
17179,41
17181,NA
17183,NA
17185,NA
17187,NA
17189,NA
17191,NA
17193,NA
17195,NA
17197,21
17199,NA
17201,38
17203,NA
18001,23
18003,NA
18005,32
18007,NA
18009,NA
18011,22
18013,28
18015,33
18017,37
18019,30
18021,40
18023,27
18025,NA
18027,NA
18029,NA
18031,36
18033,37
18035,38
18037,NA
18039,39
18041,NA
18043,39
18045,37
18047,35
18049,NA
18051,NA
18053,37
18055,NA
18057,23
18059,27
18061,32
18063,20
18065,33
18067,22
18069,41
18071,41
18073,37
18075,41
18077,NA
18079,37
18081,15
18083,NA
18085,39
18087,38
18089,31
18091,36
18093,NA
18095,32
18097,24
18099,41
18101,NA
18103,35
18105,37
18107,31
18109,22
18111,36
18113,24
18115,NA
18117,41
18119,30
18121,37
18123,NA
18125,NA
18127,30
18129,NA
18131,NA
18133,28
18135,40
18137,NA
18139,33
18141,33
18143,36
18145,25
18147,NA
18149,40
18151,40
18153,NA
18155,NA
18157,36
18159,34
18161,NA
18163,NA
18165,NA
18167,NA
18169,42
18171,NA
18173,NA
18175,34
18177,NA
18179,40
18181,39
18183,38
19001,NA
19003,NA
19005,NA
19007,NA
19009,39
19011,28
19013,NA
19015,NA
19017,NA
19019,39
19021,NA
19023,NA
19025,NA
19027,25
19029,39
19031,26
19033,NA
19035,NA
19037,NA
19039,NA
19041,NA
19043,NA
19045,NA
19047,34
19049,NA
19051,NA
19053,NA
19055,NA
19057,NA
19059,NA
19061,NA
19063,NA
19065,NA
19067,NA
19069,NA
19071,40
19073,41
19075,NA
19077,39
19079,NA
19081,NA
19083,NA
19085,24
19087,NA
19089,NA
19091,NA
19093,NA
19095,33
19097,NA
19099,NA
19101,NA
19103,37
19105,32
19107,34
19109,NA
19111,NA
19113,26
19115,36
19117,NA
19119,37
19121,NA
19123,NA
19125,NA
19127,NA
19129,26
19131,NA
19133,NA
19135,NA
19137,NA
19139,33
19141,NA
19143,NA
19145,NA
19147,NA
19149,NA
19151,NA
19153,NA
19155,26
19157,NA
19159,NA
19161,39
19163,NA
19165,33
19167,NA
19169,NA
19171,NA
19173,NA
19175,NA
19177,NA
19179,NA
19181,NA
19183,22
19185,NA
19187,NA
19189,NA
19191,NA
19193,NA
19195,NA
19197,NA
20001,NA
20003,NA
20005,NA
20007,NA
20009,NA
20011,NA
20013,NA
20015,32
20017,NA
20019,NA
20021,NA
20023,NA
20025,NA
20027,NA
20029,NA
20031,NA
20033,NA
20035,NA
20037,NA
20039,NA
20041,NA
20043,NA
20045,30
20047,NA
20049,NA
20051,NA
20053,NA
20055,NA
20057,NA
20059,34
20061,NA
20063,NA
20065,NA
20067,NA
20069,NA
20071,NA
20073,NA
20075,NA
20077,NA
20079,NA
20081,NA
20083,NA
20085,NA
20087,35
20089,NA
20091,24
20093,NA
20095,NA
20097,NA
20099,NA
20101,NA
20103,29
20105,NA
20107,33
20109,NA
20111,NA
20113,NA
20115,NA
20117,NA
20119,NA
20121,24
20123,NA
20125,NA
20127,NA
20129,NA
20131,NA
20133,NA
20135,NA
20137,NA
20139,39
20141,NA
20143,NA
20145,NA
20147,NA
20149,NA
20151,NA
20153,NA
20155,NA
20157,NA
20159,NA
20161,NA
20163,NA
20165,NA
20167,NA
20169,NA
20171,NA
20173,NA
20175,NA
20177,NA
20179,NA
20181,NA
20183,NA
20185,NA
20187,NA
20189,NA
20191,NA
20193,NA
20195,NA
20197,NA
20199,NA
20201,NA
20203,NA
20205,NA
20207,NA
20209,35
21001,NA
21003,37
21005,31
21007,NA
21009,NA
21011,31
21013,NA
21015,NA
21017,22
21019,NA
21021,41
21023,33
21025,NA
21027,41
21029,20
21031,NA
21033,NA
21035,NA
21037,NA
21039,NA
21041,NA
21043,NA
21045,NA
21047,37
21049,27
21051,NA
21053,NA
21055,NA
21057,NA
21059,NA
21061,NA
21063,NA
21065,34
21067,31
21069,39
21071,NA
21073,32
21075,NA
21077,NA
21079,32
21081,36
21083,NA
21085,NA
21087,NA
21089,NA
21091,NA
21093,42
21095,NA
21097,11
21099,NA
21101,NA
21103,33
21105,NA
21107,NA
21109,NA
21111,28
21113,21
21115,NA
21117,NA
21119,NA
21121,NA
21123,40
21125,NA
21127,NA
21129,NA
21131,NA
21133,NA
21135,NA
21137,37
21139,NA
21141,41
21143,NA
21145,NA
21147,NA
21149,NA
21151,33
21153,NA
21155,NA
21157,NA
21159,NA
21161,42
21163,31
21165,35
21167,36
21169,NA
21171,NA
21173,25
21175,NA
21177,NA
21179,37
21181,27
21183,NA
21185,29
21187,37
21189,NA
21191,28
21193,NA
21195,NA
21197,31
21199,NA
21201,32
21203,37
21205,38
21207,NA
21209,23
21211,32
21213,32
21215,29
21217,NA
21219,40
21221,NA
21223,38
21225,NA
21227,41
21229,40
21231,NA
21233,NA
21235,NA
21237,NA
21239,26
22001,17
22003,NA
22005,24
22007,29
22009,40
22011,NA
22013,39
22015,21
22017,35
22019,NA
22021,NA
22023,NA
22025,NA
22027,NA
22029,NA
22031,31
22033,32
22035,NA
22037,32
22039,NA
22041,NA
22043,NA
22045,36
22047,27
22049,NA
22051,14
22053,38
22055,32
22057,24
22059,NA
22061,NA
22063,16
22065,NA
22067,NA
22069,NA
22071,5
22073,NA
22075,10
22077,37
22079,NA
22081,NA
22083,NA
22085,NA
22087,9
22089,14
22091,32
22093,24
22095,9
22097,38
22099,28
22101,32
22103,18
22105,26
22107,NA
22109,23
22111,40
22113,33
22115,NA
22117,26
22119,NA
22121,33
22123,NA
22125,37
22127,NA
23001,31
23003,NA
23005,29
23007,41
23009,38
23011,37
23013,42
23015,38
23017,34
23019,34
23021,40
23023,25
23025,38
23027,35
23029,NA
23031,21
24001,NA
24003,23
24005,25
24009,25
24011,32
24013,27
24015,27
24017,21
24019,42
24021,20
24023,NA
24025,22
24027,20
24029,35
24031,16
24033,18
24035,24
24037,30
24039,NA
24041,35
24043,32
24045,NA
24047,38
24510,38
25001,18
25003,13
25005,22
25007,40
25009,18
25011,23
25013,31
25015,19
25017,26
25019,NA
25021,18
25023,12
25025,35
25027,19
26001,NA
26003,NA
26005,28
26007,NA
26009,32
26011,41
26013,NA
26015,34
26017,35
26019,NA
26021,35
26023,NA
26025,42
26027,39
26029,21
26031,39
26033,NA
26035,NA
26037,30
26039,NA
26041,NA
26043,NA
26045,28
26047,NA
26049,29
26051,40
26053,NA
26055,NA
26057,41
26059,38
26061,NA
26063,NA
26065,35
26067,28
26069,NA
26071,NA
26073,39
26075,32
26077,NA
26079,NA
26081,30
26083,NA
26085,NA
26087,25
26089,NA
26091,28
26093,24
26095,NA
26097,NA
26099,17
26101,NA
26103,NA
26105,NA
26107,37
26109,NA
26111,NA
26113,NA
26115,26
26117,27
26119,NA
26121,41
26123,36
26125,22
26127,41
26129,NA
26131,NA
26133,NA
26135,NA
26137,NA
26139,28
26141,NA
26143,40
26145,41
26147,25
26149,NA
26151,27
26153,NA
26155,32
26157,34
26159,41
26161,28
26163,25
26165,NA
27001,NA
27003,28
27005,NA
27007,NA
27009,16
27011,NA
27013,21
27015,34
27017,NA
27019,28
27021,40
27023,NA
27025,34
27027,NA
27029,NA
27031,NA
27033,NA
27035,NA
27037,20
27039,30
27041,NA
27043,39
27045,32
27047,NA
27049,33
27051,NA
27053,28
27055,42
27057,NA
27059,35
27061,NA
27063,NA
27065,41
27067,41
27069,NA
27071,NA
27073,NA
27075,NA
27077,NA
27079,25
27081,NA
27083,NA
27085,37
27087,NA
27089,NA
27091,NA
27093,36
27095,36
27097,32
27099,29
27101,NA
27103,22
27105,NA
27107,NA
27109,40
27111,NA
27113,NA
27115,38
27117,NA
27119,NA
27121,NA
27123,29
27125,NA
27127,NA
27129,NA
27131,32
27133,40
27135,NA
27137,NA
27139,28
27141,21
27143,32
27145,30
27147,36
27149,NA
27151,NA
27153,37
27155,NA
27157,34
27159,NA
27161,33
27163,28
27165,39
27167,NA
27169,41
27171,21
27173,NA
28001,NA
28003,NA
28005,NA
28007,NA
28009,41
28011,NA
28013,NA
28015,25
28017,NA
28019,NA
28021,NA
28023,NA
28025,NA
28027,NA
28029,25
28031,31
28033,37
28035,24
28037,NA
28039,NA
28041,42
28043,NA
28045,23
28047,33
28049,NA
28051,NA
28053,NA
28055,NA
28057,NA
28059,NA
28061,38
28063,NA
28065,31
28067,33
28069,NA
28071,NA
28073,26
28075,NA
28077,38
28079,NA
28081,NA
28083,24
28085,41
28087,NA
28089,40
28091,35
28093,33
28095,NA
28097,32
28099,NA
28101,NA
28103,41
28105,NA
28107,NA
28109,17
28111,26
28113,42
28115,NA
28117,NA
28119,NA
28121,NA
28123,NA
28125,NA
28127,40
28129,38
28131,33
28133,39
28135,39
28137,34
