Fips_code,Days Until HealthCare Overwhelmed
01001,31
01003,35
01005,NA
01007,36
01009,31
01011,37
01013,NA
01015,41
01017,NA
01019,27
01021,36
01023,NA
01025,NA
01027,NA
01029,36
01031,NA
01033,NA
01035,NA
01037,41
01039,40
01041,34
01043,39
01045,NA
01047,NA
01049,NA
01051,19
01053,42
01055,NA
01057,NA
01059,NA
01061,NA
01063,40
01065,34
01067,NA
01069,NA
01071,NA
01073,33
01075,NA
01077,NA
01079,NA
01081,NA
01083,29
01085,33
01087,30
01089,42
01091,NA
01093,NA
01095,NA
01097,NA
01099,NA
01101,31
01103,41
01105,NA
01107,39
01109,NA
01111,37
01113,NA
01115,30
01117,30
01119,NA
01121,37
01123,41
01125,35
01127,37
01129,NA
01131,NA
01133,42
02013,NA
02016,NA
02020,39
02050,NA
02060,NA
02068,NA
02070,NA
02090,NA
02100,NA
02105,NA
02110,NA
02122,NA
02130,NA
02150,NA
02158,NA
02164,NA
02170,38
02180,NA
02185,42
02188,NA
02195,NA
02198,NA
02220,NA
02230,NA
02240,NA
02261,NA
02275,NA
02282,NA
02290,NA
04001,NA
04003,40
04005,NA
04007,38
04009,18
04011,29
04012,40
04013,30
04015,34
04017,NA
04019,32
04021,19
04023,38
04025,NA
04027,37
05001,38
05003,NA
05005,NA
05007,NA
05009,NA
05011,NA
05013,NA
05015,NA
05017,NA
05019,NA
05021,NA
05023,NA
05025,28
05027,NA
05029,NA
05031,NA
05033,NA
05035,29
05037,NA
05039,NA
05041,35
05043,39
05045,40
05047,NA
05049,NA
05051,NA
05053,23
05055,NA
05057,NA
05059,37
05061,NA
05063,NA
05065,NA
05067,NA
05069,24
05071,NA
05073,NA
05075,NA
05077,NA
05079,28
05081,NA
05083,NA
05085,24
05087,NA
05089,NA
05091,NA
05093,NA
05095,NA
05097,NA
05099,NA
05101,NA
05103,NA
05105,39
05107,NA
05109,NA
05111,NA
05113,NA
05115,NA
05117,39
05119,38
05121,NA
05123,NA
05125,25
05127,NA
05129,NA
05131,NA
05133,NA
05135,NA
05137,NA
05139,NA
05141,NA
05143,NA
05145,39
05147,NA
05149,NA
06001,20
06003,NA
06005,28
06007,40
06009,18
06011,31
06013,20
06015,NA
06017,23
06019,27
06021,38
06023,30
06025,29
06027,NA
06029,36
06031,30
06033,32
06035,35
06037,25
06039,24
06041,11
06043,34
06045,37
06047,26
06049,36
06051,NA
06053,22
06055,27
06057,24
06059,26
06061,26
06063,31
06065,25
06067,20
06069,19
06071,25
06073,24
06075,20
06077,19
06079,12
06081,14
06083,23
06085,15
06087,13
06089,24
06091,NA
06093,34
06095,22
06097,16
06099,24
06101,30
06103,31
06105,33
06107,21
06109,33
06111,20
06113,16
06115,32
08001,27
08003,NA
08005,17
08007,NA
08009,NA
08011,NA
08013,29
08014,27
08015,34
08017,NA
08019,25
08021,NA
08023,NA
08025,NA
08027,NA
08029,21
08031,26
08033,NA
08035,22
08037,1
08039,21
08041,24
08043,34
08045,15
08047,29
08049,27
08051,1
08053,NA
08055,NA
08057,NA
08059,17
08061,NA
08063,NA
08065,15
08067,NA
08069,28
08071,NA
08073,41
08075,NA
08077,31
08079,NA
08081,37
08083,NA
08085,34
08087,NA
08089,NA
08091,NA
08093,21
08095,NA
08097,1
08099,NA
08101,32
08103,35
08105,NA
08107,24
08109,NA
08111,NA
08113,NA
08115,NA
08117,14
08119,31
08121,NA
08123,20
08125,NA
09001,14
09003,26
09005,15
09007,26
09009,22
09011,27
09013,25
09015,30
10001,36
10003,24
10005,38
11001,27
12001,35
12003,16
12005,27
12007,19
12009,40
12011,20
12013,34
12015,20
12017,31
12019,23
12021,15
12023,21
12027,20
12029,42
12031,33
12033,29
12035,19
12037,42
12039,14
12041,30
12043,32
12045,33
12047,29
12049,29
12051,29
12053,31
12055,22
12057,30
12059,32
12061,40
12063,41
12065,30
12067,41
12069,31
12071,19
12073,24
12075,24
12077,36
12079,30
12081,21
12083,26
12085,33
12086,17
12087,17
12089,20
12091,19
12093,33
12095,37
12097,28
12099,23
12101,28
12103,27
12105,35
12107,19
12109,31
12111,26
12113,18
12115,28
12117,22
12119,6
12121,22
12123,NA
12125,26
12127,25
12129,23
12131,25
12133,33
13001,NA
13003,NA
13005,NA
13007,NA
13009,NA
13011,30
13013,27
13015,9
13017,NA
13019,28
13021,NA
13023,NA
13025,NA
13027,25
13029,NA
13031,NA
13033,28
13035,26
13037,NA
13039,32
13043,NA
13045,28
13047,29
13049,19
13051,NA
13053,NA
13055,27
13057,15
13059,25
13061,NA
13063,16
13065,42
13067,18
13069,NA
13071,NA
13073,6
13075,34
13077,22
13079,NA
13081,NA
13083,NA
13085,24
13087,36
13089,25
13091,NA
13093,NA
13095,35
13097,22
13099,NA
13101,33
13103,NA
13105,35
13107,NA
13109,NA
13111,38
13113,20
13115,27
13117,23
13119,38
13121,26
13123,24
13125,NA
13127,NA
13129,18
13131,36
13133,36
13135,20
13137,38
13139,35
13141,NA
13143,28
13145,37
13147,29
13149,29
13151,23
13153,NA
13155,NA
13157,22
13159,35
13161,NA
13163,37
13165,40
13167,NA
13169,42
13171,29
13173,30
13175,NA
13177,17
13179,NA
13181,32
13183,NA
13185,21
13187,26
13189,33
13191,NA
13193,NA
13195,19
13197,NA
13199,29
13201,NA
13205,31
13207,34
13209,NA
13211,27
13213,31
13215,NA
13217,27
13219,19
13221,21
13223,24
13225,41
13227,28
13229,NA
13231,29
13233,9
13235,NA
13237,37
13239,NA
13241,39
13243,NA
13245,34
13247,24
13249,NA
13251,NA
13253,NA
13255,32
13257,NA
13259,NA
13261,41
13263,41
13265,NA
13267,NA
13269,NA
13271,NA
13273,38
13275,42
13277,NA
13279,NA
13281,NA
13283,NA
13285,37
13287,NA
13289,NA
13291,NA
13293,NA
13295,30
13297,24
13299,NA
13301,41
13303,40
13305,NA
13307,NA
13309,NA
13311,30
13313,34
13315,NA
13317,35
13319,NA
13321,31
15001,42
15003,23
15005,NA
15007,NA
15009,36
16001,NA
16003,NA
16005,NA
16007,NA
16009,NA
16011,NA
16013,NA
16015,NA
16017,NA
16019,NA
16021,NA
16023,NA
16025,NA
16027,NA
16029,NA
16031,NA
16033,NA
16035,NA
16037,NA
16039,NA
16041,NA
16043,NA
16045,NA
16047,NA
16049,NA
16051,NA
16053,NA
16055,NA
16057,NA
16059,NA
16061,NA
16063,NA
16065,NA
16067,NA
16069,NA
16071,NA
16073,NA
16075,NA
16077,NA
16079,NA
16081,NA
16083,NA
16085,NA
16087,NA
17001,NA
17003,NA
17005,NA
17007,22
17009,NA
17011,NA
17013,NA
17015,42
17017,NA
17019,NA
17021,NA
17023,NA
17025,NA
17027,NA
17029,NA
17031,22
17033,NA
17035,NA
17037,31
17039,NA
17041,NA
17043,23
17045,NA
17047,NA
17049,NA
17051,NA
17053,NA
17055,NA
17057,NA
17059,NA
17061,NA
17063,31
17065,NA
17067,NA
17069,NA
17071,NA
17073,NA
17075,39
17077,NA
17079,NA
17081,NA
17083,NA
17085,36
17087,NA
17089,22
17091,36
17093,15
17095,NA
17097,21
17099,35
17101,NA
17103,NA
17105,40
17107,NA
17109,NA
17111,22
17113,NA
17115,NA
17117,NA
17119,NA
17121,NA
17123,NA
17125,NA
17127,NA
17129,NA
17131,NA
17133,37
17135,NA
17137,NA
17139,NA
17141,35
17143,NA
17145,NA
17147,NA
17149,NA
17151,NA
17153,NA
17155,NA
17157,NA
17159,NA
17161,NA
17163,NA
17165,NA
17167,NA
17169,NA
17171,NA
17173,NA
17175,NA
17177,41
17179,41
17181,NA
17183,NA
17185,NA
17187,NA
17189,NA
17191,NA
17193,NA
17195,NA
17197,22
17199,NA
17201,39
17203,NA
18001,24
18003,NA
18005,34
18007,NA
18009,NA
18011,23
18013,28
18015,33
18017,38
18019,32
18021,40
18023,27
18025,NA
18027,NA
18029,NA
18031,37
18033,38
18035,39
18037,NA
18039,40
18041,NA
18043,41
18045,37
18047,35
18049,NA
18051,NA
18053,38
18055,NA
18057,25
18059,29
18061,32
18063,21
18065,34
18067,23
18069,42
18071,42
18073,38
18075,42
18077,NA
18079,37
18081,17
18083,NA
18085,40
18087,39
18089,32
18091,37
18093,NA
18095,33
18097,26
18099,42
18101,NA
18103,36
18105,38
18107,32
18109,23
18111,36
18113,25
18115,NA
18117,42
18119,30
18121,37
18123,NA
18125,NA
18127,31
18129,NA
18131,NA
18133,29
18135,41
18137,NA
18139,34
18141,35
18143,37
18145,26
18147,NA
18149,41
18151,40
18153,NA
18155,NA
18157,37
18159,35
18161,NA
18163,NA
18165,NA
18167,NA
18169,NA
18171,NA
18173,NA
18175,35
18177,NA
18179,41
18181,40
18183,39
19001,NA
19003,NA
19005,NA
19007,NA
19009,40
19011,29
19013,NA
19015,NA
19017,NA
19019,40
19021,NA
19023,NA
19025,NA
19027,26
19029,40
19031,26
19033,NA
19035,NA
19037,NA
19039,NA
19041,NA
19043,NA
19045,NA
19047,34
19049,NA
19051,NA
19053,NA
19055,NA
19057,NA
19059,NA
19061,NA
19063,NA
19065,NA
19067,NA
19069,NA
19071,41
19073,42
19075,NA
19077,39
19079,NA
19081,NA
