Fips_code,Days Until HealthCare Overwhelmed
01001,27
01003,36
01005,NA
01007,32
01009,32
01011,38
01013,42
01015,42
01017,38
01019,23
01021,33
01023,NA
01025,NA
01027,NA
01029,33
01031,NA
01033,NA
01035,NA
01037,41
01039,35
01041,33
01043,39
01045,NA
01047,NA
01049,40
01051,18
01053,38
01055,NA
01057,42
01059,NA
01061,NA
01063,38
01065,34
01067,NA
01069,NA
01071,NA
01073,41
01075,NA
01077,NA
01079,NA
01081,38
01083,33
01085,32
01087,32
01089,NA
01091,NA
01093,NA
01095,NA
01097,42
01099,NA
01101,27
01103,42
01105,NA
01107,35
01109,42
01111,34
01113,39
01115,30
01117,29
01119,NA
01121,37
01123,33
01125,30
01127,35
01129,NA
01131,NA
01133,NA
02013,NA
02016,NA
02020,31
02050,NA
02060,NA
02068,NA
02070,NA
02090,NA
02100,NA
02105,NA
02110,NA
02122,37
02130,NA
02150,NA
02158,NA
02164,NA
02170,34
02180,NA
02185,40
02188,NA
02195,NA
02198,NA
02220,NA
02230,NA
02240,NA
02261,NA
02275,NA
02282,NA
02290,NA
04001,41
04003,37
04005,NA
04007,31
04009,17
04011,31
04012,36
04013,27
04015,35
04017,NA
04019,33
04021,15
04023,39
04025,38
04027,39
05001,34
05003,NA
05005,NA
05007,NA
05009,NA
05011,41
05013,NA
05015,NA
05017,NA
05019,39
05021,NA
05023,38
05025,31
05027,NA
05029,38
05031,NA
05033,NA
05035,32
05037,NA
05039,39
05041,37
05043,39
05045,35
05047,NA
05049,NA
05051,39
05053,27
05055,NA
05057,NA
05059,35
05061,NA
05063,NA
05065,NA
05067,NA
05069,22
05071,NA
05073,NA
05075,NA
05077,NA
05079,29
05081,NA
05083,NA
05085,22
05087,NA
05089,NA
05091,NA
05093,NA
05095,NA
05097,NA
05099,NA
05101,NA
05103,NA
05105,37
05107,NA
05109,NA
05111,NA
05113,NA
05115,NA
05117,39
05119,38
05121,NA
05123,NA
05125,22
05127,NA
05129,NA
05131,NA
05133,NA
05135,NA
05137,NA
05139,NA
05141,41
05143,NA
05145,36
05147,NA
05149,NA
06001,17
06003,NA
06005,25
06007,34
06009,17
06011,31
06013,19
06015,42
06017,20
06019,24
06021,36
06023,19
06025,30
06027,42
06029,34
06031,31
06033,29
06035,30
06037,22
06039,24
06041,10
06043,33
06045,34
06047,23
06049,40
06051,NA
06053,20
06055,25
06057,20
06059,28
06061,22
06063,30
06065,26
06067,21
