county,id,date,2.5pctl,25pctl,50pctl,75pctl,97.5pctl
Kings County NY,36047,04/12/20,-2108,-1371,-842,-536,-197
Queens County NY,36081,04/12/20,-2894,-1558,-1078,-759,-410
New York County NY,36061,04/12/20,-240,492,807,1143,1547
Bronx County NY,36005,04/12/20,-946,-383,-176,0,134
Richmond County NY,36085,04/12/20,-270,-114,-35,30,97
Westchester County NY,36119,04/12/20,-1278,-725,-516,-275,-77
Bergen County NJ,34003,04/12/20,-421,-188,-39,81,194
Hudson County NJ,34017,04/12/20,-142,-54,-10,24,72
Passaic County NJ,34031,04/12/20,-134,-35,17,61,107
Putnam County NY,36079,04/12/20,-50,-16,-6,6,15
Rockland County NY,36087,04/12/20,-532,-356,-278,-215,-113
Kings County NY,36047,04/13/20,-2484,-1593,-989,-619,-290
Queens County NY,36081,04/13/20,-3098,-1777,-1224,-881,-472
New York County NY,36061,04/13/20,-519,310,691,1075,1496
Bronx County NY,36005,04/13/20,-1268,-531,-274,-71,88
Richmond County NY,36085,04/13/20,-321,-151,-65,13,90
Westchester County NY,36119,04/13/20,-1420,-866,-605,-347,-129
Bergen County NJ,34003,04/13/20,-562,-267,-90,64,178
Hudson County NJ,34017,04/13/20,-167,-73,-22,14,62
Passaic County NJ,34031,04/13/20,-164,-50,5,51,111
Putnam County NY,36079,04/13/20,-62,-23,-11,1,12
Rockland County NY,36087,04/13/20,-579,-396,-317,-245,-127
Kings County NY,36047,04/14/20,-2873,-1807,-1141,-730,-343
Queens County NY,36081,04/14/20,-3355,-1977,-1417,-994,-516
New York County NY,36061,04/14/20,-747,127,556,1002,1463
Bronx County NY,36005,04/14/20,-1528,-691,-393,-157,25
Richmond County NY,36085,04/14/20,-418,-188,-95,-7,79
Westchester County NY,36119,04/14/20,-1586,-1010,-677,-429,-179
Bergen County NJ,34003,04/14/20,-702,-336,-123,25,191
Hudson County NJ,34017,04/14/20,-212,-89,-46,6,57
Passaic County NJ,34031,04/14/20,-205,-70,-13,42,107
Putnam County NY,36079,04/14/20,-70,-31,-17,-3,10
Rockland County NY,36087,04/14/20,-643,-454,-358,-279,-136
Kings County NY,36047,04/15/20,-3315,-2026,-1303,-836,-384
Queens County NY,36081,04/15/20,-3730,-2173,-1559,-1148,-563
New York County NY,36061,04/15/20,-1025,-24,453,916,1440
Bronx County NY,36005,04/15/20,-1719,-839,-487,-247,-11
Richmond County NY,36085,04/15/20,-515,-232,-124,-10,86
Westchester County NY,36119,04/15/20,-1772,-1148,-775,-513,-220
Bergen County NJ,34003,04/15/20,-821,-405,-182,12,195
Hudson County NJ,34017,04/15/20,-266,-116,-62,-6,43
Passaic County NJ,34031,04/15/20,-249,-89,-27,30,105
Putnam County NY,36079,04/15/20,-90,-38,-22,-7,6
Rockland County NY,36087,04/15/20,-712,-506,-401,-306,-150
Kings County NY,36047,04/16/20,-3797,-2314,-1484,-920,-445
Queens County NY,36081,04/16/20,-4297,-2409,-1749,-1319,-615
New York County NY,36061,04/16/20,-1282,-281,374,819,1433
Bronx County NY,36005,04/16/20,-1940,-1001,-602,-334,-44
Richmond County NY,36085,04/16/20,-646,-267,-159,-24,95
Westchester County NY,36119,04/16/20,-2036,-1263,-882,-592,-260
Bergen County NJ,34003,04/16/20,-1017,-499,-262,-27,188
Hudson County NJ,34017,04/16/20,-335,-146,-79,-17,40
Passaic County NJ,34031,04/16/20,-311,-123,-49,23,103
Putnam County NY,36079,04/16/20,-110,-44,-28,-12,2
Rockland County NY,36087,04/16/20,-784,-580,-443,-331,-165
Kings County NY,36047,04/17/20,-4308,-2560,-1679,-1020,-499
Queens County NY,36081,04/17/20,-4653,-2669,-1935,-1453,-681
New York County NY,36061,04/17/20,-1549,-470,262,689,1437
Bronx County NY,36005,04/17/20,-2197,-1176,-729,-399,-84
Richmond County NY,36085,04/17/20,-747,-306,-187,-34,93
Westchester County NY,36119,04/17/20,-2200,-1422,-966,-672,-302
Bergen County NJ,34003,04/17/20,-1221,-574,-312,-34,179
Hudson County NJ,34017,04/17/20,-372,-178,-96,-34,30
Passaic County NJ,34031,04/17/20,-370,-153,-72,13,102
Putnam County NY,36079,04/17/20,-131,-55,-35,-19,2
Rockland County NY,36087,04/17/20,-869,-635,-491,-356,-184
Kings County NY,36047,04/18/20,-4743,-2741,-1836,-1130,-554
Queens County NY,36081,04/18/20,-5085,-2988,-2065,-1612,-749
New York County NY,36061,04/18/20,-1819,-719,181,630,1432
Bronx County NY,36005,04/18/20,-2531,-1349,-857,-494,-118
Richmond County NY,36085,04/18/20,-834,-358,-231,-46,88
Westchester County NY,36119,04/18/20,-2261,-1535,-1105,-724,-340
Bergen County NJ,34003,04/18/20,-1455,-681,-369,-78,146
Hudson County NJ,34017,04/18/20,-434,-210,-122,-44,19
Passaic County NJ,34031,04/18/20,-441,-174,-93,-7,99
Putnam County NY,36079,04/18/20,-159,-64,-39,-23,2
Rockland County NY,36087,04/18/20,-946,-676,-541,-390,-196
Kings County NY,36047,04/19/20,-5216,-2997,-1936,-1208,-613
Queens County NY,36081,04/19/20,-5552,-3259,-2203,-1728,-788
New York County NY,36061,04/19/20,-2096,-971,35,527,1392
Bronx County NY,36005,04/19/20,-2887,-1521,-955,-585,-146
Richmond County NY,36085,04/19/20,-925,-418,-266,-60,81
Westchester County NY,36119,04/19/20,-2369,-1616,-1215,-803,-356
Bergen County NJ,34003,04/19/20,-1683,-761,-440,-121,112
Hudson County NJ,34017,04/19/20,-488,-240,-145,-56,8
Passaic County NJ,34031,04/19/20,-501,-214,-114,-23,92
Putnam County NY,36079,04/19/20,-167,-71,-46,-30,0
Rockland County NY,36087,04/19/20,-1021,-734,-573,-408,-196
Kings County NY,36047,04/20/20,-5860,-3242,-2040,-1307,-653
Queens County NY,36081,04/20/20,-6089,-3446,-2409,-1793,-830
New York County NY,36061,04/20/20,-2337,-1174,-62,433,1347
Bronx County NY,36005,04/20/20,-3276,-1714,-1051,-649,-132
Richmond County NY,36085,04/20/20,-976,-472,-298,-77,71
Westchester County NY,36119,04/20/20,-2509,-1700,-1291,-854,-345
Bergen County NJ,34003,04/20/20,-1879,-856,-501,-165,87
Hudson County NJ,34017,04/20/20,-557,-284,-168,-64,-2
Passaic County NJ,34031,04/20/20,-594,-242,-130,-42,89
Putnam County NY,36079,04/20/20,-195,-83,-51,-36,-1
Rockland County NY,36087,04/20/20,-1114,-793,-605,-432,-207
Kings County NY,36047,04/21/20,-6471,-3397,-2194,-1392,-687
Queens County NY,36081,04/21/20,-6707,-3644,-2539,-1887,-819
New York County NY,36061,04/21/20,-2622,-1351,-207,399,1321
Bronx County NY,36005,04/21/20,-3631,-1910,-1130,-714,-136
Richmond County NY,36085,04/21/20,-1084,-520,-312,-107,67
Westchester County NY,36119,04/21/20,-2578,-1825,-1356,-892,-331
Bergen County NJ,34003,04/21/20,-2126,-955,-554,-199,91
Hudson County NJ,34017,04/21/20,-653,-343,-194,-88,0
Passaic County NJ,34031,04/21/20,-675,-281,-141,-51,83
Putnam County NY,36079,04/21/20,-221,-90,-61,-34,-4
Rockland County NY,36087,04/21/20,-1197,-849,-635,-456,-222
Kings County NY,36047,04/22/20,-7078,-3525,-2244,-1461,-735
Queens County NY,36081,04/22/20,-7279,-3876,-2692,-1976,-817
New York County NY,36061,04/22/20,-2908,-1530,-356,370,1277
Bronx County NY,36005,04/22/20,-3899,-2089,-1236,-773,-159
Richmond County NY,36085,04/22/20,-1156,-581,-346,-122,54
Westchester County NY,36119,04/22/20,-2714,-1941,-1414,-899,-325
Bergen County NJ,34003,04/22/20,-2371,-1088,-588,-244,72
Hudson County NJ,34017,04/22/20,-738,-393,-231,-101,-12
Passaic County NJ,34031,04/22/20,-729,-309,-154,-65,79
Putnam County NY,36079,04/22/20,-237,-98,-68,-42,-4
Rockland County NY,36087,04/22/20,-1273,-904,-681,-472,-236
Kings County NY,36047,04/23/20,-7590,-3640,-2355,-1560,-693
Queens County NY,36081,04/23/20,-7625,-4152,-2871,-2097,-781
New York County NY,36061,04/23/20,-3188,-1697,-514,350,1276
Bronx County NY,36005,04/23/20,-4153,-2265,-1327,-825,-165
Richmond County NY,36085,04/23/20,-1214,-625,-375,-139,40
Westchester County NY,36119,04/23/20,-2776,-2036,-1451,-902,-310
Bergen County NJ,34003,04/23/20,-2598,-1198,-634,-266,55
Hudson County NJ,34017,04/23/20,-775,-436,-252,-119,-14
Passaic County NJ,34031,04/23/20,-782,-342,-176,-76,70
Putnam County NY,36079,04/23/20,-248,-108,-75,-49,-5
Rockland County NY,36087,04/23/20,-1341,-935,-712,-478,-244
Kings County NY,36047,04/24/20,-7864,-3825,-2469,-1651,-610
Queens County NY,36081,04/24/20,-7901,-4317,-3063,-2186,-770
New York County NY,36061,04/24/20,-3425,-1816,-625,275,1262
Bronx County NY,36005,04/24/20,-4497,-2444,-1390,-877,-172
Richmond County NY,36085,04/24/20,-1280,-677,-403,-145,38
Westchester County NY,36119,04/24/20,-2857,-2071,-1507,-909,-296
Bergen County NJ,34003,04/24/20,-2837,-1319,-702,-287,52
Hudson County NJ,34017,04/24/20,-840,-467,-265,-136,-9
Passaic County NJ,34031,04/24/20,-853,-367,-199,-93,67
Putnam County NY,36079,04/24/20,-264,-119,-77,-50,-4
Rockland County NY,36087,04/24/20,-1372,-979,-748,-496,-248
Kings County NY,36047,04/25/20,-8117,-4015,-2491,-1700,-614
Queens County NY,36081,04/25/20,-8228,-4528,-3130,-2262,-763
New York County NY,36061,04/25/20,-3670,-1915,-706,226,1220
Bronx County NY,36005,04/25/20,-4687,-2591,-1451,-915,-162
Richmond County NY,36085,04/25/20,-1344,-731,-433,-157,34
Westchester County NY,36119,04/25/20,-2981,-2086,-1543,-892,-294
Bergen County NJ,34003,04/25/20,-3101,-1444,-796,-325,27
Hudson County NJ,34017,04/25/20,-922,-513,-290,-153,-8
Passaic County NJ,34031,04/25/20,-907,-404,-217,-101,61
Putnam County NY,36079,04/25/20,-293,-125,-85,-54,-8
Rockland County NY,36087,04/25/20,-1426,-1025,-776,-514,-233
Kings County NY,36047,04/26/20,-8312,-4118,-2633,-1827,-636
Queens County NY,36081,04/26/20,-8368,-4662,-3234,-2312,-742
New York County NY,36061,04/26/20,-3854,-1913,-759,179,1189
Bronx County NY,36005,04/26/20,-4846,-2717,-1495,-953,-137
Richmond County NY,36085,04/26/20,-1414,-772,-453,-179,40
Westchester County NY,36119,04/26/20,-3060,-2105,-1545,-892,-277
Bergen County NJ,34003,04/26/20,-3311,-1573,-867,-353,22
Hudson County NJ,34017,04/26/20,-1024,-554,-313,-164,-15
Passaic County NJ,34031,04/26/20,-964,-426,-235,-121,62
Putnam County NY,36079,04/26/20,-312,-134,-90,-54,-5
Rockland County NY,36087,04/26/20,-1438,-1055,-799,-517,-221
Kings County NY,36047,04/27/20,-8505,-4109,-2679,-1887,-654
Queens County NY,36081,04/27/20,-8467,-4817,-3323,-2334,-713
New York County NY,36061,04/27/20,-4096,-2007,-818,155,1191
Bronx County NY,36005,04/27/20,-5054,-2784,-1517,-976,-108
Richmond County NY,36085,04/27/20,-1489,-830,-458,-200,45
Westchester County NY,36119,04/27/20,-3126,-2098,-1551,-881,-237
Bergen County NJ,34003,04/27/20,-3482,-1653,-892,-371,23
Hudson County NJ,34017,04/27/20,-1098,-586,-323,-184,-7
Passaic County NJ,34031,04/27/20,-1054,-453,-249,-127,63
Putnam County NY,36079,04/27/20,-324,-138,-94,-58,-10
Rockland County NY,36087,04/27/20,-1464,-1065,-813,-509,-211
Kings County NY,36047,04/28/20,-8579,-4189,-2692,-1894,-673
Queens County NY,36081,04/28/20,-8491,-4877,-3406,-2364,-658
New York County NY,36061,04/28/20,-4326,-2043,-856,150,1150
Bronx County NY,36005,04/28/20,-5159,-2869,-1565,-997,-90
Richmond County NY,36085,04/28/20,-1530,-849,-468,-205,34
Westchester County NY,36119,04/28/20,-3109,-2082,-1503,-863,-188
Bergen County NJ,34003,04/28/20,-3623,-1738,-949,-400,9
Hudson County NJ,34017,04/28/20,-1177,-618,-339,-203,-17
Passaic County NJ,34031,04/28/20,-1123,-477,-269,-135,63
Putnam County NY,36079,04/28/20,-331,-144,-99,-59,-10
Rockland County NY,36087,04/28/20,-1495,-1085,-803,-509,-191
Kings County NY,36047,04/29/20,-8543,-4243,-2727,-1890,-694
Queens County NY,36081,04/29/20,-8583,-5001,-3410,-2335,-640
New York County NY,36061,04/29/20,-4340,-2036,-898,144,1159
Bronx County NY,36005,04/29/20,-5211,-2918,-1650,-1034,-78
Richmond County NY,36085,04/29/20,-1555,-854,-471,-212,37
Westchester County NY,36119,04/29/20,-3113,-2036,-1450,-820,-141
Bergen County NJ,34003,04/29/20,-3655,-1833,-976,-438,2
Hudson County NJ,34017,04/29/20,-1234,-662,-349,-219,-22
Passaic County NJ,34031,04/29/20,-1151,-500,-291,-142,70
Putnam County NY,36079,04/29/20,-341,-146,-100,-63,-11
Rockland County NY,36087,04/29/20,-1503,-1091,-806,-520,-171
Kings County NY,36047,04/30/20,-8524,-4262,-2756,-1901,-669
Queens County NY,36081,04/30/20,-8655,-5071,-3430,-2346,-612
New York County NY,36061,04/30/20,-4281,-2024,-905,175,1137
Bronx County NY,36005,04/30/20,-5223,-2964,-1674,-1041,-61
Richmond County NY,36085,04/30/20,-1581,-877,-485,-228,35
Westchester County NY,36119,04/30/20,-3136,-1963,-1419,-795,-126
Bergen County NJ,34003,04/30/20,-3695,-1886,-1027,-450,-13
Hudson County NJ,34017,04/30/20,-1279,-680,-366,-231,-27
Passaic County NJ,34031,04/30/20,-1210,-514,-297,-147,65
Putnam County NY,36079,04/30/20,-345,-153,-102,-71,-6
Rockland County NY,36087,04/30/20,-1468,-1103,-802,-511,-165
Kings County NY,36047,05/01/20,-8376,-4348,-2817,-1845,-629
Queens County NY,36081,05/01/20,-8643,-5159,-3388,-2329,-599
New York County NY,36061,05/01/20,-4215,-2021,-906,222,1119
Bronx County NY,36005,05/01/20,-5212,-2998,-1665,-1047,-35
Richmond County NY,36085,05/01/20,-1578,-876,-498,-242,33
Westchester County NY,36119,05/01/20,-3028,-1911,-1392,-750,-110
Bergen County NJ,34003,05/01/20,-3745,-1945,-1055,-461,-14
Hudson County NJ,34017,05/01/20,-1334,-703,-383,-249,-35
Passaic County NJ,34031,05/01/20,-1226,-533,-325,-140,69
Putnam County NY,36079,05/01/20,-350,-153,-111,-68,-3
Rockland County NY,36087,05/01/20,-1449,-1101,-780,-505,-155
Kings County NY,36047,05/02/20,-8475,-4341,-2852,-1855,-586
Queens County NY,36081,05/02/20,-8609,-5170,-3323,-2330,-556
New York County NY,36061,05/02/20,-4096,-1962,-883,229,1115
Bronx County NY,36005,05/02/20,-5148,-3027,-1633,-1049,-18
Richmond County NY,36085,05/02/20,-1572,-885,-492,-268,40
Westchester County NY,36119,05/02/20,-3002,-1852,-1334,-714,-83
Bergen County NJ,34003,05/02/20,-3685,-1996,-1103,-486,7
Hudson County NJ,34017,05/02/20,-1395,-720,-396,-261,-32
Passaic County NJ,34031,05/02/20,-1295,-540,-332,-139,67
Putnam County NY,36079,05/02/20,-339,-155,-112,-69,-2
Rockland County NY,36087,05/02/20,-1457,-1083,-761,-483,-134
Kings County NY,36047,05/03/20,-8421,-4270,-2843,-1838,-547
Queens County NY,36081,05/03/20,-8489,-5107,-3328,-2285,-520
New York County NY,36061,05/03/20,-3948,-1929,-835,258,1145
Bronx County NY,36005,05/03/20,-4982,-3012,-1603,-1028,10
Richmond County NY,36085,05/03/20,-1558,-882,-505,-264,40
Westchester County NY,36119,05/03/20,-2887,-1764,-1267,-657,-57
Bergen County NJ,34003,05/03/20,-3653,-2052,-1114,-494,21
Hudson County NJ,34017,05/03/20,-1403,-718,-404,-259,-29
Passaic County NJ,34031,05/03/20,-1285,-563,-348,-152,64
Putnam County NY,36079,05/03/20,-332,-155,-111,-68,-1
Rockland County NY,36087,05/03/20,-1441,-1070,-755,-476,-124
Kings County NY,36047,05/04/20,-8416,-4213,-2785,-1750,-517
Queens County NY,36081,05/04/20,-8248,-5074,-3237,-2264,-469
New York County NY,36061,05/04/20,-3850,-1852,-789,270,1221
Bronx County NY,36005,05/04/20,-4833,-2920,-1563,-975,25
Richmond County NY,36085,05/04/20,-1550,-880,-489,-262,38
Westchester County NY,36119,05/04/20,-2668,-1668,-1193,-606,-46
