ds_uid,co_empc,co_fips,co_name,co_km2,co_lkm2,st_fips,st_abbr,st_name,Re_median,population,report,total,RxPop
1,75,12099,PALM BEACH,6172.36619852766,5090.92601786633,12,FL,FLORIDA,1.3,1496770,17339,79271,1945801
1,39,12011,BROWARD,3426.07308384759,3116.01969815697,12,FL,FLORIDA,1.25,1952778,27305,118284,2440972.5
1,24,12086,MIAMI-DADE,6296.7199214905,4917.27730771902,12,FL,FLORIDA,1.09,2716940,45386,167398,2961464.6
2,3,12085,MARTIN,1950.59534351967,1401.79176937749,12,FL,FLORIDA,1.47,161000,1501,7862,236670
2,75,12099,PALM BEACH,6172.36619852766,5090.92601786633,12,FL,FLORIDA,1.3,1496770,17339,79271,1945801
3,6,12127,VOLUSIA,3709.99431988029,2850.15901141719,12,FL,FLORIDA,1.45,553284,4688,24299,802261.8
3,9,12069,LAKE,2996.47516421937,2453.87806383478,12,FL,FLORIDA,1.43,367118,3283,16684,524978.74
3,31,12117,SEMINOLE,894.424220205568,794.572876060947,12,FL,FLORIDA,1.38,471826,4383,21673,651119.88
3,15,12095,ORANGE,2598.2841575349,2337.56625161779,12,FL,FLORIDA,1.32,1393452,15246,70627,1839356.64
3,2,12097,OSCEOLA,3900.61961689188,3432.36812695101,12,FL,FLORIDA,1.35,375751,4492,20715,507263.85
4,9,12083,MARION,4306.27626373792,4110.32038612202,12,FL,FLORIDA,1.49,365579,1955,10870,544712.71
4,9,12069,LAKE,2996.47516421937,2453.87806383478,12,FL,FLORIDA,1.43,367118,3283,16684,524978.74
4,2,12017,CITRUS,2002.69105800572,1495.6821333635,12,FL,FLORIDA,1.43,149657,1115,6185,214009.51
4,6,12119,SUMTER,1501.74130689923,1438.81297040469,12,FL,FLORIDA,0.88,132420,593,1699,116529.6
5,15,06071,SAN BERNARDINO,52071.994738706,51670.7374500804,06,CA,CALIFORNIA,1.36,2180085,16600,83055,2964915.6
5,7,06065,RIVERSIDE,18915.0966706574,18638.5336574268,06,CA,CALIFORNIA,1.35,2470546,22532,108398,3335237.1
5,181,06037,LOS ANGELES,12305.3492678773,10502.4237981177,06,CA,CALIFORNIA,1.17,10039107,119592,558469,11745755.19
5,143,06059,ORANGE,2455.29976965806,2051.24712796912,06,CA,CALIFORNIA,1.28,3175692,26371,116023,4064885.76
6,92,06073,SAN DIEGO,11721.3465296204,10898.1778928158,06,CA,CALIFORNIA,1.22,3338330,39853,179404,4072762.6
7,92,06073,SAN DIEGO,11721.3465296204,10898.1778928158,06,CA,CALIFORNIA,1.22,3338330,39853,179404,4072762.6
7,181,06037,LOS ANGELES,12305.3492678773,10502.4237981177,06,CA,CALIFORNIA,1.17,10039107,119592,558469,11745755.19
7,7,06065,RIVERSIDE,18915.0966706574,18638.5336574268,06,CA,CALIFORNIA,1.35,2470546,22532,108398,3335237.1
7,143,06059,ORANGE,2455.29976965806,2051.24712796912,06,CA,CALIFORNIA,1.28,3175692,26371,116023,4064885.76
7,15,06071,SAN BERNARDINO,52071.994738706,51670.7374500804,06,CA,CALIFORNIA,1.36,2180085,16600,83055,2964915.6
8,181,06037,LOS ANGELES,12305.3492678773,10502.4237981177,06,CA,CALIFORNIA,1.17,10039107,119592,558469,11745755.19
8,22,06111,VENTURA,5719.33619029149,4771.93507883694,06,CA,CALIFORNIA,1.25,846006,8578,42235,1057507.5
8,143,06059,ORANGE,2455.29976965806,2051.24712796912,06,CA,CALIFORNIA,1.28,3175692,26371,116023,4064885.76
9,293,21037,CAMPBELL,412.896758552051,391.966335385954,21,KY,KENTUCKY,1.27,93584,654,3042,118851.68
9,2861,21117,KENTON,425.527770160103,415.114948621648,21,KY,KENTUCKY,1.24,166998,831,4034,207077.52
9,13,21191,PENDLETON,730.164733997042,717.836455118984,21,KY,KENTUCKY,1.19,14590,10,63,17362.1
9,12,21081,GRANT,675.401211707807,668.162533073186,21,KY,KENTUCKY,1.08,25069,113,480,27074.52
9,2,39027,CLINTON,1067.83891826591,1058.48757346534,39,OH,OHIO,1.32,41968,220,1242,55397.76
9,420,21015,BOONE,664.355026129267,637.873303458277,21,KY,KENTUCKY,1.18,133581,501,2337,157625.58
9,510,39061,HAMILTON,1068.72687719924,1051.39392490815,39,OH,OHIO,1.29,817473,5818,28052,1054540.17
9,9,39057,GREENE,1078.0982972971,1071.28190505681,39,OH,OHIO,1.4,168937,1086,5811,236511.8
