ds_uid,co_empc,co_fips,co_name,co_km2,co_lkm2,st_fips,st_abbr,st_name,Re_median,population,wkno,report,total,RxPop
1,75,12099,PALM BEACH,6172.36619852766,5090.92601786633,12,FL,FLORIDA,1.19,1496770,1,794,3309,1781156.3
1,75,12099,PALM BEACH,6172.36619852766,5090.92601786633,12,FL,FLORIDA,1.19,1496770,2,880,3886,1781156.3
1,75,12099,PALM BEACH,6172.36619852766,5090.92601786633,12,FL,FLORIDA,1.19,1496770,3,1046,5118,1781156.3
1,39,12011,BROWARD,3426.07308384759,3116.01969815697,12,FL,FLORIDA,1.19,1952778,1,1118,5096,2323805.82
1,39,12011,BROWARD,3426.07308384759,3116.01969815697,12,FL,FLORIDA,1.19,1952778,2,1308,6603,2323805.82
1,39,12011,BROWARD,3426.07308384759,3116.01969815697,12,FL,FLORIDA,1.19,1952778,3,1676,8882,2323805.82
1,24,12086,MIAMI-DADE,6296.7199214905,4917.27730771902,12,FL,FLORIDA,1.17,2716940,1,2113,9292,3178819.8
1,24,12086,MIAMI-DADE,6296.7199214905,4917.27730771902,12,FL,FLORIDA,1.17,2716940,2,2412,11008,3178819.8
1,24,12086,MIAMI-DADE,6296.7199214905,4917.27730771902,12,FL,FLORIDA,1.17,2716940,3,2832,14157,3178819.8
2,3,12085,MARTIN,1950.59534351967,1401.79176937749,12,FL,FLORIDA,1.25,161000,1,75,337,201250
2,3,12085,MARTIN,1950.59534351967,1401.79176937749,12,FL,FLORIDA,1.25,161000,2,88,429,201250
2,3,12085,MARTIN,1950.59534351967,1401.79176937749,12,FL,FLORIDA,1.25,161000,3,103,542,201250
2,75,12099,PALM BEACH,6172.36619852766,5090.92601786633,12,FL,FLORIDA,1.19,1496770,1,794,3309,1781156.3
2,75,12099,PALM BEACH,6172.36619852766,5090.92601786633,12,FL,FLORIDA,1.19,1496770,2,880,3886,1781156.3
2,75,12099,PALM BEACH,6172.36619852766,5090.92601786633,12,FL,FLORIDA,1.19,1496770,3,1046,5118,1781156.3
3,6,12127,VOLUSIA,3709.99431988029,2850.15901141719,12,FL,FLORIDA,1.2,553284,1,247,1111,663940.8
3,6,12127,VOLUSIA,3709.99431988029,2850.15901141719,12,FL,FLORIDA,1.2,553284,2,279,1310,663940.8
3,6,12127,VOLUSIA,3709.99431988029,2850.15901141719,12,FL,FLORIDA,1.2,553284,3,328,1616,663940.8
3,9,12069,LAKE,2996.47516421937,2453.87806383478,12,FL,FLORIDA,1.25,367118,1,195,812,458897.5
3,9,12069,LAKE,2996.47516421937,2453.87806383478,12,FL,FLORIDA,1.25,367118,2,213,1000,458897.5
3,9,12069,LAKE,2996.47516421937,2453.87806383478,12,FL,FLORIDA,1.25,367118,3,266,1313,458897.5
3,31,12117,SEMINOLE,894.424220205568,794.572876060947,12,FL,FLORIDA,1.26,471826,1,215,997,594500.76
3,31,12117,SEMINOLE,894.424220205568,794.572876060947,12,FL,FLORIDA,1.26,471826,2,255,1293,594500.76
3,31,12117,SEMINOLE,894.424220205568,794.572876060947,12,FL,FLORIDA,1.26,471826,3,331,1733,594500.76
3,15,12095,ORANGE,2598.2841575349,2337.56625161779,12,FL,FLORIDA,1.22,1393452,1,582,2362,1700011.44
3,15,12095,ORANGE,2598.2841575349,2337.56625161779,12,FL,FLORIDA,1.22,1393452,2,653,2933,1700011.44
3,15,12095,ORANGE,2598.2841575349,2337.56625161779,12,FL,FLORIDA,1.22,1393452,3,784,3816,1700011.44
3,2,12097,OSCEOLA,3900.61961689188,3432.36812695101,12,FL,FLORIDA,1.27,375751,1,196,949,477203.77
3,2,12097,OSCEOLA,3900.61961689188,3432.36812695101,12,FL,FLORIDA,1.27,375751,2,245,1274,477203.77
3,2,12097,OSCEOLA,3900.61961689188,3432.36812695101,12,FL,FLORIDA,1.27,375751,3,322,1752,477203.77
4,9,12083,MARION,4306.27626373792,4110.32038612202,12,FL,FLORIDA,1.25,365579,1,172,765,456973.75
4,9,12083,MARION,4306.27626373792,4110.32038612202,12,FL,FLORIDA,1.25,365579,2,202,1007,456973.75
4,9,12083,MARION,4306.27626373792,4110.32038612202,12,FL,FLORIDA,1.25,365579,3,262,1395,456973.75
4,9,12069,LAKE,2996.47516421937,2453.87806383478,12,FL,FLORIDA,1.25,367118,1,195,812,458897.5
4,9,12069,LAKE,2996.47516421937,2453.87806383478,12,FL,FLORIDA,1.25,367118,2,213,1000,458897.5
4,9,12069,LAKE,2996.47516421937,2453.87806383478,12,FL,FLORIDA,1.25,367118,3,266,1313,458897.5
4,2,12017,CITRUS,2002.69105800572,1495.6821333635,12,FL,FLORIDA,1.14,149657,1,66,260,170608.98
4,2,12017,CITRUS,2002.69105800572,1495.6821333635,12,FL,FLORIDA,1.14,149657,2,69,288,170608.98
4,2,12017,CITRUS,2002.69105800572,1495.6821333635,12,FL,FLORIDA,1.14,149657,3,74,351,170608.98
4,6,12119,SUMTER,1501.74130689923,1438.81297040469,12,FL,FLORIDA,0.72,132420,1,68,187,95342.4
4,6,12119,SUMTER,1501.74130689923,1438.81297040469,12,FL,FLORIDA,0.72,132420,2,54,125,95342.4
4,6,12119,SUMTER,1501.74130689923,1438.81297040469,12,FL,FLORIDA,0.72,132420,3,40,85,95342.4
5,15,06071,SAN BERNARDINO,52071.994738706,51670.7374500804,06,CA,CALIFORNIA,1.18,2180085,1,1172,5641,2572500.3
5,15,06071,SAN BERNARDINO,52071.994738706,51670.7374500804,06,CA,CALIFORNIA,1.18,2180085,2,1436,6835,2572500.3
5,15,06071,SAN BERNARDINO,52071.994738706,51670.7374500804,06,CA,CALIFORNIA,1.18,2180085,3,1731,8077,2572500.3
5,7,06065,RIVERSIDE,18915.0966706574,18638.5336574268,06,CA,CALIFORNIA,1.17,2470546,1,1182,5435,2890538.82
5,7,06065,RIVERSIDE,18915.0966706574,18638.5336574268,06,CA,CALIFORNIA,1.17,2470546,2,1390,6261,2890538.82
5,7,06065,RIVERSIDE,18915.0966706574,18638.5336574268,06,CA,CALIFORNIA,1.17,2470546,3,1655,7602,2890538.82
5,181,06037,LOS ANGELES,12305.3492678773,10502.4237981177,06,CA,CALIFORNIA,0.97,10039107,1,7498,26541,9737933.79
5,181,06037,LOS ANGELES,12305.3492678773,10502.4237981177,06,CA,CALIFORNIA,0.97,10039107,2,6981,26788,9737933.79
5,181,06037,LOS ANGELES,12305.3492678773,10502.4237981177,06,CA,CALIFORNIA,0.97,10039107,3,6933,27217,9737933.79
5,143,06059,ORANGE,2455.29976965806,2051.24712796912,06,CA,CALIFORNIA,1.08,3175692,1,1341,5412,3429747.36
5,143,06059,ORANGE,2455.29976965806,2051.24712796912,06,CA,CALIFORNIA,1.08,3175692,2,1425,6026,3429747.36
5,143,06059,ORANGE,2455.29976965806,2051.24712796912,06,CA,CALIFORNIA,1.08,3175692,3,1595,6637,3429747.36
6,92,06073,SAN DIEGO,11721.3465296204,10898.1778928158,06,CA,CALIFORNIA,1.14,3338330,1,2364,10976,3805696.2
6,92,06073,SAN DIEGO,11721.3465296204,10898.1778928158,06,CA,CALIFORNIA,1.14,3338330,2,2812,12602,3805696.2
6,92,06073,SAN DIEGO,11721.3465296204,10898.1778928158,06,CA,CALIFORNIA,1.14,3338330,3,3304,14543,3805696.2
