ds_uid,population,report,total,report_per_100K,total_per_100K,weightedR
1,6166488,10643,39592,172.594189755984,642.051034559704,0.965460696590993
2,1657770,2743,11131,165.463242790013,671.444168973983,1.04417289491305
3,3161431,3293,12026,104.161691335348,380.397358031853,0.965727615121127
4,1014774,1426,5214,140.523899902836,513.808986040241,0.958433424585179
5,17865430,25125,80089,140.634734232537,448.290357410933,0.903908137671469
6,3338330,4714,12027,141.208328715256,360.26995533695,0.95
7,21203760,29839,92116,140.725041219105,434.43238369044,0.911164862269711
8,14060805,20358,64937,144.785451473084,461.82988811807,0.900496576120642
9,2968995,7848,29228,264.33186987516,984.440862985623,0.992574881399261
10,1642280,3708,14026,225.783666609835,854.056555520374,0.988358117982317
11,1123674,2629,9587,233.964655229186,853.183396607913,1.01648435400303
12,3955981,8868,34866,224.166900700484,881.349025690467,1.04300376063485
13,5779342,9856,34944,170.538445380114,604.636306347678,0.992131124961977
14,10053584,15777,54711,156.929111051342,544.193990919059,0.978455450315032
15,5134454,10444,38529,203.410138643758,750.401113730886,0.971621358376178
16,5419542,11039,40788,203.688798795175,752.609722371374,0.972819040797174
17,3198730,7005,25759,218.993162911531,805.288348813435,0.977154567594014
18,6904927,14630,54520,211.877692551999,789.581120843131,0.968657273277473
19,2253905,7991,29343,354.540231287477,1301.87385892484,0.981889525068714
20,4678602,18389,65904,393.044759951798,1408.62591004749,0.962337779533288
21,3973984,15035,53750,378.335695362639,1352.54696546337,0.962130760969345
22,3019043,8083,29983,267.733848110146,993.129279708835,0.955555800298306
23,8788947,27420,91255,311.982766536196,1038.29275566231,0.903652513776679
24,7428596,15347,49909,206.593547421343,671.849700804836,0.886379983512362
25,16133150,82894,320981,513.81162389242,1989.57426169099,1.013775366249
26,17037944,89998,345834,528.221010704108,2029.78716211299,1.01258704806167
27,16111549,87764,337532,544.727263654165,2094.96926707668,1.01248498266678
28,13266298,76664,300907,577.88540555926,2268.20624713843,1.03958698575895
29,2971545,8687,28653,292.339506889514,964.245872096839,0.917421126047225
30,3904809,13795,56864,353.282324436355,1456.25560686835,1.09301638057073
31,5411658,19254,79282,355.787449982981,1465.0223646801,1.09511858288162
32,4976483,17868,77201,359.048749890234,1551.31646184665,1.09617351249869
33,7407171,26696,112406,360.407502405439,1517.52943195182,1.09796958649935
34,4260729,17124,76734,401.903054618118,1800.9594132835,1.11733941304411
35,4225240,16401,53024,388.167299372343,1254.93463093221,0.900781510636082
36,1155479,1020,3719,88.2750789932141,321.857861544866,0.933331103377906
37,2308963,2660,9675,115.20323192706,419.019274020415,0.966985872012674
38,1090162,1441,5038,132.182189436065,462.133150852809,0.942314564257422
39,3000911,3348,12038,111.566121087896,401.144852346504,0.948849929238155
40,2448737,3471,13684,141.746541176125,558.818688981299,0.997469279061002
41,7121308,4475,13401,62.839579470513,188.181721672479,0.838412347843963
42,2227083,3341,13619,150.016860619923,611.517397420752,1.08661518228104
43,1530304,1743,6031,113.898937727406,394.104700765338,0.955944328708544
