ds_uid,population,report,total,report_per_100K,total_per_100K,weightedR,report_1,report_2,report_3,total_1,total_2,total_3,report_per_100K_1,report_per_100K_2,report_per_100K_3,total_per_100K_1,total_per_100K_2,total_per_100K_3
1,6166488,90321,267847,1464.70730178993,4343.59071160116,0.899531263176057,32856,31297,26168,116594,87221,64032,532.815437247263,507.533623676881,424.358240865789,1890.76829469221,1414.43557499828,1038.38684191066
2,1657770,45884,116248,2767.8145943044,7012.31171996115,0.846510131079703,17966,16064,11854,58331,36900,21017,1083.74503097535,969.012589201156,715.056974127895,3518.64251373834,2225.88175681789,1267.78744940492
3,3161431,23924,87639,756.745916643444,2772.13072181553,1.01461314512321,7682,8172,8070,30999,29456,27184,242.991227706694,258.490537987386,255.264150949364,980.536978349361,931.729966587915,859.863776878255
4,1014774,7692,28146,758.00128895695,2773.62250116775,0.982773474685004,2521,2612,2559,9880,9459,8807,248.429699617846,257.397213566765,252.174375772339,973.615800168313,932.128730140898,867.877970858536
5,17865430,97110,318373,543.563742938177,1782.06178076878,0.855629165376932,34488,33448,29174,128391,105763,84219,193.04321250594,187.221914054126,163.298616378111,718.65608608357,591.998065537745,471.407629147465
6,3338330,10823,26516,324.204018176753,794.289360248987,0.73,4588,3597,2638,12060,8516,5940,137.433986454305,107.748485020954,79.0215467014945,361.258473548151,255.097608684582,177.933278016254
7,21203760,107933,344889,509.027644153678,1626.54642384181,0.835850050179779,39076,37045,31812,140451,114279,90159,184.288069663116,174.709579810373,150.029994680189,662.387236980611,538.956298316902,425.202888544296
8,14060805,74461,242873,529.564274591675,1727.30508672868,0.839753461483891,26760,25597,22104,98817,80548,63508,190.31627278808,182.045053608239,157.202948195356,702.783375489526,572.854825879457,451.666885359693
9,2968995,16057,52725,540.82273631313,1775.85344535777,0.939831872401267,5804,5303,4950,19031,17591,16103,195.487025070773,178.612628178896,166.723083063461,640.991311874894,592.490051347341,542.372082135537
10,1642280,9050,30101,551.063156100056,1832.87868085832,0.946781870326619,3240,2985,2825,10785,10007,9309,197.286698979468,181.759505078306,172.016952042283,656.708965584431,609.335801446769,566.833913827118
11,1123674,2040,5870,181.547317104427,522.3935055897,0.848975014105514,794,674,572,2342,1950,1578,70.6610636180956,59.9818096707764,50.904443815555,208.423439538514,173.537876643938,140.432189407248
12,3955981,6531,19695,165.091793919132,497.853756122691,0.835737972452345,2514,2155,1862,7769,6466,5460,63.5493446505431,54.4744780119015,47.067971256687,196.386180823416,163.448712215756,138.018863083518
13,5779342,19469,57438,336.872259852419,993.850164949574,0.818829079504207,7364,6583,5522,23597,18738,15103,127.419349815256,113.905700683573,95.5472093535908,408.299076261623,324.223761113289,261.327327574662
14,10053584,36769,116095,365.730270916322,1154.76232157607,0.860797971151382,13300,12444,11025,45438,38351,32306,132.291131202564,123.776754637948,109.66238507581,451.958227036249,381.465952838311,321.338141701507
15,5134454,13461,39023,262.170037943665,760.022389917214,0.810239445128927,5239,4494,3728,15997,12828,10198,102.036165870801,87.5263465209738,72.6075255518893,311.56185253583,249.841560563207,198.618976818178
16,5419542,14134,41025,260.796945572154,756.982785630225,0.810829424331429,5484,4720,3930,16803,13493,10729,101.189362495945,87.0922303028559,72.5153527733524,310.044649529425,248.969377855177,197.968758245623
17,3198730,7210,20420,225.401956401447,638.3783564102,0.810605371506817,2862,2390,1958,8356,6719,5345,89.4730096006853,74.7171533702438,61.2117934305177,261.228675130442,210.052114432916,167.097566846842
18,6904927,21085,65373,305.361664214553,946.758741982356,0.837125669829674,8040,7031,6014,25864,21591,17918,116.438595223382,101.825841171094,87.0972278200769,374.573112793227,312.689764859208,259.49586432992
19,2253905,15705,61988,696.790681062423,2750.24901226982,1.05698713122337,4966,5237,5502,20180,20810,20998,220.328718379878,232.352295238708,244.109667443836,895.334985281101,923.286473919708,931.627553069007
