ds_uid,co_empc,co_fips,co_name,co_km2,co_lkm2,st_fips,st_abbr,st_name
1,75,12099,PALM BEACH,6172.36619852766,5090.92601786633,12,FL,FLORIDA
1,39,12011,BROWARD,3426.07308384759,3116.01969815697,12,FL,FLORIDA
1,24,12086,MIAMI-DADE,6296.7199214905,4917.27730771902,12,FL,FLORIDA
2,3,12085,MARTIN,1950.59534351967,1401.79176937749,12,FL,FLORIDA
2,75,12099,PALM BEACH,6172.36619852766,5090.92601786633,12,FL,FLORIDA
3,6,12127,VOLUSIA,3709.99431988029,2850.15901141719,12,FL,FLORIDA
3,9,12069,LAKE,2996.47516421937,2453.87806383478,12,FL,FLORIDA
3,31,12117,SEMINOLE,894.424220205568,794.5728760609469,12,FL,FLORIDA
3,15,12095,ORANGE,2598.2841575349,2337.56625161779,12,FL,FLORIDA
3,2,12097,OSCEOLA,3900.61961689188,3432.36812695101,12,FL,FLORIDA
4,9,12083,MARION,4306.276263737919,4110.32038612202,12,FL,FLORIDA
4,9,12069,LAKE,2996.47516421937,2453.87806383478,12,FL,FLORIDA
4,2,12017,CITRUS,2002.69105800572,1495.6821333635,12,FL,FLORIDA
4,6,12119,SUMTER,1501.74130689923,1438.81297040469,12,FL,FLORIDA
5,15,06071,SAN BERNARDINO,52071.994738706,51670.73745008039,06,CA,CALIFORNIA
5,7,06065,RIVERSIDE,18915.0966706574,18638.5336574268,06,CA,CALIFORNIA
5,181,06037,LOS ANGELES,12305.3492678773,10502.4237981177,06,CA,CALIFORNIA
5,143,06059,ORANGE,2455.29976965806,2051.24712796912,06,CA,CALIFORNIA
6,92,06073,SAN DIEGO,11721.3465296204,10898.1778928158,06,CA,CALIFORNIA
7,92,06073,SAN DIEGO,11721.3465296204,10898.1778928158,06,CA,CALIFORNIA
7,181,06037,LOS ANGELES,12305.3492678773,10502.4237981177,06,CA,CALIFORNIA
7,7,06065,RIVERSIDE,18915.0966706574,18638.5336574268,06,CA,CALIFORNIA
7,143,06059,ORANGE,2455.29976965806,2051.24712796912,06,CA,CALIFORNIA
