county,fips,Date,hosp_new_50
Autauga County AL,1001,6/5/2022,0
Baldwin County AL,1003,6/5/2022,3
Barbour County AL,1005,6/5/2022,0
Bibb County AL,1007,6/5/2022,0
Blount County AL,1009,6/5/2022,0
Bullock County AL,1011,6/5/2022,0
Butler County AL,1013,6/5/2022,0
Calhoun County AL,1015,6/5/2022,1
Chambers County AL,1017,6/5/2022,0
Cherokee County AL,1019,6/5/2022,0
Chilton County AL,1021,6/5/2022,0
Choctaw County AL,1023,6/5/2022,0
Clarke County AL,1025,6/5/2022,0
Clay County AL,1027,6/5/2022,0
Cleburne County AL,1029,6/5/2022,0
Coffee County AL,1031,6/5/2022,0
Colbert County AL,1033,6/5/2022,0
Conecuh County AL,1035,6/5/2022,0
Coosa County AL,1037,6/5/2022,0
Covington County AL,1039,6/5/2022,0
Crenshaw County AL,1041,6/5/2022,0
Cullman County AL,1043,6/5/2022,0
Dale County AL,1045,6/5/2022,0
Dallas County AL,1047,6/5/2022,0
DeKalb County AL,1049,6/5/2022,0
Elmore County AL,1051,6/5/2022,1
Escambia County AL,1053,6/5/2022,0
Etowah County AL,1055,6/5/2022,0
Fayette County AL,1057,6/5/2022,0
Franklin County AL,1059,6/5/2022,0
Geneva County AL,1061,6/5/2022,0
Greene County AL,1063,6/5/2022,0
Hale County AL,1065,6/5/2022,0
Henry County AL,1067,6/5/2022,0
Houston County AL,1069,6/5/2022,1
Jackson County AL,1071,6/5/2022,0
Jefferson County AL,1073,6/5/2022,9
Lamar County AL,1075,6/5/2022,0
Lauderdale County AL,1077,6/5/2022,1
Lawrence County AL,1079,6/5/2022,0
Lee County AL,1081,6/5/2022,2
Limestone County AL,1083,6/5/2022,1
Lowndes County AL,1085,6/5/2022,0
Macon County AL,1087,6/5/2022,0
Madison County AL,1089,6/5/2022,6
Marengo County AL,1091,6/5/2022,0
Marion County AL,1093,6/5/2022,0
Marshall County AL,1095,6/5/2022,0
Mobile County AL,1097,6/5/2022,2
Monroe County AL,1099,6/5/2022,0
Montgomery County AL,1101,6/5/2022,3
Morgan County AL,1103,6/5/2022,1
Perry County AL,1105,6/5/2022,0
Pickens County AL,1107,6/5/2022,0
Pike County AL,1109,6/5/2022,0
Randolph County AL,1111,6/5/2022,0
Russell County AL,1113,6/5/2022,0
St. Clair County AL,1115,6/5/2022,1
Shelby County AL,1117,6/5/2022,3
Sumter County AL,1119,6/5/2022,0
Talladega County AL,1121,6/5/2022,0
Tallapoosa County AL,1123,6/5/2022,0
Tuscaloosa County AL,1125,6/5/2022,3
Walker County AL,1127,6/5/2022,0
Washington County AL,1129,6/5/2022,0
Wilcox County AL,1131,6/5/2022,0
Winston County AL,1133,6/5/2022,0
Aleutians East Borough AK,2013,6/5/2022,0
Aleutians West Census Area AK,2016,6/5/2022,0
Anchorage Municipality AK,2020,6/5/2022,3
Bethel Census Area AK,2050,6/5/2022,0
Bristol Bay Borough AK,2060,6/5/2022,0
Denali Borough AK,2068,6/5/2022,0
Dillingham Census Area AK,2070,6/5/2022,0
