co_fips,week_1,week_2,week_3
01073,131,138,143
01115,20,23,29
01117,39,43,44
01125,27,31,33
04013,485,470,474
04015,28,28,28
04019,104,111,120
04021,45,43,37
04025,29,29,29
05035,7,7,7
05045,22,26,27
05053,0,0,0
05069,15,15,15
05085,14,15,14
05119,95,101,100
05125,23,25,27
06001,188,168,142
06005,0,0,0
06013,128,123,116
06017,14,13,13
06037,1599,1658,1543
06041,19,16,15
06053,41,49,56
06055,11,10,8
06057,7,6,6
06059,349,327,299
06061,28,28,30
06065,328,334,315
06067,141,134,123
06071,291,302,290
06073,489,510,488
06075,98,87,74
06077,74,78,83
06081,87,82,71
06083,47,46,41
06085,232,206,177
06087,33,34,34
06091,0,0,0
06095,41,38,35
06097,43,40,42
06101,7,7,7
06111,91,93,92
06113,21,13,7
06115,0,0,0
08001,55,52,47
08005,71,63,57
08013,38,34,30
08014,7,7,5
08019,0,0,0
08031,74,65,58
08035,35,32,28
08039,0,0,0
08041,78,81,76
08047,0,0,0
08059,54,47,42
08069,42,39,35
08119,0,0,0
08123,37,35,35
09001,100,92,91
09003,87,94,103
09005,14,14,14
09007,14,14,13
09009,98,96,92
09011,28,30,30
09013,9,8,8
09015,7,7,10
10003,90,99,105
11001,124,127,118
12009,131,129,120
12011,493,461,411
12017,32,35,37
12019,48,56,57
12021,52,50,49
12031,217,218,213
12057,352,351,333
12061,29,31,29
12069,75,74,76
12071,156,156,153
12081,89,93,91
12083,77,84,95
12085,27,23,22
12086,1056,955,789
12089,20,16,14
12095,307,303,279
12097,95,92,87
12099,313,300,277
12101,119,121,114
12103,213,204,194
12109,50,54,51
12111,71,64,60
12115,94,92,86
12117,93,90,86
12119,21,21,19
12127,106,117,120
13015,20,30,42
13051,56,62,72
13057,41,49,58
13063,51,59,69
13067,154,166,173
13085,5,5,3
13089,147,172,195
13097,32,36,40
13103,9,13,18
13113,23,21,21
13117,45,52,58
13121,198,210,214
13135,179,212,244
13139,41,45,49
13151,51,60,64
13223,30,33,37
13247,21,21,24
16001,77,68,63
16015,0,0,0
16027,30,37,46
16039,6,1,1
16045,0,0,0
17031,605,595,572
17037,13,13,11
17043,121,122,116
17089,61,66,67
17091,14,17,20
17093,14,14,14
17097,86,88,85
17111,34,36,35
17119,32,31,28
17133,0,0,0
17163,32,34,37
17197,88,86,82
18007,0,0,0
18011,6,7,7
18013,0,0,0
18015,0,2,7
18019,21,22,25
18023,2,5,7
18029,7,5,3
18039,17,18,20
18043,13,14,14
18045,0,0,0
18055,3,4,2
18057,35,41,41
18059,10,14,14
18061,0,0,0
18063,19,20,23
18071,7,11,12
18081,20,21,25
18085,7,10,12
18089,63,72,82
18091,13,14,11
18093,7,7,7
18095,17,19,21
18097,129,151,176
18099,0,0,0
18105,14,14,15
18107,7,6,7
18109,7,7,9
18119,0,0,0
18141,29,28,28
18145,7,10,14
18149,0,0,0
18157,27,25,25
18159,0,0,0
18171,0,0,0
18181,2,7,8
19085,0,0,0
19129,0,0,0
19155,13,15,22
20045,18,21,23
20091,82,88,91
20103,14,15,14
20121,0,0,1
20209,24,31,35
21015,18,21,21
21023,0,0,0
21029,8,8,9
21037,10,10,12
21077,0,0,0
21081,0,0,0
21103,0,0,0
21111,133,150,169
21117,19,23,22
21179,7,7,7
21185,7,7,7
21191,0,0,0
21211,7,7,7
21215,0,0,0
23001,7,7,4
23005,20,18,15
23023,0,0,0
23031,14,14,14
24003,54,49,51
24005,60,61,60
24009,6,6,7
24013,7,8,7
24015,7,6,7
24017,14,14,13
24021,20,20,21
24025,18,19,19
24027,37,35,31
24031,133,133,127
24033,101,104,100
24035,0,0,0
24043,8,14,15
24510,55,60,61
25001,34,39,44
25005,66,79,103
25009,107,142,187
25013,87,110,138
25017,236,296,383
25021,87,109,135
25023,61,75,99
25025,117,160,218
25027,92,127,166
26005,7,12,14
26015,2,4,4
26021,13,14,15
26027,0,0,0
26049,33,35,43
26067,1,5,7
26075,15,17,22
26081,71,63,60
26087,6,6,7
26091,7,7,11
26093,18,18,21
26099,103,116,124
26115,12,14,20
26121,15,14,17
26125,153,167,181
26139,21,23,27
26145,14,14,19
