co_fips,week_1,week_2,week_3
01073,703,920,1101
01115,71,99,133
01117,217,265,291
01125,213,234,210
04013,5000,5757,5546
04015,133,156,168
04019,1131,1326,1494
04021,389,482,473
04025,167,185,182
05035,39,47,53
05045,108,134,128
05053,4,7,7
05069,26,40,43
05085,45,53,54
05119,465,530,483
05125,74,78,75
06001,2162,1999,1713
06005,28,31,29
06013,1423,1417,1448
06017,153,158,156
06037,11763,12264,11293
06041,357,296,251
06053,331,372,455
06055,139,150,160
06057,75,84,100
06059,2756,3010,3004
06061,351,340,357
06065,1778,1781,1816
06067,1680,1728,1807
06071,1478,1640,1769
06073,3812,3983,3714
06075,1387,1288,1069
06077,634,753,935
06081,1231,1122,962
06083,434,411,357
06085,3063,2875,2563
06087,219,236,281
06091,0,0,0
06095,526,617,816
06097,564,552,561
06101,69,78,98
06111,786,725,660
06113,249,219,184
06115,7,7,7
08001,646,1023,1367
08005,1002,1415,1730
08013,648,787,829
08014,113,150,159
08019,7,7,7
08031,1257,1711,1990
08035,523,711,826
08039,14,21,28
08041,980,1394,1683
08047,0,1,5
08059,907,1202,1406
08069,613,816,918
08119,16,25,28
08123,417,582,734
09001,1387,926,508
09003,1345,958,599
09005,222,162,105
09007,278,196,122
09009,1229,769,428
09011,419,283,170
09013,172,121,78
09015,145,103,64
10003,892,696,528
11001,1306,1150,906
12009,1103,1307,1309
12011,5477,5988,5234
12017,198,226,217
12019,227,333,405
12021,592,592,513
12031,1302,1608,1664
12057,2451,2914,2958
12061,265,312,300
12069,591,670,647
12071,1294,1411,1298
12081,696,808,758
12083,348,434,460
12085,239,274,268
12086,10881,11697,10086
12089,110,136,134
12095,2956,3286,3042
12097,843,930,833
12099,3299,3545,3158
12101,891,1016,997
12103,1748,1982,1865
12109,397,471,487
12111,448,513,505
12115,856,976,934
12117,802,949,912
12119,187,186,144
12127,800,946,946
13015,63,69,72
13051,247,352,456
13057,235,273,286
13063,249,264,269
13067,885,954,901
13085,14,14,13
13089,1013,1019,953
13097,139,167,180
13103,29,58,101
13113,142,156,156
13117,245,267,250
13121,1389,1504,1459
13135,911,990,1014
13139,92,112,143
13151,229,266,279
13223,112,119,132
13247,86,101,114
16001,584,659,613
16015,0,0,0
16027,122,156,169
16039,36,44,45
16045,0,2,0
17031,6119,5493,4700
17037,121,107,91
17043,1230,1065,861
17089,537,466,371
17091,99,109,110
17093,170,144,112
17097,948,826,642
17111,320,261,211
17119,259,278,274
17133,23,28,28
17163,296,292,268
17197,815,732,603
18007,6,7,5
18011,69,71,64
18013,7,7,7
18015,5,7,7
18019,127,162,180
18023,22,28,28
18029,45,41,35
18039,87,93,98
18043,88,97,99
18045,11,11,7
18055,25,28,28
18057,358,313,248
18059,57,50,49
18061,7,7,7
18063,150,147,144
18071,28,28,21
18081,125,124,131
18085,35,35,37
18089,570,530,471
18091,144,142,120
18093,42,31,24
18095,103,97,74
18097,762,733,650
18099,8,9,8
18105,125,128,118
18107,23,28,31
18109,46,41,32
18119,16,12,7
18141,253,261,232
18145,39,47,44
18149,14,14,10
18157,220,197,148
18159,0,0,0
18171,0,0,0
18181,16,21,30
19085,0,0,0
19129,6,7,7
19155,37,48,53
20045,152,165,180
20091,654,720,678
20103,64,68,67
20121,28,33,29
20209,101,118,125
21015,99,117,126
21023,0,0,0
21029,117,102,76
21037,94,104,105
21077,0,0,0
21081,25,27,27
21103,38,30,14
21111,1255,1155,1049
21117,130,141,142
21179,46,51,49
21185,85,78,63
21191,1,7,7
21211,63,53,46
21215,21,21,15
23001,85,63,45
23005,295,198,141
23023,18,12,7
23031,222,148,97
24003,459,394,337
24005,598,482,394
24009,55,50,45
24013,96,85,80
24015,62,53,38
24017,151,141,138
24021,184,172,168
24025,147,128,111
24027,287,258,244
24031,1325,1087,880
24033,711,678,655
24035,21,27,28
24043,65,66,69
24510,514,465,420
25001,242,187,138
25005,598,446,312
25009,934,710,473
25013,687,489,325
25017,2358,1807,1278
25021,887,698,496
25023,517,399,287
25025,1039,854,627
25027,878,660,480
26005,80,69,59
26015,33,25,20
26021,90,85,76
26027,14,15,14
26049,421,355,288
26067,45,39,37
26075,145,126,101
26081,554,491,413
26087,54,50,44
26091,104,77,48
26093,188,148,117
26099,1079,851,631
26115,188,143,106
26121,126,112,95
26125,1658,1350,982
26139,214,184,162
26145,220,193,158
26155,59,47,38
26157,39,31,28
26161,654,542,408
26163,2251,1733,1233
27003,300,296,256
27019,85,83,71
27037,453,449,381
27053,1497,1381,1146
27123,585,566,461
27131,42,36,29
27139,132,129,116
27141,64,57,44
27163,265,258,236
27171,80,82,71
28033,167,224,266
28093,24,30,35
28137,13,10,7
29037,97,125,130
29047,145,147,139
29071,121,133,137
29095,620,523,457
29099,352,396,420
29113,56,53,48
29165,55,63,53
29183,689,803,893
29189,2077,2168,1930
29510,611,662,704
31025,15,21,21
31053,16,21,28
31055,493,586,589
31109,318,372,374
31153,163,190,202
31155,7,13,14
31177,8,14,14
32003,3181,3465,3277
32005,42,43,38
32019,0,0,0
32029,0,0,0
32031,603,704,698
32510,43,50,50
33001,71,62,43
33009,114,94,64
33011,413,306,199
33013,139,103,66
33015,368,269,172
33017,142,112,78
34001,327,285,238
34003,1349,1130,873
34005,612,502,399
34007,661,537,397
34011,154,149,137
34013,1067,878,634
34015,341,281,223
34017,952,823,631
34019,159,119,85
34021,521,429,315
34023,1210,1024,777
34025,904,699,475
34027,709,563,413
34029,715,574,426
34031,637,533,421
34033,49,48,42
34035,441,355,285
34037,154,118,86
34039,684,575,437
34041,116,92,70
35001,702,868,1014
35043,164,190,205
35049,205,238,256
35057,7,7,5
35061,52,64,73
36001,291,206,147
36005,1478,1265,1004
36021,45,31,26
36037,34,20,14
36039,23,18,14
36047,3301,2735,2078
36051,28,18,11
36055,456,313,210
36057,44,27,18
36059,1940,1601,1236
36061,2380,2209,2034
36069,57,40,31
36071,34,29,35
36079,108,78,55
36081,3040,2638,2163
36083,168,134,100
36085,813,612,415
36087,317,254,200
36091,224,161,106
