fips,Scenario_1_sum,Scenario_1_diff,Scenario_2_sum,Scenario_2_diff,Scenario_3_sum,Scenario_3_diff
01001,742,15,742,13,725,13
01003,2388,36,2406,28,2335,29
01005,76,-2,80,-2,75,-3
01007,106,-2,113,-1,106,-2
01009,336,12,323,8,330,9
01011,67,-4,70,-3,68,-3
01013,35,-2,35,-2,36,-2
01015,1190,67,1085,38,1165,54
01017,139,-2,149,-1,136,-3
01019,69,1,65,1,66,1
01021,272,13,252,8,261,11
01023,13,-1,14,0,7,-1
01025,45,-3,47,-3,45,-3
01027,37,-2,38,-2,38,-2
01029,0,0,0,0,0,0
01031,379,3,382,3,373,2
01033,433,7,439,6,428,6
01035,26,0,25,0,22,0
01037,100,5,93,3,100,4
01039,407,18,388,12,402,16
01041,52,-3,54,-2,50,-3
01043,1035,27,1018,20,1002,25
01045,420,8,416,7,415,9
01047,302,9,299,7,296,7
01049,141,0,135,1,133,0
01051,1173,36,1119,24,1138,30
01053,361,10,359,10,352,9
01055,443,4,445,4,435,5
01057,25,0,24,0,26,1
01059,77,-4,86,-3,78,-4
01061,172,4,165,2,164,4
01063,21,0,21,0,21,0
01065,55,0,59,1,54,0
01067,0,0,0,0,0,0
01069,681,10,675,6,663,7
01071,121,-3,127,-2,121,-2
01073,6812,55,6883,59,6678,33
01075,44,0,42,0,44,0
01077,839,19,816,11,821,18
01079,187,5,182,4,179,3
01081,1753,79,1604,45,1706,75
01083,841,12,834,12,815,13
01085,80,2,77,1,74,0
01087,47,-3,51,-3,45,-3
01089,2626,14,2659,14,2583,8
01091,60,-2,64,-2,55,-3
01093,139,2,133,1,133,1
01095,658,25,612,15,631,24
01097,4394,163,4170,107,4264,140
01099,239,12,208,8,227,10
01101,2628,43,2609,34,2567,34
01103,1267,26,1235,21,1240,23
01105,11,-1,12,0,11,-1
01107,44,-3,45,-3,46,-3
01109,47,-3,51,-2,46,-3
01111,183,10,183,7,182,9
01113,479,20,441,15,455,20
01115,1355,56,1256,32,1314,45
01117,1892,27,1857,18,1859,20
01119,37,0,36,-1,36,0
01121,47,1,43,0,46,0
01123,21,0,21,0,21,0
01125,4080,124,4053,105,3999,110
01127,695,28,660,18,672,22
01129,2,-1,5,0,2,-1
01131,36,1,37,1,35,1
01133,247,5,246,4,246,6
02013,0,0,0,0,0,0
02016,0,0,0,0,0,0
02020,2318,-23,2399,-16,2286,-31
02050,127,-4,125,-3,127,-4
02060,0,0,0,0,0,0
02068,39,-1,42,-1,40,-1
02070,0,0,0,0,0,0
02090,925,3,947,5,907,0
02100,0,0,0,0,0,0
02105,0,0,0,0,0,0
02110,367,-5,388,-2,364,-5
02122,571,-1,586,2,564,-2
02130,125,-4,131,-2,126,-4
02150,132,0,133,1,125,-1
02158,41,0,42,0,41,-1
02164,0,0,0,0,0,0
02170,740,4,750,5,727,2
02180,19,-1,21,0,20,0
02185,91,-2,96,-1,91,-2
02188,16,-1,21,0,12,-1
02195,0,0,0,0,0,0
02198,29,-1,34,-1,31,-1
02220,33,-1,37,-1,33,-1
02230,44,-5,44,-4,43,-5
02240,30,-1,31,-1,30,-1
02261,0,0,0,0,0,0
02275,0,0,0,0,0,0
02282,0,0,0,0,0,0
02290,0,0,0,0,0,0
04001,1269,45,1195,28,1242,44
04003,863,-3,888,-1,840,-8
04005,1461,4,1505,6,1442,0
04007,272,0,279,0,265,-2
04009,89,0,86,-1,90,0
04011,16,0,13,0,12,0
04012,46,-3,48,-3,44,-4
04013,35442,491,34965,310,34746,374
04015,1448,23,1459,18,1414,17
04017,920,-8,967,-3,912,-11
04019,12003,436,11367,266,11714,382
04021,2253,-69,2402,-41,2247,-69
04023,428,19,384,12,410,18
04025,1428,19,1428,15,1399,14
04027,551,16,529,9,541,17
05001,152,5,146,4,147,5
05003,148,6,143,3,144,5
05005,393,11,387,8,379,11
05007,1447,35,1406,18,1422,27
05009,249,10,237,6,241,7
05011,55,1,56,1,54,1
05013,0,0,0,0,0,0
05015,215,14,182,7,206,11
05017,16,1,15,1,13,1
05019,124,3,124,2,121,2
05021,53,1,56,1,51,0
05023,88,2,86,2,83,2
05025,31,1,33,1,34,1
05027,64,0,64,0,67,1
05029,124,5,117,3,119,4
05031,1498,72,1372,45,1457,68
05033,488,26,439,15,477,22
05035,396,6,392,4,398,4
05037,208,14,183,8,194,12
05039,0,0,3,1,1,0
05041,64,3,60,2,69,4
05043,76,4,69,2,69,4
05045,1080,26,1076,18,1062,22
05047,57,4,52,2,57,4
05049,58,3,53,2,56,3
05051,644,32,592,22,628,30
05053,70,2,68,0,74,1
05055,482,21,440,10,467,17
05057,220,14,203,8,220,13
05059,244,11,234,7,238,10
05061,25,1,25,0,24,1
05063,156,4,152,3,154,3
05065,45,0,44,0,45,1
05067,101,4,96,4,99,4
05069,626,27,589,17,619,26
05071,123,7,116,4,120,5
05073,0,0,0,0,0,0
05075,138,6,122,3,127,5
05077,42,2,32,1,36,2
05079,26,1,28,0,24,0
05081,26,1,21,0,24,1
05083,46,2,44,2,49,3
05085,435,9,421,7,418,8
05087,95,4,86,1,88,2
05089,86,5,74,3,82,5
05091,56,-4,61,-3,55,-4
05093,217,5,216,3,217,5
05095,0,0,2,0,0,0
05097,0,0,0,0,0,0
05099,32,1,33,1,34,1
05101,0,0,0,0,0,0
05103,169,4,168,4,167,3
05105,21,0,21,0,21,0
05107,72,1,73,1,72,0
05109,24,2,19,1,21,1
05111,9,1,7,1,8,1
05113,17,1,19,1,18,1
05115,253,11,235,6,243,10
05117,28,1,26,1,27,1
05119,3381,46,3359,35,3317,46
05121,44,0,46,1,44,0
05123,73,-4,77,-3,72,-4
05125,756,24,732,18,748,24
05127,21,0,22,0,22,0
05129,17,-1,17,0,18,0
05131,995,42,940,28,978,40
05133,110,2,111,3,108,2
05135,159,2,156,1,156,1
05137,71,2,70,1,69,2
05139,228,11,213,6,229,10
05141,86,3,78,1,85,3
05143,1347,38,1292,22,1311,32
05145,633,17,614,10,617,14
05147,20,0,21,0,20,0
05149,34,2,32,1,31,1
06001,14878,-65,15494,23,14688,-88
06003,0,0,0,0,0,0
06005,481,1,503,4,473,0
06007,2776,89,2741,80,2687,81
06009,390,13,379,9,374,10
06011,197,9,186,6,191,8
06013,13295,68,13853,148,13086,57
06015,390,9,395,9,387,7
06017,1977,67,1965,55,1945,61
06019,12405,272,12416,252,12134,237
06021,292,9,288,9,286,9
06023,2389,44,2417,44,2348,43
06025,3314,90,3346,84,3242,82
06027,83,0,84,0,81,-1
06029,9660,129,9726,117,9489,101
06031,2068,55,2072,50,2037,50
06033,712,18,703,15,706,16
06035,120,-3,128,-2,120,-3
06037,80349,-1102,83958,-515,79425,-1162
06039,3012,112,2955,97,2933,103
06041,2414,-10,2518,0,2368,-16
06043,196,-1,199,0,189,-2
06045,967,8,1004,13,954,6
06047,3956,140,3849,110,3840,125
06049,0,0,0,0,0,0
06051,24,-1,25,-1,26,-1
06053,6553,173,6560,170,6421,159
06055,1340,-2,1380,4,1309,-8
06057,1107,45,1059,33,1074,38
06059,29565,252,30382,339,29088,183
06061,4487,169,4296,120,4373,148
06063,122,1,123,1,120,1
06065,23541,546,23486,477,22979,469
06067,16530,184,16809,192,16226,146
06069,843,9,862,9,829,6
06071,22428,320,22689,288,22001,245
06073,23655,-136,24521,-12,23323,-184
06075,10343,-3,10833,65,10213,-20
06077,8758,172,8760,156,8596,142
06079,3947,89,3941,78,3873,81
06081,9023,31,9438,91,8867,12
06083,2967,3,3147,25,2927,-3
06085,22484,85,23500,232,22082,50
06087,3615,42,3709,50,3576,34
06089,1714,72,1615,51,1645,61
06091,0,0,0,0,0,0
06093,696,36,626,21,663,31
06095,6047,66,6135,88,5894,54
06097,6006,115,6128,125,5886,95
06099,5502,93,5504,76,5369,73
06101,1447,71,1352,48,1408,67
06103,524,18,501,11,507,13
06105,30,1,29,1,29,1
06107,6336,184,6307,165,6213,164
06109,796,16,799,18,776,14
06111,10889,302,10900,271,10699,261
06113,2360,-51,2503,-28,2335,-52
06115,84,1,80,0,82,0
08001,2754,-40,2828,-24,2718,-43
08003,266,-2,273,-1,257,-2
08005,4093,-33,4219,-26,3992,-56
08007,69,1,63,1,66,1
08009,0,0,0,0,0,0
08011,0,0,0,0,0,0
08013,1977,-42,2057,-28,1947,-44
08014,461,-6,479,-4,452,-6
08015,31,-3,32,-2,32,-3
08017,0,0,0,0,0,0
08019,3,-1,3,-1,3,-1
08021,42,-3,46,-2,42,-3
08023,0,0,0,0,0,0
08025,1,0,1,0,1,0
08027,0,0,0,0,0,0
08029,38,-3,37,-3,39,-3
08031,3824,-89,3951,-75,3778,-96
08033,0,0,0,0,0,0
08035,1842,-31,1885,-26,1802,-34
08037,339,2,333,1,324,0
08039,108,2,107,1,111,2
08041,4270,-42,4342,-28,4213,-56
08043,409,4,422,4,409,3
08045,328,3,330,3,319,2
08047,0,0,0,0,0,0
08049,16,-2,14,-2,13,-2
08051,34,-3,34,-2,32,-3
08053,0,0,0,0,0,0
08055,55,1,57,1,54,1
08057,0,0,0,0,0,0
08059,2834,-51,2924,-38,2780,-60
08061,0,0,0,0,0,0
08063,11,-1,16,0,12,-1
08065,25,-3,28,-3,26,-3
08067,321,1,318,0,314,0
08069,2501,-42,2568,-31,2460,-46
08071,75,-1,74,-1,70,-1
08073,0,0,0,0,0,0
08075,49,-1,51,0,49,-1
08077,826,4,822,1,810,1
08079,0,0,0,0,0,0
08081,31,-1,32,0,27,-1
08083,171,3,169,2,164,2
08085,228,6,215,3,227,8
08087,79,1,77,-1,74,0
08089,58,-2,61,-2,58,-3
08091,0,0,0,0,0,0
08093,115,3,110,1,110,3
08095,0,0,0,0,0,0
08097,98,-8,96,-8,95,-8
08099,23,1,21,0,21,0
08101,1336,-8,1344,-9,1321,-9
08103,8,-1,9,-1,8,-1
08105,126,3,125,3,123,2
08107,415,35,308,12,396,34
08109,0,0,0,0,0,0
08111,0,0,0,0,0,0
08113,21,0,21,0,21,0
08115,0,0,0,0,0,0
08117,191,0,189,-1,185,0
08119,217,1,215,0,212,1
08121,0,0,0,0,0,0
08123,2141,-8,2169,-10,2116,-13
08125,4,-1,4,-1,7,-1
09001,3711,17,3804,24,3646,2
09003,2731,-31,2835,-16,2683,-34
09005,507,1,514,1,497,-1
09007,518,-1,533,1,512,-1
09009,3493,18,3555,31,3402,14
09011,976,-2,1008,2,962,-4
09013,379,0,381,-1,369,-1
09015,202,-4,206,-3,197,-4
10001,863,-7,878,-7,854,-9
10003,2454,-29,2524,-26,2426,-38
10005,1013,1,1021,3,993,-1
11001,5126,37,5328,65,5041,27
12001,3068,17,3123,15,2984,8
12003,194,6,191,6,187,5
12005,1630,45,1609,36,1579,38
12007,73,-3,75,-2,72,-3
12009,5718,-44,5932,-14,5649,-55
12011,20062,-386,21091,-235,19841,-428
12013,50,1,51,1,52,1
12015,1501,6,1490,1,1460,-3
12017,1283,17,1277,11,1268,14
12019,2293,48,2224,25,2242,37
12021,2325,-5,2375,0,2305,-9
12023,467,12,442,9,454,11
12027,308,7,306,5,302,7
12029,78,2,76,2,83,3
12031,9689,73,9815,71,9497,47
12033,3477,115,3314,74,3398,109
12035,982,9,988,4,964,5
12037,38,1,36,0,35,0
12039,687,13,703,11,678,9
12041,47,-3,51,-3,47,-3
12043,21,0,21,0,21,0
12045,94,2,102,3,91,2
12047,17,0,15,0,15,-1
12049,171,4,173,3,162,2
12051,212,1,202,1,198,2
12053,1943,28,1940,19,1906,22
12055,883,20,871,14,858,14
12057,15060,5,15405,33,14795,-47
12059,75,-4,79,-2,73,-3
12061,1353,-2,1382,1,1339,-3
12063,241,1,248,2,233,0
12065,78,1,80,1,77,1
12067,33,1,30,0,32,1
12069,3852,46,3865,33,3780,35
12071,5946,-2,6036,-3,5856,-24
12073,4114,41,4177,34,4043,31
12075,347,9,337,6,333,8
12077,31,1,30,1,28,1
12079,146,4,148,3,144,3
12081,3518,-9,3586,4,3489,-11
12083,3336,84,3255,58,3253,68
12085,1311,9,1328,9,1279,5
12086,34036,-1161,36289,-794,33665,-1206
12087,645,3,652,3,633,2
12089,923,9,935,8,906,8
12091,2096,56,2033,35,2045,49
12093,322,15,290,8,303,11
12095,13877,-125,14378,-41,13687,-144
12097,3788,-44,3907,-24,3738,-44
12099,12707,-172,13251,-108,12602,-192
12101,5322,22,5370,20,5212,7
12103,9595,-29,9932,8,9416,-47
12105,8168,12,8420,38,8039,0
12107,396,-5,414,-2,385,-5
12109,3157,83,3057,53,3108,68
12111,3373,32,3422,30,3310,16
12113,1409,8,1422,6,1373,2
12115,4032,-26,4151,-14,3983,-41
12117,4069,-12,4142,-9,3992,-22
12119,519,-24,557,-19,513,-25
12121,204,2,206,1,212,5
12123,114,2,114,3,107,2
12125,55,1,58,1,56,1
12127,5948,49,6083,59,5874,42
12129,291,9,283,6,279,8
12131,518,15,503,11,513,14
12133,136,4,132,2,133,3
13001,1,1,0,0,1,1
13003,0,0,0,0,0,0
13005,0,0,0,0,0,0
13007,0,0,0,0,0,0
13009,239,12,205,5,228,12
13011,38,0,38,0,41,1
13013,411,8,406,6,410,8
13015,579,22,541,9,570,21
13017,47,3,40,1,45,3
13019,62,2,58,0,57,1
13021,1454,65,1333,32,1397,50
13023,72,0,70,-1,67,-1
13025,32,1,33,1,32,1
13027,33,2,31,1,31,1
13029,217,0,219,-1,214,-1
13031,279,8,256,4,279,9
13033,61,1,60,0,63,0
13035,150,5,144,1,147,2
13037,12,1,13,1,12,1
13039,475,13,465,11,470,11
13043,28,1,27,1,25,0
13045,698,32,629,17,677,28
13047,220,5,219,2,216,3
13049,90,4,83,3,87,3
13051,1762,-14,1781,-12,1754,-10
13053,20,0,20,0,20,0
13055,62,2,56,2,56,2
13057,1767,25,1748,16,1739,24
13059,833,26,806,17,818,23
13061,0,0,0,0,0,0
13063,1768,22,1760,17,1717,15
13065,0,0,0,0,0,0
13067,6085,27,6200,30,5948,3
13069,82,5,71,3,82,5
13071,60,-1,64,0,60,-1
13073,966,12,938,8,957,15
13075,164,9,145,4,159,8
13077,1211,28,1196,21,1182,22
13079,8,-1,9,-1,7,-1
13081,56,2,48,1,48,1
13083,19,0,21,0,16,-1
13085,89,-2,97,-1,93,-2
13087,164,5,156,3,154,4
13089,4870,-30,5014,-8,4795,-37
13091,36,1,37,1,33,0
13093,23,0,22,0,25,1
13095,706,21,696,18,697,17
13097,1207,24,1196,16,1174,19
13099,53,2,54,1,48,1
13101,0,0,0,0,0,0
13103,496,11,466,4,489,9
13105,61,2,57,0,56,2
13107,42,0,43,0,40,0
13109,21,0,21,0,21,0
13111,98,3,93,2,96,3
13113,1076,10,1077,9,1050,6
13115,686,36,628,20,667,32
13117,1689,29,1669,19,1628,22
13119,156,12,128,5,147,9
13121,6719,-30,6873,-14,6610,-47
13123,98,2,97,1,97,2
13125,0,0,0,0,0,0
13127,501,17,481,12,484,12
13129,17,1,17,1,19,1
13131,116,3,113,2,113,3
13133,63,3,56,1,64,3
13135,5664,7,5706,3,5586,-6
13137,98,-1,100,-1,95,-2
13139,1071,31,1029,21,1038,26
13141,5,0,3,0,3,0
13143,66,2,62,1,59,1
13145,118,2,110,0,115,2
13147,136,11,111,4,129,9
13149,0,0,0,0,0,0
13151,1725,21,1720,13,1681,12
13153,1160,6,1176,3,1153,2
13155,0,0,0,0,0,0
13157,378,15,346,8,368,14
13159,11,-1,12,-1,8,-1
13161,0,0,0,0,0,0
13163,24,0,26,0,22,0
13165,6,-1,6,-1,7,-1
13167,0,0,0,0,0,0
13169,0,0,0,0,0,0
13171,111,3,109,3,111,3
13173,32,1,32,1,33,1
13175,219,5,204,1,205,1
13177,234,6,236,6,233,5
13179,483,16,462,10,465,13
13181,21,0,21,0,21,0
13183,129,9,111,5,125,8
13185,863,25,838,21,846,25
13187,125,-1,131,0,128,-1
13189,107,4,103,3,103,3
13191,42,1,36,1,40,2
13193,21,0,21,0,21,0
13195,120,4,121,3,118,4
13197,0,0,0,0,0,0
13199,58,-2,60,-2,59,-3
13201,0,0,0,0,0,0
13205,57,0,57,0,58,0
13207,189,5,180,3,184,5
