ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,497,311,673,2979,1686,4672
2,Baldwin County AL,01003,01,737,612,864,3216,2310,4344
3,Barbour County AL,01005,01,602,344,991,2178,1204,3609
4,Bibb County AL,01007,01,730,475,1025,3451,2183,5876
5,Blount County AL,01009,01,360,265,510,1788,1209,2713
6,Bullock County AL,01011,01,799,421,1214,5364,3173,9072
7,Butler County AL,01013,01,742,435,1056,3540,1829,5272
8,Calhoun County AL,01015,01,572,426,682,3263,2410,5124
9,Chambers County AL,01017,01,1057,729,1495,4476,2797,6848
10,Cherokee County AL,01019,01,409,250,642,2162,1263,3343
11,Chilton County AL,01021,01,414,233,692,1856,1095,2732
12,Choctaw County AL,01023,01,236,50,428,1310,484,2948
13,Clarke County AL,01025,01,327,183,518,1657,930,3602
14,Clay County AL,01027,01,772,488,1239,3794,2340,7263
15,Cleburne County AL,01029,01,324,155,546,1952,1029,3818
16,Coffee County AL,01031,01,464,321,632,2807,1702,5001
17,Colbert County AL,01033,01,650,423,877,2849,1798,4284
18,Conecuh County AL,01035,01,112,35,272,780,404,1487
19,Coosa County AL,01037,01,342,157,604,2114,1134,4981
20,Covington County AL,01039,01,211,116,395,941,488,1507
21,Crenshaw County AL,01041,01,859,598,1245,3545,2473,5803
22,Cullman County AL,01043,01,443,309,616,2086,1414,3269
23,Dale County AL,01045,01,380,261,581,2915,1590,4689
24,Dallas County AL,01047,01,609,346,898,2917,1669,5303
25,DeKalb County AL,01049,01,378,236,513,1675,1031,2145
26,Elmore County AL,01051,01,366,257,517,2987,1699,4735
27,Escambia County AL,01053,01,1093,776,1538,4603,2871,8371
28,Etowah County AL,01055,01,540,348,721,2488,1593,3453
29,Fayette County AL,01057,01,137,38,312,1427,460,4445
30,Franklin County AL,01059,01,240,135,415,1258,780,2207
31,Geneva County AL,01061,01,113,40,239,830,340,1547
32,Greene County AL,01063,01,220,71,427,1163,377,2420
33,Hale County AL,01065,01,392,219,589,1915,994,3976
34,Henry County AL,01067,01,141,59,294,1248,578,2379
35,Houston County AL,01069,01,387,274,496,2200,1322,3357
36,Jackson County AL,01071,01,295,178,494,1574,918,2417
37,Jefferson County AL,01073,01,1385,1208,1606,6411,4979,7589
38,Lamar County AL,01075,01,202,72,430,1408,465,2782
39,Lauderdale County AL,01077,01,725,554,970,2780,1978,3532
40,Lawrence County AL,01079,01,474,316,682,2243,1477,3733
41,Lee County AL,01081,01,608,513,779,2385,1690,3190
42,Limestone County AL,01083,01,595,470,777,3252,2260,5329
43,Lowndes County AL,01085,01,651,358,1206,3003,1452,5594
44,Macon County AL,01087,01,401,217,684,2167,1166,4654
45,Madison County AL,01089,01,857,722,1019,4831,3717,5812
46,Marengo County AL,01091,01,251,145,396,1271,596,2360
47,Marion County AL,01093,01,148,45,353,865,290,2063
48,Marshall County AL,01095,01,370,252,559,1573,1082,2100
49,Mobile County AL,01097,01,1524,1344,1729,6111,4744,7171
50,Monroe County AL,01099,01,775,472,1363,2493,1444,4205
51,Montgomery County AL,01101,01,1258,1012,1474,7030,5391,13373
52,Morgan County AL,01103,01,765,582,994,3647,2378,4566
53,Perry County AL,01105,01,82,36,179,588,384,1620
54,Pickens County AL,01107,01,315,184,518,1702,963,2526
55,Pike County AL,01109,01,660,436,933,3838,2311,7120
56,Randolph County AL,01111,01,709,446,1024,3435,2190,5435
57,Russell County AL,01113,01,377,222,535,2036,985,4086
58,St. Clair County AL,01115,01,779,557,997,3274,2402,4474
59,Shelby County AL,01117,01,872,714,1048,5893,4211,11116
60,Sumter County AL,01119,01,582,356,944,2169,1279,3749
61,Talladega County AL,01121,01,730,557,927,3127,2484,4902
62,Tallapoosa County AL,01123,01,531,381,677,2110,1541,2936
63,Tuscaloosa County AL,01125,01,650,520,829,2413,1834,2950
64,Walker County AL,01127,01,286,165,418,1324,845,1864
65,Washington County AL,01129,01,84,34,178,546,266,1213
66,Wilcox County AL,01131,01,394,209,707,2431,1314,4751
67,Winston County AL,01133,01,271,160,527,1805,801,3576
68,Aleutians East Borough AK,02013,02,0,0,86,2,2,904
69,Aleutians West Census Area AK,02016,02,0,0,18,1,1,71
70,Anchorage Municipality AK,02020,02,178,118,246,855,474,1342
71,Bethel Census Area AK,02050,02,38,0,110,203,0,720
72,Bristol Bay Borough AK,02060,02,0,0,0,0,0,0
73,Denali Borough AK,02068,02,0,0,49,4,0,635
74,Dillingham Census Area AK,02070,02,1,0,136,31,0,1365
75,Fairbanks North Star Borough AK,02090,02,76,29,125,362,104,663
76,Haines Borough AK,02100,02,1,1,83,4,4,372
77,Hoonah-Angoon Census Area AK,02105,02,0,0,0,0,0,0
78,Juneau City and Borough AK,02110,02,226,123,381,1059,479,1831
79,Kenai Peninsula Borough AK,02122,02,33,0,101,175,0,571
80,Ketchikan Gateway Borough AK,02130,02,105,24,251,356,105,774
81,Kodiak Island Borough AK,02150,02,90,43,192,499,225,1026
82,Kusilvak Census Area AK,02158,02,54,0,218,287,0,1141
83,Lake and Peninsula Borough AK,02164,02,0,0,63,0,0,317
84,Matanuska-Susitna Borough AK,02170,02,88,41,158,438,223,739
85,Nome Census Area AK,02180,02,0,0,126,11,0,696
86,North Slope Borough AK,02185,02,12,1,63,46,12,253
87,Northwest Arctic Borough AK,02188,02,24,0,128,107,0,698
88,Petersburg Borough AK,02195,02,1,1,126,2,2,566
89,Prince of Wales-Hyder Census Area AK,02198,02,17,0,103,37,0,467
90,Sitka City and Borough AK,02220,02,192,70,436,1122,223,2826
91,Skagway Municipality AK,02230,02,0,0,392,1,1,2924
92,Southeast Fairbanks Census Area AK,02240,02,29,1,102,111,33,618
93,Valdez-Cordova Census Area AK,02261,02,0,0,0,0,0,0
94,Wrangell City and Borough AK,02275,02,1,1,162,6,6,1302
95,Yakutat City and Borough AK,02282,02,0,0,0,0,0,342
96,Yukon-Koyukuk Census Area AK,02290,02,0,0,57,2,0,415
97,Apache County AZ,04001,04,328,221,475,1478,1014,1957
98,Cochise County AZ,04003,04,149,89,239,723,470,1039
99,Coconino County AZ,04005,04,565,380,729,2805,1861,3715
100,Gila County AZ,04007,04,345,197,488,1550,941,2245
101,Graham County AZ,04009,04,52,3,127,233,16,569
102,Greenlee County AZ,04011,04,199,85,467,1839,583,3097
103,La Paz County AZ,04012,04,138,42,270,741,369,1659
104,Maricopa County AZ,04013,04,389,303,458,1707,1331,2048
105,Mohave County AZ,04015,04,234,159,340,1229,816,1639
106,Navajo County AZ,04017,04,324,194,479,1451,975,1874
107,Pima County AZ,04019,04,317,236,445,1407,1165,1715
108,Pinal County AZ,04021,04,219,151,309,1014,700,1385
109,Santa Cruz County AZ,04023,04,397,228,669,1783,993,2479
110,Yavapai County AZ,04025,04,201,130,333,1004,632,1384
111,Yuma County AZ,04027,04,254,168,359,1263,848,1736
112,Arkansas County AR,05001,05,422,205,676,2002,914,3274
113,Ashley County AR,05003,05,357,175,581,2348,1029,4264
114,Baxter County AR,05005,05,330,176,501,1316,788,2190
115,Benton County AR,05007,05,408,287,538,2197,1387,2767
116,Boone County AR,05009,05,275,118,489,1182,509,2009
117,Bradley County AR,05011,05,158,49,387,807,311,1676
118,Calhoun County AR,05013,05,136,34,422,1027,303,3530
119,Carroll County AR,05015,05,164,52,293,808,292,1623
120,Chicot County AR,05017,05,157,56,347,1177,508,3170
121,Clark County AR,05019,05,1301,850,1670,5701,3324,7479
122,Clay County AR,05021,05,182,75,376,1026,501,2254
123,Cleburne County AR,05023,05,262,151,434,1518,761,2220
124,Cleveland County AR,05025,05,332,81,605,2127,590,4437
125,Columbia County AR,05027,05,487,271,730,2679,1600,4319
126,Conway County AR,05029,05,393,216,621,1636,862,2366
127,Craighead County AR,05031,05,1575,1213,1939,7846,6030,10212
128,Crawford County AR,05033,05,292,178,472,1495,924,2275
129,Crittenden County AR,05035,05,1642,1282,2042,7789,5506,11794
130,Cross County AR,05037,05,373,208,596,1988,1061,3346
131,Dallas County AR,05039,05,176,76,421,1047,648,2260
132,Desha County AR,05041,05,257,119,541,1533,608,3115
133,Drew County AR,05043,05,211,88,506,1250,585,2532
134,Faulkner County AR,05045,05,965,702,1185,4646,3397,6188
135,Franklin County AR,05047,05,54,0,144,342,0,1906
136,Fulton County AR,05049,05,148,38,294,1161,339,2678
137,Garland County AR,05051,05,173,99,258,923,496,1352
138,Grant County AR,05053,05,273,137,515,1344,672,2534
139,Greene County AR,05055,05,909,557,1241,3853,2742,5197
140,Hempstead County AR,05057,05,253,114,427,1706,645,2897
141,Hot Spring County AR,05059,05,573,382,864,3199,1857,4342
142,Howard County AR,05061,05,466,272,859,2500,1283,3676
143,Independence County AR,05063,05,385,238,583,1928,1194,2763
144,Izard County AR,05065,05,532,325,903,2868,1478,4753
145,Jackson County AR,05067,05,180,88,392,1349,667,2290
146,Jefferson County AR,05069,05,923,696,1174,3330,2485,4474
147,Johnson County AR,05071,05,151,70,275,798,316,1253
148,Lafayette County AR,05073,05,115,16,365,950,54,2771
149,Lawrence County AR,05075,05,314,110,517,2801,842,6755
150,Lee County AR,05077,05,539,274,923,2209,1190,3804
151,Lincoln County AR,05079,05,418,216,665,1991,1012,3586
152,Little River County AR,05081,05,382,200,605,1941,1065,3874
153,Logan County AR,05083,05,158,35,312,1306,293,2928
154,Lonoke County AR,05085,05,623,427,843,3704,2410,4937
155,Madison County AR,05087,05,122,7,315,634,64,1514
156,Marion County AR,05089,05,136,24,278,556,142,1106
157,Miller County AR,05091,05,299,174,471,1272,667,1854
158,Mississippi County AR,05093,05,1122,828,1553,5628,3590,7670
159,Monroe County AR,05095,05,109,34,311,925,475,2496
160,Montgomery County AR,05097,05,52,2,279,393,71,1943
161,Nevada County AR,05099,05,429,216,849,2504,1299,5088
162,Newton County AR,05101,05,131,0,345,792,39,2275
163,Ouachita County AR,05103,05,696,449,1025,3363,2338,6245
164,Perry County AR,05105,05,422,229,695,2152,1261,3780
165,Phillips County AR,05107,05,983,626,1378,4121,2662,7010
166,Pike County AR,05109,05,146,30,356,1320,208,4410
167,Poinsett County AR,05111,05,1133,801,1480,3365,2430,4284
168,Polk County AR,05113,05,115,37,230,541,150,1033
169,Pope County AR,05115,05,321,206,527,1784,1107,2503
170,Prairie County AR,05117,05,157,27,482,1357,53,3945
171,Pulaski County AR,05119,05,1652,1452,1846,6096,4891,7363
172,Randolph County AR,05121,05,301,158,529,1765,972,3091
173,St. Francis County AR,05123,05,785,504,1111,3993,2519,7322
174,Saline County AR,05125,05,806,617,1002,3354,2624,4185
175,Scott County AR,05127,05,112,0,323,752,0,4146
176,Searcy County AR,05129,05,166,32,402,1108,233,2206
177,Sebastian County AR,05131,05,256,142,351,1249,802,1740
178,Sevier County AR,05133,05,135,32,335,873,128,2126
179,Sharp County AR,05135,05,331,166,604,1461,726,2291
180,Stone County AR,05137,05,161,60,338,1074,536,2201
181,Union County AR,05139,05,921,540,1269,3659,2535,4912
182,Van Buren County AR,05141,05,188,70,385,1262,540,2545
183,Washington County AR,05143,05,338,244,446,1554,1153,2073
184,White County AR,05145,05,316,226,469,1516,1024,2030
185,Woodruff County AR,05147,05,156,28,479,1322,535,5030
186,Yell County AR,05149,05,264,124,396,1329,795,2694
187,Alameda County CA,06001,06,246,194,301,1196,830,1491
188,Alpine County CA,06003,06,0,0,196,0,0,1077
189,Amador County CA,06005,06,90,22,179,472,77,965
190,Butte County CA,06007,06,287,210,376,955,744,1248
191,Calaveras County CA,06009,06,79,9,159,423,145,925
192,Colusa County CA,06011,06,29,5,89,202,38,715
193,Contra Costa County CA,06013,06,504,436,635,2033,1630,2522
194,Del Norte County CA,06015,06,74,34,149,336,163,618
195,El Dorado County CA,06017,06,199,136,267,908,593,1344
196,Fresno County CA,06019,06,152,119,202,601,441,754
197,Glenn County CA,06021,06,182,87,333,961,433,1478
198,Humboldt County CA,06023,06,332,224,483,1242,862,1694
199,Imperial County CA,06025,06,557,418,745,2000,1544,2625
200,Inyo County CA,06027,06,190,73,329,1049,538,2586
201,Kern County CA,06029,06,0,0,22,0,0,144
202,Kings County CA,06031,06,133,68,214,682,356,986
203,Lake County CA,06033,06,38,4,101,201,18,422
204,Lassen County CA,06035,06,38,5,108,189,39,430
205,Los Angeles County CA,06037,06,1057,862,1259,4516,3532,5744
206,Madera County CA,06039,06,193,124,271,718,530,1003
207,Marin County CA,06041,06,736,601,900,2926,2242,3539
208,Mariposa County CA,06043,06,207,102,370,1108,618,2112
209,Mendocino County CA,06045,06,67,31,137,331,156,636
210,Merced County CA,06047,06,186,124,278,726,498,1006
211,Modoc County CA,06049,06,1,1,35,6,4,165
