county,id,day_to_overload
Autauga County AL,01001,17
Baldwin County AL,01003,28
Barbour County AL,01005,24
Bibb County AL,01007,8
Blount County AL,01009,25
Bullock County AL,01011,17
Butler County AL,01013,NA
Calhoun County AL,01015,26
Chambers County AL,01017,NA
Cherokee County AL,01019,8
Chilton County AL,01021,26
Choctaw County AL,01023,15
Clarke County AL,01025,12
Clay County AL,01027,NA
Cleburne County AL,01029,15
Coffee County AL,01031,NA
Colbert County AL,01033,NA
Conecuh County AL,01035,19
Coosa County AL,01037,12
Covington County AL,01039,NA
Crenshaw County AL,01041,12
Cullman County AL,01043,24
Dale County AL,01045,24
Dallas County AL,01047,NA
DeKalb County AL,01049,28
Elmore County AL,01051,14
Escambia County AL,01053,NA
Etowah County AL,01055,NA
Fayette County AL,01057,NA
Franklin County AL,01059,NA
Geneva County AL,01061,NA
Greene County AL,01063,NA
Hale County AL,01065,11
Henry County AL,01067,15
Houston County AL,01069,NA
Jackson County AL,01071,NA
Jefferson County AL,01073,NA
Lamar County AL,01075,34
Lauderdale County AL,01077,NA
Lawrence County AL,01079,NA
Lee County AL,01081,29
Limestone County AL,01083,19
Lowndes County AL,01085,12
Macon County AL,01087,9
Madison County AL,01089,NA
Marengo County AL,01091,NA
Marion County AL,01093,NA
Marshall County AL,01095,NA
Mobile County AL,01097,NA
Monroe County AL,01099,NA
Montgomery County AL,01101,NA
Morgan County AL,01103,NA
Perry County AL,01105,NA
Pickens County AL,01107,29
Pike County AL,01109,NA
Randolph County AL,01111,5
Russell County AL,01113,28
St. Clair County AL,01115,13
Shelby County AL,01117,24
Sumter County AL,01119,13
Talladega County AL,01121,27
Tallapoosa County AL,01123,23
Tuscaloosa County AL,01125,NA
Walker County AL,01127,30
Washington County AL,01129,22
Wilcox County AL,01131,14
Winston County AL,01133,NA
Aleutians East Borough AK,02013,NA
Aleutians West Census Area AK,02016,NA
Anchorage Municipality AK,02020,NA
Bethel Census Area AK,02050,27
Bristol Bay Borough AK,02060,NA
Denali Borough AK,02068,NA
