Fips_code,Days Until HealthCare Overwhelmed
01001,NA
01003,NA
01005,24
01007,3
01009,NA
01011,7
01013,NA
01015,35
01017,NA
01019,4
01021,21
01023,14
01025,6
01027,NA
01029,12
01031,NA
01033,NA
01035,9
01037,5
01039,NA
01041,6
01043,NA
01045,NA
01047,NA
01049,NA
01051,7
01053,NA
01055,NA
01057,NA
01059,NA
01061,NA
01063,NA
01065,7
01067,8
01069,NA
01071,NA
01073,NA
01075,14
01077,NA
01079,NA
01081,NA
01083,12
01085,4
01087,3
01089,NA
01091,NA
01093,NA
01095,NA
01097,NA
01099,NA
01101,NA
01103,NA
01105,12
01107,24
01109,NA
01111,1
01113,NA
01115,7
01117,NA
01119,8
01121,NA
01123,NA
01125,NA
01127,NA
01129,15
01131,11
01133,NA
02013,NA
02016,NA
02020,NA
02050,12
02060,NA
02068,NA
02070,NA
02090,18
02100,NA
02105,NA
02110,NA
02122,24
02130,NA
02150,8
02158,16
02164,NA
02170,NA
02180,16
02185,17
02188,23
02195,NA
02198,NA
02220,NA
02230,NA
02240,NA
02261,NA
02275,NA
02282,NA
02290,NA
04001,1
04003,16
04005,NA
04007,26
04009,24
04011,18
04012,NA
04013,NA
04015,NA
04017,12
04019,NA
04021,11
04023,8
04025,NA
04027,NA
05001,3
05003,NA
05005,NA
05007,20
05009,NA
05011,14
05013,NA
05015,5
05017,8
05019,NA
05021,12
05023,3
05025,12
05027,NA
05029,4
05031,NA
05033,18
05035,1
05037,5
05039,15
05041,8
05043,NA
05045,NA
05047,12
05049,19
05051,NA
05053,6
05055,NA
05057,NA
05059,NA
05061,22
05063,NA
05065,10
05067,8
05069,NA
05071,NA
05073,16
05075,3
05077,12
05079,7
05081,7
05083,10
05085,1
05087,11
05089,14
05091,2
05093,NA
05095,15
05097,NA
05099,10
05101,18
05103,NA
05105,14
05107,NA
05109,10
05111,1
05113,NA
05115,20
05117,13
05119,NA
05121,NA
05123,NA
05125,12
05127,NA
05129,13
05131,NA
05133,10
05135,4
05137,15
05139,NA
05141,7
05143,NA
05145,NA
05147,18
05149,7
06001,NA
06003,NA
06005,NA
06007,NA
06009,27
06011,19
06013,17
06015,NA
06017,NA
06019,28
06021,6
06023,NA
06025,16
06027,NA
06029,20
06031,24
06033,26
06035,9
06037,NA
06039,NA
06041,NA
06043,10
06045,NA
06047,15
06049,NA
06051,23
06053,30
06055,NA
06057,19
06059,NA
06061,NA
06063,19
06065,17
06067,NA
06069,16
06071,NA
06073,19
06075,NA
06077,18
06079,NA
06081,NA
06083,NA
06085,NA
06087,11
06089,NA
06091,NA
06093,NA
06095,NA
06097,22
06099,20
06101,1
06103,25
06105,NA
06107,19
06109,23
06111,23
06113,6
06115,NA
08001,NA
08003,NA
08005,NA
08007,9
08009,NA
08011,NA
08013,NA
08014,NA
08015,15
08017,NA
08019,10
08021,NA
08023,NA
08025,26
08027,NA
08029,NA
08031,NA
08033,NA
08035,NA
08037,1
08039,1
08041,21
08043,20
08045,NA
08047,NA
08049,3
08051,6
08053,NA
08055,17
08057,NA
08059,19
08061,NA
08063,NA
08065,10
08067,NA
08069,22
08071,11
08073,NA
08075,NA
08077,NA
08079,NA
08081,NA
08083,26
08085,NA
08087,NA
08089,16
08091,NA
08093,6
08095,NA
08097,4
08099,20
08101,NA
08103,NA
08105,16
08107,12
08109,NA
08111,NA
08113,1
08115,NA
08117,NA
08119,7
08121,NA
08123,9
08125,NA
09001,NA
09003,NA
09005,NA
09007,NA
09009,NA
09011,22
09013,NA
09015,13
10001,NA
10003,NA
10005,15
11001,NA
12001,NA
12003,11
12005,NA
12007,8
12009,NA
12011,NA
12013,15
12015,NA
12017,NA
12019,NA
12021,NA
12023,NA
12027,NA
12029,19
12031,NA
12033,NA
12035,30
12037,NA
12039,1
12041,18
12043,23
12045,12
12047,18
12049,4
12051,11
12053,NA
12055,NA
12057,NA
12059,13
12061,NA
12063,NA
12065,9
12067,NA
12069,NA
12071,NA
12073,NA
12075,5
12077,NA
12079,8
12081,NA
12083,NA
12085,NA
12086,NA
12087,19
12089,19
12091,39
12093,28
12095,NA
12097,NA
12099,NA
12101,NA
12103,NA
12105,NA
12107,NA
12109,NA
12111,NA
12113,18
12115,NA
12117,8
12119,1
12121,4
12123,NA
12125,17
12127,NA
12129,2
12131,NA
12133,10
13001,NA
13003,NA
13005,NA
13007,NA
13009,NA
13011,8
13013,5
13015,NA
13017,NA
13019,7
13021,NA
13023,9
13025,18
13027,13
13029,4
13031,NA
13033,3
13035,1
13037,NA
13039,25
13043,NA
13045,24
13047,1
13049,22
13051,NA
13053,27
13055,2
13057,3
13059,NA
13061,NA
13063,8
13065,19
13067,23
13069,NA
13071,NA
13073,1
13075,9
13077,NA
13079,NA
13081,NA
13083,15
13085,1
13087,NA
13089,NA
13091,NA
13093,12
13095,NA
13097,3
13099,12
13101,NA
13103,1
13105,NA
13107,NA
13109,21
13111,NA
13113,NA
13115,NA
13117,9
13119,NA
13121,NA
13123,5
13125,NA
13127,NA
13129,NA
13131,NA
13133,2
13135,3
13137,28
13139,NA
13141,NA
13143,1
13145,1
13147,5
13149,10
13151,NA
13153,NA
13155,NA
13157,1
13159,5
13161,NA
13163,4
13165,NA
13167,16
13169,2
13171,2
13173,17
13175,NA
13177,4
13179,1
13181,NA
13183,11
13185,NA
13187,1
13189,3
13191,15
13193,8
13195,1
13197,33
13199,1
13201,NA
13205,5
13207,1
13209,27
13211,3
13213,1
13215,NA
13217,7
13219,1
13221,5
13223,1
13225,1
13227,NA
13229,10
13231,1
13233,1
13235,NA
13237,5
13239,NA
13241,10
13243,NA
13245,NA
13247,NA
13249,NA
13251,15
13253,23
13255,NA
13257,NA
13259,20
13261,NA
13263,22
13265,NA
13267,13
13269,10
13271,18
13273,13
13275,NA
13277,NA
13279,NA
13281,NA
13283,NA
13285,NA
13287,18
13289,NA
13291,NA
13293,NA
13295,1
13297,5
13299,NA
13301,NA
13303,7
13305,NA
13307,NA
13309,NA
13311,1
13313,NA
13315,21
13317,15
13319,15
13321,4
15001,NA
15003,NA
15005,NA
15007,13
15009,8
16001,NA
16003,NA
16005,NA
16007,NA
16009,NA
16011,24
16013,1
16015,NA
16017,NA
16019,NA
16021,NA
16023,NA
16025,NA
16027,28
16029,NA
16031,NA
16033,NA
16035,NA
16037,NA
16039,9
16041,17
16043,22
16045,NA
16047,NA
16049,37
16051,9
16053,NA
16055,NA
16057,29
16059,NA
16061,NA
16063,NA
16065,14
16067,NA
16069,29
16071,NA
16073,NA
16075,20
16077,NA
16079,NA
16081,6
16083,NA
16085,14
16087,NA
17001,NA
17003,NA
17005,1
17007,1
17009,17
17011,NA
17013,11
17015,7
17017,1
17019,NA
17021,6
17023,3
17025,1
17027,5
17029,14
17031,NA
17033,1
17035,9
17037,NA
17039,1
17041,1
17043,NA
17045,1
17047,NA
17049,NA
17051,NA
17053,NA
17055,1
17057,21
17059,NA
17061,1
17063,NA
17065,19
17067,12
17069,NA
17071,NA
17073,17
17075,NA
17077,NA
17079,8
17081,NA
