county,id,day_to_overload
Autauga County AL,01001,9
Baldwin County AL,01003,NA
Barbour County AL,01005,28
Bibb County AL,01007,0
Blount County AL,01009,13
Bullock County AL,01011,0
Butler County AL,01013,NA
Calhoun County AL,01015,20
Chambers County AL,01017,NA
Cherokee County AL,01019,0
Chilton County AL,01021,11
Choctaw County AL,01023,2
Clarke County AL,01025,0
Clay County AL,01027,NA
Cleburne County AL,01029,2
Coffee County AL,01031,13
Colbert County AL,01033,NA
Conecuh County AL,01035,5
Coosa County AL,01037,0
Covington County AL,01039,NA
Crenshaw County AL,01041,0
Cullman County AL,01043,11
Dale County AL,01045,12
Dallas County AL,01047,NA
DeKalb County AL,01049,15
Elmore County AL,01051,0
Escambia County AL,01053,NA
Etowah County AL,01055,NA
Fayette County AL,01057,NA
Franklin County AL,01059,17
Geneva County AL,01061,NA
Greene County AL,01063,12
Hale County AL,01065,0
Henry County AL,01067,2
Houston County AL,01069,NA
Jackson County AL,01071,17
Jefferson County AL,01073,NA
Lamar County AL,01075,6
Lauderdale County AL,01077,NA
Lawrence County AL,01079,NA
Lee County AL,01081,NA
Limestone County AL,01083,6
Lowndes County AL,01085,0
Macon County AL,01087,0
Madison County AL,01089,NA
Marengo County AL,01091,NA
Marion County AL,01093,23
Marshall County AL,01095,NA
Mobile County AL,01097,NA
Monroe County AL,01099,29
Montgomery County AL,01101,NA
Morgan County AL,01103,19
Perry County AL,01105,4
Pickens County AL,01107,14
Pike County AL,01109,NA
Randolph County AL,01111,0
Russell County AL,01113,NA
St. Clair County AL,01115,0
Shelby County AL,01117,10
Sumter County AL,01119,0
Talladega County AL,01121,11
Tallapoosa County AL,01123,10
Tuscaloosa County AL,01125,NA
Walker County AL,01127,17
Washington County AL,01129,4
Wilcox County AL,01131,3
Winston County AL,01133,12
Aleutians East Borough AK,02013,NA
Aleutians West Census Area AK,02016,NA
Anchorage Municipality AK,02020,NA
Bethel Census Area AK,02050,6
Bristol Bay Borough AK,02060,NA
Denali Borough AK,02068,NA
Dillingham Census Area AK,02070,NA
Fairbanks North Star Borough AK,02090,14
Haines Borough AK,02100,NA
Hoonah-Angoon Census Area AK,02105,NA
Juneau City and Borough AK,02110,NA
Kenai Peninsula Borough AK,02122,17
Ketchikan Gateway Borough AK,02130,NA
Kodiak Island Borough AK,02150,2
Kusilvak Census Area AK,02158,10
Lake and Peninsula Borough AK,02164,NA
Matanuska-Susitna Borough AK,02170,19
Nome Census Area AK,02180,8
North Slope Borough AK,02185,14
Northwest Arctic Borough AK,02188,13
Petersburg Borough AK,02195,NA
Prince of Wales-Hyder Census Area AK,02198,NA
Sitka City and Borough AK,02220,NA
Skagway Municipality AK,02230,NA
Southeast Fairbanks Census Area AK,02240,NA
Valdez-Cordova Census Area AK,02261,NA
Wrangell City and Borough AK,02275,NA
Yakutat City and Borough AK,02282,NA
Yukon-Koyukuk Census Area AK,02290,NA
Apache County AZ,04001,0
Cochise County AZ,04003,10
Coconino County AZ,04005,NA
Gila County AZ,04007,18
Graham County AZ,04009,22
Greenlee County AZ,04011,8
La Paz County AZ,04012,17
Maricopa County AZ,04013,NA
Mohave County AZ,04015,NA
Navajo County AZ,04017,7
Pima County AZ,04019,NA
Pinal County AZ,04021,4
Santa Cruz County AZ,04023,0
Yavapai County AZ,04025,NA
Yuma County AZ,04027,17
Arkansas County AR,05001,0
Ashley County AR,05003,NA
Baxter County AR,05005,NA
Benton County AR,05007,20
Boone County AR,05009,NA
Bradley County AR,05011,6
Calhoun County AR,05013,NA
Carroll County AR,05015,0
Chicot County AR,05017,3
Clark County AR,05019,NA
Clay County AR,05021,4
Cleburne County AR,05023,0
Cleveland County AR,05025,4
Columbia County AR,05027,NA
Conway County AR,05029,0
Craighead County AR,05031,NA
Crawford County AR,05033,12
Crittenden County AR,05035,0
Cross County AR,05037,0
Dallas County AR,05039,8
Desha County AR,05041,2
Drew County AR,05043,NA
Faulkner County AR,05045,14
Franklin County AR,05047,5
Fulton County AR,05049,9
Garland County AR,05051,NA
Grant County AR,05053,0
Greene County AR,05055,NA
Hempstead County AR,05057,NA
Hot Spring County AR,05059,NA
Howard County AR,05061,NA
Independence County AR,05063,NA
Izard County AR,05065,0
Jackson County AR,05067,0
Jefferson County AR,05069,NA
Johnson County AR,05071,NA
