Fips_code,Days Until HealthCare Overwhelmed
01001,9
01003,NA
01005,NA
01007,1
01009,13
01011,1
01013,NA
01015,20
01017,NA
01019,1
01021,11
01023,2
01025,1
01027,NA
01029,2
01031,13
01033,NA
01035,5
01037,1
01039,NA
01041,1
01043,11
01045,12
01047,NA
01049,15
01051,1
01053,NA
01055,NA
01057,NA
01059,17
01061,NA
01063,12
01065,1
01067,2
01069,NA
01071,17
01073,NA
01075,6
01077,NA
01079,NA
01081,NA
01083,6
01085,1
01087,1
01089,NA
01091,NA
01093,NA
01095,NA
01097,NA
01099,NA
01101,NA
01103,19
01105,4
01107,14
01109,NA
01111,1
01113,NA
01115,1
01117,10
01119,1
01121,11
01123,10
01125,NA
01127,17
01129,4
01131,3
01133,12
02013,NA
02016,NA
02020,NA
02050,6
02060,NA
02068,NA
02070,NA
02090,14
02100,NA
02105,NA
02110,NA
02122,17
02130,NA
02150,2
02158,10
02164,NA
02170,19
02180,8
02185,14
02188,13
02195,NA
02198,NA
02220,NA
02230,NA
02240,NA
02261,NA
02275,NA
02282,NA
02290,NA
04001,1
04003,10
04005,NA
04007,18
04009,NA
04011,8
04012,17
04013,NA
04015,NA
04017,7
04019,NA
04021,4
04023,1
04025,NA
04027,17
05001,1
05003,NA
05005,NA
05007,20
05009,NA
05011,6
05013,NA
05015,1
05017,3
05019,NA
05021,4
05023,1
05025,4
05027,NA
05029,1
05031,NA
05033,12
05035,1
05037,1
05039,8
05041,2
05043,NA
05045,14
05047,5
05049,9
05051,NA
05053,1
05055,NA
05057,NA
05059,NA
05061,NA
05063,NA
05065,1
05067,1
05069,NA
05071,NA
05073,10
05075,1
05077,4
05079,1
05081,2
05083,4
05085,1
05087,5
05089,7
05091,1
05093,NA
05095,6
05097,NA
05099,2
05101,16
05103,NA
05105,6
05107,NA
05109,5
05111,1
05113,NA
05115,15
05117,6
05119,NA
05121,NA
05123,NA
05125,6
05127,19
05129,8
05131,NA
05133,2
05135,1
05137,7
05139,NA
05141,2
05143,NA
05145,NA
05147,11
05149,1
06001,NA
06003,NA
06005,NA
06007,NA
06009,NA
06011,5
06013,NA
06015,NA
06017,NA
06019,NA
06021,1
06023,NA
06025,7
06027,NA
06029,NA
06031,13
06033,NA
06035,3
06037,NA
06039,NA
06041,NA
06043,2
06045,NA
06047,5
06049,NA
06051,NA
06053,NA
06055,NA
06057,14
06059,NA
06061,NA
06063,8
06065,12
06067,NA
06069,8
06071,NA
06073,NA
06075,NA
06077,15
06079,NA
06081,NA
06083,NA
06085,NA
06087,4
06089,NA
06091,NA
06093,NA
06095,NA
06097,NA
06099,18
06101,1
06103,NA
06105,NA
06107,9
06109,17
06111,NA
06113,1
06115,NA
08001,NA
08003,NA
08005,NA
08007,4
08009,NA
08011,NA
08013,NA
08014,NA
08015,NA
08017,NA
08019,4
08021,NA
08023,NA
08025,16
08027,NA
08029,NA
08031,NA
08033,NA
08035,NA
08037,1
08039,1
08041,NA
08043,12
08045,NA
08047,NA
08049,1
08051,1
08053,NA
08055,13
08057,NA
08059,NA
08061,NA
08063,NA
08065,6
08067,NA
08069,NA
08071,5
08073,19
08075,NA
08077,NA
08079,NA
08081,NA
08083,NA
08085,NA
08087,NA
08089,6
08091,NA
08093,1
08095,NA
08097,1
08099,11
08101,NA
08103,NA
08105,6
08107,6
08109,NA
08111,NA
08113,1
08115,NA
08117,1
08119,1
08121,NA
08123,3
08125,NA
09001,NA
09003,NA
09005,NA
09007,NA
09009,NA
09011,NA
09013,NA
09015,7
10001,NA
10003,NA
10005,7
11001,NA
12001,NA
12003,4
12005,NA
12007,5
12009,NA
12011,NA
12013,7
12015,NA
12017,NA
12019,NA
12021,NA
12023,NA
12027,NA
12029,11
12031,NA
12033,NA
12035,21
12037,14
12039,1
12041,9
12043,10
12045,4
12047,6
12049,1
12051,3
12053,NA
12055,NA
12057,NA
12059,7
12061,NA
12063,NA
12065,5
12067,17
12069,NA
12071,NA
12073,NA
12075,1
12077,12
12079,1
12081,NA
12083,NA
12085,NA
12086,NA
12087,14
12089,11
12091,NA
12093,20
12095,NA
12097,NA
12099,NA
12101,NA
12103,NA
12105,NA
12107,20
12109,NA
12111,NA
12113,10
12115,NA
12117,2
12119,1
12121,1
12123,NA
12125,7
12127,NA
12129,1
12131,NA
12133,3
13001,NA
13003,NA
13005,NA
13007,NA
13009,NA
13011,1
