Fips_code,Days Until HealthCare Overwhelmed
01001,1
01003,NA
01005,NA
01007,1
01009,1
01011,1
01013,NA
01015,NA
01017,NA
01019,1
01021,1
01023,1
01025,1
01027,NA
01029,1
01031,2
01033,NA
01035,1
01037,1
01039,NA
01041,1
01043,1
01045,2
01047,NA
01049,3
01051,1
01053,NA
01055,NA
01057,NA
01059,5
01061,NA
01063,1
01065,1
01067,1
01069,NA
01071,NA
01073,NA
01075,1
01077,NA
01079,NA
01081,NA
01083,1
01085,1
01087,1
01089,NA
01091,NA
01093,NA
01095,NA
01097,NA
01099,NA
01101,NA
01103,NA
01105,1
01107,1
01109,NA
01111,1
01113,NA
01115,1
01117,1
01119,1
01121,1
01123,1
01125,NA
01127,5
01129,1
01131,1
01133,1
02013,NA
02016,2
02020,NA
02050,1
02060,NA
02068,NA
02070,18
02090,1
02100,NA
02105,NA
02110,NA
02122,4
02130,NA
02150,1
02158,1
02164,NA
02170,7
02180,1
02185,1
02188,1
02195,NA
02198,14
02220,NA
02230,NA
02240,10
02261,NA
02275,NA
02282,NA
02290,NA
04001,1
04003,1
04005,NA
04007,2
04009,NA
04011,1
04012,NA
04013,NA
04015,NA
04017,1
04019,NA
04021,1
04023,1
04025,NA
04027,NA
05001,1
05003,NA
05005,NA
05007,NA
05009,NA
05011,1
05013,NA
05015,1
05017,1
05019,NA
05021,1
05023,1
05025,1
05027,NA
05029,1
05031,NA
05033,1
05035,1
05037,1
05039,1
05041,1
05043,NA
05045,1
05047,1
05049,1
05051,NA
05053,1
05055,NA
05057,NA
05059,NA
05061,NA
05063,NA
05065,1
05067,1
05069,NA
05071,NA
05073,NA
05075,1
05077,1
05079,1
05081,1
05083,1
05085,1
05087,1
05089,1
05091,1
05093,NA
05095,1
05097,NA
05099,1
05101,NA
05103,NA
05105,1
05107,NA
05109,1
05111,1
05113,NA
05115,3
05117,1
05119,NA
05121,NA
05123,NA
05125,1
05127,6
05129,1
05131,NA
05133,1
05135,1
05137,1
05139,NA
05141,1
05143,NA
05145,NA
05147,1
05149,1
06001,NA
06003,NA
06005,NA
06007,NA
06009,NA
06011,1
06013,1
06015,NA
06017,NA
06019,NA
06021,1
06023,NA
06025,1
06027,NA
06029,NA
06031,1
06033,NA
06035,1
06037,NA
06039,NA
06041,NA
06043,1
06045,NA
06047,1
06049,NA
06051,NA
06053,NA
06055,NA
06057,1
06059,NA
06061,NA
06063,1
06065,1
06067,NA
06069,1
06071,NA
06073,NA
06075,NA
06077,1
06079,NA
06081,1
06083,NA
06085,NA
06087,1
06089,NA
06091,NA
06093,NA
06095,NA
06097,NA
06099,NA
06101,1
06103,NA
06105,10
06107,1
06109,1
06111,NA
06113,1
06115,NA
08001,NA
08003,NA
08005,NA
08007,1
08009,NA
08011,NA
08013,NA
08014,NA
08015,NA
08017,NA
08019,1
08021,NA
08023,NA
08025,1
08027,NA
08029,NA
08031,NA
08033,NA
08035,NA
08037,1
08039,1
08041,NA
08043,1
08045,NA
08047,NA
08049,1
08051,1
08053,NA
08055,8
08057,NA
08059,NA
08061,NA
08063,NA
08065,1
08067,NA
08069,NA
08071,1
08073,5
08075,NA
08077,NA
08079,NA
08081,NA
08083,NA
08085,NA
08087,NA
08089,1
08091,NA
08093,1
08095,NA
08097,NA
08099,1
08101,NA
08103,NA
08105,1
08107,NA
08109,NA
08111,NA
08113,1
08115,NA
08117,NA
08119,1
08121,NA
08123,1
08125,11
09001,NA
09003,NA
09005,NA
09007,NA
09009,NA
09011,NA
09013,NA
09015,1
10001,NA
10003,NA
10005,1
11001,NA
12001,NA
12003,1
12005,NA
12007,1
12009,NA
12011,NA
12013,1
12015,NA
12017,NA
12019,NA
12021,NA
12023,NA
12027,NA
12029,1
12031,NA
12033,NA
12035,NA
12037,1
12039,1
12041,1
12043,1
12045,1
12047,1
12049,1
12051,1
12053,NA
12055,NA
12057,NA
12059,1
12061,NA
12063,NA
12065,1
12067,5
12069,NA
12071,NA
12073,NA
12075,1
12077,1
12079,1
12081,NA
12083,NA
12085,NA
12086,NA
12087,NA
12089,1
12091,NA
12093,NA
12095,NA
12097,1
12099,NA
12101,NA
12103,NA
12105,NA
12107,NA
12109,NA
12111,NA
12113,1
12115,NA
12117,1
12119,1
12121,1
12123,NA
12125,1
12127,NA
12129,1
12131,NA
12133,1
13001,NA
13003,NA
13005,NA
13007,NA
13009,NA
13011,1
13013,1
13015,NA
13017,NA
13019,1
13021,NA
13023,1
13025,1
13027,1
13029,1
13031,NA
13033,1
13035,1
13037,6
13039,NA
13043,NA
13045,NA
13047,1
13049,4
13051,NA
13053,6
13055,1
13057,1
13059,NA
13061,NA
13063,NA
13065,1
13067,NA
13069,NA
13071,NA
13073,1
13075,1
13077,NA
13079,1
13081,NA
13083,1
13085,1
13087,NA
13089,NA
13091,NA
13093,1
13095,NA
13097,1
13099,1
13101,NA
13103,1
13105,NA
13107,NA
13109,1
13111,NA
13113,NA
13115,NA
13117,1
13119,NA
13121,NA
13123,1
13125,NA
13127,NA
13129,NA
13131,NA
13133,1
13135,1
13137,NA
13139,NA
13141,NA
13143,1
13145,1
13147,1
13149,1
13151,NA
13153,NA
13155,NA
13157,1
13159,1
13161,NA
13163,1
13165,NA
13167,1
13169,1
13171,1
13173,1
13175,NA
13177,1
13179,1
13181,NA
13183,1
13185,NA
13187,1
13189,1
13191,1
13193,1
13195,1
13197,4
13199,1
13201,2
13205,1
13207,1
13209,NA
13211,1
13213,1
13215,NA
13217,1
13219,1
13221,1
13223,1
13225,1
13227,NA
13229,1
13231,1
13233,1
13235,NA
13237,1
13239,NA
13241,1
13243,NA
13245,NA
13247,NA
13249,1
13251,1
13253,1
13255,NA
13257,NA
13259,NA
13261,NA
13263,2
13265,NA
13267,1
13269,1
13271,1
13273,1
13275,NA
13277,NA
13279,NA
13281,NA
13283,NA
13285,NA
13287,1
13289,NA
13291,NA
13293,NA
13295,1
13297,1
13299,NA
13301,NA
13303,1
13305,NA
13307,NA
13309,NA
13311,1
13313,NA
13315,1
13317,1
13319,1
13321,1
15001,1
15003,NA
15005,NA
15007,1
15009,1
16001,NA
16003,NA
16005,NA
16007,NA
16009,NA
16011,NA
16013,1
16015,NA
16017,NA
16019,NA
16021,NA
16023,NA
16025,NA
16027,NA
16029,10
16031,NA
16033,NA
16035,7
16037,NA
16039,1
16041,1
16043,1
16045,17
16047,NA
16049,5
16051,1
16053,6
16055,NA
16057,NA
16059,NA
16061,NA
16063,NA
16065,1
16067,NA
16069,NA
16071,NA
16073,NA
16075,1
16077,14
16079,NA
16081,1
16083,NA
16085,1
16087,NA
17001,NA
17003,2
17005,1
17007,1
17009,1
17011,NA
17013,1
17015,1
17017,1
17019,NA
17021,1
17023,1
17025,1
17027,1
17029,1
17031,NA
17033,1
17035,1
17037,NA
17039,1
17041,1
17043,NA
17045,1
17047,1
17049,NA
17051,NA
17053,NA
17055,1
17057,2
17059,12
17061,1
17063,NA
17065,1
17067,1
17069,NA
17071,NA
17073,NA
17075,NA
17077,NA
17079,1
17081,NA
17083,NA
17085,1
17087,1
17089,NA
17091,NA
17093,1
17095,NA
17097,NA
17099,1
17101,1
17103,NA
17105,1
17107,1
17109,NA
17111,1
17113,1
17115,NA
17117,1
17119,NA
17121,NA
17123,1
17125,1
17127,1
17129,1
17131,1
17133,1
17135,1
17137,NA
17139,1
17141,1
17143,NA
17145,1
17147,1
17149,NA
17151,NA
17153,3
17155,NA
17157,1
17159,NA
17161,NA
17163,1
17165,1
17167,NA
17169,1
17171,3
17173,1
17175,1
17177,NA
17179,1
17181,1
17183,1
17185,NA
17187,1
17189,1
17191,NA
17193,1
17195,1
17197,NA
17199,NA
17201,NA
17203,1
18001,NA
18003,NA
18005,NA
18007,1
18009,1
18011,1
18013,1
18015,1
18017,NA
18019,NA
18021,1
18023,1
18025,1
18027,NA
18029,NA
18031,1
18033,NA
18035,NA
18037,NA
18039,NA
18041,NA
18043,NA
18045,1
18047,1
18049,NA
18051,1
18053,NA
18055,NA
18057,NA
18059,NA
18061,3
18063,NA
18065,NA
18067,NA
18069,NA
18071,NA
18073,NA
18075,NA
18077,NA
18079,1
18081,1
18083,NA
18085,NA
18087,NA
18089,NA
18091,NA
18093,NA
18095,NA
18097,NA
18099,NA
18101,1
18103,4
18105,NA
18107,NA
18109,NA
18111,2
18113,1
18115,7
18117,1
18119,1
18121,1
18123,NA
18125,1
18127,NA
18129,1
18131,NA
18133,NA
18135,1
18137,NA
18139,1
18141,NA
18143,10
18145,NA
18147,1
18149,NA
18151,1
18153,NA
18155,1
18157,NA
18159,NA
18161,1
18163,NA
18165,NA
18167,NA
18169,NA
18171,2
18173,NA
18175,1
18177,NA
18179,NA
18181,1
18183,1
19001,NA
19003,NA
19005,1
19007,NA
19009,NA
19011,1
19013,NA
19015,NA
19017,1
19019,1
19021,NA
19023,2
19025,NA
19027,NA
19029,NA
19031,1
19033,NA
19035,1
19037,6
19039,8
19041,NA
19043,1
19045,NA
19047,NA
19049,1
19051,NA
19053,NA
19055,NA
19057,NA
19059,NA
19061,NA
19063,NA
19065,NA
19067,1
19069,5
19071,NA
19073,NA
19075,7
19077,4
19079,1
19081,8
19083,1
19085,1
19087,NA
19089,NA
19091,1
19093,NA
19095,1
19097,1
19099,NA
19101,NA
19103,NA
19105,1
19107,NA
19109,NA
19111,NA
19113,NA
19115,5
19117,NA
19119,3
19121,1
19123,NA
19125,13
19127,NA
19129,1
19131,1
19133,NA
19135,NA
19137,NA
19139,NA
19141,1
19143,NA
19145,NA
19147,9
19149,1
19151,NA
19153,NA
19155,NA
19157,NA
19159,NA
19161,1
19163,NA
19165,8
19167,5
19169,NA
19171,1
19173,NA
19175,NA
19177,NA
19179,NA
19181,1
19183,1
19185,NA
19187,NA
19189,4
19191,1
19193,NA
19195,9
19197,1
20001,1
20003,1
20005,NA
20007,NA
20009,NA
20011,NA
20013,NA
20015,NA
20017,NA
20019,NA
20021,1
20023,NA
20025,NA
20027,NA
20029,NA
20031,NA
20033,NA
20035,1
