Fips_code,Days Until HealthCare Overwhelmed
01001,28
01003,34
01005,NA
01007,30
01009,29
01011,37
01013,42
01015,41
01017,NA
01019,27
01021,33
01023,NA
01025,NA
01027,NA
01029,36
01031,NA
01033,NA
01035,NA
01037,41
01039,39
01041,34
01043,35
01045,NA
01047,42
01049,42
01051,18
01053,40
01055,NA
01057,NA
01059,NA
01061,NA
01063,40
01065,34
01067,NA
01069,NA
01071,NA
01073,29
01075,NA
01077,NA
01079,NA
01081,40
01083,23
01085,33
01087,30
01089,37
01091,NA
01093,NA
01095,42
01097,41
01099,NA
01101,26
01103,40
01105,NA
01107,38
01109,NA
01111,37
01113,NA
01115,28
01117,27
01119,NA
01121,36
01123,35
01125,32
01127,33
01129,NA
01131,NA
01133,42
02013,NA
02016,NA
02020,33
02050,NA
02060,NA
02068,NA
02070,NA
02090,NA
02100,NA
02105,NA
02110,NA
02122,NA
02130,NA
02150,NA
02158,NA
02164,NA
02170,37
02180,NA
02185,42
02188,NA
02195,NA
02198,NA
02220,NA
02230,NA
02240,NA
02261,NA
02275,NA
02282,NA
02290,NA
04001,NA
04003,35
04005,NA
04007,32
04009,14
04011,29
04012,39
04013,26
04015,32
04017,NA
04019,28
04021,14
04023,35
04025,39
04027,34
05001,34
05003,NA
05005,NA
05007,NA
05009,NA
05011,42
05013,NA
05015,NA
05017,NA
05019,42
05021,NA
05023,38
05025,28
05027,NA
05029,39
05031,NA
05033,NA
05035,29
05037,NA
05039,39
05041,35
05043,38
05045,33
05047,NA
05049,NA
05051,40
05053,23
05055,NA
05057,NA
05059,35
05061,NA
05063,NA
05065,NA
05067,NA
05069,19
05071,NA
05073,NA
05075,NA
05077,NA
05079,28
05081,NA
05083,NA
05085,24
05087,NA
05089,NA
05091,NA
05093,NA
05095,NA
05097,NA
05099,NA
05101,NA
05103,NA
05105,39
05107,NA
05109,NA
05111,NA
05113,NA
05115,NA
05117,39
05119,33
05121,NA
05123,NA
05125,22
05127,NA
05129,NA
05131,NA
05133,NA
05135,NA
05137,NA
05139,NA
05141,42
05143,NA
05145,35
05147,NA
05149,NA
06001,16
06003,NA
06005,26
06007,36
