county,id,date,2.5pctl,25pctl,50pctl,75pctl,97.5pctl
Kings County NY,36047,04/09/20,153,294,335,353,380
Queens County NY,36081,04/09/20,-273,-46,-5,60,135
New York County NY,36061,04/09/20,1032,1267,1319,1353,1414
Bronx County NY,36005,04/09/20,318,396,421,433,441
Richmond County NY,36085,04/09/20,57,94,113,128,144
Westchester County NY,36119,04/09/20,54,254,291,319,343
Bergen County NJ,34003,04/09/20,144,207,236,243,266
Hudson County NJ,34017,04/09/20,28,66,76,84,98
Passaic County NJ,34031,04/09/20,62,83,92,99,109
Putnam County NY,36079,04/09/20,9,22,22,26,26
Rockland County NY,36087,04/09/20,-10,10,20,31,29
Kings County NY,36047,04/10/20,118,286,331,350,379
Queens County NY,36081,04/10/20,-357,-77,-28,48,126
New York County NY,36061,04/10/20,967,1249,1309,1348,1410
Bronx County NY,36005,04/10/20,311,395,422,434,440
Richmond County NY,36085,04/10/20,45,89,110,125,143
Westchester County NY,36119,04/10/20,23,257,293,323,346
Bergen County NJ,34003,04/10/20,126,201,234,241,266
Hudson County NJ,34017,04/10/20,19,62,73,82,97
Passaic County NJ,34031,04/10/20,56,80,90,98,109
Putnam County NY,36079,04/10/20,8,22,22,26,26
Rockland County NY,36087,04/10/20,-12,9,20,32,29
Kings County NY,36047,04/11/20,71,275,325,346,377
Queens County NY,36081,04/11/20,-461,-112,-51,32,116
New York County NY,36061,04/11/20,888,1227,1296,1338,1407
Bronx County NY,36005,04/11/20,293,393,421,433,441
Richmond County NY,36085,04/11/20,27,81,106,122,141
Westchester County NY,36119,04/11/20,-12,253,294,325,348
Bergen County NJ,34003,04/11/20,113,195,229,239,265
Hudson County NJ,34017,04/11/20,7,57,70,79,96
Passaic County NJ,34031,04/11/20,50,77,88,97,109
Putnam County NY,36079,04/11/20,7,22,22,26,26
Rockland County NY,36087,04/11/20,-16,8,20,32,29
Kings County NY,36047,04/12/20,22,260,316,340,374
Queens County NY,36081,04/12/20,-609,-159,-81,15,107
New York County NY,36061,04/12/20,811,1199,1277,1324,1404
Bronx County NY,36005,04/12/20,269,389,418,432,440
Richmond County NY,36085,04/12/20,6,73,101,118,139
Westchester County NY,36119,04/12/20,-64,247,293,325,350
Bergen County NJ,34003,04/12/20,90,186,223,235,264
Hudson County NJ,34017,04/12/20,-8,50,66,76,95
Passaic County NJ,34031,04/12/20,39,74,86,95,108
Putnam County NY,36079,04/12/20,3,22,22,26,26
Rockland County NY,36087,04/12/20,-24,5,19,31,29
Kings County NY,36047,04/13/20,-31,241,304,332,373
Queens County NY,36081,04/13/20,-784,-212,-116,-5,96
New York County NY,36061,04/13/20,735,1158,1254,1305,1400
Bronx County NY,36005,04/13/20,237,379,413,430,439
Richmond County NY,36085,04/13/20,-22,62,94,114,137
Westchester County NY,36119,04/13/20,-124,234,289,323,351
Bergen County NJ,34003,04/13/20,61,174,216,231,261
Hudson County NJ,34017,04/13/20,-28,41,61,73,93
Passaic County NJ,34031,04/13/20,24,67,81,93,107
Putnam County NY,36079,04/13/20,-1,22,21,26,26
Rockland County NY,36087,04/13/20,-33,2,18,30,29
Kings County NY,36047,04/14/20,-119,220,288,321,369
Queens County NY,36081,04/14/20,-991,-278,-156,-28,85
New York County NY,36061,04/14/20,622,1114,1225,1284,1393
Bronx County NY,36005,04/14/20,197,368,407,427,439
Richmond County NY,36085,04/14/20,-60,50,86,110,135
Westchester County NY,36119,04/14/20,-202,218,283,320,351
Bergen County NJ,34003,04/14/20,16,159,208,225,260
Hudson County NJ,34017,04/14/20,-53,30,55,69,91
Passaic County NJ,34031,04/14/20,12,61,78,90,107
Putnam County NY,36079,04/14/20,-5,20,20,26,26
Rockland County NY,36087,04/14/20,-44,-1,16,29,29
Kings County NY,36047,04/15/20,-222,195,272,309,365
Queens County NY,36081,04/15/20,-1218,-354,-207,-56,78
New York County NY,36061,04/15/20,471,1062,1190,1259,1384
Bronx County NY,36005,04/15/20,147,355,399,422,435
Richmond County NY,36085,04/15/20,-127,34,76,103,132
Westchester County NY,36119,04/15/20,-301,197,276,318,350
Bergen County NJ,34003,04/15/20,-35,141,196,218,257
Hudson County NJ,34017,04/15/20,-94,18,47,64,91
Passaic County NJ,34031,04/15/20,-8,52,73,87,105
Putnam County NY,36079,04/15/20,-10,19,19,26,26
Rockland County NY,36087,04/15/20,-52,-5,14,28,29
Kings County NY,36047,04/16/20,-362,161,250,293,360
Queens County NY,36081,04/16/20,-1466,-445,-265,-88,69
New York County NY,36061,04/16/20,339,997,1147,1230,1377
Bronx County NY,36005,04/16/20,96,339,391,416,433
Richmond County NY,36085,04/16/20,-189,13,66,95,128
Westchester County NY,36119,04/16/20,-414,174,263,313,347
Bergen County NJ,34003,04/16/20,-100,121,185,212,255
Hudson County NJ,34017,04/16/20,-135,0,38,57,87
Passaic County NJ,34031,04/16/20,-31,42,66,83,104
Putnam County NY,36079,04/16/20,-17,18,18,26,26
Rockland County NY,36087,04/16/20,-65,-10,11,26,29
