county,id,date,2.5pctl,25pctl,50pctl,75pctl,97.5pctl
Kings County NY,36047,04/09/20,91,200,230,249,270
Queens County NY,36081,04/09/20,-157,-68,-21,13,60
New York County NY,36061,04/09/20,471,623,650,691,730
Bronx County NY,36005,04/09/20,137,220,231,241,248
Richmond County NY,36085,04/09/20,39,66,76,81,100
Westchester County NY,36119,04/09/20,-68,73,120,150,162
Bergen County NJ,34003,04/09/20,48,94,110,119,133
Hudson County NJ,34017,04/09/20,31,60,71,74,84
Passaic County NJ,34031,04/09/20,48,64,72,74,82
Putnam County NY,36079,04/09/20,-1,8,2,8,8
Rockland County NY,36087,04/09/20,-12,16,23,31,31
Kings County NY,36047,04/10/20,75,200,231,250,270
Queens County NY,36081,04/10/20,-175,-78,-26,11,58
New York County NY,36061,04/10/20,458,621,648,691,729
Bronx County NY,36005,04/10/20,140,224,234,243,249
Richmond County NY,36085,04/10/20,37,64,75,80,100
Westchester County NY,36119,04/10/20,-71,80,126,154,164
Bergen County NJ,34003,04/10/20,47,94,110,118,134
Hudson County NJ,34017,04/10/20,30,60,71,74,84
Passaic County NJ,34031,04/10/20,47,63,71,74,82
Putnam County NY,36079,04/10/20,-1,9,2,8,8
Rockland County NY,36087,04/10/20,-12,16,23,31,31
Kings County NY,36047,04/11/20,66,201,232,251,272
Queens County NY,36081,04/11/20,-189,-85,-29,8,56
New York County NY,36061,04/11/20,436,619,648,691,729
Bronx County NY,36005,04/11/20,139,228,236,244,250
Richmond County NY,36085,04/11/20,33,61,74,79,100
Westchester County NY,36119,04/11/20,-75,86,130,158,166
Bergen County NJ,34003,04/11/20,46,94,110,118,134
Hudson County NJ,34017,04/11/20,29,59,70,74,84
Passaic County NJ,34031,04/11/20,46,62,70,73,82
Putnam County NY,36079,04/11/20,-1,10,2,8,8
Rockland County NY,36087,04/11/20,-13,16,23,31,31
Kings County NY,36047,04/12/20,57,199,231,250,271
Queens County NY,36081,04/12/20,-220,-98,-36,5,53
New York County NY,36061,04/12/20,423,614,645,689,729
Bronx County NY,36005,04/12/20,136,229,236,245,250
Richmond County NY,36085,04/12/20,26,59,72,78,99
Westchester County NY,36119,04/12/20,-84,89,133,161,168
Bergen County NJ,34003,04/12/20,38,92,110,118,134
Hudson County NJ,34017,04/12/20,28,59,70,74,84
Passaic County NJ,34031,04/12/20,41,61,70,73,82
Putnam County NY,36079,04/12/20,0,10,2,8,8
Rockland County NY,36087,04/12/20,-12,16,23,31,31
Kings County NY,36047,04/13/20,48,197,229,250,270
Queens County NY,36081,04/13/20,-243,-106,-43,3,52
New York County NY,36061,04/13/20,393,607,641,687,728
Bronx County NY,36005,04/13/20,134,230,236,245,250
Richmond County NY,36085,04/13/20,25,57,71,77,98
Westchester County NY,36119,04/13/20,-92,91,136,162,169
Bergen County NJ,34003,04/13/20,28,91,109,117,133
Hudson County NJ,34017,04/13/20,23,57,69,73,84
Passaic County NJ,34031,04/13/20,38,59,69,73,82
Putnam County NY,36079,04/13/20,1,10,2,8,8
Rockland County NY,36087,04/13/20,-12,15,23,31,31
Kings County NY,36047,04/14/20,39,195,228,249,271
Queens County NY,36081,04/14/20,-271,-119,-50,-2,50
New York County NY,36061,04/14/20,374,603,639,686,729
Bronx County NY,36005,04/14/20,130,229,236,245,250
Richmond County NY,36085,04/14/20,16,54,70,76,97
Westchester County NY,36119,04/14/20,-96,93,137,164,170
Bergen County NJ,34003,04/14/20,22,89,108,116,134
Hudson County NJ,34017,04/14/20,17,55,68,73,84
Passaic County NJ,34031,04/14/20,35,59,68,73,82
Putnam County NY,36079,04/14/20,1,10,2,8,8
Rockland County NY,36087,04/14/20,-13,15,23,31,31
Kings County NY,36047,04/15/20,20,190,226,247,270
Queens County NY,36081,04/15/20,-303,-130,-59,-6,49
New York County NY,36061,04/15/20,353,598,635,683,727
Bronx County NY,36005,04/15/20,122,227,235,245,250
Richmond County NY,36085,04/15/20,10,53,69,75,97
Westchester County NY,36119,04/15/20,-102,91,139,165,172
Bergen County NJ,34003,04/15/20,17,86,107,115,134
Hudson County NJ,34017,04/15/20,15,54,67,72,84
Passaic County NJ,34031,04/15/20,33,57,66,72,82
Putnam County NY,36079,04/15/20,0,10,2,8,8
Rockland County NY,36087,04/15/20,-17,14,23,31,31
Kings County NY,36047,04/16/20,3,185,224,245,269
Queens County NY,36081,04/16/20,-319,-139,-65,-7,47
New York County NY,36061,04/16/20,339,591,631,681,726
Bronx County NY,36005,04/16/20,116,226,235,245,250
Richmond County NY,36085,04/16/20,4,50,68,74,98
Westchester County NY,36119,04/16/20,-110,91,140,165,173
Bergen County NJ,34003,04/16/20,10,84,106,115,133
Hudson County NJ,34017,04/16/20,12,51,65,71,84
Passaic County NJ,34031,04/16/20,29,55,65,72,82
Putnam County NY,36079,04/16/20,0,10,2,8,8
Rockland County NY,36087,04/16/20,-18,13,23,31,31
Kings County NY,36047,04/17/20,-10,182,222,244,269
Queens County NY,36081,04/17/20,-343,-146,-67,-8,48
New York County NY,36061,04/17/20,324,587,628,678,724
Bronx County NY,36005,04/17/20,110,224,235,245,250
Richmond County NY,36085,04/17/20,-6,49,68,74,99
Westchester County NY,36119,04/17/20,-127,90,140,165,173
Bergen County NJ,34003,04/17/20,4,83,104,114,134
Hudson County NJ,34017,04/17/20,9,49,63,70,84
Passaic County NJ,34031,04/17/20,25,54,64,72,82
Putnam County NY,36079,04/17/20,-2,10,2,8,8
Rockland County NY,36087,04/17/20,-18,12,23,31,31
Kings County NY,36047,04/18/20,-22,178,219,242,268
Queens County NY,36081,04/18/20,-376,-152,-70,-7,51
New York County NY,36061,04/18/20,319,583,627,677,722
Bronx County NY,36005,04/18/20,106,225,235,245,250
Richmond County NY,36085,04/18/20,-10,48,67,73,99
Westchester County NY,36119,04/18/20,-136,90,140,165,174
Bergen County NJ,34003,04/18/20,-3,82,103,114,134
Hudson County NJ,34017,04/18/20,5,48,62,70,84
Passaic County NJ,34031,04/18/20,23,54,63,71,82
Putnam County NY,36079,04/18/20,-4,10,2,8,8
Rockland County NY,36087,04/18/20,-19,11,23,31,31
Kings County NY,36047,04/19/20,-31,175,218,241,267
Queens County NY,36081,04/19/20,-392,-159,-70,-5,53
New York County NY,36061,04/19/20,312,582,625,675,721
Bronx County NY,36005,04/19/20,100,223,235,244,250
Richmond County NY,36085,04/19/20,-12,47,67,74,99
Westchester County NY,36119,04/19/20,-148,89,140,166,174
Bergen County NJ,34003,04/19/20,-7,81,103,114,134
Hudson County NJ,34017,04/19/20,3,47,62,70,84
Passaic County NJ,34031,04/19/20,21,54,63,71,82
Putnam County NY,36079,04/19/20,-5,10,2,8,8
Rockland County NY,36087,04/19/20,-20,11,23,31,31
Kings County NY,36047,04/20/20,-39,174,218,241,267
Queens County NY,36081,04/20/20,-411,-162,-68,-5,55
New York County NY,36061,04/20/20,308,583,624,674,721
Bronx County NY,36005,04/20/20,96,220,233,243,250
