location,fips,Date, hosp_new_1, hosp_new_2point5, hosp_new_5, hosp_new_10, hosp_new_15, hosp_new_20, hosp_new_25, hosp_new_30, hosp_new_35, hosp_new_40, hosp_new_45, hosp_new_50, hosp_new_55, hosp_new_60, hosp_new_65, hosp_new_70, hosp_new_75, hosp_new_80, hosp_new_85, hosp_new_90, hosp_new_95, hosp_new_97point5, hosp_new_99, death_1, death_2point5, death_5, death_10, death_15, death_20, death_25, death_30, death_35, death_40, death_45, death_50, death_55, death_60, death_65, death_70, death_75, death_80, death_85, death_90, death_95, death_97point5, death_99, cdeath_1, cdeath_2point5, cdeath_5, cdeath_10, cdeath_15, cdeath_20, cdeath_25, cdeath_30, cdeath_35, cdeath_40, cdeath_45, cdeath_50, cdeath_55, cdeath_60, cdeath_65, cdeath_70, cdeath_75, cdeath_80, cdeath_85, cdeath_90, cdeath_95, cdeath_97point5, cdeath_99
Alabama,1,04/09/20, 0, 0, 1, 2, 2, 3, 3, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 12, 14, 19, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 5, 7, 7, 7
Alaska,2,04/09/20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Arizona,4,04/09/20, 3, 3, 4, 5, 7, 8, 9, 9, 11, 12, 14, 14, 15, 16, 18, 19, 21, 22, 24, 28, 34, 38, 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 7, 2, 4, 8, 15, 22, 25, 27, 34, 39, 43, 53, 56, 65, 70, 80, 84, 92, 94, 105, 111, 116, 125, 126
Arkansas,5,04/09/20, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 5, 6, 6, 9, 12, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
California,6,04/09/20, 80, 94, 103, 124, 141, 150, 169, 184, 194, 199, 207, 213, 222, 243, 253, 273, 290, 304, 326, 351, 421, 431, 608, 5, 6, 9, 10, 12, 14, 15, 15, 16, 17, 18, 20, 20, 21, 22, 24, 25, 27, 31, 36, 43, 47, 55, 29, 53, 139, 286, 411, 518, 623, 697, 836, 917, 1010, 1115, 1201, 1273, 1369, 1455, 1554, 1627, 1763, 1839, 1987, 2067, 2095
Colorado,8,04/09/20, 18, 24, 26, 33, 37, 39, 41, 45, 46, 48, 51, 53, 55, 57, 59, 65, 70, 72, 79, 84, 94, 104, 141, 0, 0, 0, 1, 1, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 8, 9, 10, 11, 6, 11, 33, 52, 66, 89, 105, 116, 132, 151, 164, 186, 209, 222, 232, 253, 272, 286, 309, 327, 351, 363, 368
Connecticut,9,04/09/20, 16, 18, 19, 22, 23, 25, 28, 30, 31, 33, 35, 37, 40, 43, 46, 49, 54, 63, 74, 82, 97, 101, 133, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 5, 5, 5, 6, 6, 8, 9, 11, 13, 18, 8, 15, 32, 77, 94, 119, 137, 156, 176, 198, 216, 229, 246, 275, 293, 321, 337, 358, 382, 399, 422, 439, 441
Delaware,10,04/09/20, 0, 0, 0, 1, 1, 2, 2, 3, 3, 3, 4, 4, 5, 5, 5, 5, 6, 7, 8, 9, 11, 14, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 3, 3, 2, 2, 2, 4, 4, 7, 8, 12, 14, 15, 15, 16, 17, 19, 20, 29, 31, 32, 34, 35, 40, 44, 44
Florida,12,04/09/20, 64, 68, 76, 95, 103, 110, 118, 121, 125, 135, 140, 145, 150, 156, 167, 175, 185, 203, 215, 238, 270, 288, 329, 2, 3, 4, 6, 6, 7, 8, 8, 9, 9, 10, 11, 12, 12, 13, 13, 14, 15, 17, 20, 22, 25, 27, 16, 38, 78, 138, 183, 244, 288, 332, 392, 436, 491, 560, 615, 666, 713, 783, 836, 881, 953, 1011, 1096, 1130, 1143
Georgia,13,04/09/20, 33, 35, 37, 45, 48, 53, 59, 62, 66, 70, 76, 80, 85, 88, 95, 99, 105, 111, 115, 136, 153, 196, 226, 1, 1, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 6, 6, 7, 7, 8, 8, 9, 11, 15, 17, 18, 10, 16, 43, 76, 108, 135, 165, 196, 217, 242, 259, 299, 330, 350, 380, 404, 428, 444, 486, 510, 559, 581, 587
