county,id,date,2.5pctl,25pctl,50pctl,75pctl,97.5pctl
Kings County NY,36047,04/12/20,-2374,-1358,-704,-362,46
Queens County NY,36081,04/12/20,-3181,-1708,-1091,-779,-381
New York County NY,36061,04/12/20,539,1155,1590,1954,2399
Bronx County NY,36005,04/12/20,-1130,-318,-37,184,400
Richmond County NY,36085,04/12/20,-268,-46,42,141,210
Westchester County NY,36119,04/12/20,-1454,-771,-434,-166,48
Bergen County NJ,34003,04/12/20,-431,-114,52,216,340
Hudson County NJ,34017,04/12/20,-75,24,65,115,158
Passaic County NJ,34031,04/12/20,-89,38,101,148,197
Putnam County NY,36079,04/12/20,-60,-14,-1,11,24
Rockland County NY,36087,04/12/20,-581,-387,-288,-217,-99
Kings County NY,36047,04/13/20,-2949,-1626,-922,-499,-29
Queens County NY,36081,04/13/20,-3486,-2006,-1341,-970,-492
New York County NY,36061,04/13/20,227,905,1440,1850,2373
Bronx County NY,36005,04/13/20,-1443,-512,-174,74,327
Richmond County NY,36085,04/13/20,-417,-101,2,121,219
Westchester County NY,36119,04/13/20,-1690,-937,-562,-288,-18
Bergen County NJ,34003,04/13/20,-629,-214,-26,190,330
Hudson County NJ,34017,04/13/20,-125,-9,41,98,145
Passaic County NJ,34031,04/13/20,-142,6,81,131,197
Putnam County NY,36079,04/13/20,-82,-27,-8,5,19
Rockland County NY,36087,04/13/20,-652,-455,-337,-253,-119
Kings County NY,36047,04/14/20,-3679,-1991,-1183,-658,-156
Queens County NY,36081,04/14/20,-4251,-2348,-1617,-1202,-571
New York County NY,36061,04/14/20,-166,632,1267,1716,2337
Bronx County NY,36005,04/14/20,-1766,-757,-331,-46,282
Richmond County NY,36085,04/14/20,-542,-165,-45,97,212
Westchester County NY,36119,04/14/20,-1908,-1104,-713,-398,-97
Bergen County NJ,34003,04/14/20,-850,-333,-101,136,328
Hudson County NJ,34017,04/14/20,-198,-49,13,84,136
Passaic County NJ,34031,04/14/20,-245,-28,46,109,197
Putnam County NY,36079,04/14/20,-109,-37,-16,-2,13
Rockland County NY,36087,04/14/20,-730,-541,-400,-301,-138
Kings County NY,36047,04/15/20,-4370,-2405,-1453,-802,-258
Queens County NY,36081,04/15/20,-4879,-2721,-1897,-1428,-642
New York County NY,36061,04/15/20,-635,312,1086,1534,2336
Bronx County NY,36005,04/15/20,-2215,-992,-503,-176,226
Richmond County NY,36085,04/15/20,-657,-242,-95,73,202
Westchester County NY,36119,04/15/20,-2137,-1342,-844,-523,-154
Bergen County NJ,34003,04/15/20,-1093,-475,-186,91,295
Hudson County NJ,34017,04/15/20,-301,-98,-16,60,121
Passaic County NJ,34031,04/15/20,-328,-71,24,89,196
Putnam County NY,36079,04/15/20,-138,-50,-27,-9,6
Rockland County NY,36087,04/15/20,-876,-626,-467,-346,-159
Kings County NY,36047,04/16/20,-5231,-2790,-1741,-1034,-390
Queens County NY,36081,04/16/20,-5733,-3177,-2248,-1673,-740
New York County NY,36061,04/16/20,-1169,-75,849,1419,2287
Bronx County NY,36005,04/16/20,-2663,-1292,-685,-315,159
Richmond County NY,36085,04/16/20,-799,-317,-166,32,189
Westchester County NY,36119,04/16/20,-2459,-1578,-1065,-649,-243
Bergen County NJ,34003,04/16/20,-1371,-664,-274,27,275
Hudson County NJ,34017,04/16/20,-418,-164,-49,35,113
Passaic County NJ,34031,04/16/20,-414,-117,-10,71,198
Putnam County NY,36079,04/16/20,-170,-62,-37,-16,4
Rockland County NY,36087,04/16/20,-982,-725,-535,-400,-185
Kings County NY,36047,04/17/20,-6058,-3191,-1974,-1280,-519
Queens County NY,36081,04/17/20,-6633,-3701,-2569,-1888,-859
New York County NY,36061,04/17/20,-1798,-487,610,1216,2230
Bronx County NY,36005,04/17/20,-3218,-1627,-913,-486,117
Richmond County NY,36085,04/17/20,-963,-416,-227,0,171
Westchester County NY,36119,04/17/20,-2738,-1836,-1270,-800,-293
Bergen County NJ,34003,04/17/20,-1705,-863,-404,-38,208
Hudson County NJ,34017,04/17/20,-517,-236,-101,11,98
Passaic County NJ,34031,04/17/20,-551,-177,-59,45,188
Putnam County NY,36079,04/17/20,-196,-79,-48,-25,0
Rockland County NY,36087,04/17/20,-1099,-812,-616,-445,-205
Kings County NY,36047,04/18/20,-6992,-3734,-2251,-1474,-661
Queens County NY,36081,04/18/20,-7624,-4171,-2915,-2136,-968
New York County NY,36061,04/18/20,-2513,-951,403,1029,2141
Bronx County NY,36005,04/18/20,-3842,-2008,-1152,-650,64
Richmond County NY,36085,04/18/20,-1108,-529,-297,-30,159
Westchester County NY,36119,04/18/20,-3007,-2071,-1430,-929,-329
Bergen County NJ,34003,04/18/20,-2103,-1038,-536,-116,173
Hudson County NJ,34017,04/18/20,-650,-314,-154,-20,86
Passaic County NJ,34031,04/18/20,-708,-254,-112,9,179
Putnam County NY,36079,04/18/20,-236,-96,-61,-35,-2
Rockland County NY,36087,04/18/20,-1246,-910,-693,-487,-219
Kings County NY,36047,04/19/20,-8033,-4214,-2585,-1677,-775
Queens County NY,36081,04/19/20,-8701,-4756,-3326,-2388,-1015
New York County NY,36061,04/19/20,-3255,-1432,62,860,2067
Bronx County NY,36005,04/19/20,-4437,-2395,-1388,-811,28
Richmond County NY,36085,04/19/20,-1288,-652,-360,-71,138
Westchester County NY,36119,04/19/20,-3286,-2302,-1649,-1033,-370
Bergen County NJ,34003,04/19/20,-2559,-1269,-646,-195,132
Hudson County NJ,34017,04/19/20,-786,-420,-211,-59,59
Passaic County NJ,34031,04/19/20,-908,-330,-162,-24,166
Putnam County NY,36079,04/19/20,-285,-119,-79,-47,-7
Rockland County NY,36087,04/19/20,-1375,-1019,-774,-535,-244
Kings County NY,36047,04/20/20,-9008,-4632,-2915,-1909,-871
Queens County NY,36081,04/20/20,-9748,-5370,-3800,-2746,-1075
New York County NY,36061,04/20/20,-4054,-1956,-368,695,1984
Bronx County NY,36005,04/20/20,-5089,-2806,-1614,-991,-41
Richmond County NY,36085,04/20/20,-1507,-793,-445,-121,133
Westchester County NY,36119,04/20/20,-3572,-2493,-1872,-1145,-397
Bergen County NJ,34003,04/20/20,-2997,-1529,-775,-288,71
Hudson County NJ,34017,04/20/20,-988,-520,-276,-94,40
Passaic County NJ,34031,04/20/20,-1069,-424,-210,-48,148
Putnam County NY,36079,04/20/20,-325,-144,-95,-59,-7
Rockland County NY,36087,04/20/20,-1525,-1130,-861,-584,-250
Kings County NY,36047,04/21/20,-10153,-5140,-3278,-2240,-850
Queens County NY,36081,04/21/20,-10671,-5871,-4285,-3066,-1145
New York County NY,36061,04/21/20,-4853,-2426,-731,456,1899
Bronx County NY,36005,04/21/20,-5705,-3245,-1893,-1178,-92
Richmond County NY,36085,04/21/20,-1784,-942,-538,-184,105
Westchester County NY,36119,04/21/20,-3802,-2756,-2015,-1266,-400
Bergen County NJ,34003,04/21/20,-3474,-1812,-989,-394,33
Hudson County NJ,34017,04/21/20,-1195,-653,-336,-159,32
Passaic County NJ,34031,04/21/20,-1233,-522,-274,-99,132
Putnam County NY,36079,04/21/20,-382,-169,-116,-73,-11
Rockland County NY,36087,04/21/20,-1674,-1247,-952,-643,-281
Kings County NY,36047,04/22/20,-11252,-5778,-3643,-2540,-899
Queens County NY,36081,04/22/20,-11683,-6482,-4796,-3389,-1265
New York County NY,36061,04/22/20,-5504,-2868,-1155,253,1772
Bronx County NY,36005,04/22/20,-6278,-3679,-2183,-1427,-160
Richmond County NY,36085,04/22/20,-2008,-1093,-658,-252,68
Westchester County NY,36119,04/22/20,-4024,-2999,-2206,-1393,-409
