Fips_code,Days Until HealthCare Overwhelmed
01001,30
01003,42
01005,NA
01007,39
01009,36
01011,29
01013,NA
01015,NA
01017,NA
01019,28
01021,37
01023,NA
01025,39
01027,NA
01029,34
01031,NA
01033,NA
01035,41
01037,35
01039,NA
01041,29
01043,NA
01045,NA
01047,NA
01049,NA
01051,21
01053,NA
01055,NA
01057,NA
01059,NA
01061,NA
01063,30
01065,26
01067,NA
01069,NA
01071,NA
01073,NA
01075,NA
01077,NA
01079,NA
01081,NA
01083,28
01085,26
01087,26
01089,NA
01091,NA
01093,NA
01095,NA
01097,NA
01099,NA
01101,33
01103,40
01105,37
01107,36
01109,NA
01111,34
01113,NA
01115,32
01117,39
01119,39
01121,41
01123,NA
01125,41
01127,37
01129,40
01131,NA
01133,NA
02013,NA
02016,NA
02020,38
02050,NA
02060,NA
02068,NA
02070,NA
02090,NA
02100,NA
02105,NA
02110,NA
02122,NA
02130,NA
02150,NA
02158,NA
02164,NA
02170,33
02180,NA
02185,28
02188,NA
02195,NA
02198,NA
02220,NA
02230,NA
02240,NA
02261,41
02275,NA
02282,NA
02290,NA
04001,36
04003,41
04005,NA
04007,NA
04009,NA
04011,NA
04012,NA
04013,30
04015,NA
04017,NA
04019,30
04021,27
04023,33
04025,NA
04027,NA
05001,NA
05003,NA
05005,NA
05007,NA
05009,NA
05011,NA
05013,NA
05015,NA
05017,NA
05019,NA
05021,NA
05023,33
05025,NA
05027,NA
05029,NA
05031,NA
05033,NA
05035,11
05037,32
05039,NA
05041,NA
05043,NA
05045,NA
05047,NA
05049,NA
05051,NA
05053,28
05055,NA
05057,NA
05059,NA
05061,NA
05063,NA
05065,NA
05067,NA
05069,NA
05071,NA
05073,NA
05075,NA
05077,39
05079,39
05081,NA
05083,NA
05085,16
05087,NA
05089,NA
05091,38
05093,NA
05095,40
05097,NA
05099,NA
05101,NA
05103,NA
05105,32
05107,NA
05109,NA
05111,30
05113,NA
05115,NA
05117,37
05119,NA
05121,NA
05123,42
05125,34
05127,NA
05129,NA
05131,NA
05133,NA
05135,NA
05137,NA
05139,NA
05141,41
05143,NA
05145,NA
05147,NA
05149,NA
06001,35
06003,NA
06005,39
06007,NA
06009,35
06011,37
06013,32
06015,NA
06017,30
06019,33
06021,NA
06023,NA
06025,42
06027,NA
06029,41
