Fips_code,Days Until HealthCare Overwhelmed
01001,20
01003,33
01005,40
01007,24
01009,19
01011,25
01013,32
01015,29
01017,29
01019,22
01021,24
01023,39
01025,34
01027,37
01029,22
01031,34
01033,37
01035,34
01037,27
01039,23
01041,24
01043,27
01045,37
01047,36
01049,32
01051,13
01053,36
01055,34
01057,32
01059,35
01061,36
01063,22
01065,18
01067,37
01069,NA
01071,29
01073,24
01075,31
01077,30
01079,30
01081,30
01083,10
01085,21
01087,18
01089,24
01091,37
01093,23
01095,30
01097,34
01099,NA
01101,21
01103,21
01105,28
01107,24
01109,33
01111,23
01113,36
01115,17
01117,20
01119,30
01121,26
01123,31
01125,20
01127,23
01129,35
01131,38
01133,27
02013,42
02016,NA
02020,17
02050,NA
02060,41
02068,NA
02070,NA
02090,42
02100,NA
02105,NA
02110,NA
02122,34
02130,NA
02150,42
02158,NA
02164,NA
02170,20
02180,NA
02185,21
02188,35
02195,NA
02198,NA
02220,NA
02230,NA
02240,42
02261,30
02275,NA
02282,NA
02290,40
04001,26
04003,26
04005,37
04007,29
04009,30
04011,31
04012,28
04013,14
04015,24
04017,29
04019,13
04021,15
04023,23
04025,32
04027,24
05001,36
05003,NA
05005,NA
05007,42
05009,NA
05011,NA
05013,40
05015,NA
05017,NA
05019,35
05021,NA
05023,34
05025,33
05027,40
05029,33
05031,NA
05033,NA
05035,6
05037,24
05039,NA
05041,33
05043,40
05045,30
05047,NA
05049,NA
05051,36
05053,21
05055,NA
05057,NA
05059,31
05061,NA
05063,NA
05065,NA
05067,35
05069,32
05071,NA
05073,NA
05075,41
05077,29
05079,30
05081,40
05083,NA
05085,10
05087,NA
05089,NA
05091,26
05093,37
05095,32
05097,37
05099,NA
05101,NA
05103,NA
05105,25
05107,37
05109,40
05111,21
05113,NA
05115,37
05117,27
05119,29
05121,NA
05123,28
05125,19
05127,NA
05129,38
05131,NA
05133,NA
05135,NA
05137,NA
05139,NA
05141,30
05143,NA
05145,31
05147,38
05149,42
06001,24
06003,34
06005,27
06007,35
06009,20
06011,29
06013,21
06015,NA
06017,13
06019,23
06021,34
06023,22
06025,30
06027,29
06029,13
06031,26
06033,36
06035,NA
06037,15
06039,29
06041,26
06043,28
06045,41
06047,20
06049,NA
06051,35
06053,24
06055,29
06057,21
06059,15
06061,15
06063,28
06065,17
06067,25
06069,20
06071,21
06073,19
06075,25
06077,17
06079,16
06081,21
06083,17
06085,25
06087,25
06089,39
06091,NA
06093,NA
06095,25
06097,26
06099,28
06101,27
06103,33
06105,31
06107,23
06109,32
06111,17
06113,22
06115,27
08001,20
08003,NA
08005,11
08007,NA
08009,NA
08011,NA
08013,13
08014,17
08015,31
08017,39
08019,16
08021,NA
08023,NA
08025,39
08027,37
08029,17
08031,16
08033,NA
08035,17
08037,1
08039,11
08041,9
08043,25
08045,26
08047,17
08049,22
08051,1
08053,30
08055,38
08057,35
08059,10
08061,NA
08063,42
08065,20
08067,NA
08069,12
08071,38
08073,29
08075,33
08077,24
08079,NA
08081,30
08083,41
08085,29
08087,27
08089,36
08091,38
08093,14
08095,NA
08097,23
08099,NA
08101,27
08103,38
08105,NA
08107,15
08109,NA
08111,NA
08113,41
08115,NA
08117,26
08119,16
08121,38
08123,2
08125,NA
09001,2
09003,10
09005,8
09007,12
09009,10
09011,14
09013,7
09015,19
10001,26
10003,18
10005,25
11001,22
12001,32
12003,15
12005,33
12007,13
12009,33
12011,13
12013,33
12015,21
12017,24
12019,11
12021,20
12023,27
12027,22
12029,33
12031,27
12033,21
12035,11
12037,41
12039,19
12041,20
12043,23
12045,37
12047,26
12049,21
12051,23
12053,19
12055,31
12057,17
12059,21
12061,32
12063,40
12065,30
12067,33
12069,16
12071,19
12073,29
12075,17
12077,35
12079,24
12081,23
12083,22
12085,22
12086,11
12087,7
12089,20
12091,22
12093,25
12095,20
12097,11
12099,16
12101,20
12103,21
12105,25
12107,6
12109,13
12111,18
12113,22
12115,13
12117,6
12119,1
12121,16
12123,NA
12125,19
12127,24
12129,24
12131,12
12133,31
13001,NA
13003,39
13005,NA
13007,20
13009,38
13011,18
13013,17
13015,4
13017,41
13019,22
13021,41
13023,41
13025,36
13027,22
13029,38
13031,NA
13033,31
13035,14
13037,21
13039,27
13043,NA
13045,17
13047,18
13049,17
13051,NA
13053,33
13055,23
13057,13
13059,29
