Fips_code,Days Until HealthCare Overwhelmed
01001,21
01003,35
01005,41
01007,25
01009,20
01011,25
01013,34
01015,31
01017,29
01019,22
01021,26
01023,39
01025,34
01027,39
01029,22
01031,35
01033,38
01035,34
01037,27
01039,24
01041,24
01043,29
01045,39
01047,37
01049,34
01051,14
01053,37
01055,36
01057,34
01059,36
01061,37
01063,22
01065,18
01067,37
01069,NA
01071,30
01073,26
01075,31
01077,31
01079,32
01081,31
01083,12
01085,21
01087,18
01089,25
01091,38
01093,24
01095,31
01097,35
01099,NA
01101,23
01103,23
01105,28
01107,25
01109,34
01111,23
01113,38
01115,18
01117,22
01119,30
01121,27
01123,32
01125,22
01127,24
01129,35
01131,38
01133,28
02013,42
02016,NA
02020,19
02050,NA
02060,41
02068,NA
02070,NA
02090,NA
02100,NA
02105,NA
02110,NA
02122,37
02130,NA
02150,42
02158,NA
02164,NA
02170,22
02180,NA
02185,21
02188,35
02195,NA
02198,NA
02220,NA
02230,NA
02240,42
02261,30
02275,NA
02282,NA
02290,40
04001,26
04003,27
04005,39
04007,31
04009,31
04011,31
04012,29
04013,16
04015,25
04017,31
04019,14
04021,17
04023,23
04025,34
04027,25
05001,37
05003,NA
05005,NA
05007,NA
05009,NA
05011,NA
05013,40
05015,NA
05017,NA
05019,35
05021,NA
05023,34
05025,33
05027,41
05029,35
05031,NA
05033,NA
05035,6
05037,24
05039,NA
05041,33
05043,41
05045,32
05047,NA
05049,NA
05051,38
05053,21
05055,NA
05057,NA
05059,31
05061,NA
05063,NA
05065,NA
05067,35
05069,33
05071,NA
05073,NA
05075,41
05077,29
05079,30
05081,40
05083,NA
05085,10
05087,NA
05089,NA
05091,26
05093,38
05095,32
05097,37
05099,NA
05101,NA
05103,NA
05105,25
05107,38
05109,40
05111,21
05113,NA
05115,38
05117,27
05119,32
05121,NA
05123,30
05125,21
05127,NA
05129,38
05131,NA
05133,NA
05135,NA
05137,NA
05139,NA
05141,31
05143,NA
05145,33
05147,38
05149,NA
06001,25
06003,34
06005,28
06007,37
06009,20
06011,29
06013,23
06015,NA
06017,14
06019,25
06021,34
06023,24
06025,32
06027,30
06029,15
06031,27
06033,37
06035,NA
06037,17
06039,31
06041,27
06043,28
06045,42
06047,21
06049,NA
06051,35
06053,26
06055,31
06057,23
06059,17
06061,17
06063,28
06065,18
06067,27
06069,21
06071,23
06073,20
06075,26
06077,19
06079,18
06081,22
06083,19
06085,27
06087,26
06089,41
06091,NA
06093,NA
06095,27
06097,28
06099,29
06101,29
06103,35
06105,31
06107,24
06109,34
06111,18
06113,23
06115,28
08001,22
08003,NA
08005,13
08007,NA
08009,NA
08011,NA
08013,15
08014,19
08015,33
08017,39
08019,16
08021,NA
08023,NA
08025,39
08027,37
08029,18
08031,17
08033,NA
08035,19
08037,20
08039,11
08041,11
08043,25
08045,27
08047,17
08049,22
08051,1
08053,30
08055,39
08057,35
08059,11
08061,NA
08063,42
08065,20
08067,NA
08069,14
08071,38
08073,29
08075,35
08077,25
08079,NA
08081,31
08083,42
08085,31
08087,29
08089,36
08091,38
08093,14
08095,NA
08097,24
08099,NA
08101,29
08103,40
08105,NA
08107,16
08109,NA
08111,NA
08113,41
08115,NA
08117,27
08119,17
08121,38
08123,4
08125,NA
09001,4
09003,12
09005,10
09007,14
09009,12
09011,16
09013,9
09015,21
10001,28
10003,20
10005,27
11001,23
12001,34
12003,15
12005,35
12007,13
12009,35
12011,16
12013,33
12015,22
12017,26
12019,12
12021,21
12023,28
12027,23
12029,33
12031,28
12033,23
12035,13
12037,41
12039,19
12041,20
12043,23
12045,37
12047,26
12049,21
12051,24
12053,20
12055,32
12057,19
12059,21
12061,35
12063,42
12065,30
12067,33
12069,18
12071,20
12073,30
12075,17
12077,35
12079,24
12081,24
12083,24
12085,24
12086,13
12087,9
12089,23
12091,23
12093,27
12095,21
12097,12
12099,18
12101,22
12103,23
12105,27
12107,7
12109,15
12111,20
12113,23
12115,15
12117,7
12119,1
12121,16
12123,NA
12125,19
12127,26
12129,24
12131,14
12133,32
13001,NA
13003,39
13005,NA
13007,20
13009,39
13011,18
13013,17
13015,6
13017,NA
13019,22
13021,NA
13023,41
13025,36
13027,22
13029,38
13031,NA
13033,31
13035,14
13037,21
13039,28
13043,NA
13045,19
13047,18
13049,17
13051,NA
13053,33
13055,23
13057,15
13059,30
13061,39
13063,14
13065,37
13067,19
13069,NA
13071,33
13073,1
13075,31
13077,24
13079,35
13081,30
13083,33
13085,15
13087,34
13089,16
13091,NA
13093,28
13095,13
13097,10
13099,25
13101,28
13103,40
13105,35
13107,NA
13109,NA
13111,32
13113,25
13115,26
13117,18
13119,37
13121,26
13123,18
13125,NA
13127,39
13129,24
13131,31
13133,30
13135,13
13137,28
13139,20
13141,39
13143,20
13145,25
13147,28
13149,22
13151,12
13153,42
13155,38
13157,16
13159,23
13161,NA
13163,42
13165,NA
13167,NA
13169,31
13171,18
13173,26
13175,NA
13177,1
13179,32
13181,35
13183,NA
13185,23
13187,15
13189,37
13191,38
13193,29
13195,15
13197,33
13199,27
13201,34
13205,10
13207,25
13209,NA
13211,17
13213,23
13215,42
13217,18
13219,6
13221,20
13223,24
13225,29
13227,24
13229,40
13231,17
13233,16
13235,NA
13237,28
13239,NA
13241,27
13243,24
13245,NA
13247,17
13249,28
13251,NA
13253,NA
13255,20
13257,37
13259,34
13261,20
13263,32
13265,NA
13267,NA
13269,36
13271,NA
13273,13
13275,37
13277,33
13279,NA
13281,NA
13283,NA
13285,31
13287,22
13289,39
13291,40
13293,33
13295,21
13297,16
13299,NA
13301,41
13303,39
13305,NA
13307,35
13309,NA
13311,16
13313,23
13315,34
13317,29
13319,41
13321,9
15001,38
15003,23
15005,NA
15007,42
15009,17
16001,41
16003,NA
16005,NA
16007,NA
16009,41
16011,NA
16013,NA
16015,34
16017,37
16019,NA
16021,NA
16023,NA
16025,NA
16027,37
16029,NA
16031,NA
16033,NA
16035,NA
16037,NA
16039,42
16041,41
16043,NA
16045,39
16047,NA
16049,NA
16051,NA
16053,NA
16055,32
16057,34
16059,NA
16061,NA
16063,NA
16065,NA
16067,NA
16069,NA
16071,NA
16073,39
16075,37
16077,NA
16079,37
16081,NA
16083,NA
16085,NA
16087,NA
17001,NA
17003,NA
17005,32
17007,10
17009,NA
17011,37
17013,42
17015,28
17017,40
17019,NA
17021,42
17023,38
17025,NA
17027,25
17029,42
17031,11
17033,NA
17035,42
17037,23
17039,33
17041,37
17043,19
17045,39
17047,NA
17049,NA
17051,42
17053,NA
17055,NA
17057,41
17059,NA
17061,31
17063,22
17065,NA
17067,37
17069,NA
17071,40
17073,35
17075,29
17077,NA
17079,NA
17081,NA
17083,27
17085,22
17087,42
17089,14
17091,26
17093,3
17095,NA
17097,10
17099,27
17101,NA
17103,32
17105,28
17107,42
17109,37
17111,15
17113,36
17115,NA
17117,23
17119,26
17121,NA
17123,35
17125,37
17127,NA
17129,39
17131,32
17133,10
17135,38
17137,42
17139,42
17141,26
17143,NA
17145,39
17147,31
17149,42
17151,NA
17153,NA
17155,34
17157,26
17159,NA
17161,33
17163,24
17165,NA
17167,NA
17169,NA
17171,NA
17173,NA
17175,42
17177,36
17179,31
17181,NA
17183,NA
17185,NA
17187,NA
17189,28
17191,NA
17193,NA
17195,35
17197,13
17199,NA
17201,33
17203,34
18001,31
18003,33
18005,28
18007,34
18009,35
18011,18
18013,16
18015,24
18017,34
18019,31
18021,32
18023,16
18025,32
18027,NA
18029,39
18031,27
18033,33
18035,35
18037,NA
18039,29
18041,NA
18043,35
18045,29
18047,24
18049,37
18051,NA
18053,34
18055,42
18057,17
18059,20
18061,29
18063,18
18065,26
18067,28
18069,32
18071,39
18073,30
18075,41
18077,40
18079,31
18081,12
18083,NA
18085,30
18087,33
18089,23
18091,27
18093,34
18095,31
18097,20
18099,27
18101,34
18103,37
18105,32
18107,27
18109,14
18111,22
18113,31
18115,42
18117,32
18119,19
18121,25
18123,NA
18125,NA
18127,24
18129,31
18131,37
18133,20
18135,34
18137,39
18139,24
18141,15
18143,31
18145,18
18147,42
18149,28
18151,32
18153,NA
18155,40
18157,34
18159,30
18161,37
18163,NA
18165,41
18167,40
18169,40
18171,39
18173,NA
18175,29
18177,40
18179,35
18181,32
18183,31
19001,42
19003,NA
19005,41
19007,NA
19009,NA
19011,25
19013,34
19015,40
19017,38
19019,32
19021,NA
19023,33
19025,NA
19027,NA
19029,NA
19031,9
19033,NA
19035,NA
19037,NA
19039,NA
19041,NA
19043,36
19045,NA
19047,32
19049,27
19051,NA
19053,NA
19055,36
19057,41
19059,NA
19061,28
19063,NA
19065,40
19067,NA
19069,NA
19071,NA
19073,NA
19075,39
19077,36
19079,NA
19081,NA
19083,NA
19085,9
19087,31
19089,33
19091,NA
19093,NA
19095,23
19097,31
19099,36
19101,32
19103,27
19105,26
19107,19
19109,NA
19111,NA
19113,28
19115,18
19117,NA
19119,38
19121,40
19123,NA
19125,NA
19127,NA
19129,31
19131,37
19133,41
19135,NA
19137,NA
19139,21
19141,NA
19143,NA
19145,NA
19147,NA
19149,NA
19151,NA
19153,37
19155,38
19157,39
19159,NA
19161,NA
19163,32
19165,31
19167,40
19169,41
19171,27
19173,NA
19175,NA
19177,41
19179,NA
19181,24
19183,7
19185,NA
19187,NA
19189,42
19191,39
19193,NA
19195,40
19197,NA
20001,NA
20003,40
20005,36
20007,NA
20009,NA
20011,NA
20013,NA
20015,27
20017,NA
20019,NA
20021,39
20023,NA
20025,NA
20027,NA
20029,NA
20031,NA
20033,NA
20035,38
20037,NA
20039,NA
20041,NA
20043,33
20045,25
20047,NA
20049,NA
20051,NA
20053,NA
20055,NA
20057,NA
20059,32
20061,NA
20063,NA
20065,NA
20067,NA
20069,NA
20071,NA
20073,36
20075,NA
20077,42
20079,33
20081,NA
20083,NA
20085,35
20087,24
20089,NA
20091,23
20093,NA
20095,35
20097,NA
20099,NA
20101,NA
20103,22
20105,NA
20107,21
20109,NA
20111,38
20113,NA
20115,32
20117,NA
20119,NA
20121,21
20123,NA
20125,NA
20127,NA
20129,NA
20131,NA
20133,NA
20135,NA
20137,NA
20139,28
20141,NA
20143,NA
20145,NA
20147,NA
20149,NA
20151,NA
20153,NA
20155,42
20157,NA
20159,NA
20161,NA
20163,NA
20165,NA
20167,NA
20169,NA
20171,NA
20173,26
20175,NA
20177,37
20179,NA
20181,NA
20183,NA
20185,NA
20187,NA
20189,NA
20191,29
20193,NA
20195,NA
20197,38
20199,NA
20201,NA
20203,NA
20205,NA
20207,NA
20209,28
21001,NA
21003,33
21005,20
21007,NA
21009,NA
21011,24
21013,NA
21015,40
21017,18
21019,NA
21021,37
21023,34
21025,NA
21027,32
21029,11
21031,38
21033,NA
21035,NA
21037,42
21039,NA
21041,34
21043,38
21045,31
21047,33
21049,22
21051,NA
21053,NA
21055,NA
21057,NA
21059,NA
21061,39
21063,NA
21065,24
21067,26
21069,39
21071,NA
21073,29
21075,NA
21077,39
21079,20
21081,27
21083,NA
21085,NA
21087,NA
21089,NA
21091,NA
21093,40
21095,NA
21097,26
21099,38
21101,NA
21103,24
21105,NA
21107,NA
21109,33
21111,31
21113,8
21115,NA
21117,NA
21119,NA
21121,NA
21123,30
21125,NA
21127,NA
21129,NA
21131,NA
21133,NA
21135,42
21137,24
21139,NA
21141,34
21143,NA
21145,NA
21147,NA
21149,NA
21151,26
21153,NA
21155,39
21157,NA
21159,NA
21161,40
21163,23
21165,26
21167,30
21169,NA
21171,NA
21173,24
21175,35
21177,NA
21179,33
21181,23
21183,NA
21185,25
21187,29
21189,NA
21191,28
21193,NA
21195,NA
21197,23
21199,NA
21201,37
21203,27
21205,36
21207,NA
21209,22
21211,23
21213,29
21215,20
21217,NA
21219,28
21221,34
21223,30
21225,NA
21227,41
21229,28
21231,NA
21233,NA
21235,NA
21237,NA
21239,14
22001,19
22003,30
22005,17
22007,15
22009,34
22011,40
22013,20
22015,5
22017,18
22019,42
22021,29
22023,30
22025,41
22027,31
22029,41
22031,7
22033,19
22035,NA
22037,13
22039,33
22041,42
22043,34
22045,26
22047,10
22049,31
22051,15
22053,32
22055,20
22057,21
22059,40
22061,36
22063,4
22065,34
22067,37
22069,34
22071,13
22073,33
22075,1
22077,19
22079,42
22081,20
22083,37
22085,21
22087,7
22089,14
22091,19
22093,23
22095,1
22097,27
22099,10
22101,28
22103,17
22105,24
22107,NA
22109,21
22111,31
22113,22
22115,37
22117,15
22119,28
22121,11
22123,38
22125,16
22127,NA
23001,30
23003,NA
23005,17
23007,35
23009,38
23011,35
23013,34
23015,29
23017,26
23019,41
23021,NA
23023,12
23025,34
23027,32
23029,NA
23031,10
24001,NA
24003,18
24005,17
24009,15
24011,23
24013,18
24015,19
24017,14
24019,35
24021,11
24023,NA
24025,18
24027,12
24029,28
24031,19
24033,15
24035,14
24037,23
24039,31
24041,31
24043,26
24045,38
24047,26
24510,24
25001,2
25003,9
25005,14
25007,25
25009,3
25011,6
25013,16
25015,4
25017,9
25019,33
25021,4
25023,2
25025,22
25027,13
26001,24
26003,NA
26005,23
26007,41
26009,22
26011,31
26013,NA
26015,29
26017,27
26019,36
26021,21
26023,35
26025,31
26027,22
26029,24
26031,21
26033,38
26035,30
26037,18
26039,39
26041,NA
26043,NA
26045,18
26047,33
26049,19
26051,25
26053,NA
26055,37
26057,35
26059,24
26061,NA
26063,30
26065,29
26067,24
26069,27
26071,NA
26073,28
26075,20
26077,41
26079,35
26081,29
26083,NA
26085,37
26087,12
26089,24
26091,16
26093,8
26095,NA
26097,41
26099,5
26101,NA
26103,NA
26105,41
26107,30
26109,42
26111,33
26113,37
26115,11
26117,31
26119,28
26121,34
26123,33
26125,7
26127,28
26129,34
26131,NA
26133,34
26135,29
26137,37
26139,21
26141,26
26143,24
26145,33
26147,18
26149,33
26151,10
26153,NA
26155,21
26157,20
26159,30
26161,16
26163,5
26165,NA
27001,42
27003,28
27005,NA
27007,NA
27009,18
27011,NA
27013,38
27015,NA
27017,NA
27019,29
27021,33
27023,NA
27025,30
27027,30
27029,NA
27031,NA
27033,NA
27035,41
27037,14
27039,12
27041,NA
27043,39
27045,13
27047,40
27049,24
27051,NA
27053,30
27055,28
27057,NA
27059,33
27061,NA
27063,37
27065,41
27067,NA
27069,NA
27071,NA
27073,NA
27075,NA
27077,NA
27079,22
27081,NA
27083,NA
27085,35
27087,NA
27089,NA
27091,27
27093,37
27095,37
27097,34
27099,13
27101,NA
27103,32
27105,NA
27107,NA
27109,30
27111,NA
27113,NA
27115,34
27117,NA
27119,NA
27121,NA
27123,28
27125,NA
27127,NA
27129,NA
27131,26
27133,41
27135,NA
27137,NA
27139,23
27141,14
27143,27
27145,41
27147,31
27149,NA
27151,NA
27153,42
27155,NA
27157,21
27159,NA
27161,31
27163,18
27165,40
27167,NA
27169,28
27171,20
27173,NA
28001,NA
28003,NA
28005,28
28007,NA
28009,17
28011,37
28013,41
28015,38
28017,42
28019,NA
28021,31
28023,NA
28025,NA
28027,39
28029,12
28031,30
28033,21
28035,36
28037,36
28039,40
28041,39
28043,NA
28045,24
28047,27
28049,NA
28051,36
28053,NA
28055,NA
28057,38
28059,34
28061,33
28063,38
28065,27
28067,35
28069,NA
28071,38
28073,30
28075,NA
28077,31
28079,37
28081,NA
28083,NA
28085,38
28087,NA
28089,27
28091,31
28093,14
28095,NA
28097,38
28099,NA
28101,41
28103,32
28105,NA
28107,26
28109,17
28111,29
28113,37
28115,32
28117,NA
28119,30
28121,36
28123,37
28125,NA
28127,33
28129,31
28131,26
28133,NA
28135,31
28137,15
28139,30
28141,NA
28143,16
28145,40
28147,29
28149,NA
28151,25
28153,NA
28155,NA
28157,26
28159,NA
28161,31
28163,35
29001,NA
29003,26
29005,NA
29007,NA
29009,36
29011,NA
29013,33
29015,23
29017,39
29019,NA
29021,37
29023,NA
29025,29
29027,31
29029,NA
29031,NA
29033,34
29035,NA
29037,19
29039,33
29041,41
29043,10
29045,NA
29047,29
29049,24
29051,NA
29053,NA
29055,20
29057,25
29059,21
29061,36
29063,27
29065,NA
29067,25
29069,NA
29071,26
29073,30
29075,42
29077,23
29079,NA
