county,id,date,2.5pctl,25pctl,50pctl,75pctl,97.5pctl
Kings County NY,36047,04/12/20,-1590,-855,-360,-120,186
Queens County NY,36081,04/12/20,-2513,-1268,-833,-493,-266
New York County NY,36061,04/12/20,959,1524,1847,2173,2523
Bronx County NY,36005,04/12/20,-413,36,194,346,486
Richmond County NY,36085,04/12/20,-129,41,122,174,227
Westchester County NY,36119,04/12/20,-1042,-456,-222,-27,182
Bergen County NJ,34003,04/12/20,-198,33,175,271,390
Hudson County NJ,34017,04/12/20,-1,70,101,138,174
Passaic County NJ,34031,04/12/20,-5,83,134,169,213
Putnam County NY,36079,04/12/20,-28,1,10,19,31
Rockland County NY,36087,04/12/20,-429,-276,-208,-150,-81
Kings County NY,36047,04/13/20,-1862,-1045,-508,-212,146
Queens County NY,36081,04/13/20,-2680,-1426,-972,-592,-277
New York County NY,36061,04/13/20,728,1390,1758,2098,2506
Bronx County NY,36005,04/13/20,-644,-96,110,295,434
Richmond County NY,36085,04/13/20,-161,10,95,165,228
Westchester County NY,36119,04/13/20,-1158,-560,-328,-88,116
Bergen County NJ,34003,04/13/20,-294,-22,141,257,374
Hudson County NJ,34017,04/13/20,-20,54,91,134,173
Passaic County NJ,34031,04/13/20,-25,67,124,161,212
Putnam County NY,36079,04/13/20,-33,-7,5,16,28
Rockland County NY,36087,04/13/20,-487,-315,-241,-177,-97
Kings County NY,36047,04/14/20,-2142,-1235,-654,-262,74
Queens County NY,36081,04/14/20,-2944,-1583,-1096,-674,-305
New York County NY,36061,04/14/20,600,1255,1666,2032,2466
Bronx County NY,36005,04/14/20,-824,-224,18,234,385
Richmond County NY,36085,04/14/20,-195,-24,72,151,230
Westchester County NY,36119,04/14/20,-1294,-678,-379,-156,61
Bergen County NJ,34003,04/14/20,-437,-83,92,250,353
Hudson County NJ,34017,04/14/20,-67,40,79,127,164
Passaic County NJ,34031,04/14/20,-49,58,112,152,213
Putnam County NY,36079,04/14/20,-40,-12,2,13,28
Rockland County NY,36087,04/14/20,-522,-349,-272,-204,-110
Kings County NY,36047,04/15/20,-2460,-1428,-763,-328,42
Queens County NY,36081,04/15/20,-3156,-1745,-1230,-794,-352
New York County NY,36061,04/15/20,413,1149,1560,1964,2453
Bronx County NY,36005,04/15/20,-1014,-380,-62,178,361
Richmond County NY,36085,04/15/20,-265,-58,43,144,230
Westchester County NY,36119,04/15/20,-1455,-788,-423,-207,16
Bergen County NJ,34003,04/15/20,-546,-140,61,230,365
Hudson County NJ,34017,04/15/20,-102,25,69,121,160
Passaic County NJ,34031,04/15/20,-70,40,104,149,214
Putnam County NY,36079,04/15/20,-63,-19,-4,8,26
Rockland County NY,36087,04/15/20,-590,-395,-303,-227,-118
Kings County NY,36047,04/16/20,-2800,-1581,-875,-420,-7
Queens County NY,36081,04/16/20,-3347,-1912,-1367,-898,-387
New York County NY,36061,04/16/20,194,1033,1472,1895,2435
Bronx County NY,36005,04/16/20,-1173,-494,-142,122,329
Richmond County NY,36085,04/16/20,-323,-81,15,137,227
Westchester County NY,36119,04/16/20,-1607,-852,-503,-271,-3
Bergen County NJ,34003,04/16/20,-703,-180,10,206,373
Hudson County NJ,34017,04/16/20,-118,5,63,107,159
Passaic County NJ,34031,04/16/20,-115,23,90,141,215
Putnam County NY,36079,04/16/20,-62,-26,-7,5,24
Rockland County NY,36087,04/16/20,-648,-440,-328,-244,-127
Kings County NY,36047,04/17/20,-3048,-1726,-1015,-461,-40
Queens County NY,36081,04/17/20,-3669,-2023,-1461,-978,-431
New York County NY,36061,04/17/20,27,905,1393,1825,2451
Bronx County NY,36005,04/17/20,-1367,-596,-216,49,289
Richmond County NY,36085,04/17/20,-405,-106,-3,131,229
Westchester County NY,36119,04/17/20,-1729,-934,-588,-330,-21
Bergen County NJ,34003,04/17/20,-821,-231,-40,187,384
Hudson County NJ,34017,04/17/20,-160,-13,50,101,149
Passaic County NJ,34031,04/17/20,-150,10,77,135,215
Putnam County NY,36079,04/17/20,-80,-32,-11,2,19
Rockland County NY,36087,04/17/20,-692,-489,-361,-274,-142
Kings County NY,36047,04/18/20,-3319,-1881,-1113,-543,-81
Queens County NY,36081,04/18/20,-3999,-2183,-1554,-1070,-453
New York County NY,36061,04/18/20,-141,740,1360,1774,2461
Bronx County NY,36005,04/18/20,-1671,-706,-294,-15,278
Richmond County NY,36085,04/18/20,-480,-136,-24,125,229
Westchester County NY,36119,04/18/20,-1817,-1014,-625,-372,-2
Bergen County NJ,34003,04/18/20,-974,-287,-68,172,369
Hudson County NJ,34017,04/18/20,-196,-40,37,90,141
Passaic County NJ,34031,04/18/20,-187,-10,57,123,216
Putnam County NY,36079,04/18/20,-103,-39,-16,-1,17
Rockland County NY,36087,04/18/20,-745,-529,-400,-296,-142
Kings County NY,36047,04/19/20,-3595,-1997,-1221,-592,-104
Queens County NY,36081,04/19/20,-4238,-2362,-1657,-1157,-457
New York County NY,36061,04/19/20,-313,579,1326,1749,2449
Bronx County NY,36005,04/19/20,-1899,-821,-354,-60,271
Richmond County NY,36085,04/19/20,-578,-164,-46,119,229
Westchester County NY,36119,04/19/20,-1895,-1109,-681,-390,-12
Bergen County NJ,34003,04/19/20,-1093,-338,-111,139,352
Hudson County NJ,34017,04/19/20,-242,-58,23,85,136
Passaic County NJ,34031,04/19/20,-217,-29,40,115,213
Putnam County NY,36079,04/19/20,-113,-45,-22,-4,16
Rockland County NY,36087,04/19/20,-807,-568,-432,-302,-142
Kings County NY,36047,04/20/20,-3849,-2014,-1258,-637,-128
Queens County NY,36081,04/20/20,-4413,-2532,-1727,-1245,-476
New York County NY,36061,04/20/20,-514,427,1230,1689,2435
Bronx County NY,36005,04/20/20,-2150,-915,-392,-112,270
Richmond County NY,36085,04/20/20,-637,-188,-61,114,229
Westchester County NY,36119,04/20/20,-1928,-1194,-793,-412,-29
Bergen County NJ,34003,04/20/20,-1204,-380,-121,131,327
Hudson County NJ,34017,04/20/20,-285,-79,10,78,132
Passaic County NJ,34031,04/20/20,-248,-36,32,108,211
Putnam County NY,36079,04/20/20,-127,-47,-24,-10,16
Rockland County NY,36087,04/20/20,-876,-603,-461,-314,-152
Kings County NY,36047,04/21/20,-4084,-2105,-1272,-669,-124
Queens County NY,36081,04/21/20,-4666,-2578,-1789,-1323,-469
New York County NY,36061,04/21/20,-694,320,1213,1663,2410
Bronx County NY,36005,04/21/20,-2361,-985,-436,-136,266
Richmond County NY,36085,04/21/20,-668,-204,-76,99,228
Westchester County NY,36119,04/21/20,-1968,-1194,-824,-437,-52
Bergen County NJ,34003,04/21/20,-1316,-428,-164,115,320
Hudson County NJ,34017,04/21/20,-326,-95,-6,67,138
Passaic County NJ,34031,04/21/20,-295,-61,19,103,207
Putnam County NY,36079,04/21/20,-139,-53,-30,-10,18
Rockland County NY,36087,04/21/20,-930,-627,-469,-324,-147
Kings County NY,36047,04/22/20,-4377,-2185,-1322,-683,-99
Queens County NY,36081,04/22/20,-4908,-2647,-1851,-1346,-458
New York County NY,36061,04/22/20,-847,217,1184,1659,2404
Bronx County NY,36005,04/22/20,-2496,-1085,-486,-159,268
Richmond County NY,36085,04/22/20,-707,-237,-82,97,232
Westchester County NY,36119,04/22/20,-1980,-1243,-851,-436,-31
Bergen County NJ,34003,04/22/20,-1486,-449,-173,99,304
Hudson County NJ,34017,04/22/20,-372,-118,-19,58,126
Passaic County NJ,34031,04/22/20,-350,-75,9,96,207
Putnam County NY,36079,04/22/20,-158,-53,-31,-12,20
Rockland County NY,36087,04/22/20,-968,-649,-480,-332,-137
Kings County NY,36047,04/23/20,-4576,-2202,-1361,-702,-126
Queens County NY,36081,04/23/20,-5083,-2774,-1878,-1353,-454
New York County NY,36061,04/23/20,-993,165,1102,1643,2411
Bronx County NY,36005,04/23/20,-2656,-1164,-527,-177,299
Richmond County NY,36085,04/23/20,-747,-263,-88,94,235
Westchester County NY,36119,04/23/20,-1935,-1284,-879,-421,-7
Bergen County NJ,34003,04/23/20,-1613,-505,-189,84,294
Hudson County NJ,34017,04/23/20,-411,-137,-28,55,120
Passaic County NJ,34031,04/23/20,-395,-95,7,84,204
Putnam County NY,36079,04/23/20,-166,-54,-34,-14,22
Rockland County NY,36087,04/23/20,-996,-675,-484,-323,-135
Kings County NY,36047,04/24/20,-4770,-2172,-1318,-702,-88
Queens County NY,36081,04/24/20,-5163,-2868,-1940,-1361,-420
New York County NY,36061,04/24/20,-1068,115,1041,1630,2418
Bronx County NY,36005,04/24/20,-2785,-1252,-566,-159,318
Richmond County NY,36085,04/24/20,-756,-286,-103,86,233
Westchester County NY,36119,04/24/20,-1911,-1304,-858,-409,28
Bergen County NJ,34003,04/24/20,-1683,-553,-207,79,292
Hudson County NJ,34017,04/24/20,-432,-158,-37,50,124
Passaic County NJ,34031,04/24/20,-403,-103,2,81,199
Putnam County NY,36079,04/24/20,-173,-57,-34,-14,18
Rockland County NY,36087,04/24/20,-1039,-679,-491,-323,-120
Kings County NY,36047,04/25/20,-4949,-2180,-1287,-687,-26
Queens County NY,36081,04/25/20,-5214,-2947,-1991,-1320,-388
New York County NY,36061,04/25/20,-1150,113,1028,1644,2419
Bronx County NY,36005,04/25/20,-2887,-1306,-579,-158,334
Richmond County NY,36085,04/25/20,-794,-299,-119,82,221
Westchester County NY,36119,04/25/20,-1850,-1268,-815,-396,66
Bergen County NJ,34003,04/25/20,-1774,-574,-227,76,302
Hudson County NJ,34017,04/25/20,-452,-170,-42,39,130
Passaic County NJ,34031,04/25/20,-423,-108,4,79,200
Putnam County NY,36079,04/25/20,-176,-59,-34,-15,21
Rockland County NY,36087,04/25/20,-1046,-684,-487,-322,-118
Kings County NY,36047,04/26/20,-5056,-2175,-1308,-675,14
Queens County NY,36081,04/26/20,-5328,-2975,-2009,-1314,-315
New York County NY,36061,04/26/20,-1179,127,1056,1654,2420
Bronx County NY,36005,04/26/20,-2903,-1348,-548,-163,358
Richmond County NY,36085,04/26/20,-799,-315,-125,78,221
Westchester County NY,36119,04/26/20,-1765,-1227,-796,-349,96
Bergen County NJ,34003,04/26/20,-1779,-574,-242,77,301
Hudson County NJ,34017,04/26/20,-488,-192,-44,32,133
Passaic County NJ,34031,04/26/20,-427,-113,-2,81,205
Putnam County NY,36079,04/26/20,-178,-60,-36,-16,19
Rockland County NY,36087,04/26/20,-1043,-676,-497,-322,-100
Kings County NY,36047,04/27/20,-4981,-2147,-1235,-638,16
Queens County NY,36081,04/27/20,-5381,-2965,-1995,-1288,-318
New York County NY,36061,04/27/20,-1159,180,1047,1649,2390
Bronx County NY,36005,04/27/20,-2826,-1335,-541,-155,367
Richmond County NY,36085,04/27/20,-770,-316,-117,79,234
Westchester County NY,36119,04/27/20,-1753,-1171,-755,-294,130
Bergen County NJ,34003,04/27/20,-1748,-591,-240,94,312
Hudson County NJ,34017,04/27/20,-508,-197,-46,37,131
Passaic County NJ,34031,04/27/20,-434,-123,-6,77,204
Putnam County NY,36079,04/27/20,-174,-63,-38,-13,19
Rockland County NY,36087,04/27/20,-1027,-670,-490,-308,-89
Kings County NY,36047,04/28/20,-4851,-2037,-1165,-630,42
Queens County NY,36081,04/28/20,-5358,-2923,-1964,-1292,-289
New York County NY,36061,04/28/20,-1118,234,1099,1682,2394
Bronx County NY,36005,04/28/20,-2788,-1337,-509,-133,375
Richmond County NY,36085,04/28/20,-789,-320,-109,78,237
Westchester County NY,36119,04/28/20,-1743,-1101,-699,-258,168
Bergen County NJ,34003,04/28/20,-1692,-596,-226,109,319
Hudson County NJ,34017,04/28/20,-532,-199,-47,34,135
Passaic County NJ,34031,04/28/20,-442,-125,-2,76,196
Putnam County NY,36079,04/28/20,-185,-61,-36,-14,17
Rockland County NY,36087,04/28/20,-1047,-657,-471,-297,-80
Kings County NY,36047,04/29/20,-4696,-1919,-1098,-607,92
Queens County NY,36081,04/29/20,-5313,-2893,-1931,-1254,-259
New York County NY,36061,04/29/20,-1054,314,1154,1726,2399
Bronx County NY,36005,04/29/20,-2830,-1332,-497,-111,413
Richmond County NY,36085,04/29/20,-773,-300,-98,84,235
Westchester County NY,36119,04/29/20,-1676,-1029,-672,-217,217
Bergen County NJ,34003,04/29/20,-1680,-592,-223,117,328
Hudson County NJ,34017,04/29/20,-538,-204,-39,38,133
Passaic County NJ,34031,04/29/20,-469,-134,1,76,192
Putnam County NY,36079,04/29/20,-196,-58,-39,-15,18
Rockland County NY,36087,04/29/20,-1025,-648,-458,-282,-71
Kings County NY,36047,04/30/20,-4574,-1825,-1060,-566,132
Queens County NY,36081,04/30/20,-5272,-2792,-1873,-1236,-243
New York County NY,36061,04/30/20,-997,383,1180,1766,2396
Bronx County NY,36005,04/30/20,-2821,-1297,-499,-92,448
Richmond County NY,36085,04/30/20,-752,-303,-87,86,243
Westchester County NY,36119,04/30/20,-1627,-949,-625,-164,241
Bergen County NJ,34003,04/30/20,-1614,-590,-205,113,341
Hudson County NJ,34017,04/30/20,-535,-204,-35,36,135
Passaic County NJ,34031,04/30/20,-466,-115,-3,78,197
Putnam County NY,36079,04/30/20,-186,-59,-36,-14,23
Rockland County NY,36087,04/30/20,-994,-621,-438,-267,-51
Kings County NY,36047,05/01/20,-4469,-1724,-992,-502,196
Queens County NY,36081,05/01/20,-5171,-2684,-1809,-1182,-181
New York County NY,36061,05/01/20,-909,479,1236,1820,2408
Bronx County NY,36005,05/01/20,-2699,-1240,-445,-35,476
Richmond County NY,36085,05/01/20,-720,-290,-71,91,242
Westchester County NY,36119,05/01/20,-1569,-877,-556,-138,250
Bergen County NJ,34003,05/01/20,-1520,-574,-192,125,343
Hudson County NJ,34017,05/01/20,-549,-193,-37,40,137
Passaic County NJ,34031,05/01/20,-466,-102,1,86,196
Putnam County NY,36079,05/01/20,-171,-58,-33,-12,27
Rockland County NY,36087,05/01/20,-955,-616,-417,-258,-37
Kings County NY,36047,05/02/20,-4304,-1601,-923,-427,232
Queens County NY,36081,05/02/20,-5044,-2621,-1700,-1122,-127
New York County NY,36061,05/02/20,-793,586,1286,1858,2418
Bronx County NY,36005,05/02/20,-2579,-1210,-403,14,517
Richmond County NY,36085,05/02/20,-683,-276,-58,97,245
Westchester County NY,36119,05/02/20,-1512,-799,-485,-85,271
Bergen County NJ,34003,05/02/20,-1440,-559,-157,140,350
Hudson County NJ,34017,05/02/20,-529,-188,-32,41,139
Passaic County NJ,34031,05/02/20,-439,-98,12,89,200
Putnam County NY,36079,05/02/20,-166,-60,-33,-9,29
Rockland County NY,36087,05/02/20,-915,-585,-398,-231,-28
Kings County NY,36047,05/03/20,-4142,-1483,-842,-367,253
Queens County NY,36081,05/03/20,-4837,-2550,-1600,-1052,-87
New York County NY,36061,05/03/20,-645,687,1377,1921,2419
Bronx County NY,36005,05/03/20,-2439,-1133,-375,49,538
Richmond County NY,36085,05/03/20,-652,-259,-41,104,246
Westchester County NY,36119,05/03/20,-1402,-710,-391,-34,304
Bergen County NJ,34003,05/03/20,-1370,-515,-129,151,366
Hudson County NJ,34017,05/03/20,-514,-181,-23,49,144
