location,fips,Date, hosp_new_1, hosp_new_2point5, hosp_new_5, hosp_new_10, hosp_new_15, hosp_new_20, hosp_new_25, hosp_new_30, hosp_new_35, hosp_new_40, hosp_new_45, hosp_new_50, hosp_new_55, hosp_new_60, hosp_new_65, hosp_new_70, hosp_new_75, hosp_new_80, hosp_new_85, hosp_new_90, hosp_new_95, hosp_new_97point5, hosp_new_99, death_1, death_2point5, death_5, death_10, death_15, death_20, death_25, death_30, death_35, death_40, death_45, death_50, death_55, death_60, death_65, death_70, death_75, death_80, death_85, death_90, death_95, death_97point5, death_99, cdeath_1, cdeath_2point5, cdeath_5, cdeath_10, cdeath_15, cdeath_20, cdeath_25, cdeath_30, cdeath_35, cdeath_40, cdeath_45, cdeath_50, cdeath_55, cdeath_60, cdeath_65, cdeath_70, cdeath_75, cdeath_80, cdeath_85, cdeath_90, cdeath_95, cdeath_97point5, cdeath_99
Alabama,1,04/16/20, 38, 42, 45, 49, 55, 59, 62, 64, 68, 71, 74, 80, 84, 87, 90, 98, 105, 116, 122, 126, 144, 175, 270, 0, 0, 1, 1, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 7, 9, 11, 16, 20, 16, 19, 21, 24, 27, 29, 30, 31, 34, 35, 36, 38, 40, 45, 48, 51, 53, 60, 64, 76, 85, 94, 131
Alaska,2,04/16/20, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 6, 6, 6, 7, 8, 11, 15, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 9, 14, 16, 19, 26
Arizona,4,04/16/20, 31, 31, 34, 38, 41, 47, 50, 53, 56, 58, 62, 66, 74, 81, 92, 106, 115, 125, 148, 179, 267, 338, 420, 3, 3, 4, 5, 5, 5, 6, 6, 7, 7, 8, 9, 9, 9, 10, 10, 12, 13, 14, 16, 18, 21, 30, 56, 63, 69, 71, 76, 79, 84, 86, 87, 89, 90, 92, 101, 105, 108, 115, 124, 132, 137, 152, 169, 197, 206
Arkansas,5,04/16/20, 7, 8, 9, 11, 12, 13, 14, 15, 17, 20, 22, 23, 25, 27, 29, 31, 33, 35, 37, 41, 44, 53, 60, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 6, 7, 10, 6, 6, 6, 8, 9, 9, 10, 10, 11, 12, 12, 13, 14, 16, 19, 21, 22, 25, 32, 38, 44, 71, 89
California,6,04/16/20, 313, 351, 361, 421, 455, 503, 525, 573, 618, 669, 705, 761, 790, 886, 953, 1024, 1089, 1279, 1455, 1858, 2259, 2394, 2516, 45, 49, 56, 63, 68, 72, 73, 75, 79, 80, 82, 87, 89, 91, 93, 95, 101, 105, 112, 116, 127, 147, 189, 705, 759, 811, 838, 886, 907, 926, 947, 979, 988, 998, 1026, 1051, 1065, 1111, 1135, 1176, 1232, 1264, 1422, 1622, 1744, 1851
Colorado,8,04/16/20, 67, 69, 77, 88, 96, 107, 117, 123, 131, 142, 155, 164, 173, 176, 186, 207, 224, 247, 262, 286, 375, 423, 460, 14, 16, 18, 20, 20, 21, 21, 22, 23, 23, 25, 27, 28, 29, 29, 31, 34, 36, 37, 42, 46, 49, 53, 184, 190, 204, 216, 232, 242, 249, 261, 266, 274, 283, 301, 310, 320, 333, 347, 364, 379, 398, 442, 471, 551, 731
Connecticut,9,04/16/20, 423, 530, 555, 678, 716, 740, 817, 912, 945, 967, 1003, 1030, 1094, 1154, 1249, 1296, 1406, 1463, 1599, 1802, 2029, 2228, 2832, 75, 76, 77, 82, 85, 88, 91, 96, 102, 102, 104, 105, 108, 109, 115, 117, 119, 121, 133, 141, 151, 167, 188, 540, 547, 590, 610, 617, 638, 653, 660, 669, 685, 695, 700, 722, 733, 744, 760, 781, 799, 817, 864, 921, 961, 1025
Delaware,10,04/16/20, 63, 65, 69, 74, 80, 89, 94, 97, 101, 107, 113, 116, 123, 128, 132, 141, 149, 157, 169, 183, 234, 289, 364, 0, 0, 1, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 7, 7, 8, 9, 10, 11, 14, 10, 11, 14, 15, 16, 17, 18, 20, 20, 22, 25, 26, 28, 29, 30, 32, 37, 40, 43, 53, 66, 93, 110
Florida,12,04/16/20, 256, 260, 291, 340, 376, 399, 417, 439, 473, 504, 534, 587, 660, 682, 730, 796, 849, 934, 1139, 1278, 1468, 2358, 3621, 27, 29, 33, 35, 37, 39, 41, 43, 46, 47, 49, 50, 53, 55, 59, 64, 68, 74, 75, 87, 104, 111, 144, 393, 435, 438, 468, 492, 512, 525, 541, 554, 560, 584, 607, 631, 651, 671, 701, 719, 792, 831, 879, 1044, 1272, 1341
Georgia,13,04/16/20, 112, 129, 139, 172, 195, 211, 219, 235, 249, 274, 283, 290, 299, 313, 333, 342, 372, 400, 425, 501, 554, 582, 689, 15, 16, 16, 18, 20, 22, 23, 24, 25, 26, 29, 30, 30, 31, 32, 33, 35, 37, 38, 40, 46, 50, 56, 112, 141, 149, 160, 170, 178, 186, 193, 200, 214, 224, 228, 242, 247, 253, 272, 290, 309, 359, 403, 544, 615, 651
