ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,17,7,29,94,59,146
2,Baldwin County AL,01003,01,20,13,33,101,67,151
3,Barbour County AL,01005,01,4,0,29,41,4,94
4,Bibb County AL,01007,01,0,0,13,9,0,54
5,Blount County AL,01009,01,13,4,28,56,26,107
6,Bullock County AL,01011,01,5,0,40,40,0,109
7,Butler County AL,01013,01,10,5,26,26,5,72
8,Calhoun County AL,01015,01,4,1,9,14,4,32
9,Chambers County AL,01017,01,0,0,6,3,0,21
10,Cherokee County AL,01019,01,4,0,12,12,0,32
11,Chilton County AL,01021,01,17,2,37,84,35,161
12,Choctaw County AL,01023,01,0,0,16,0,0,80
13,Clarke County AL,01025,01,0,0,8,9,0,64
14,Clay County AL,01027,01,0,0,0,0,0,8
15,Cleburne County AL,01029,01,0,0,21,21,0,69
16,Coffee County AL,01031,01,2,0,6,8,2,16
17,Colbert County AL,01033,01,0,0,4,3,0,11
18,Conecuh County AL,01035,01,0,0,8,0,0,49
19,Coosa County AL,01037,01,0,0,20,0,0,69
20,Covington County AL,01039,01,3,0,8,8,0,28
21,Crenshaw County AL,01041,01,0,0,7,0,0,44
22,Cullman County AL,01043,01,34,21,60,146,93,221
23,Dale County AL,01045,01,4,2,12,17,7,48
24,Dallas County AL,01047,01,5,0,11,13,0,37
25,DeKalb County AL,01049,01,7,0,17,24,6,56
26,Elmore County AL,01051,01,41,28,63,177,117,239
27,Escambia County AL,01053,01,0,0,8,6,0,27
28,Etowah County AL,01055,01,7,2,16,33,14,65
29,Fayette County AL,01057,01,16,0,50,81,25,163
30,Franklin County AL,01059,01,0,0,7,3,0,23
31,Geneva County AL,01061,01,0,0,4,4,0,23
32,Greene County AL,01063,01,0,0,25,25,0,86
33,Hale County AL,01065,01,0,0,14,0,0,35
34,Henry County AL,01067,01,0,0,18,18,0,47
35,Houston County AL,01069,01,18,9,31,82,51,129
36,Jackson County AL,01071,01,4,2,12,15,5,40
