ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,84,46,123,748,433,1091
2,Baldwin County AL,01003,01,58,39,95,272,196,456
3,Barbour County AL,01005,01,17,0,52,191,2,474
4,Bibb County AL,01007,01,161,91,243,1595,848,2424
5,Blount County AL,01009,01,32,6,70,237,52,556
6,Bullock County AL,01011,01,44,14,84,337,189,583
7,Butler County AL,01013,01,46,10,98,289,145,497
8,Calhoun County AL,01015,01,101,55,152,649,367,1053
9,Chambers County AL,01017,01,33,9,78,226,108,441
10,Cherokee County AL,01019,01,91,43,134,995,640,1628
11,Chilton County AL,01021,01,90,50,147,711,458,1175
12,Choctaw County AL,01023,01,41,8,97,487,155,1034
13,Clarke County AL,01025,01,228,153,330,2526,1858,3432
14,Clay County AL,01027,01,200,100,301,2208,1167,3393
15,Cleburne County AL,01029,01,35,1,104,487,62,1157
16,Coffee County AL,01031,01,32,12,75,259,117,640
17,Colbert County AL,01033,01,84,43,144,489,283,795
18,Conecuh County AL,01035,01,99,33,173,915,364,1852
19,Coosa County AL,01037,01,48,10,88,452,186,925
20,Covington County AL,01039,01,36,5,72,466,131,865
21,Crenshaw County AL,01041,01,126,53,223,1225,509,2095
22,Cullman County AL,01043,01,73,38,112,373,210,602
23,Dale County AL,01045,01,23,4,48,198,45,399
24,Dallas County AL,01047,01,49,19,84,394,218,673
25,DeKalb County AL,01049,01,99,54,144,595,359,962
26,Elmore County AL,01051,01,60,32,99,509,244,820
27,Escambia County AL,01053,01,119,77,161,1126,704,1682
28,Etowah County AL,01055,01,79,48,130,496,291,889
29,Fayette County AL,01057,01,138,44,231,1034,431,1767
30,Franklin County AL,01059,01,199,131,270,1491,1125,2083
31,Geneva County AL,01061,01,70,20,131,678,247,1157
32,Greene County AL,01063,01,36,0,120,399,99,1018
33,Hale County AL,01065,01,68,21,130,822,343,1391
34,Henry County AL,01067,01,53,6,99,672,287,1332
35,Houston County AL,01069,01,20,5,47,139,34,286
36,Jackson County AL,01071,01,268,175,352,1715,1069,2152
37,Jefferson County AL,01073,01,137,85,189,621,388,846
38,Lamar County AL,01075,01,104,23,193,1349,534,2623
39,Lauderdale County AL,01077,01,57,31,92,499,260,827
40,Lawrence County AL,01079,01,64,25,116,649,306,1131
