ID,Name,FIPS,STATE,Re_median,Re_2.5pct,Re_97.5pct,totalcases
1,Autauga County AL,01001,01,0.73,0.69,0.78,5858
2,Baldwin County AL,01003,01,0.62,0.4,0.84,18383.6428571429
3,Barbour County AL,01005,01,0.74,0.65,0.81,1874
4,Bibb County AL,01007,01,0.67,0.59,0.74,2219
5,Blount County AL,01009,01,0.66,0.59,0.73,6001
6,Bullock County AL,01011,01,0.81,0.73,0.88,891
7,Butler County AL,01013,01,0.76,0.7,0.88,1813.5
8,Calhoun County AL,01015,01,0.87,0.73,1.01,12200.1666666667
9,Chambers County AL,01017,01,0.61,0.45,0.71,3125
10,Cherokee County AL,01019,01,0.61,0.47,0.81,1607
11,Chilton County AL,01021,01,1.12,0.96,1.36,3555
12,Choctaw County AL,01023,01,0.86,0.59,1.03,433.5
13,Clarke County AL,01025,01,0.73,0.67,0.87,2705.5
14,Clay County AL,01027,01,0.85,0.79,0.93,1305.5
15,Cleburne County AL,01029,01,0.7,0.64,0.75,1228.5
16,Coffee County AL,01031,01,0.47,0.33,0.58,4790
17,Colbert County AL,01033,01,0.5,0.37,0.64,5321
18,Conecuh County AL,01035,01,0.94,0.84,1.03,888.5
19,Coosa County AL,01037,01,1.07,0.98,1.19,723.5
20,Covington County AL,01039,01,0.73,0.64,0.82,3601
21,Crenshaw County AL,01041,01,0.73,0.67,0.83,1288.5
22,Cullman County AL,01043,01,0.53,0.41,0.62,8478
23,Dale County AL,01045,01,0.91,0.7,1.11,4084.66666666667
24,Dallas County AL,01047,01,0.76,0.65,0.86,3214
25,DeKalb County AL,01049,01,0.84,0.79,0.9,8109.5
26,Elmore County AL,01051,01,0.64,0.53,0.73,8961
27,Escambia County AL,01053,01,0.51,0.4,0.68,3311
28,Etowah County AL,01055,01,0.51,0.34,0.67,12427.5
29,Fayette County AL,01057,01,0.7,0.62,0.8,1826
30,Franklin County AL,01059,01,0.65,0.58,0.91,3727
31,Geneva County AL,01061,01,0.59,0.48,0.71,2130.16666666667
32,Greene County AL,01063,01,0.77,0.69,0.87,768.5
33,Hale County AL,01065,01,0.53,0.46,0.68,1962
34,Henry County AL,01067,01,0.68,0.63,0.76,1621.16666666667
35,Houston County AL,01069,01,0.47,0.29,0.7,8775.5
36,Jackson County AL,01071,01,0.57,0.43,0.67,6217
37,Jefferson County AL,01073,01,0.48,0.32,0.66,69820.7857142857
38,Lamar County AL,01075,01,0.68,0.62,0.73,1238.16666666667
39,Lauderdale County AL,01077,01,0.37,0.24,0.56,8263.66666666667
40,Lawrence County AL,01079,01,0.68,0.5,0.81,2697
41,Lee County AL,01081,01,0.56,0.31,0.94,13973
42,Limestone County AL,01083,01,0.54,0.34,0.69,9032
43,Lowndes County AL,01085,01,0.69,0.64,0.77,1160.5
44,Macon County AL,01087,01,0.78,0.69,0.87,1283
45,Madison County AL,01089,01,0.32,0.26,0.8,31403.5
46,Marengo County AL,01091,01,0.76,0.69,0.85,2047
47,Marion County AL,01093,01,0.66,0.57,0.72,2603.5
48,Marshall County AL,01095,01,0.72,0.63,0.79,10703.5
49,Mobile County AL,01097,01,0.47,0.26,0.81,33745
50,Monroe County AL,01099,01,0.71,0.58,0.86,1466.5
51,Montgomery County AL,01101,01,0.59,0.41,0.86,21654.8333333333
52,Morgan County AL,01103,01,0.55,0.39,0.65,13214
53,Perry County AL,01105,01,0.93,0.79,1.02,974
54,Pickens County AL,01107,01,0.72,0.66,0.79,2111
55,Pike County AL,01109,01,0.59,0.49,0.7,2817.5
56,Randolph County AL,01111,01,0.81,0.72,0.91,1482
57,Russell County AL,01113,01,0.65,0.42,0.98,3696
58,St. Clair County AL,01115,01,0.57,0.35,0.69,8541.5
59,Shelby County AL,01117,01,0.51,0.37,0.69,21645.5
60,Sumter County AL,01119,01,0.85,0.76,0.91,827.5
61,Talladega County AL,01121,01,0.65,0.44,0.9,6766.5
62,Tallapoosa County AL,01123,01,0.8,0.61,0.94,3012.5
63,Tuscaloosa County AL,01125,01,0.57,0.38,0.75,22082.0238095238
64,Walker County AL,01127,01,0.87,0.76,0.96,5784
65,Washington County AL,01129,01,0.74,0.68,0.8,1273.33333333333
66,Wilcox County AL,01131,01,0.85,0.78,0.95,1011.5
67,Winston County AL,01133,01,0.62,0.49,0.7,2119
70,Anchorage Municipality AK,02020,02,0.86,0.71,1.05,25705
71,Bethel Census Area AK,02050,02,0.61,0.54,0.7,2966.5
75,Fairbanks North Star Borough AK,02090,02,1.07,0.9,1.28,5871.5
78,Juneau City and Borough AK,02110,02,0.88,0.73,1.03,994
79,Kenai Peninsula Borough AK,02122,02,0.86,0.81,0.91,3806
81,Kodiak Island Borough AK,02150,02,0.6,0.52,0.67,940
82,Kusilvak Census Area AK,02158,02,0.61,0.54,0.67,842.5
84,Matanuska-Susitna Borough AK,02170,02,0.89,0.86,0.95,8278.5
86,North Slope Borough AK,02185,02,0.59,0.52,0.67,921
87,Northwest Arctic Borough AK,02188,02,0.52,0.45,0.6,416
