ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,56,33,81,286,215,416
2,Baldwin County AL,01003,01,35,23,50,166,114,254
3,Barbour County AL,01005,01,38,17,58,212,119,307
4,Bibb County AL,01007,01,23,5,59,134,63,220
5,Blount County AL,01009,01,27,11,46,123,81,191
6,Bullock County AL,01011,01,49,10,119,336,128,583
7,Butler County AL,01013,01,31,5,66,164,97,312
8,Calhoun County AL,01015,01,91,72,122,413,311,535
9,Chambers County AL,01017,01,26,10,49,125,52,227
10,Cherokee County AL,01019,01,4,0,24,24,0,95
11,Chilton County AL,01021,01,73,39,116,347,203,512
12,Choctaw County AL,01023,01,0,0,32,1,0,129
13,Clarke County AL,01025,01,12,0,48,118,0,287
14,Clay County AL,01027,01,46,15,108,247,146,454
15,Cleburne County AL,01029,01,28,7,83,204,90,344
16,Coffee County AL,01031,01,6,0,23,45,11,118
17,Colbert County AL,01033,01,0,0,9,4,0,33
18,Conecuh County AL,01035,01,7,0,40,58,0,294
19,Coosa County AL,01037,01,92,38,194,536,278,942
20,Covington County AL,01039,01,61,33,88,332,204,471
21,Crenshaw County AL,01041,01,44,8,117,305,131,517
22,Cullman County AL,01043,01,8,2,17,41,18,80
23,Dale County AL,01045,01,43,18,77,195,108,318
24,Dallas County AL,01047,01,13,3,34,72,32,132
25,DeKalb County AL,01049,01,10,3,24,41,15,73
26,Elmore County AL,01051,01,58,40,85,290,208,423
27,Escambia County AL,01053,01,22,5,46,131,49,252
28,Etowah County AL,01055,01,24,11,35,114,75,167
29,Fayette County AL,01057,01,13,6,38,66,21,135
30,Franklin County AL,01059,01,6,0,23,33,0,104
31,Geneva County AL,01061,01,8,0,27,59,9,150
32,Greene County AL,01063,01,24,12,98,148,49,332
33,Hale County AL,01065,01,22,8,56,111,34,226
34,Henry County AL,01067,01,36,12,71,252,129,393
35,Houston County AL,01069,01,18,8,34,90,38,165
36,Jackson County AL,01071,01,16,5,30,64,32,112
37,Jefferson County AL,01073,01,32,25,45,162,120,215
38,Lamar County AL,01075,01,23,8,59,120,53,238
39,Lauderdale County AL,01077,01,14,4,23,63,30,102
40,Lawrence County AL,01079,01,21,6,43,110,40,187
41,Lee County AL,01081,01,33,17,60,113,66,194
42,Limestone County AL,01083,01,22,11,43,116,59,195
43,Lowndes County AL,01085,01,20,0,61,124,6,273
44,Macon County AL,01087,01,27,6,72,151,65,301
45,Madison County AL,01089,01,39,28,56,167,120,245
