ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,4,1,19,12,3,43
2,Baldwin County AL,01003,01,15,9,26,55,38,86
3,Barbour County AL,01005,01,0,0,0,0,0,0
4,Bibb County AL,01007,01,9,0,49,49,9,121
5,Blount County AL,01009,01,2,0,11,8,1,25
6,Bullock County AL,01011,01,0,0,0,0,0,0
7,Butler County AL,01013,01,0,0,10,10,0,31
8,Calhoun County AL,01015,01,4,1,10,10,4,28
9,Chambers County AL,01017,01,0,0,18,0,0,54
10,Cherokee County AL,01019,01,0,0,4,0,0,8
11,Chilton County AL,01021,01,0,0,5,0,0,14
12,Choctaw County AL,01023,01,0,0,0,0,0,0
13,Clarke County AL,01025,01,0,0,0,0,0,0
14,Clay County AL,01027,01,0,0,31,0,0,92
15,Cleburne County AL,01029,01,0,0,0,0,0,0
16,Coffee County AL,01031,01,3,1,14,9,4,40
17,Colbert County AL,01033,01,4,0,13,12,1,47
18,Conecuh County AL,01035,01,0,0,16,0,0,41
19,Coosa County AL,01037,01,0,0,39,0,0,97
20,Covington County AL,01039,01,12,4,26,32,13,71
21,Crenshaw County AL,01041,01,29,0,73,109,35,249
22,Cullman County AL,01043,01,10,3,21,37,15,66
23,Dale County AL,01045,01,3,1,19,8,1,40
24,Dallas County AL,01047,01,0,0,5,0,0,13
25,DeKalb County AL,01049,01,5,2,14,16,7,35
26,Elmore County AL,01051,01,4,1,14,13,5,42
27,Escambia County AL,01053,01,3,0,8,6,0,14
28,Etowah County AL,01055,01,13,7,24,49,30,84
29,Fayette County AL,01057,01,0,0,12,0,0,38
30,Franklin County AL,01059,01,0,0,10,3,0,20
31,Geneva County AL,01061,01,0,0,19,0,0,50
32,Greene County AL,01063,01,0,0,0,0,0,12
33,Hale County AL,01065,01,0,0,0,0,0,0
34,Henry County AL,01067,01,0,0,0,0,0,6
35,Houston County AL,01069,01,15,7,26,50,30,74
36,Jackson County AL,01071,01,26,16,49,90,38,148
37,Jefferson County AL,01073,01,11,7,15,37,25,47
38,Lamar County AL,01075,01,0,0,0,0,0,0
39,Lauderdale County AL,01077,01,6,1,16,20,6,49
40,Lawrence County AL,01079,01,0,0,12,6,0,46
41,Lee County AL,01081,01,4,1,11,17,6,37
42,Limestone County AL,01083,01,3,1,10,10,2,28
43,Lowndes County AL,01085,01,0,0,0,0,0,0
44,Macon County AL,01087,01,0,0,17,0,0,44
45,Madison County AL,01089,01,16,10,26,54,35,80
46,Marengo County AL,01091,01,0,0,0,0,0,0
47,Marion County AL,01093,01,10,4,31,38,14,96
48,Marshall County AL,01095,01,1,0,5,3,0,11
49,Mobile County AL,01097,01,21,13,30,71,47,96
50,Monroe County AL,01099,01,0,0,14,0,0,38
51,Montgomery County AL,01101,01,2,1,4,6,3,13
52,Morgan County AL,01103,01,2,0,8,9,0,24
53,Perry County AL,01105,01,0,0,0,0,0,0
54,Pickens County AL,01107,01,0,0,0,0,0,0
55,Pike County AL,01109,01,0,0,0,0,0,6
56,Randolph County AL,01111,01,0,0,27,9,0,98
57,Russell County AL,01113,01,2,0,11,7,0,28
58,St. Clair County AL,01115,01,8,1,22,26,10,59
59,Shelby County AL,01117,01,19,11,31,67,44,94
60,Sumter County AL,01119,01,0,0,0,0,0,0
61,Talladega County AL,01121,01,0,0,1,3,0,5
62,Tallapoosa County AL,01123,01,0,0,0,0,0,5
63,Tuscaloosa County AL,01125,01,5,1,11,17,8,31
64,Walker County AL,01127,01,3,0,10,9,1,32
65,Washington County AL,01129,01,0,0,0,0,0,0
66,Wilcox County AL,01131,01,0,0,0,0,0,0
67,Winston County AL,01133,01,0,0,4,0,0,17
68,Aleutians East Borough AK,02013,02,0,0,0,0,0,0
69,Aleutians West Census Area AK,02016,02,0,0,17,0,0,18
70,Anchorage Municipality AK,02020,02,34,22,48,91,69,116
71,Bethel Census Area AK,02050,02,0,0,0,0,0,0
72,Bristol Bay Borough AK,02060,02,0,0,0,0,0,0
73,Denali Borough AK,02068,02,0,0,0,0,0,0
74,Dillingham Census Area AK,02070,02,0,0,0,0,0,0
75,Fairbanks North Star Borough AK,02090,02,0,0,5,0,0,8
76,Haines Borough AK,02100,02,0,0,0,0,0,0
77,Hoonah-Angoon Census Area AK,02105,02,0,0,0,0,0,0
78,Juneau City and Borough AK,02110,02,0,0,6,0,0,16
79,Kenai Peninsula Borough AK,02122,02,2,0,5,2,0,11
80,Ketchikan Gateway Borough AK,02130,02,0,0,0,0,0,0
81,Kodiak Island Borough AK,02150,02,0,0,0,0,0,0
82,Kusilvak Census Area AK,02158,02,0,0,0,0,0,0
83,Lake and Peninsula Borough AK,02164,02,0,0,0,0,0,0
84,Matanuska-Susitna Borough AK,02170,02,2,1,6,5,2,13
85,Nome Census Area AK,02180,02,0,0,0,0,0,0
86,North Slope Borough AK,02185,02,0,0,0,0,0,0
87,Northwest Arctic Borough AK,02188,02,0,0,0,0,0,0
88,Petersburg Borough AK,02195,02,0,0,0,0,0,0
89,Prince of Wales-Hyder Census Area AK,02198,02,0,0,0,0,0,0
90,Sitka City and Borough AK,02220,02,23,0,59,106,12,270
91,Skagway Municipality AK,02230,02,0,0,0,0,0,0
92,Southeast Fairbanks Census Area AK,02240,02,0,0,0,0,0,0
93,Valdez-Cordova Census Area AK,02261,02,0,0,0,0,0,0
94,Wrangell City and Borough AK,02275,02,0,0,0,0,0,0
95,Yakutat City and Borough AK,02282,02,0,0,0,0,0,0
96,Yukon-Koyukuk Census Area AK,02290,02,0,0,0,0,0,0
97,Apache County AZ,04001,04,3,0,4,6,1,15
98,Cochise County AZ,04003,04,1,0,3,4,2,10
99,Coconino County AZ,04005,04,1,0,3,3,0,6
100,Gila County AZ,04007,04,0,0,0,0,0,2
101,Graham County AZ,04009,04,0,0,0,0,0,0
102,Greenlee County AZ,04011,04,0,0,0,0,0,0
103,La Paz County AZ,04012,04,14,0,43,43,5,100
104,Maricopa County AZ,04013,04,30,25,38,85,71,109
105,Mohave County AZ,04015,04,22,15,30,75,54,104
106,Navajo County AZ,04017,04,0,0,0,0,0,2
107,Pima County AZ,04019,04,25,19,34,78,61,102
108,Pinal County AZ,04021,04,1,0,1,2,1,4
109,Santa Cruz County AZ,04023,04,2,0,7,4,0,13
110,Yavapai County AZ,04025,04,12,5,18,31,16,43
111,Yuma County AZ,04027,04,1,0,1,1,0,3
112,Arkansas County AR,05001,05,6,0,12,6,0,17
113,Ashley County AR,05003,05,0,0,5,0,0,20
114,Baxter County AR,05005,05,11,3,22,42,16,72
115,Benton County AR,05007,05,42,32,57,149,117,203
116,Boone County AR,05009,05,127,83,181,365,265,520
117,Bradley County AR,05011,05,0,0,0,0,0,19
118,Calhoun County AR,05013,05,0,0,0,0,0,0
119,Carroll County AR,05015,05,0,0,0,0,0,0
120,Chicot County AR,05017,05,0,0,0,0,0,0
121,Clark County AR,05019,05,10,1,19,24,11,52
122,Clay County AR,05021,05,13,0,48,55,13,150
123,Cleburne County AR,05023,05,5,0,25,23,3,68
124,Cleveland County AR,05025,05,0,0,0,0,0,0
125,Columbia County AR,05027,05,0,0,13,1,1,43
126,Conway County AR,05029,05,0,0,5,0,0,15
127,Craighead County AR,05031,05,26,15,44,88,55,128
128,Crawford County AR,05033,05,29,15,49,93,63,151
129,Crittenden County AR,05035,05,2,0,17,5,1,43
130,Cross County AR,05037,05,21,0,49,91,18,188
131,Dallas County AR,05039,05,101,28,198,414,190,828
132,Desha County AR,05041,05,0,0,0,0,0,0
133,Drew County AR,05043,05,12,6,39,46,14,126
134,Faulkner County AR,05045,05,64,48,86,210,150,284
135,Franklin County AR,05047,05,0,0,0,0,0,0
136,Fulton County AR,05049,05,30,0,101,140,16,346
137,Garland County AR,05051,05,63,45,87,199,146,283
138,Grant County AR,05053,05,11,6,34,39,11,112
139,Greene County AR,05055,05,35,21,57,123,78,183
140,Hempstead County AR,05057,05,0,0,18,0,0,37
141,Hot Spring County AR,05059,05,3,0,9,7,1,25
142,Howard County AR,05061,05,0,0,0,0,0,0
143,Independence County AR,05063,05,72,34,136,220,142,345
144,Izard County AR,05065,05,43,0,90,163,42,332
145,Jackson County AR,05067,05,6,0,30,31,7,84
146,Jefferson County AR,05069,05,98,72,151,312,233,441
147,Johnson County AR,05071,05,11,0,30,42,0,98
148,Lafayette County AR,05073,05,0,0,0,0,0,0
149,Lawrence County AR,05075,05,31,6,80,125,20,246
150,Lee County AR,05077,05,0,0,0,0,0,0
151,Lincoln County AR,05079,05,8,0,38,38,1,122
152,Little River County AR,05081,05,0,0,0,0,0,0
153,Logan County AR,05083,05,5,0,28,19,0,93
154,Lonoke County AR,05085,05,44,26,68,161,100,247
155,Madison County AR,05087,05,31,6,67,109,29,243
156,Marion County AR,05089,05,104,36,219,394,200,704
157,Miller County AR,05091,05,5,0,16,16,0,65
158,Mississippi County AR,05093,05,0,0,0,2,0,5
159,Monroe County AR,05095,05,0,0,0,0,0,0
160,Montgomery County AR,05097,05,0,0,0,0,0,0
161,Nevada County AR,05099,05,18,0,73,73,12,220
162,Newton County AR,05101,05,138,44,269,563,232,1033
163,Ouachita County AR,05103,05,26,4,56,95,27,171
164,Perry County AR,05105,05,89,29,195,329,152,545
165,Phillips County AR,05107,05,0,0,0,0,0,6
166,Pike County AR,05109,05,0,0,0,0,0,0
167,Poinsett County AR,05111,05,5,0,13,13,5,34
168,Polk County AR,05113,05,0,0,5,0,0,15
169,Pope County AR,05115,05,3,0,10,10,0,23
