ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,9,4,20,35,19,66
2,Baldwin County AL,01003,01,11,4,20,36,13,59
3,Barbour County AL,01005,01,0,0,12,2,0,37
4,Bibb County AL,01007,01,0,0,13,5,0,31
5,Blount County AL,01009,01,8,0,34,30,1,109
6,Bullock County AL,01011,01,0,0,0,0,0,0
7,Butler County AL,01013,01,0,0,10,0,0,26
8,Calhoun County AL,01015,01,1,0,9,3,0,30
9,Chambers County AL,01017,01,28,13,67,93,51,185
10,Cherokee County AL,01019,01,0,0,8,4,0,24
11,Chilton County AL,01021,01,7,0,28,32,0,83
12,Choctaw County AL,01023,01,0,0,0,0,0,0
13,Clarke County AL,01025,01,8,0,38,34,0,122
14,Clay County AL,01027,01,0,0,23,1,1,70
15,Cleburne County AL,01029,01,0,0,0,0,0,7
16,Coffee County AL,01031,01,0,0,12,2,0,43
17,Colbert County AL,01033,01,5,0,15,15,0,55
18,Conecuh County AL,01035,01,0,0,8,0,0,16
19,Coosa County AL,01037,01,0,0,39,15,0,98
20,Covington County AL,01039,01,3,0,8,8,0,22
21,Crenshaw County AL,01041,01,0,0,15,0,0,37
22,Cullman County AL,01043,01,17,5,32,57,23,92
23,Dale County AL,01045,01,2,0,14,10,0,54
24,Dallas County AL,01047,01,0,0,8,3,0,29
25,DeKalb County AL,01049,01,10,5,25,39,18,75
26,Elmore County AL,01051,01,27,15,49,97,63,165
27,Escambia County AL,01053,01,3,0,8,3,0,17
28,Etowah County AL,01055,01,11,2,26,36,8,79
29,Fayette County AL,01057,01,6,0,25,19,0,63
30,Franklin County AL,01059,01,3,0,10,7,0,23
31,Geneva County AL,01061,01,0,0,23,0,0,58
32,Greene County AL,01063,01,0,0,0,0,0,0
33,Hale County AL,01065,01,7,0,21,14,0,48
34,Henry County AL,01067,01,0,0,6,0,0,12
35,Houston County AL,01069,01,7,1,19,27,6,70
36,Jackson County AL,01071,01,6,2,22,16,4,60
37,Jefferson County AL,01073,01,15,11,20,45,31,57
38,Lamar County AL,01075,01,0,0,30,1,1,75
39,Lauderdale County AL,01077,01,4,0,16,16,4,50
40,Lawrence County AL,01079,01,9,3,28,31,10,90
41,Lee County AL,01081,01,26,13,38,96,57,133
42,Limestone County AL,01083,01,4,0,15,17,2,46
43,Lowndes County AL,01085,01,10,0,60,61,0,151
