ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,24,9,40,132,78,194
2,Baldwin County AL,01003,01,28,18,44,135,87,185
3,Barbour County AL,01005,01,21,4,45,95,43,197
4,Bibb County AL,01007,01,9,5,41,60,24,158
5,Blount County AL,01009,01,13,2,25,57,22,91
6,Bullock County AL,01011,01,10,0,59,84,10,337
7,Butler County AL,01013,01,15,0,36,73,11,179
8,Calhoun County AL,01015,01,27,13,45,109,58,182
9,Chambers County AL,01017,01,0,0,9,9,0,36
10,Cherokee County AL,01019,01,2,0,8,4,0,24
11,Chilton County AL,01021,01,35,16,67,177,101,274
12,Choctaw County AL,01023,01,8,0,32,41,1,114
13,Clarke County AL,01025,01,9,4,25,49,10,102
14,Clay County AL,01027,01,0,0,23,31,0,131
15,Cleburne County AL,01029,01,7,0,41,76,14,193
16,Coffee County AL,01031,01,2,0,8,8,2,28
17,Colbert County AL,01033,01,2,0,8,6,1,17
18,Conecuh County AL,01035,01,16,0,58,90,8,230
19,Coosa County AL,01037,01,0,0,58,39,0,175
20,Covington County AL,01039,01,6,0,17,19,0,72
21,Crenshaw County AL,01041,01,7,0,37,59,8,197
22,Cullman County AL,01043,01,8,3,15,37,21,61
23,Dale County AL,01045,01,4,0,23,29,4,87
24,Dallas County AL,01047,01,5,0,18,19,3,58
25,DeKalb County AL,01049,01,17,8,37,91,51,159
26,Elmore County AL,01051,01,29,19,41,135,93,172
27,Escambia County AL,01053,01,3,0,8,14,3,39
28,Etowah County AL,01055,01,17,9,28,70,43,93
29,Fayette County AL,01057,01,0,0,0,0,0,13
30,Franklin County AL,01059,01,3,0,20,33,6,75
31,Geneva County AL,01061,01,0,0,8,4,0,23
32,Greene County AL,01063,01,12,0,62,61,1,271
33,Hale County AL,01065,01,7,0,21,14,0,55
34,Henry County AL,01067,01,6,0,23,30,0,111
35,Houston County AL,01069,01,16,6,31,75,35,120
36,Jackson County AL,01071,01,0,0,4,0,0,8
37,Jefferson County AL,01073,01,54,39,71,228,151,329
38,Lamar County AL,01075,01,7,0,30,37,0,104
39,Lauderdale County AL,01077,01,8,4,18,37,22,64
40,Lawrence County AL,01079,01,6,0,18,43,12,107
41,Lee County AL,01081,01,21,10,31,63,34,110
42,Limestone County AL,01083,01,6,2,15,31,14,53
43,Lowndes County AL,01085,01,10,0,40,42,11,112
44,Macon County AL,01087,01,15,7,34,75,30,146
45,Madison County AL,01089,01,33,22,43,141,94,209
46,Marengo County AL,01091,01,21,5,53,111,42,212
47,Marion County AL,01093,01,22,9,43,106,55,179
48,Marshall County AL,01095,01,11,4,19,46,28,69
49,Mobile County AL,01097,01,37,23,50,167,117,232
50,Monroe County AL,01099,01,5,0,14,15,1,53
51,Montgomery County AL,01101,01,39,29,52,173,130,251
52,Morgan County AL,01103,01,23,11,32,112,72,156
53,Perry County AL,01105,01,0,0,45,0,0,102
54,Pickens County AL,01107,01,10,5,35,52,11,122
55,Pike County AL,01109,01,0,0,6,6,0,27
56,Randolph County AL,01111,01,9,5,27,52,16,106
57,Russell County AL,01113,01,56,34,87,230,162,337
58,St. Clair County AL,01115,01,20,8,32,94,60,138
59,Shelby County AL,01117,01,45,32,67,172,122,263
60,Sumter County AL,01119,01,8,0,24,40,8,137
61,Talladega County AL,01121,01,34,20,55,177,117,245
62,Tallapoosa County AL,01123,01,22,7,39,129,58,241
