ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,11,0,27,46,3,108
2,Baldwin County AL,01003,01,32,19,47,114,71,174
3,Barbour County AL,01005,01,0,0,20,8,0,37
4,Bibb County AL,01007,01,0,0,13,4,0,40
5,Blount County AL,01009,01,35,16,61,111,56,206
6,Bullock County AL,01011,01,0,0,20,0,0,59
7,Butler County AL,01013,01,0,0,21,10,0,36
8,Calhoun County AL,01015,01,13,5,30,44,17,93
9,Chambers County AL,01017,01,3,0,9,9,0,27
10,Cherokee County AL,01019,01,4,0,12,8,0,39
11,Chilton County AL,01021,01,46,18,83,162,91,269
12,Choctaw County AL,01023,01,8,0,48,28,0,160
13,Clarke County AL,01025,01,4,0,9,9,0,25
14,Clay County AL,01027,01,1,1,39,2,2,86
15,Cleburne County AL,01029,01,0,0,7,0,0,21
16,Coffee County AL,01031,01,20,8,48,72,29,123
17,Colbert County AL,01033,01,9,0,33,30,9,89
18,Conecuh County AL,01035,01,0,0,8,0,0,33
19,Coosa County AL,01037,01,0,0,0,0,0,0
20,Covington County AL,01039,01,6,0,14,11,0,33
21,Crenshaw County AL,01041,01,7,0,29,22,0,137
22,Cullman County AL,01043,01,29,13,46,95,59,150
23,Dale County AL,01045,01,2,0,10,9,1,27
24,Dallas County AL,01047,01,5,0,16,16,1,35
25,DeKalb County AL,01049,01,11,3,25,36,8,75
26,Elmore County AL,01051,01,3,1,10,9,3,25
27,Escambia County AL,01053,01,3,0,8,6,0,14
28,Etowah County AL,01055,01,17,6,32,64,38,93
29,Fayette County AL,01057,01,0,0,13,0,0,25
30,Franklin County AL,01059,01,3,0,13,13,1,30
31,Geneva County AL,01061,01,33,0,73,128,20,262
32,Greene County AL,01063,01,0,0,0,0,0,12
33,Hale County AL,01065,01,7,0,21,21,0,55
34,Henry County AL,01067,01,0,0,6,0,0,6
35,Houston County AL,01069,01,8,1,19,27,8,71
36,Jackson County AL,01071,01,6,0,22,18,3,51
37,Jefferson County AL,01073,01,24,16,34,80,48,116
38,Lamar County AL,01075,01,0,0,7,0,0,15
39,Lauderdale County AL,01077,01,19,5,37,70,34,127
40,Lawrence County AL,01079,01,3,0,15,15,0,52
41,Lee County AL,01081,01,11,4,25,35,15,78
42,Limestone County AL,01083,01,13,4,28,48,21,94
43,Lowndes County AL,01085,01,0,0,0,0,0,10
44,Macon County AL,01087,01,6,0,33,28,0,115
45,Madison County AL,01089,01,27,15,42,96,56,147
46,Marengo County AL,01091,01,16,0,48,77,10,154
47,Marion County AL,01093,01,27,6,61,114,37,209
48,Marshall County AL,01095,01,28,11,48,104,41,160
49,Mobile County AL,01097,01,12,6,21,41,18,64
50,Monroe County AL,01099,01,5,0,24,20,1,72
51,Montgomery County AL,01101,01,17,9,33,61,34,96
52,Morgan County AL,01103,01,20,11,35,68,44,109
53,Perry County AL,01105,01,0,0,0,0,0,0
54,Pickens County AL,01107,01,0,0,10,0,0,30
55,Pike County AL,01109,01,0,0,9,0,0,27
56,Randolph County AL,01111,01,5,0,32,24,2,88
57,Russell County AL,01113,01,23,9,47,80,38,129
58,St. Clair County AL,01115,01,19,5,33,67,29,112
59,Shelby County AL,01117,01,21,13,34,69,42,104
60,Sumter County AL,01119,01,0,0,16,0,0,40
61,Talladega County AL,01121,01,0,0,0,1,0,5
62,Tallapoosa County AL,01123,01,0,0,0,0,0,2
63,Tuscaloosa County AL,01125,01,20,11,29,66,37,99
64,Walker County AL,01127,01,14,5,33,55,20,119
65,Washington County AL,01129,01,0,0,0,0,0,6
66,Wilcox County AL,01131,01,0,0,10,0,0,38
67,Winston County AL,01133,01,0,0,21,0,0,43
68,Aleutians East Borough AK,02013,02,0,0,0,0,0,0
69,Aleutians West Census Area AK,02016,02,0,0,0,0,0,0
70,Anchorage Municipality AK,02020,02,28,15,41,94,55,131
71,Bethel Census Area AK,02050,02,0,0,0,0,0,0
72,Bristol Bay Borough AK,02060,02,0,0,0,0,0,0
73,Denali Borough AK,02068,02,0,0,0,0,0,0
74,Dillingham Census Area AK,02070,02,0,0,0,0,0,0
75,Fairbanks North Star Borough AK,02090,02,129,101,185,350,262,484
76,Haines Borough AK,02100,02,0,0,0,0,0,0
77,Hoonah-Angoon Census Area AK,02105,02,0,0,0,0,0,0
78,Juneau City and Borough AK,02110,02,6,0,13,19,1,48
79,Kenai Peninsula Borough AK,02122,02,21,5,44,49,21,98
80,Ketchikan Gateway Borough AK,02130,02,7,0,29,15,1,44
81,Kodiak Island Borough AK,02150,02,0,0,0,0,0,0
82,Kusilvak Census Area AK,02158,02,0,0,0,0,0,0
83,Lake and Peninsula Borough AK,02164,02,0,0,0,0,0,0
84,Matanuska-Susitna Borough AK,02170,02,45,29,68,114,81,163
85,Nome Census Area AK,02180,02,0,0,0,0,0,0
86,North Slope Borough AK,02185,02,0,0,0,0,0,0
87,Northwest Arctic Borough AK,02188,02,0,0,13,0,0,39
88,Petersburg Borough AK,02195,02,0,0,0,0,0,0
89,Prince of Wales-Hyder Census Area AK,02198,02,0,0,0,0,0,0
90,Sitka City and Borough AK,02220,02,0,0,0,0,0,0
91,Skagway Municipality AK,02230,02,0,0,0,0,0,0
92,Southeast Fairbanks Census Area AK,02240,02,0,0,0,0,0,0
93,Valdez-Cordova Census Area AK,02261,02,0,0,0,0,0,0
94,Wrangell City and Borough AK,02275,02,0,0,0,0,0,0
95,Yakutat City and Borough AK,02282,02,0,0,0,0,0,0
96,Yukon-Koyukuk Census Area AK,02290,02,0,0,0,0,0,0
97,Apache County AZ,04001,04,1,0,7,7,1,15
98,Cochise County AZ,04003,04,12,4,22,45,29,70
99,Coconino County AZ,04005,04,22,14,35,73,48,108
100,Gila County AZ,04007,04,2,0,4,2,0,8
101,Graham County AZ,04009,04,3,0,8,8,0,16
102,Greenlee County AZ,04011,04,0,0,0,0,0,0
103,La Paz County AZ,04012,04,0,0,9,0,0,19
104,Maricopa County AZ,04013,04,34,23,41,97,60,117
105,Mohave County AZ,04015,04,21,15,30,78,57,103
106,Navajo County AZ,04017,04,0,0,2,2,0,5
107,Pima County AZ,04019,04,17,13,22,57,45,73
108,Pinal County AZ,04021,04,18,12,24,54,40,72
109,Santa Cruz County AZ,04023,04,0,0,2,0,0,6
110,Yavapai County AZ,04025,04,35,24,47,105,76,148
111,Yuma County AZ,04027,04,0,0,1,1,0,3
112,Arkansas County AR,05001,05,0,0,11,6,0,28
113,Ashley County AR,05003,05,5,0,21,21,1,51
114,Baxter County AR,05005,05,3,0,13,13,1,32
115,Benton County AR,05007,05,43,32,59,142,101,203
116,Boone County AR,05009,05,5,0,13,13,0,35
117,Bradley County AR,05011,05,18,0,66,65,0,225
118,Calhoun County AR,05013,05,0,0,0,0,0,0
119,Carroll County AR,05015,05,4,0,18,7,0,25
120,Chicot County AR,05017,05,0,0,0,0,0,0
121,Clark County AR,05019,05,0,0,9,0,0,14
122,Clay County AR,05021,05,0,0,0,0,0,20
123,Cleburne County AR,05023,05,0,0,12,4,0,37
124,Cleveland County AR,05025,05,0,0,0,0,0,0
125,Columbia County AR,05027,05,15,0,55,75,4,193
126,Conway County AR,05029,05,5,0,15,15,0,29
127,Craighead County AR,05031,05,34,17,57,118,69,183
128,Crawford County AR,05033,05,3,2,10,10,3,30
129,Crittenden County AR,05035,05,42,17,79,156,77,257
130,Cross County AR,05037,05,0,0,18,9,0,43
131,Dallas County AR,05039,05,0,0,0,0,0,0
132,Desha County AR,05041,05,0,0,0,0,0,0
133,Drew County AR,05043,05,0,0,5,0,0,16
134,Faulkner County AR,05045,05,31,20,49,101,75,171
135,Franklin County AR,05047,05,0,0,0,0,0,0
136,Fulton County AR,05049,05,0,0,25,0,0,51
137,Garland County AR,05051,05,7,2,20,23,9,49
138,Grant County AR,05053,05,0,0,0,0,0,0
139,Greene County AR,05055,05,7,0,24,29,9,78
140,Hempstead County AR,05057,05,9,0,46,45,0,129
141,Hot Spring County AR,05059,05,3,0,9,6,0,18
142,Howard County AR,05061,05,0,0,0,0,0,0
143,Independence County AR,05063,05,0,0,13,5,0,29
144,Izard County AR,05065,05,0,0,0,0,0,15
145,Jackson County AR,05067,05,0,0,0,0,0,0
146,Jefferson County AR,05069,05,11,3,21,37,14,68
147,Johnson County AR,05071,05,0,0,8,4,0,23
148,Lafayette County AR,05073,05,0,0,0,0,0,0
149,Lawrence County AR,05075,05,0,0,0,0,0,6
150,Lee County AR,05077,05,0,0,23,0,0,45
151,Lincoln County AR,05079,05,0,0,0,0,0,0
152,Little River County AR,05081,05,0,0,0,0,0,0
153,Logan County AR,05083,05,0,0,0,0,0,0
154,Lonoke County AR,05085,05,36,17,52,114,64,164
155,Madison County AR,05087,05,0,0,6,0,0,18
156,Marion County AR,05089,05,0,0,12,0,0,36
157,Miller County AR,05091,05,5,0,14,13,4,42
158,Mississippi County AR,05093,05,3,0,10,8,3,22
159,Monroe County AR,05095,05,0,0,0,0,0,0
160,Montgomery County AR,05097,05,0,0,0,0,0,0
161,Nevada County AR,05099,05,0,0,0,0,0,0
162,Newton County AR,05101,05,0,0,0,0,0,0
163,Ouachita County AR,05103,05,0,0,9,0,0,17
164,Perry County AR,05105,05,0,0,0,0,0,0
165,Phillips County AR,05107,05,0,0,0,0,0,6
166,Pike County AR,05109,05,0,0,0,0,0,0
167,Poinsett County AR,05111,05,0,0,4,4,0,13
168,Polk County AR,05113,05,0,0,20,0,0,50
169,Pope County AR,05115,05,4,2,11,12,6,33
170,Prairie County AR,05117,05,0,0,0,0,0,0
171,Pulaski County AR,05119,05,15,7,22,54,28,78
172,Randolph County AR,05121,05,0,0,6,6,0,11
173,St. Francis County AR,05123,05,0,0,12,8,0,47
174,Saline County AR,05125,05,16,8,29,55,36,85
175,Scott County AR,05127,05,0,0,0,0,0,0
176,Searcy County AR,05129,05,0,0,0,0,0,0
177,Sebastian County AR,05131,05,9,2,17,30,16,64
178,Sevier County AR,05133,05,0,0,0,0,0,0
179,Sharp County AR,05135,05,6,0,30,30,1,119
180,Stone County AR,05137,05,0,0,0,0,0,0
181,Union County AR,05139,05,3,0,10,8,0,33
182,Van Buren County AR,05141,05,6,0,24,24,0,67
183,Washington County AR,05143,05,29,18,42,93,58,142
184,White County AR,05145,05,12,4,23,34,19,58
185,Woodruff County AR,05147,05,0,0,0,0,0,0
186,Yell County AR,05149,05,0,0,0,0,0,0
187,Alameda County CA,06001,06,32,23,42,114,80,159
188,Alpine County CA,06003,06,0,0,0,0,0,0
189,Amador County CA,06005,06,0,0,12,2,0,44
190,Butte County CA,06007,06,30,19,48,114,67,157
191,Calaveras County CA,06009,06,23,5,51,79,35,161
192,Colusa County CA,06011,06,0,0,28,9,0,65
193,Contra Costa County CA,06013,06,17,11,26,60,38,94
194,Del Norte County CA,06015,06,26,8,52,85,44,145
195,El Dorado County CA,06017,06,7,1,14,21,5,43
196,Fresno County CA,06019,06,12,7,17,42,29,57
197,Glenn County CA,06021,06,4,0,14,15,0,50
198,Humboldt County CA,06023,06,40,21,67,127,65,194
199,Imperial County CA,06025,06,11,5,23,34,15,64
200,Inyo County CA,06027,06,0,0,0,0,0,0
201,Kern County CA,06029,06,14,10,20,49,36,67
202,Kings County CA,06031,06,21,12,33,63,42,100
203,Lake County CA,06033,06,10,3,27,36,14,90
204,Lassen County CA,06035,06,3,0,10,7,0,20
205,Los Angeles County CA,06037,06,9,6,11,30,20,39
206,Madera County CA,06039,06,7,1,17,24,5,57
207,Marin County CA,06041,06,15,8,29,49,31,90
208,Mariposa County CA,06043,06,0,0,24,0,0,59
209,Mendocino County CA,06045,06,7,1,15,25,11,49
210,Merced County CA,06047,06,22,10,34,64,28,100
211,Modoc County CA,06049,06,0,0,11,0,0,11
212,Mono County CA,06051,06,0,0,0,0,0,0
213,Monterey County CA,06053,06,6,3,10,20,12,32
214,Napa County CA,06055,06,9,3,19,29,15,57
215,Nevada County CA,06057,06,63,34,92,193,121,287
216,Orange County CA,06059,06,6,3,9,21,10,29
217,Placer County CA,06061,06,25,17,40,83,58,125
218,Plumas County CA,06063,06,0,0,5,0,0,16
219,Riverside County CA,06065,06,10,7,15,31,22,47
220,Sacramento County CA,06067,06,21,15,30,69,49,101
221,San Benito County CA,06069,06,14,3,32,51,21,91
222,San Bernardino County CA,06071,06,6,4,9,20,14,29
223,San Diego County CA,06073,06,24,21,32,77,65,105
224,San Francisco County CA,06075,06,8,4,17,32,13,61
225,San Joaquin County CA,06077,06,31,23,42,92,62,130
226,San Luis Obispo County CA,06079,06,3,0,9,12,1,30
227,San Mateo County CA,06081,06,17,11,24,59,37,81
228,Santa Barbara County CA,06083,06,7,4,14,24,13,40
229,Santa Clara County CA,06085,06,9,6,15,32,22,50
230,Santa Cruz County CA,06087,06,0,0,5,0,0,16
231,Shasta County CA,06089,06,37,25,53,115,77,161
232,Sierra County CA,06091,06,0,0,0,0,0,0
233,Siskiyou County CA,06093,06,39,19,67,87,59,143
234,Solano County CA,06095,06,25,18,41,82,64,124
