ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,9,0,81,46,0,327
2,Baldwin County AL,01003,01,90,61,123,382,254,505
3,Barbour County AL,01005,01,27,7,67,189,75,405
4,Bibb County AL,01007,01,29,6,85,152,43,427
5,Blount County AL,01009,01,28,0,102,126,0,522
6,Bullock County AL,01011,01,0,0,36,2,2,259
7,Butler County AL,01013,01,8,0,75,69,0,414
8,Calhoun County AL,01015,01,37,15,64,166,85,238
9,Chambers County AL,01017,01,5,0,68,45,0,312
10,Cherokee County AL,01019,01,34,6,97,222,36,478
11,Chilton County AL,01021,01,76,8,131,480,45,877
12,Choctaw County AL,01023,01,20,4,72,90,26,353
13,Clarke County AL,01025,01,12,0,67,91,0,409
14,Clay County AL,01027,01,22,0,108,196,0,650
15,Cleburne County AL,01029,01,15,2,70,67,21,269
16,Coffee County AL,01031,01,45,9,106,218,22,449
17,Colbert County AL,01033,01,26,0,74,146,0,365
18,Conecuh County AL,01035,01,27,3,91,117,38,444
19,Coosa County AL,01037,01,33,0,147,236,23,807
20,Covington County AL,01039,01,118,55,198,481,262,744
21,Crenshaw County AL,01041,01,80,26,155,647,389,1277
22,Cullman County AL,01043,01,45,7,86,206,32,453
23,Dale County AL,01045,01,19,3,50,121,22,244
24,Dallas County AL,01047,01,0,0,55,3,0,206
25,DeKalb County AL,01049,01,34,11,73,128,49,269
26,Elmore County AL,01051,01,97,37,156,400,183,663
27,Escambia County AL,01053,01,27,0,92,94,0,325
28,Etowah County AL,01055,01,12,0,46,51,4,182
29,Fayette County AL,01057,01,408,217,627,1654,861,2285
30,Franklin County AL,01059,01,172,89,277,933,469,1364
31,Geneva County AL,01061,01,8,0,64,53,0,235
32,Greene County AL,01063,01,14,1,98,47,22,428
33,Hale County AL,01065,01,7,0,67,21,0,286
34,Henry County AL,01067,01,14,5,72,51,16,216
35,Houston County AL,01069,01,27,6,60,121,34,254
36,Jackson County AL,01071,01,2,0,51,6,0,168
37,Jefferson County AL,01073,01,15,8,23,76,41,112
38,Lamar County AL,01075,01,159,46,287,971,304,1683
39,Lauderdale County AL,01077,01,28,6,62,147,28,353
40,Lawrence County AL,01079,01,85,18,174,447,140,1002
41,Lee County AL,01081,01,6,0,26,24,0,90
42,Limestone County AL,01083,01,64,19,104,363,134,642
43,Lowndes County AL,01085,01,10,0,60,34,0,467
44,Macon County AL,01087,01,6,0,59,71,0,721
45,Madison County AL,01089,01,12,1,28,64,10,153
46,Marengo County AL,01091,01,7,0,57,45,0,296
47,Marion County AL,01093,01,72,0,164,347,12,758
48,Marshall County AL,01095,01,15,2,49,66,6,200
49,Mobile County AL,01097,01,4,0,26,9,0,106
50,Monroe County AL,01099,01,5,0,42,31,0,354
51,Montgomery County AL,01101,01,6,1,15,28,9,69
52,Morgan County AL,01103,01,81,31,128,403,170,710
53,Perry County AL,01105,01,11,0,66,23,0,409
54,Pickens County AL,01107,01,54,15,140,427,128,873
55,Pike County AL,01109,01,49,15,88,254,109,465
56,Randolph County AL,01111,01,7,1,42,58,14,295
57,Russell County AL,01113,01,4,0,24,22,0,127
58,St. Clair County AL,01115,01,30,1,66,122,11,266
59,Shelby County AL,01117,01,19,6,34,104,24,181
60,Sumter County AL,01119,01,6,0,84,39,0,807
61,Talladega County AL,01121,01,9,1,26,37,11,94
62,Tallapoosa County AL,01123,01,32,14,61,110,56,168
63,Tuscaloosa County AL,01125,01,37,16,78,158,58,312
64,Walker County AL,01127,01,197,108,287,902,409,1327
