ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,22,0,58,127,7,306
2,Baldwin County AL,01003,01,31,11,60,158,61,327
3,Barbour County AL,01005,01,1,0,48,16,0,316
4,Bibb County AL,01007,01,18,0,58,115,0,436
5,Blount County AL,01009,01,68,25,113,351,127,631
6,Bullock County AL,01011,01,1,0,55,18,0,428
7,Butler County AL,01013,01,14,0,72,80,0,312
8,Calhoun County AL,01015,01,45,10,117,179,34,450
9,Chambers County AL,01017,01,11,0,57,65,0,308
10,Cherokee County AL,01019,01,21,0,66,188,0,662
11,Chilton County AL,01021,01,32,10,69,265,52,461
12,Choctaw County AL,01023,01,0,0,129,0,0,692
13,Clarke County AL,01025,01,0,0,62,0,0,410
14,Clay County AL,01027,01,55,6,147,615,88,1460
15,Cleburne County AL,01029,01,0,0,99,0,0,275
16,Coffee County AL,01031,01,4,0,51,21,0,246
17,Colbert County AL,01033,01,48,6,92,262,37,489
18,Conecuh County AL,01035,01,11,0,82,103,9,532
19,Coosa County AL,01037,01,75,4,228,588,89,1538
20,Covington County AL,01039,01,50,10,112,230,60,461
21,Crenshaw County AL,01041,01,8,0,66,62,0,513
22,Cullman County AL,01043,01,62,28,109,337,159,599
23,Dale County AL,01045,01,6,0,49,32,0,254
24,Dallas County AL,01047,01,79,29,155,500,219,887
25,DeKalb County AL,01049,01,50,11,92,201,53,461
26,Elmore County AL,01051,01,115,61,157,414,219,599
27,Escambia County AL,01053,01,37,7,76,126,38,242
28,Etowah County AL,01055,01,3,0,24,11,0,105
29,Fayette County AL,01057,01,96,26,189,470,134,872
30,Franklin County AL,01059,01,7,0,64,56,0,389
31,Geneva County AL,01061,01,0,0,52,5,0,255
32,Greene County AL,01063,01,27,13,101,115,44,505
33,Hale County AL,01065,01,340,212,545,1258,907,1842
34,Henry County AL,01067,01,21,0,77,66,12,233
35,Houston County AL,01069,01,40,9,86,183,43,384
36,Jackson County AL,01071,01,88,16,158,290,78,493
37,Jefferson County AL,01073,01,11,0,28,51,0,136
38,Lamar County AL,01075,01,104,23,224,822,185,2356
39,Lauderdale County AL,01077,01,74,40,127,410,242,667
40,Lawrence County AL,01079,01,49,12,104,323,63,689
41,Lee County AL,01081,01,13,2,28,60,16,131
42,Limestone County AL,01083,01,46,11,77,262,61,452
43,Lowndes County AL,01085,01,11,0,81,70,0,403
44,Macon County AL,01087,01,40,6,133,515,69,1408
45,Madison County AL,01089,01,31,13,49,232,82,402
46,Marengo County AL,01091,01,50,5,130,238,34,512
47,Marion County AL,01093,01,32,4,107,154,11,588
48,Marshall County AL,01095,01,6,0,41,29,0,186
49,Mobile County AL,01097,01,51,38,73,228,158,317
50,Monroe County AL,01099,01,46,7,111,253,61,557
51,Montgomery County AL,01101,01,31,13,59,126,48,224
52,Morgan County AL,01103,01,48,21,90,266,103,493
53,Perry County AL,01105,01,15,0,158,88,0,791
54,Pickens County AL,01107,01,11,0,74,115,0,736
55,Pike County AL,01109,01,16,4,52,97,19,320
56,Randolph County AL,01111,01,5,0,77,71,0,535
57,Russell County AL,01113,01,24,4,68,161,33,397
58,St. Clair County AL,01115,01,27,1,90,134,14,372
59,Shelby County AL,01117,01,29,7,58,129,34,265
60,Sumter County AL,01119,01,42,0,164,265,0,1045
61,Talladega County AL,01121,01,59,27,102,178,72,312
62,Tallapoosa County AL,01123,01,59,21,109,186,67,315
63,Tuscaloosa County AL,01125,01,42,16,75,193,66,348
64,Walker County AL,01127,01,57,17,107,301,85,548
65,Washington County AL,01129,01,6,0,25,39,0,242
66,Wilcox County AL,01131,01,24,0,124,131,0,839
67,Winston County AL,01133,01,60,17,159,340,86,722
68,Aleutians East Borough AK,02013,02,0,0,0,0,0,0
69,Aleutians West Census Area AK,02016,02,0,0,35,0,0,70
70,Anchorage Municipality AK,02020,02,368,287,477,1668,1245,2073
71,Bethel Census Area AK,02050,02,443,258,720,973,635,1495
72,Bristol Bay Borough AK,02060,02,0,0,0,0,0,0
73,Denali Borough AK,02068,02,0,0,49,0,0,194
74,Dillingham Census Area AK,02070,02,323,174,607,939,458,1691
75,Fairbanks North Star Borough AK,02090,02,268,186,366,1105,764,1548
76,Haines Borough AK,02100,02,0,0,41,0,0,123
77,Hoonah-Angoon Census Area AK,02105,02,0,0,0,0,0,0
78,Juneau City and Borough AK,02110,02,242,133,331,1074,604,1628
79,Kenai Peninsula Borough AK,02122,02,506,351,684,1209,820,1651
80,Ketchikan Gateway Borough AK,02130,02,94,36,181,438,166,918
81,Kodiak Island Borough AK,02150,02,264,144,437,881,463,1552
82,Kusilvak Census Area AK,02158,02,507,299,793,1092,647,1686
83,Lake and Peninsula Borough AK,02164,02,82,76,332,500,239,1712
84,Matanuska-Susitna Borough AK,02170,02,407,327,493,1839,1485,2448
85,Nome Census Area AK,02180,02,295,138,485,675,396,1071
86,North Slope Borough AK,02185,02,141,0,359,312,6,771
87,Northwest Arctic Borough AK,02188,02,624,388,1069,1345,743,2339
88,Petersburg Borough AK,02195,02,32,0,188,96,0,1055
89,Prince of Wales-Hyder Census Area AK,02198,02,0,0,0,16,16,47
90,Sitka City and Borough AK,02220,02,13,12,83,59,28,486
91,Skagway Municipality AK,02230,02,0,0,0,0,0,0
92,Southeast Fairbanks Census Area AK,02240,02,0,0,0,0,0,0
93,Valdez-Cordova Census Area AK,02261,02,0,0,0,0,0,0
94,Wrangell City and Borough AK,02275,02,0,0,0,0,0,0
95,Yakutat City and Borough AK,02282,02,342,4,1540,2221,550,6200
96,Yukon-Koyukuk Census Area AK,02290,02,46,25,122,218,58,627
97,Apache County AZ,04001,04,167,114,235,674,417,941
98,Cochise County AZ,04003,04,151,103,215,780,484,1169
99,Coconino County AZ,04005,04,137,83,199,347,225,530
100,Gila County AZ,04007,04,175,107,282,568,364,812
101,Graham County AZ,04009,04,219,124,323,602,395,883
102,Greenlee County AZ,04011,04,80,10,272,652,92,2027
103,La Paz County AZ,04012,04,37,5,131,116,12,455
104,Maricopa County AZ,04013,04,96,76,119,487,354,745
105,Mohave County AZ,04015,04,108,60,159,316,183,467
106,Navajo County AZ,04017,04,186,115,242,411,256,613
107,Pima County AZ,04019,04,82,59,100,384,259,564
108,Pinal County AZ,04021,04,124,78,172,343,222,466
109,Santa Cruz County AZ,04023,04,41,9,97,239,48,522
110,Yavapai County AZ,04025,04,94,60,126,483,325,705
111,Yuma County AZ,04027,04,36,11,61,119,43,190
112,Arkansas County AR,05001,05,23,0,85,158,5,507
113,Ashley County AR,05003,05,10,0,66,96,0,663
114,Baxter County AR,05005,05,16,0,66,42,0,143
115,Benton County AR,05007,05,53,32,77,318,185,503
116,Boone County AR,05009,05,43,0,122,120,3,316
117,Bradley County AR,05011,05,0,0,57,20,0,400
118,Calhoun County AR,05013,05,0,0,107,0,0,834
119,Carroll County AR,05015,05,29,8,62,285,92,593
120,Chicot County AR,05017,05,0,0,72,0,0,689
121,Clark County AR,05019,05,40,8,85,323,93,697
122,Clay County AR,05021,05,34,0,101,235,0,609
123,Cleburne County AR,05023,05,54,11,134,336,85,773
124,Cleveland County AR,05025,05,62,22,210,410,180,1127
125,Columbia County AR,05027,05,27,4,82,176,22,451
126,Conway County AR,05029,05,10,0,53,71,0,322
127,Craighead County AR,05031,05,68,30,107,434,182,659
128,Crawford County AR,05033,05,51,17,127,247,83,549
129,Crittenden County AR,05035,05,67,19,120,351,127,663
130,Cross County AR,05037,05,67,13,170,484,133,1060
131,Dallas County AR,05039,05,2,0,123,8,0,480
132,Desha County AR,05041,05,75,12,230,474,63,1168
133,Drew County AR,05043,05,46,2,111,299,47,658
