ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,59,27,100,505,326,825
2,Baldwin County AL,01003,01,77,57,101,1272,710,1736
3,Barbour County AL,01005,01,118,66,177,772,505,1085
4,Bibb County AL,01007,01,123,67,198,879,631,1333
5,Blount County AL,01009,01,156,98,219,1351,867,1958
6,Bullock County AL,01011,01,20,10,60,127,58,396
7,Butler County AL,01013,01,5,0,15,21,5,52
8,Calhoun County AL,01015,01,96,41,138,1059,271,1922
9,Chambers County AL,01017,01,186,109,256,895,499,1211
10,Cherokee County AL,01019,01,35,7,70,330,97,641
11,Chilton County AL,01021,01,88,52,125,645,446,899
12,Choctaw County AL,01023,01,16,0,49,142,23,378
13,Clarke County AL,01025,01,132,86,192,833,589,1155
14,Clay County AL,01027,01,143,77,238,1473,977,2013
15,Cleburne County AL,01029,01,105,40,187,997,653,1414
16,Coffee County AL,01031,01,149,95,202,968,630,1328
17,Colbert County AL,01033,01,127,83,168,926,584,1365
18,Conecuh County AL,01035,01,16,0,33,75,10,223
19,Coosa County AL,01037,01,20,0,78,206,67,721
20,Covington County AL,01039,01,143,91,204,922,669,1320
21,Crenshaw County AL,01041,01,7,0,36,167,62,383
22,Cullman County AL,01043,01,202,139,262,1688,1142,3013
23,Dale County AL,01045,01,64,33,95,1135,757,1580
24,Dallas County AL,01047,01,18,3,40,138,65,260
25,DeKalb County AL,01049,01,243,175,301,1235,764,1749
26,Elmore County AL,01051,01,62,38,93,979,577,1371
27,Escambia County AL,01053,01,3,0,8,27,13,57
28,Etowah County AL,01055,01,233,181,286,1589,1260,2087
29,Fayette County AL,01057,01,87,40,160,800,478,1217
30,Franklin County AL,01059,01,89,53,141,654,451,1034
31,Geneva County AL,01061,01,73,23,150,1055,407,1824
32,Greene County AL,01063,01,13,0,49,75,2,210
33,Hale County AL,01065,01,51,16,106,384,224,615
34,Henry County AL,01067,01,41,11,87,336,185,539
35,Houston County AL,01069,01,23,13,44,162,104,267
36,Jackson County AL,01071,01,228,174,287,1651,1224,2153
37,Jefferson County AL,01073,01,71,54,96,471,314,714
38,Lamar County AL,01075,01,112,45,187,1087,627,1624
39,Lauderdale County AL,01077,01,110,78,152,1509,755,2389
40,Lawrence County AL,01079,01,117,77,185,1063,690,1717
41,Lee County AL,01081,01,20,6,41,99,40,186
42,Limestone County AL,01083,01,81,56,112,919,544,1618
43,Lowndes County AL,01085,01,10,0,31,46,1,102
44,Macon County AL,01087,01,17,5,61,204,84,421
45,Madison County AL,01089,01,50,29,82,401,184,745
46,Marengo County AL,01091,01,12,1,38,106,53,191
47,Marion County AL,01093,01,38,18,69,257,121,426
48,Marshall County AL,01095,01,86,60,117,600,412,801
49,Mobile County AL,01097,01,55,45,74,422,324,671
50,Monroe County AL,01099,01,10,1,29,58,20,177
51,Montgomery County AL,01101,01,125,99,155,1101,704,1486
52,Morgan County AL,01103,01,87,60,130,684,403,1087
53,Perry County AL,01105,01,11,0,34,46,12,227
54,Pickens County AL,01107,01,86,46,142,676,474,868
55,Pike County AL,01109,01,42,16,84,374,211,618
56,Randolph County AL,01111,01,109,55,186,911,612,1371
57,Russell County AL,01113,01,41,23,77,430,252,795
58,St. Clair County AL,01115,01,123,80,163,1872,830,2548
59,Shelby County AL,01117,01,110,78,148,608,441,823
60,Sumter County AL,01119,01,16,0,56,99,2,291
61,Talladega County AL,01121,01,68,43,95,820,505,1165
62,Tallapoosa County AL,01123,01,13,6,28,119,70,161
63,Tuscaloosa County AL,01125,01,172,129,210,1072,761,1379
64,Walker County AL,01127,01,112,76,175,689,457,1040
65,Washington County AL,01129,01,7,1,20,60,28,111
66,Wilcox County AL,01131,01,10,0,29,54,2,173
67,Winston County AL,01133,01,89,38,148,1037,612,1696
68,Aleutians East Borough AK,02013,02,0,0,0,0,0,0
69,Aleutians West Census Area AK,02016,02,0,0,0,0,0,0
70,Anchorage Municipality AK,02020,02,163,115,229,732,538,960
71,Bethel Census Area AK,02050,02,6,0,11,6,1,22
72,Bristol Bay Borough AK,02060,02,0,0,0,0,0,0
73,Denali Borough AK,02068,02,0,0,0,0,0,0
74,Dillingham Census Area AK,02070,02,20,0,100,304,43,605
75,Fairbanks North Star Borough AK,02090,02,78,46,115,381,239,668
76,Haines Borough AK,02100,02,0,0,0,0,0,0
77,Hoonah-Angoon Census Area AK,02105,02,0,0,0,0,0,0
78,Juneau City and Borough AK,02110,02,50,21,88,503,314,821
79,Kenai Peninsula Borough AK,02122,02,52,27,74,295,202,399
80,Ketchikan Gateway Borough AK,02130,02,0,0,0,0,0,0
81,Kodiak Island Borough AK,02150,02,0,0,8,23,0,68
82,Kusilvak Census Area AK,02158,02,718,437,985,6019,4720,7896
83,Lake and Peninsula Borough AK,02164,02,546,135,957,4921,3130,6929
84,Matanuska-Susitna Borough AK,02170,02,1,0,3,5,0,13
85,Nome Census Area AK,02180,02,0,0,10,10,10,60
86,North Slope Borough AK,02185,02,0,0,21,11,1,62
87,Northwest Arctic Borough AK,02188,02,14,0,27,41,2,132
88,Petersburg Borough AK,02195,02,0,0,0,0,0,0
89,Prince of Wales-Hyder Census Area AK,02198,02,0,0,0,0,0,0
90,Sitka City and Borough AK,02220,02,0,0,0,0,0,0
91,Skagway Municipality AK,02230,02,0,0,0,0,0,0
92,Southeast Fairbanks Census Area AK,02240,02,14,0,72,246,58,463
93,Valdez-Cordova Census Area AK,02261,02,0,0,0,0,0,0
94,Wrangell City and Borough AK,02275,02,0,0,0,0,0,0
95,Yakutat City and Borough AK,02282,02,0,0,0,0,0,0
96,Yukon-Koyukuk Census Area AK,02290,02,0,0,38,95,19,247
97,Apache County AZ,04001,04,50,30,74,310,225,419
98,Cochise County AZ,04003,04,37,24,50,242,161,318
99,Coconino County AZ,04005,04,118,94,157,544,356,669
100,Gila County AZ,04007,04,152,105,206,1330,994,1824
101,Graham County AZ,04009,04,132,87,179,1059,757,1338
102,Greenlee County AZ,04011,04,0,0,0,0,0,0
103,La Paz County AZ,04012,04,29,10,62,143,62,287
104,Maricopa County AZ,04013,04,48,36,59,344,223,524
105,Mohave County AZ,04015,04,20,13,28,278,193,418
106,Navajo County AZ,04017,04,13,5,21,59,39,87
107,Pima County AZ,04019,04,35,28,44,95,81,121
108,Pinal County AZ,04021,04,43,31,59,238,170,331
109,Santa Cruz County AZ,04023,04,2,0,7,12,3,29
110,Yavapai County AZ,04025,04,22,14,32,205,122,357
111,Yuma County AZ,04027,04,66,52,84,417,334,592
112,Arkansas County AR,05001,05,143,67,241,858,518,1537
113,Ashley County AR,05003,05,0,0,15,18,8,94
114,Baxter County AR,05005,05,170,105,225,1783,1152,3134
115,Benton County AR,05007,05,98,65,133,558,359,902
116,Boone County AR,05009,05,67,35,113,850,582,1403
117,Bradley County AR,05011,05,10,0,29,48,1,210
118,Calhoun County AR,05013,05,0,0,39,59,1,389
119,Carroll County AR,05015,05,83,43,139,962,469,1464
120,Chicot County AR,05017,05,10,0,29,41,2,128
121,Clark County AR,05019,05,68,32,137,789,448,1242
122,Clay County AR,05021,05,150,68,233,1275,840,2083
123,Cleburne County AR,05023,05,52,15,136,461,147,932
124,Cleveland County AR,05025,05,27,14,65,227,91,537
125,Columbia County AR,05027,05,88,31,192,1953,1279,2853
126,Conway County AR,05029,05,19,5,72,265,92,861
127,Craighead County AR,05031,05,155,101,221,776,467,1105
128,Crawford County AR,05033,05,92,52,139,683,365,906
129,Crittenden County AR,05035,05,186,135,237,1407,1057,1922
130,Cross County AR,05037,05,64,21,117,658,383,1027
131,Dallas County AR,05039,05,0,0,84,70,0,447
132,Desha County AR,05041,05,59,15,128,505,260,870
133,Drew County AR,05043,05,23,6,61,222,114,432
134,Faulkner County AR,05045,05,66,42,100,346,191,539
135,Franklin County AR,05047,05,171,84,264,1612,988,2299
136,Fulton County AR,05049,05,176,84,262,1839,1077,3214
137,Garland County AR,05051,05,145,97,194,1406,879,2153
138,Grant County AR,05053,05,50,11,105,619,312,1196
139,Greene County AR,05055,05,226,149,323,1546,1045,2803
140,Hempstead County AR,05057,05,121,62,198,1044,521,1572
141,Hot Spring County AR,05059,05,197,129,281,806,571,1193
142,Howard County AR,05061,05,17,9,47,168,73,315
143,Independence County AR,05063,05,78,43,134,374,249,655
144,Izard County AR,05065,05,515,387,687,4156,3141,5359
145,Jackson County AR,05067,05,259,162,374,2854,2162,3850
146,Jefferson County AR,05069,05,90,60,115,487,359,582
147,Johnson County AR,05071,05,105,59,161,917,594,1265
148,Lafayette County AR,05073,05,48,16,126,550,304,989
149,Lawrence County AR,05075,05,247,157,458,3981,2801,4989
150,Lee County AR,05077,05,0,0,0,0,0,11
151,Lincoln County AR,05079,05,0,0,0,0,0,0
152,Little River County AR,05081,05,43,18,108,431,218,758
153,Logan County AR,05083,05,6,1,15,25,11,72
154,Lonoke County AR,05085,05,166,120,233,1130,737,1597
155,Madison County AR,05087,05,37,6,80,331,128,589
156,Marion County AR,05089,05,43,12,85,674,265,1169
157,Miller County AR,05091,05,270,196,339,2735,1783,3673
158,Mississippi County AR,05093,05,212,144,280,1900,1260,2386
159,Monroe County AR,05095,05,58,0,160,795,277,1312
160,Montgomery County AR,05097,05,11,0,46,160,0,536
161,Nevada County AR,05099,05,118,42,209,952,551,1550
162,Newton County AR,05101,05,13,0,13,40,13,107
163,Ouachita County AR,05103,05,90,44,150,860,499,1342
164,Perry County AR,05105,05,44,0,118,630,208,1135
165,Phillips County AR,05107,05,30,8,70,184,100,284
166,Pike County AR,05109,05,10,0,57,165,42,544
167,Poinsett County AR,05111,05,60,22,102,392,265,548
168,Polk County AR,05113,05,30,5,66,270,91,480
169,Pope County AR,05115,05,151,104,199,1004,538,1653
170,Prairie County AR,05117,05,38,13,112,310,114,853
171,Pulaski County AR,05119,05,85,51,124,461,285,670
172,Randolph County AR,05121,05,74,28,119,569,411,808
173,St. Francis County AR,05123,05,90,46,165,535,328,1098
174,Saline County AR,05125,05,91,59,126,512,324,713
175,Scott County AR,05127,05,240,150,395,1808,1242,2570
176,Searcy County AR,05129,05,14,1,52,160,35,362
177,Sebastian County AR,05131,05,85,60,129,624,410,997
178,Sevier County AR,05133,05,7,1,19,19,1,48
179,Sharp County AR,05135,05,103,53,183,1038,583,1692
180,Stone County AR,05137,05,8,0,48,287,31,591
181,Union County AR,05139,05,46,1,90,816,13,1601
182,Van Buren County AR,05141,05,12,0,43,77,28,378
183,Washington County AR,05143,05,109,77,136,446,293,599
184,White County AR,05145,05,96,52,135,1051,544,1770
185,Woodruff County AR,05147,05,191,65,373,2074,1022,3326
186,Yell County AR,05149,05,10,5,24,61,26,133
187,Alameda County CA,06001,06,32,19,52,492,213,1002
188,Alpine County CA,06003,06,0,0,0,0,0,0
189,Amador County CA,06005,06,10,0,38,142,32,290
190,Butte County CA,06007,06,8,3,15,56,30,116
191,Calaveras County CA,06009,06,2,0,9,10,1,70
192,Colusa County CA,06011,06,0,0,14,51,0,266
193,Contra Costa County CA,06013,06,29,16,43,112,60,172
194,Del Norte County CA,06015,06,3,0,28,75,0,375
195,El Dorado County CA,06017,06,7,2,14,51,26,85
196,Fresno County CA,06019,06,53,39,70,268,193,371
197,Glenn County CA,06021,06,22,3,50,217,78,518
198,Humboldt County CA,06023,06,4,2,10,53,26,116
199,Imperial County CA,06025,06,74,53,96,445,339,572
200,Inyo County CA,06027,06,18,6,45,117,43,244
201,Kern County CA,06029,06,24,16,34,92,61,123
202,Kings County CA,06031,06,3,1,13,16,3,44
203,Lake County CA,06033,06,22,9,37,301,145,621
204,Lassen County CA,06035,06,3,0,26,56,13,121
205,Los Angeles County CA,06037,06,78,63,104,452,361,572
206,Madera County CA,06039,06,38,25,55,241,177,315
207,Marin County CA,06041,06,9,4,20,55,29,120
208,Mariposa County CA,06043,06,0,0,0,0,0,130
209,Mendocino County CA,06045,06,18,8,39,212,93,406
210,Merced County CA,06047,06,32,21,41,177,123,260
211,Modoc County CA,06049,06,0,0,0,0,0,0
212,Mono County CA,06051,06,0,0,0,0,0,0
213,Monterey County CA,06053,06,45,27,66,180,102,271
214,Napa County CA,06055,06,43,22,66,307,159,454
215,Nevada County CA,06057,06,10,3,21,138,72,288
216,Orange County CA,06059,06,34,21,43,524,196,743
217,Placer County CA,06061,06,37,19,56,217,107,434
218,Plumas County CA,06063,06,27,5,70,347,131,646
219,Riverside County CA,06065,06,69,48,86,348,234,461
220,Sacramento County CA,06067,06,51,36,70,433,291,693
221,San Benito County CA,06069,06,14,6,29,111,61,198
222,San Bernardino County CA,06071,06,89,75,104,721,550,974
223,San Diego County CA,06073,06,40,28,57,185,129,284
224,San Francisco County CA,06075,06,18,8,33,87,37,142
225,San Joaquin County CA,06077,06,36,26,50,380,194,596
226,San Luis Obispo County CA,06079,06,27,14,39,142,88,209
227,San Mateo County CA,06081,06,30,15,47,112,59,165
228,Santa Barbara County CA,06083,06,28,18,39,92,62,136
229,Santa Clara County CA,06085,06,31,21,47,152,105,244
230,Santa Cruz County CA,06087,06,16,5,27,100,38,180
231,Shasta County CA,06089,06,26,15,44,157,80,232
232,Sierra County CA,06091,06,0,0,0,0,0,0
233,Siskiyou County CA,06093,06,5,0,16,41,13,160
234,Solano County CA,06095,06,26,12,49,135,71,278
235,Sonoma County CA,06097,06,26,14,44,132,75,224
236,Stanislaus County CA,06099,06,31,21,41,201,112,294
237,Sutter County CA,06101,06,23,9,46,129,84,230
238,Tehama County CA,06103,06,110,69,144,1110,763,1671
239,Trinity County CA,06105,06,8,0,24,48,0,200
240,Tulare County CA,06107,06,40,25,54,182,111,255
241,Tuolumne County CA,06109,06,10,4,26,104,40,193
242,Ventura County CA,06111,06,26,15,36,110,71,168
243,Yolo County CA,06113,06,30,17,53,195,113,334
244,Yuba County CA,06115,06,23,11,36,177,115,286
245,Adams County CO,08001,08,155,109,208,883,640,1316
246,Alamosa County CO,08003,08,0,0,0,0,0,12
247,Arapahoe County CO,08005,08,70,47,94,320,227,417
248,Archuleta County CO,08007,08,0,0,0,1,1,23
249,Baca County CO,08009,08,0,0,0,0,0,0
250,Bent County CO,08011,08,0,0,0,0,0,0
251,Boulder County CO,08013,08,147,102,188,493,357,654
252,Broomfield County CO,08014,08,126,77,204,958,582,1527
253,Chaffee County CO,08015,08,31,10,91,319,134,748
254,Cheyenne County CO,08017,08,0,0,0,0,0,0
255,Clear Creek County CO,08019,08,27,11,75,248,59,1049
256,Conejos County CO,08021,08,51,15,126,594,292,1105
257,Costilla County CO,08023,08,0,0,0,0,0,0
258,Crowley County CO,08025,08,0,0,0,0,0,0
259,Custer County CO,08027,08,0,0,0,0,0,0
260,Delta County CO,08029,08,3,0,16,29,8,147
261,Denver County CO,08031,08,102,67,151,448,302,668
262,Dolores County CO,08033,08,0,0,0,0,0,0
263,Douglas County CO,08035,08,55,36,83,376,194,598
264,Eagle County CO,08037,08,72,47,107,283,199,380
265,Elbert County CO,08039,08,21,5,55,173,71,472
266,El Paso County CO,08041,08,111,79,154,804,494,1328
267,Fremont County CO,08043,08,357,239,461,1983,1274,2824
268,Garfield County CO,08045,08,96,59,142,531,376,818
