ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,148,94,215,751,484,1061
2,Baldwin County AL,01003,01,125,89,177,511,394,681
3,Barbour County AL,01005,01,134,59,251,675,290,1169
4,Bibb County AL,01007,01,274,152,387,1085,643,1641
5,Blount County AL,01009,01,149,72,235,703,364,1177
6,Bullock County AL,01011,01,45,14,131,254,67,667
7,Butler County AL,01013,01,168,80,273,854,463,1630
8,Calhoun County AL,01015,01,409,249,585,1340,800,1800
9,Chambers County AL,01017,01,212,140,316,1248,816,1735
10,Cherokee County AL,01019,01,119,51,227,867,285,1717
11,Chilton County AL,01021,01,159,93,247,780,441,1182
12,Choctaw County AL,01023,01,15,0,154,147,0,1201
13,Clarke County AL,01025,01,124,62,193,918,406,1908
14,Clay County AL,01027,01,217,36,452,1279,235,2807
15,Cleburne County AL,01029,01,160,71,300,366,196,664
16,Coffee County AL,01031,01,155,102,269,611,432,984
17,Colbert County AL,01033,01,147,64,226,855,414,1248
18,Conecuh County AL,01035,01,209,119,338,1125,571,1840
19,Coosa County AL,01037,01,350,121,625,2580,842,5736
20,Covington County AL,01039,01,237,139,389,911,605,1327
21,Crenshaw County AL,01041,01,154,66,329,753,428,1423
22,Cullman County AL,01043,01,333,239,445,1402,1044,1774
23,Dale County AL,01045,01,173,102,278,701,464,1028
24,Dallas County AL,01047,01,108,41,168,631,223,1107
25,DeKalb County AL,01049,01,219,107,312,702,355,952
26,Elmore County AL,01051,01,193,132,265,987,719,1357
27,Escambia County AL,01053,01,409,275,569,1103,819,1435
28,Etowah County AL,01055,01,165,106,225,626,417,864
29,Fayette County AL,01057,01,224,108,359,885,441,1642
30,Franklin County AL,01059,01,130,31,255,469,124,836
31,Geneva County AL,01061,01,278,162,473,1108,761,1611
32,Greene County AL,01063,01,27,4,111,145,42,597
33,Hale County AL,01065,01,104,23,276,371,84,959
34,Henry County AL,01067,01,214,75,359,463,184,792
35,Houston County AL,01069,01,177,113,251,730,505,1012
36,Jackson County AL,01071,01,269,179,391,909,630,1402
37,Jefferson County AL,01073,01,135,86,182,366,228,517
38,Lamar County AL,01075,01,144,44,274,741,263,1397
39,Lauderdale County AL,01077,01,205,144,279,944,676,1356
40,Lawrence County AL,01079,01,74,6,149,523,73,1531
41,Lee County AL,01081,01,180,130,234,986,728,1299
42,Limestone County AL,01083,01,238,176,330,1090,777,1414
43,Lowndes County AL,01085,01,61,14,183,299,102,661
44,Macon County AL,01087,01,136,51,238,1205,389,3494
45,Madison County AL,01089,01,175,128,230,749,571,993
46,Marengo County AL,01091,01,91,20,166,633,143,1664
47,Marion County AL,01093,01,286,166,436,1241,704,1759
48,Marshall County AL,01095,01,189,130,265,823,542,1202
49,Mobile County AL,01097,01,67,25,109,265,124,432
50,Monroe County AL,01099,01,136,42,256,758,384,1364
51,Montgomery County AL,01101,01,130,84,172,599,420,765
52,Morgan County AL,01103,01,193,126,247,918,687,1196
53,Perry County AL,01105,01,80,0,261,435,0,1593
54,Pickens County AL,01107,01,131,30,227,547,164,1057
55,Pike County AL,01109,01,228,144,342,1160,787,1807
56,Randolph County AL,01111,01,202,67,321,1085,482,1958
57,Russell County AL,01113,01,98,44,173,481,201,865
58,St. Clair County AL,01115,01,233,157,342,1052,774,1468
59,Shelby County AL,01117,01,168,114,217,799,549,1090
60,Sumter County AL,01119,01,48,8,152,452,76,1919
61,Talladega County AL,01121,01,224,158,287,548,407,696
62,Tallapoosa County AL,01123,01,166,110,237,468,310,679
63,Tuscaloosa County AL,01125,01,221,165,280,1092,821,1433
64,Walker County AL,01127,01,310,207,423,1342,942,1825
65,Washington County AL,01129,01,85,16,193,204,60,504
66,Wilcox County AL,01131,01,49,12,131,271,66,701
67,Winston County AL,01133,01,281,156,470,1328,812,1843
68,Aleutians East Borough AK,02013,02,0,0,0,0,0,0
69,Aleutians West Census Area AK,02016,02,0,0,0,0,0,0
70,Anchorage Municipality AK,02020,02,387,320,470,1175,958,1398
71,Bethel Census Area AK,02050,02,6,0,11,11,0,22
72,Bristol Bay Borough AK,02060,02,0,0,0,0,0,0
73,Denali Borough AK,02068,02,0,0,0,0,0,49
74,Dillingham Census Area AK,02070,02,21,21,62,112,51,410
75,Fairbanks North Star Borough AK,02090,02,482,373,612,2098,1506,2770
76,Haines Borough AK,02100,02,3,3,86,57,16,338
77,Hoonah-Angoon Census Area AK,02105,02,0,0,0,0,0,0
78,Juneau City and Borough AK,02110,02,254,156,365,1034,707,1525
79,Kenai Peninsula Borough AK,02122,02,226,143,334,844,478,1099
80,Ketchikan Gateway Borough AK,02130,02,67,15,181,219,71,464
81,Kodiak Island Borough AK,02150,02,79,24,184,233,95,509
82,Kusilvak Census Area AK,02158,02,45,21,140,132,51,396
83,Lake and Peninsula Borough AK,02164,02,0,0,0,0,0,0
84,Matanuska-Susitna Borough AK,02170,02,332,243,430,1586,1166,2601
85,Nome Census Area AK,02180,02,33,12,113,143,33,484
86,North Slope Borough AK,02185,02,156,84,289,624,390,1151
87,Northwest Arctic Borough AK,02188,02,15,14,40,49,35,218
88,Petersburg Borough AK,02195,02,0,0,0,0,0,0
89,Prince of Wales-Hyder Census Area AK,02198,02,16,16,31,16,16,188
90,Sitka City and Borough AK,02220,02,15,13,96,40,22,133
91,Skagway Municipality AK,02230,02,0,0,0,0,0,0
92,Southeast Fairbanks Census Area AK,02240,02,0,0,0,0,0,15
93,Valdez-Cordova Census Area AK,02261,02,0,0,0,0,0,0
94,Wrangell City and Borough AK,02275,02,0,0,0,0,0,0
95,Yakutat City and Borough AK,02282,02,0,0,0,0,0,0
96,Yukon-Koyukuk Census Area AK,02290,02,20,0,150,180,0,1016
97,Apache County AZ,04001,04,53,5,110,187,14,407
98,Cochise County AZ,04003,04,97,64,137,788,521,1433
99,Coconino County AZ,04005,04,127,86,174,443,303,605
100,Gila County AZ,04007,04,146,74,220,551,253,792
101,Graham County AZ,04009,04,188,90,288,574,251,976
102,Greenlee County AZ,04011,04,226,52,383,1726,580,4496
103,La Paz County AZ,04012,04,105,53,171,310,195,425
104,Maricopa County AZ,04013,04,126,102,150,511,407,658
105,Mohave County AZ,04015,04,149,103,178,367,272,492
106,Navajo County AZ,04017,04,74,43,115,183,97,275
107,Pima County AZ,04019,04,89,71,108,314,229,413
108,Pinal County AZ,04021,04,90,70,111,196,152,246
109,Santa Cruz County AZ,04023,04,54,11,112,328,48,586
110,Yavapai County AZ,04025,04,113,81,148,424,312,560
111,Yuma County AZ,04027,04,67,30,99,195,96,292
112,Arkansas County AR,05001,05,147,68,246,539,286,851
113,Ashley County AR,05003,05,108,38,246,593,223,1154
114,Baxter County AR,05005,05,54,13,115,137,37,241
115,Benton County AR,05007,05,105,78,154,499,366,649
116,Boone County AR,05009,05,92,34,170,352,135,635
117,Bradley County AR,05011,05,64,0,225,323,0,858
118,Calhoun County AR,05013,05,20,0,39,40,21,254
119,Carroll County AR,05015,05,82,11,186,306,51,610
120,Chicot County AR,05017,05,73,19,168,515,186,1096
121,Clark County AR,05019,05,78,14,151,395,142,727
122,Clay County AR,05021,05,154,53,270,606,270,1076
123,Cleburne County AR,05023,05,129,49,245,566,233,943
124,Cleveland County AR,05025,05,28,14,117,206,78,850
125,Columbia County AR,05027,05,82,13,181,551,109,989
126,Conway County AR,05029,05,109,45,207,747,366,1137
127,Craighead County AR,05031,05,205,135,325,852,616,1175
128,Crawford County AR,05033,05,215,132,305,829,583,1211
129,Crittenden County AR,05035,05,193,109,312,940,510,1340
130,Cross County AR,05037,05,140,43,267,624,191,1174
131,Dallas County AR,05039,05,16,14,141,139,35,676
132,Desha County AR,05041,05,101,20,235,552,151,1104
133,Drew County AR,05043,05,115,47,206,616,292,1063
134,Faulkner County AR,05045,05,87,59,128,367,227,498
135,Franklin County AR,05047,05,119,28,227,607,264,1027
136,Fulton County AR,05049,05,112,42,233,737,284,1520
137,Garland County AR,05051,05,78,42,127,326,200,488
138,Grant County AR,05053,05,57,12,128,309,131,597
139,Greene County AR,05055,05,210,125,314,821,506,1227
140,Hempstead County AR,05057,05,119,45,219,652,256,1159
141,Hot Spring County AR,05059,05,117,62,252,347,167,627
142,Howard County AR,05061,05,75,7,174,524,83,1342
143,Independence County AR,05063,05,197,115,281,596,376,846
144,Izard County AR,05065,05,65,16,136,502,234,848
145,Jackson County AR,05067,05,99,39,193,702,189,1300
146,Jefferson County AR,05069,05,46,9,88,194,57,378
147,Johnson County AR,05071,05,136,49,242,662,268,1136
148,Lafayette County AR,05073,05,55,22,158,380,141,798
149,Lawrence County AR,05075,05,198,48,357,1295,410,2620
150,Lee County AR,05077,05,63,10,183,418,104,1256
151,Lincoln County AR,05079,05,23,0,113,88,0,332
152,Little River County AR,05081,05,141,51,257,839,408,1762
153,Logan County AR,05083,05,104,28,235,541,188,1025
154,Lonoke County AR,05085,05,94,50,140,386,242,542
155,Madison County AR,05087,05,92,31,154,610,261,1108
156,Marion County AR,05089,05,89,38,199,584,272,1046
157,Miller County AR,05091,05,201,127,316,1141,700,1618
158,Mississippi County AR,05093,05,206,115,310,926,515,1516
159,Monroe County AR,05095,05,79,21,179,630,233,1936
160,Montgomery County AR,05097,05,52,0,263,317,0,1392
161,Nevada County AR,05099,05,147,59,302,732,371,1341
162,Newton County AR,05101,05,26,0,119,100,0,687
163,Ouachita County AR,05103,05,72,4,178,338,50,805
164,Perry County AR,05105,05,37,12,110,310,83,801
165,Phillips County AR,05107,05,157,58,257,393,176,587
166,Pike County AR,05109,05,160,47,293,834,247,1729
167,Poinsett County AR,05111,05,99,36,183,265,128,489
168,Polk County AR,05113,05,192,97,321,803,394,1363
169,Pope County AR,05115,05,107,58,176,403,232,615
170,Prairie County AR,05117,05,27,11,139,208,30,685
171,Pulaski County AR,05119,05,89,71,117,378,281,463
172,Randolph County AR,05121,05,132,62,251,700,290,1496
173,St. Francis County AR,05123,05,113,43,221,646,338,1296
174,Saline County AR,05125,05,97,60,144,370,245,518
175,Scott County AR,05127,05,479,290,722,2064,968,2917
176,Searcy County AR,05129,05,15,14,78,96,31,374
177,Sebastian County AR,05131,05,131,85,186,632,478,870
178,Sevier County AR,05133,05,195,83,324,800,387,1650
179,Sharp County AR,05135,05,265,130,446,1075,650,1614
180,Stone County AR,05137,05,105,25,251,568,163,1284
