ID,Name,FIPS,STATE,Ir_median,Ir_2.5pct,Ir_97.5pct,Itotal_median,Itotal_2.5pct,Itotal_97.5pct
1,Autauga County AL,01001,01,234,156,339,2275,1271,3010
2,Baldwin County AL,01003,01,53,12,107,183,44,375
3,Barbour County AL,01005,01,5,1,21,114,34,226
4,Bibb County AL,01007,01,32,9,76,399,226,672
5,Blount County AL,01009,01,0,0,35,0,0,208
6,Bullock County AL,01011,01,0,0,0,0,0,0
7,Butler County AL,01013,01,27,3,99,247,103,582
8,Calhoun County AL,01015,01,1,0,25,2,0,147
9,Chambers County AL,01017,01,194,90,333,2238,838,4019
10,Cherokee County AL,01019,01,261,143,406,2341,1246,3398
11,Chilton County AL,01021,01,134,6,235,1156,205,2160
12,Choctaw County AL,01023,01,16,0,56,195,40,550
13,Clarke County AL,01025,01,76,23,135,1126,714,1495
14,Clay County AL,01027,01,192,115,329,1832,1321,2528
15,Cleburne County AL,01029,01,276,167,424,2113,1460,2707
16,Coffee County AL,01031,01,23,2,161,71,2,1203
17,Colbert County AL,01033,01,105,34,166,618,149,1183
18,Conecuh County AL,01035,01,34,9,99,399,167,734
19,Coosa County AL,01037,01,103,23,199,1470,425,2378
20,Covington County AL,01039,01,173,113,237,1406,1025,1826
21,Crenshaw County AL,01041,01,15,0,44,200,105,412
22,Cullman County AL,01043,01,1,0,98,1,0,631
23,Dale County AL,01045,01,0,0,4,0,0,29
24,Dallas County AL,01047,01,82,45,131,1065,768,1336
25,DeKalb County AL,01049,01,118,58,199,721,425,1278
26,Elmore County AL,01051,01,0,0,34,0,0,250
27,Escambia County AL,01053,01,6,3,17,40,21,78
28,Etowah County AL,01055,01,1,0,102,10,3,910
29,Fayette County AL,01057,01,93,25,162,1424,947,2058
30,Franklin County AL,01059,01,36,13,78,347,172,559
31,Geneva County AL,01061,01,324,179,521,2666,1152,4040
32,Greene County AL,01063,01,0,0,12,0,0,135
33,Hale County AL,01065,01,35,7,82,326,167,529
34,Henry County AL,01067,01,43,13,84,448,274,650
35,Houston County AL,01069,01,0,0,57,0,0,473
36,Jackson County AL,01071,01,52,28,72,586,382,836
37,Jefferson County AL,01073,01,0,0,43,1,0,171
38,Lamar County AL,01075,01,23,8,67,292,121,573
39,Lauderdale County AL,01077,01,32,0,89,223,5,748
40,Lawrence County AL,01079,01,127,54,220,961,400,1500
41,Lee County AL,01081,01,87,27,150,328,126,595
42,Limestone County AL,01083,01,143,80,222,910,450,1797
43,Lowndes County AL,01085,01,0,0,0,0,0,40
44,Macon County AL,01087,01,21,0,55,360,151,786
45,Madison County AL,01089,01,27,0,80,111,0,354
46,Marengo County AL,01091,01,11,0,37,120,44,239
47,Marion County AL,01093,01,31,8,62,260,145,527
48,Marshall County AL,01095,01,43,28,69,207,142,291
49,Mobile County AL,01097,01,0,0,15,0,0,75
50,Monroe County AL,01099,01,10,0,24,46,17,131
51,Montgomery County AL,01101,01,41,9,73,285,68,544
52,Morgan County AL,01103,01,50,4,109,255,28,647
53,Perry County AL,01105,01,0,0,23,68,0,204
54,Pickens County AL,01107,01,66,30,142,785,492,1326
55,Pike County AL,01109,01,171,81,282,2024,1259,2776
56,Randolph County AL,01111,01,34,12,66,298,182,464
57,Russell County AL,01113,01,124,71,185,1031,534,1427
58,St. Clair County AL,01115,01,71,2,153,595,3,2129
59,Shelby County AL,01117,01,68,31,122,383,161,711
60,Sumter County AL,01119,01,0,0,16,5,1,97
61,Talladega County AL,01121,01,111,11,216,875,165,1791
62,Tallapoosa County AL,01123,01,50,22,87,364,244,526
63,Tuscaloosa County AL,01125,01,0,0,208,0,0,833
64,Walker County AL,01127,01,41,0,119,182,0,544
65,Washington County AL,01129,01,0,0,13,57,19,134
66,Wilcox County AL,01131,01,0,0,38,101,0,352
67,Winston County AL,01133,01,199,94,329,2009,1209,2933
68,Aleutians East Borough AK,02013,02,0,0,0,0,0,0
69,Aleutians West Census Area AK,02016,02,0,0,0,0,0,0
70,Anchorage Municipality AK,02020,02,5,0,35,23,0,187
71,Bethel Census Area AK,02050,02,0,0,0,0,0,0
72,Bristol Bay Borough AK,02060,02,0,0,0,0,0,0
73,Denali Borough AK,02068,02,0,0,0,0,0,0
74,Dillingham Census Area AK,02070,02,0,0,0,0,0,0
75,Fairbanks North Star Borough AK,02090,02,0,0,0,0,0,0
76,Haines Borough AK,02100,02,0,0,0,0,0,0
77,Hoonah-Angoon Census Area AK,02105,02,0,0,0,0,0,0
78,Juneau City and Borough AK,02110,02,50,19,94,529,305,1037
79,Kenai Peninsula Borough AK,02122,02,2,0,5,5,0,18
80,Ketchikan Gateway Borough AK,02130,02,0,0,0,0,0,0
81,Kodiak Island Borough AK,02150,02,0,0,0,0,0,0
82,Kusilvak Census Area AK,02158,02,0,0,0,0,0,0
83,Lake and Peninsula Borough AK,02164,02,0,0,0,0,0,0
84,Matanuska-Susitna Borough AK,02170,02,0,0,2,2,0,9
85,Nome Census Area AK,02180,02,20,0,50,170,35,365
86,North Slope Borough AK,02185,02,11,11,41,85,35,187
87,Northwest Arctic Borough AK,02188,02,42,16,95,395,155,613
88,Petersburg Borough AK,02195,02,0,0,0,0,0,0
89,Prince of Wales-Hyder Census Area AK,02198,02,0,0,0,0,0,0
90,Sitka City and Borough AK,02220,02,0,0,0,0,0,0
91,Skagway Municipality AK,02230,02,0,0,0,0,0,0
92,Southeast Fairbanks Census Area AK,02240,02,0,0,0,0,0,0
93,Valdez-Cordova Census Area AK,02261,02,0,0,0,0,0,0
94,Wrangell City and Borough AK,02275,02,0,0,0,0,0,0
95,Yakutat City and Borough AK,02282,02,0,0,0,0,0,0
96,Yukon-Koyukuk Census Area AK,02290,02,0,0,0,0,0,0
97,Apache County AZ,04001,04,9,3,21,138,85,203
98,Cochise County AZ,04003,04,2,1,6,20,11,51
99,Coconino County AZ,04005,04,38,26,52,178,132,239
100,Gila County AZ,04007,04,8,3,19,115,76,172
101,Graham County AZ,04009,04,27,6,48,157,75,255
102,Greenlee County AZ,04011,04,0,0,0,0,0,0
103,La Paz County AZ,04012,04,0,0,10,1,1,43
104,Maricopa County AZ,04013,04,6,0,17,126,0,316
105,Mohave County AZ,04015,04,24,15,37,165,118,248
106,Navajo County AZ,04017,04,14,5,25,152,85,227
107,Pima County AZ,04019,04,0,0,4,0,0,28
108,Pinal County AZ,04021,04,1,0,3,7,2,14
109,Santa Cruz County AZ,04023,04,4,0,11,16,5,39
110,Yavapai County AZ,04025,04,23,15,37,135,91,215
111,Yuma County AZ,04027,04,29,21,43,196,165,261
112,Arkansas County AR,05001,05,12,6,34,130,51,271
113,Ashley County AR,05003,05,0,0,0,0,0,15
114,Baxter County AR,05005,05,164,87,265,2405,974,4002
115,Benton County AR,05007,05,92,51,154,407,214,718
116,Boone County AR,05009,05,77,0,240,599,1,1920
117,Bradley County AR,05011,05,0,0,19,43,0,238
118,Calhoun County AR,05013,05,0,0,39,19,0,446
119,Carroll County AR,05015,05,104,59,157,1355,793,2416
120,Chicot County AR,05017,05,0,0,20,2,0,197
121,Clark County AR,05019,05,34,9,78,370,188,617
122,Clay County AR,05021,05,137,62,253,1404,716,2556
123,Cleburne County AR,05023,05,41,12,93,506,211,932
124,Cleveland County AR,05025,05,37,0,125,607,113,1117
125,Columbia County AR,05027,05,121,55,188,1747,1332,2451
126,Conway County AR,05029,05,38,10,78,441,164,885
127,Craighead County AR,05031,05,30,0,122,169,0,722
128,Crawford County AR,05033,05,210,132,271,1757,1026,2829
129,Crittenden County AR,05035,05,179,106,269,852,487,1361
130,Cross County AR,05037,05,108,47,188,1331,778,2079
131,Dallas County AR,05039,05,0,0,110,134,0,1326
132,Desha County AR,05041,05,18,9,36,134,43,378
133,Drew County AR,05043,05,5,0,22,36,2,210
134,Faulkner County AR,05045,05,48,1,139,268,2,1015
135,Franklin County AR,05047,05,93,42,155,751,455,1106
136,Fulton County AR,05049,05,159,63,292,1792,1009,3278
137,Garland County AR,05051,05,80,31,159,662,257,1548
