age_group,scenario_name,target,target_end_date,location,value,type,quantile,model_projection_date
0-4,no_change,1 wk ahead inc death,12/18/2021,Alaska,0,quantile,0.025,12/12/2021
0-4,no_change,1 wk ahead inc death,12/18/2021,Alaska,0,quantile,0.5,12/12/2021
0-4,no_change,1 wk ahead inc death,12/18/2021,Alaska,0,quantile,0.975,12/12/2021
0-4,no_change,2 wk ahead inc death,12/25/2021,Alaska,0,quantile,0.025,12/12/2021
0-4,no_change,2 wk ahead inc death,12/25/2021,Alaska,0,quantile,0.5,12/12/2021
0-4,no_change,2 wk ahead inc death,12/25/2021,Alaska,0,quantile,0.975,12/12/2021
0-4,no_change,3 wk ahead inc death,01/01/2022,Alaska,0,quantile,0.025,12/12/2021
0-4,no_change,3 wk ahead inc death,01/01/2022,Alaska,0,quantile,0.5,12/12/2021
0-4,no_change,3 wk ahead inc death,01/01/2022,Alaska,0,quantile,0.975,12/12/2021
0-4,no_change,4 wk ahead inc death,01/08/2022,Alaska,0,quantile,0.025,12/12/2021
0-4,no_change,4 wk ahead inc death,01/08/2022,Alaska,0,quantile,0.5,12/12/2021
0-4,no_change,4 wk ahead inc death,01/08/2022,Alaska,0,quantile,0.975,12/12/2021
0-4,no_change,5 wk ahead inc death,01/15/2022,Alaska,0,quantile,0.025,12/12/2021
0-4,no_change,5 wk ahead inc death,01/15/2022,Alaska,0,quantile,0.5,12/12/2021
0-4,no_change,5 wk ahead inc death,01/15/2022,Alaska,0,quantile,0.975,12/12/2021
0-4,no_change,6 wk ahead inc death,01/22/2022,Alaska,0,quantile,0.025,12/12/2021
0-4,no_change,6 wk ahead inc death,01/22/2022,Alaska,0,quantile,0.5,12/12/2021
0-4,no_change,6 wk ahead inc death,01/22/2022,Alaska,0,quantile,0.975,12/12/2021
0-4,no_change,1 wk ahead inc death,12/18/2021,Alabama,0,quantile,0.025,12/12/2021
0-4,no_change,1 wk ahead inc death,12/18/2021,Alabama,0,quantile,0.5,12/12/2021
0-4,no_change,1 wk ahead inc death,12/18/2021,Alabama,0,quantile,0.975,12/12/2021
0-4,no_change,2 wk ahead inc death,12/25/2021,Alabama,0,quantile,0.025,12/12/2021
0-4,no_change,2 wk ahead inc death,12/25/2021,Alabama,0,quantile,0.5,12/12/2021
0-4,no_change,2 wk ahead inc death,12/25/2021,Alabama,0,quantile,0.975,12/12/2021
0-4,no_change,3 wk ahead inc death,01/01/2022,Alabama,0,quantile,0.025,12/12/2021
0-4,no_change,3 wk ahead inc death,01/01/2022,Alabama,0,quantile,0.5,12/12/2021
0-4,no_change,3 wk ahead inc death,01/01/2022,Alabama,0,quantile,0.975,12/12/2021
0-4,no_change,4 wk ahead inc death,01/08/2022,Alabama,0,quantile,0.025,12/12/2021
0-4,no_change,4 wk ahead inc death,01/08/2022,Alabama,0,quantile,0.5,12/12/2021
0-4,no_change,4 wk ahead inc death,01/08/2022,Alabama,0,quantile,0.975,12/12/2021
0-4,no_change,5 wk ahead inc death,01/15/2022,Alabama,0,quantile,0.025,12/12/2021
0-4,no_change,5 wk ahead inc death,01/15/2022,Alabama,0,quantile,0.5,12/12/2021
0-4,no_change,5 wk ahead inc death,01/15/2022,Alabama,0,quantile,0.975,12/12/2021
0-4,no_change,6 wk ahead inc death,01/22/2022,Alabama,0,quantile,0.025,12/12/2021
0-4,no_change,6 wk ahead inc death,01/22/2022,Alabama,0,quantile,0.5,12/12/2021
