Fips_code,Days Until HealthCare Overwhelmed
01001,18
01003,34
01005,40
01007,15
01009,17
01011,25
01013,33
01015,29
01017,29
01019,22
01021,22
01023,39
01025,34
01027,37
01029,22
01031,35
01033,33
01035,34
01037,27
01039,23
01041,24
01043,23
01045,37
01047,33
01049,33
01051,13
01053,34
01055,33
01057,29
01059,35
01061,34
01063,22
01065,18
01067,37
01069,42
01071,29
01073,21
01075,31
01077,31
01079,28
01081,26
01083,5
01085,21
01087,18
01089,19
01091,37
01093,23
01095,27
01097,32
01099,NA
01101,18
01103,21
01105,28
01107,24
01109,33
01111,23
01113,32
01115,15
01117,18
01119,30
01121,26
01123,25
01125,19
01127,19
01129,35
01131,38
01133,27
02013,42
02016,NA
02020,14
02050,NA
02060,41
02068,NA
02070,NA
02090,41
02100,NA
02105,NA
02110,NA
02122,31
02130,NA
02150,42
02158,NA
02164,NA
02170,20
02180,NA
02185,21
02188,35
02195,NA
02198,NA
02220,NA
02230,NA
02240,42
02261,30
02275,NA
02282,NA
02290,40
04001,26
04003,22
04005,34
04007,24
04009,25
04011,31
04012,28
04013,12
04015,23
04017,26
04019,11
04021,13
04023,20
04025,30
04027,22
05001,29
05003,NA
05005,NA
05007,39
05009,NA
05011,NA
05013,40
05015,NA
05017,NA
05019,30
05021,NA
05023,26
05025,33
05027,37
05029,24
05031,40
05033,NA
05035,6
05037,20
05039,37
05041,33
05043,40
05045,24
05047,NA
05049,NA
05051,33
05053,21
05055,41
05057,NA
05059,29
05061,NA
05063,NA
05065,NA
05067,35
05069,29
05071,NA
05073,NA
05075,41
05077,29
05079,30
05081,40
05083,NA
05085,10
05087,NA
05089,NA
05091,26
05093,34
05095,32
05097,37
05099,NA
05101,NA
05103,NA
05105,25
05107,32
05109,40
05111,21
05113,NA
05115,37
05117,27
05119,26
05121,NA
05123,26
05125,17
05127,NA
05129,38
05131,NA
05133,NA
05135,NA
05137,39
05139,NA
05141,25
05143,42
05145,28
05147,38
05149,37
06001,22
06003,34
06005,25
06007,31
06009,18
06011,29
06013,18
06015,42
06017,10
06019,22
06021,34
06023,19
06025,29
06027,29
06029,11
06031,26
06033,33
06035,37
06037,13
06039,27
06041,24
06043,28
06045,37
06047,17
