county,id,date,2.5pctl,25pctl,50pctl,75pctl,97.5pctl
Kings County NY,36047,04/12/20,-2967,-1951,-1297,-955,-547
Queens County NY,36081,04/12/20,-3487,-2014,-1397,-1085,-687
New York County NY,36061,04/12/20,-1584,-968,-533,-169,276
Bronx County NY,36005,04/12/20,-1777,-965,-684,-464,-247
Richmond County NY,36085,04/12/20,-494,-272,-185,-86,-16
Westchester County NY,36119,04/12/20,-1955,-1272,-935,-667,-453
Bergen County NJ,34003,04/12/20,-829,-512,-347,-183,-58
Hudson County NJ,34017,04/12/20,-227,-128,-88,-37,6
Passaic County NJ,34031,04/12/20,-255,-128,-66,-19,31
Putnam County NY,36079,04/12/20,-97,-51,-38,-26,-13
Rockland County NY,36087,04/12/20,-628,-434,-335,-264,-146
Kings County NY,36047,04/13/20,-3542,-2219,-1515,-1092,-622
Queens County NY,36081,04/13/20,-3792,-2312,-1647,-1276,-798
New York County NY,36061,04/13/20,-1896,-1219,-684,-274,250
Bronx County NY,36005,04/13/20,-2090,-1159,-821,-573,-320
Richmond County NY,36085,04/13/20,-643,-327,-225,-105,-7
Westchester County NY,36119,04/13/20,-2191,-1438,-1063,-789,-519
Bergen County NJ,34003,04/13/20,-1027,-612,-424,-208,-68
Hudson County NJ,34017,04/13/20,-277,-161,-112,-55,-7
Passaic County NJ,34031,04/13/20,-308,-160,-86,-36,31
Putnam County NY,36079,04/13/20,-119,-64,-45,-33,-18
Rockland County NY,36087,04/13/20,-699,-502,-384,-300,-166
Kings County NY,36047,04/14/20,-4272,-2584,-1776,-1251,-749
Queens County NY,36081,04/14/20,-4557,-2654,-1923,-1508,-877
New York County NY,36061,04/14/20,-2289,-1491,-856,-408,214
Bronx County NY,36005,04/14/20,-2413,-1404,-978,-693,-365
Richmond County NY,36085,04/14/20,-768,-391,-271,-129,-14
Westchester County NY,36119,04/14/20,-2409,-1605,-1214,-899,-598
Bergen County NJ,34003,04/14/20,-1248,-731,-499,-263,-70
Hudson County NJ,34017,04/14/20,-350,-201,-139,-69,-16
Passaic County NJ,34031,04/14/20,-411,-194,-121,-58,31
Putnam County NY,36079,04/14/20,-146,-74,-53,-39,-24
Rockland County NY,36087,04/14/20,-777,-588,-447,-348,-185
Kings County NY,36047,04/15/20,-4963,-2998,-2046,-1395,-851
Queens County NY,36081,04/15/20,-5185,-3027,-2203,-1734,-948
New York County NY,36061,04/15/20,-2758,-1812,-1037,-590,213
Bronx County NY,36005,04/15/20,-2862,-1639,-1150,-823,-421
Richmond County NY,36085,04/15/20,-883,-468,-321,-153,-24
Westchester County NY,36119,04/15/20,-2638,-1843,-1345,-1024,-655
Bergen County NJ,34003,04/15/20,-1491,-873,-584,-308,-103
Hudson County NJ,34017,04/15/20,-453,-250,-168,-93,-31
Passaic County NJ,34031,04/15/20,-494,-237,-143,-77,30
Putnam County NY,36079,04/15/20,-175,-87,-64,-46,-31
Rockland County NY,36087,04/15/20,-923,-673,-514,-393,-206
Kings County NY,36047,04/16/20,-5824,-3383,-2334,-1627,-983
Queens County NY,36081,04/16/20,-6039,-3483,-2554,-1979,-1046
New York County NY,36061,04/16/20,-3292,-2198,-1275,-704,164
Bronx County NY,36005,04/16/20,-3310,-1939,-1332,-962,-488
Richmond County NY,36085,04/16/20,-1025,-543,-392,-194,-37
Westchester County NY,36119,04/16/20,-2960,-2079,-1566,-1150,-744
Bergen County NJ,34003,04/16/20,-1769,-1062,-672,-371,-123
Hudson County NJ,34017,04/16/20,-570,-316,-201,-118,-39
Passaic County NJ,34031,04/16/20,-580,-283,-176,-95,32
Putnam County NY,36079,04/16/20,-207,-99,-74,-53,-33
Rockland County NY,36087,04/16/20,-1029,-772,-582,-447,-232
Kings County NY,36047,04/17/20,-6651,-3784,-2567,-1873,-1112
Queens County NY,36081,04/17/20,-6939,-4007,-2875,-2194,-1165
New York County NY,36061,04/17/20,-3921,-2610,-1513,-908,107
Bronx County NY,36005,04/17/20,-3865,-2274,-1560,-1133,-530
Richmond County NY,36085,04/17/20,-1189,-642,-453,-226,-55
Westchester County NY,36119,04/17/20,-3239,-2337,-1771,-1301,-794
Bergen County NJ,34003,04/17/20,-2103,-1261,-802,-436,-190
Hudson County NJ,34017,04/17/20,-669,-388,-253,-141,-54
Passaic County NJ,34031,04/17/20,-717,-343,-225,-121,22
Putnam County NY,36079,04/17/20,-233,-116,-85,-62,-37
Rockland County NY,36087,04/17/20,-1146,-859,-663,-492,-252
Kings County NY,36047,04/18/20,-7585,-4327,-2844,-2067,-1254
Queens County NY,36081,04/18/20,-7930,-4477,-3221,-2442,-1274
New York County NY,36061,04/18/20,-4636,-3074,-1720,-1095,18
Bronx County NY,36005,04/18/20,-4489,-2655,-1799,-1297,-583
Richmond County NY,36085,04/18/20,-1334,-755,-523,-256,-67
Westchester County NY,36119,04/18/20,-3508,-2572,-1931,-1430,-830
Bergen County NJ,34003,04/18/20,-2501,-1436,-934,-514,-225
Hudson County NJ,34017,04/18/20,-802,-466,-306,-172,-66
Passaic County NJ,34031,04/18/20,-874,-420,-278,-158,13
Putnam County NY,36079,04/18/20,-273,-133,-98,-72,-39
Rockland County NY,36087,04/18/20,-1293,-957,-740,-534,-266
Kings County NY,36047,04/19/20,-8626,-4807,-3178,-2270,-1368
Queens County NY,36081,04/19/20,-9007,-5062,-3632,-2694,-1321
New York County NY,36061,04/19/20,-5378,-3555,-2062,-1264,-56
Bronx County NY,36005,04/19/20,-5084,-3042,-2035,-1458,-619
Richmond County NY,36085,04/19/20,-1514,-878,-586,-297,-88
Westchester County NY,36119,04/19/20,-3787,-2803,-2150,-1534,-871
Bergen County NJ,34003,04/19/20,-2957,-1667,-1044,-593,-266
Hudson County NJ,34017,04/19/20,-938,-572,-363,-211,-93
Passaic County NJ,34031,04/19/20,-1074,-496,-328,-190,0
Putnam County NY,36079,04/19/20,-322,-156,-116,-84,-44
Rockland County NY,36087,04/19/20,-1422,-1066,-821,-582,-291
Kings County NY,36047,04/20/20,-9601,-5225,-3508,-2502,-1464
Queens County NY,36081,04/20/20,-10054,-5676,-4106,-3052,-1381
New York County NY,36061,04/20/20,-6177,-4079,-2491,-1428,-139
Bronx County NY,36005,04/20/20,-5736,-3453,-2261,-1638,-688
Richmond County NY,36085,04/20/20,-1733,-1019,-671,-347,-93
Westchester County NY,36119,04/20/20,-4073,-2994,-2373,-1646,-898
Bergen County NJ,34003,04/20/20,-3395,-1927,-1173,-686,-327
Hudson County NJ,34017,04/20/20,-1140,-672,-428,-246,-112
Passaic County NJ,34031,04/20/20,-1235,-590,-376,-214,-18
Putnam County NY,36079,04/20/20,-362,-181,-132,-96,-44
Rockland County NY,36087,04/20/20,-1572,-1177,-908,-631,-297
Kings County NY,36047,04/21/20,-10746,-5733,-3871,-2833,-1443
Queens County NY,36081,04/21/20,-10977,-6177,-4591,-3372,-1451
New York County NY,36061,04/21/20,-6976,-4549,-2854,-1667,-224
Bronx County NY,36005,04/21/20,-6352,-3892,-2540,-1825,-739
Richmond County NY,36085,04/21/20,-2010,-1168,-764,-410,-121
Westchester County NY,36119,04/21/20,-4303,-3257,-2516,-1767,-901
Bergen County NJ,34003,04/21/20,-3872,-2210,-1387,-792,-365
Hudson County NJ,34017,04/21/20,-1347,-805,-488,-311,-120
Passaic County NJ,34031,04/21/20,-1399,-688,-440,-265,-34
Putnam County NY,36079,04/21/20,-419,-206,-153,-110,-48
Rockland County NY,36087,04/21/20,-1721,-1294,-999,-690,-328
Kings County NY,36047,04/22/20,-11845,-6371,-4236,-3133,-1492
Queens County NY,36081,04/22/20,-11989,-6788,-5102,-3695,-1571
New York County NY,36061,04/22/20,-7627,-4991,-3278,-1870,-351
Bronx County NY,36005,04/22/20,-6925,-4326,-2830,-2074,-807
Richmond County NY,36085,04/22/20,-2234,-1319,-884,-478,-158
Westchester County NY,36119,04/22/20,-4525,-3500,-2707,-1894,-910
Bergen County NJ,34003,04/22/20,-4294,-2564,-1620,-894,-424
Hudson County NJ,34017,04/22/20,-1590,-937,-559,-393,-118
Passaic County NJ,34031,04/22/20,-1582,-801,-505,-314,-51
Putnam County NY,36079,04/22/20,-464,-233,-175,-129,-55
Rockland County NY,36087,04/22/20,-1828,-1385,-1087,-740,-359
Kings County NY,36047,04/23/20,-12836,-7102,-4541,-3434,-1613
Queens County NY,36081,04/23/20,-12673,-7477,-5547,-4005,-1632
New York County NY,36061,04/23/20,-8513,-5375,-3619,-2143,-474
Bronx County NY,36005,04/23/20,-7536,-4768,-3113,-2235,-859
Richmond County NY,36085,04/23/20,-2468,-1462,-991,-551,-179
Westchester County NY,36119,04/23/20,-4815,-3730,-2833,-1964,-927
Bergen County NJ,34003,04/23/20,-4775,-2901,-1810,-1031,-461
Hudson County NJ,34017,04/23/20,-1836,-1071,-656,-451,-153
Passaic County NJ,34031,04/23/20,-1764,-911,-589,-371,-55
Putnam County NY,36079,04/23/20,-513,-266,-194,-146,-73
Rockland County NY,36087,04/23/20,-1938,-1492,-1178,-800,-378
Kings County NY,36047,04/24/20,-13702,-7671,-4948,-3690,-1779
Queens County NY,36081,04/24/20,-13492,-8133,-6058,-4427,-1672
New York County NY,36061,04/24/20,-9317,-5734,-4039,-2462,-671
Bronx County NY,36005,04/24/20,-8025,-5211,-3432,-2435,-882
Richmond County NY,36085,04/24/20,-2672,-1632,-1108,-628,-216
Westchester County NY,36119,04/24/20,-5124,-3962,-2930,-2044,-943
Bergen County NJ,34003,04/24/20,-5191,-3186,-1999,-1139,-512
Hudson County NJ,34017,04/24/20,-2150,-1262,-758,-519,-183
Passaic County NJ,34031,04/24/20,-2006,-1036,-671,-413,-47
Putnam County NY,36079,04/24/20,-554,-294,-218,-169,-77
Rockland County NY,36087,04/24/20,-2017,-1577,-1249,-859,-377
Kings County NY,36047,04/25/20,-14297,-8157,-5465,-3975,-1918
Queens County NY,36081,04/25/20,-14039,-8874,-6536,-4782,-1702
New York County NY,36061,04/25/20,-9911,-6216,-4481,-2755,-761
Bronx County NY,36005,04/25/20,-8463,-5626,-3783,-2657,-921
Richmond County NY,36085,04/25/20,-2849,-1793,-1239,-708,-243
Westchester County NY,36119,04/25/20,-5491,-4140,-3034,-2158,-990
Bergen County NJ,34003,04/25/20,-5557,-3487,-2214,-1262,-555
Hudson County NJ,34017,04/25/20,-2382,-1437,-873,-604,-221
Passaic County NJ,34031,04/25/20,-2197,-1184,-795,-452,-51
Putnam County NY,36079,04/25/20,-573,-319,-246,-181,-82
Rockland County NY,36087,04/25/20,-2111,-1648,-1324,-919,-361
Kings County NY,36047,04/26/20,-14741,-8591,-6024,-4286,-2094
Queens County NY,36081,04/26/20,-14575,-9564,-7010,-5136,-1765
New York County NY,36061,04/26/20,-10456,-6601,-4933,-2995,-812
Bronx County NY,36005,04/26/20,-8716,-6027,-4030,-2888,-973
Richmond County NY,36085,04/26/20,-2996,-1959,-1330,-828,-277
Westchester County NY,36119,04/26/20,-5700,-4311,-3193,-2219,-961
Bergen County NJ,34003,04/26/20,-5852,-3795,-2455,-1389,-607
Hudson County NJ,34017,04/26/20,-2632,-1633,-1000,-705,-250
Passaic County NJ,34031,04/26/20,-2387,-1328,-901,-527,-72
Putnam County NY,36079,04/26/20,-597,-348,-268,-199,-81
Rockland County NY,36087,04/26/20,-2195,-1706,-1392,-975,-365
Kings County NY,36047,04/27/20,-14955,-9162,-6453,-4544,-2226
Queens County NY,36081,04/27/20,-14842,-10187,-7420,-5479,-1807
New York County NY,36061,04/27/20,-10905,-7022,-5230,-3234,-839
Bronx County NY,36005,04/27/20,-9012,-6351,-4310,-3111,-1047
Richmond County NY,36085,04/27/20,-3112,-2094,-1464,-915,-323
Westchester County NY,36119,04/27/20,-5822,-4516,-3381,-2338,-966
Bergen County NJ,34003,04/27/20,-6040,-4097,-2687,-1552,-671
Hudson County NJ,34017,04/27/20,-2890,-1815,-1134,-813,-279
Passaic County NJ,34031,04/27/20,-2584,-1488,-1042,-605,-97
Putnam County NY,36079,04/27/20,-647,-370,-295,-214,-82
Rockland County NY,36087,04/27/20,-2229,-1760,-1432,-1046,-362
Kings County NY,36047,04/28/20,-15071,-9722,-6964,-4813,-2303
Queens County NY,36081,04/28/20,-15190,-10725,-7976,-5809,-1896
New York County NY,36061,04/28/20,-11217,-7484,-5650,-3445,-862
Bronx County NY,36005,04/28/20,-9063,-6699,-4640,-3365,-1087
Richmond County NY,36085,04/28/20,-3153,-2222,-1559,-1029,-363
Westchester County NY,36119,04/28/20,-5963,-4649,-3515,-2425,-1056
Bergen County NJ,34003,04/28/20,-6197,-4385,-3004,-1734,-699
