county,id,date,2.5pctl,25pctl,50pctl,75pctl,97.5pctl
Kings County NY,36047,04/12/20,-1939,-1216,-755,-525,-243
Queens County NY,36081,04/12/20,-2572,-1379,-958,-651,-415
New York County NY,36061,04/12/20,-329,202,523,799,1091
Bronx County NY,36005,04/12/20,-737,-347,-174,-62,68
Richmond County NY,36085,04/12/20,-233,-117,-35,5,61
Westchester County NY,36119,04/12/20,-1148,-668,-475,-300,-109
Bergen County NJ,34003,04/12/20,-368,-189,-66,37,116
Hudson County NJ,34017,04/12/20,-107,-51,-18,9,47
Passaic County NJ,34031,04/12/20,-126,-38,0,36,74
Putnam County NY,36079,04/12/20,-40,-14,-6,4,12
Rockland County NY,36087,04/12/20,-437,-287,-238,-187,-128
Kings County NY,36047,04/13/20,-2094,-1359,-847,-574,-300
Queens County NY,36081,04/13/20,-2756,-1484,-1049,-703,-448
New York County NY,36061,04/13/20,-492,90,440,736,1087
Bronx County NY,36005,04/13/20,-897,-416,-244,-98,35
Richmond County NY,36085,04/13/20,-267,-136,-54,-7,59
Westchester County NY,36119,04/13/20,-1296,-756,-544,-345,-140
Bergen County NJ,34003,04/13/20,-433,-230,-84,31,110
Hudson County NJ,34017,04/13/20,-132,-61,-27,4,41
Passaic County NJ,34031,04/13/20,-143,-48,-10,33,73
Putnam County NY,36079,04/13/20,-40,-18,-6,2,9
Rockland County NY,36087,04/13/20,-480,-323,-266,-208,-140
Kings County NY,36047,04/14/20,-2273,-1511,-950,-638,-350
Queens County NY,36081,04/14/20,-2894,-1597,-1138,-768,-485
New York County NY,36061,04/14/20,-656,1,385,673,1075
Bronx County NY,36005,04/14/20,-1026,-510,-315,-161,-4
Richmond County NY,36085,04/14/20,-305,-160,-71,-13,56
Westchester County NY,36119,04/14/20,-1400,-840,-625,-398,-172
Bergen County NJ,34003,04/14/20,-507,-274,-112,16,104
Hudson County NJ,34017,04/14/20,-153,-76,-37,1,37
Passaic County NJ,34031,04/14/20,-165,-59,-20,29,78
Putnam County NY,36079,04/14/20,-51,-23,-11,-1,9
Rockland County NY,36087,04/14/20,-521,-361,-291,-227,-147
Kings County NY,36047,04/15/20,-2482,-1655,-1026,-694,-380
Queens County NY,36081,04/15/20,-3032,-1687,-1233,-836,-512
New York County NY,36061,04/15/20,-802,-76,285,628,1032
Bronx County NY,36005,04/15/20,-1164,-615,-374,-210,-44
Richmond County NY,36085,04/15/20,-347,-182,-92,-20,61
Westchester County NY,36119,04/15/20,-1501,-933,-690,-447,-215
Bergen County NJ,34003,04/15/20,-604,-311,-139,-5,104
Hudson County NJ,34017,04/15/20,-183,-87,-44,-7,33
Passaic County NJ,34031,04/15/20,-180,-73,-26,23,83
Putnam County NY,36079,04/15/20,-54,-28,-14,-3,7
Rockland County NY,36087,04/15/20,-581,-386,-309,-244,-157
Kings County NY,36047,04/16/20,-2698,-1747,-1149,-759,-385
Queens County NY,36081,04/16/20,-3139,-1805,-1305,-926,-535
New York County NY,36061,04/16/20,-944,-163,227,598,1048
Bronx County NY,36005,04/16/20,-1265,-705,-431,-257,-62
Richmond County NY,36085,04/16/20,-371,-198,-114,-25,65
Westchester County NY,36119,04/16/20,-1597,-1012,-749,-488,-261
Bergen County NJ,34003,04/16/20,-715,-342,-165,-10,110
Hudson County NJ,34017,04/16/20,-210,-105,-54,-10,27
Passaic County NJ,34031,04/16/20,-195,-83,-35,17,79
Putnam County NY,36079,04/16/20,-54,-32,-18,-5,3
Rockland County NY,36087,04/16/20,-623,-420,-331,-261,-154
Kings County NY,36047,04/17/20,-2895,-1843,-1214,-809,-415
Queens County NY,36081,04/17/20,-3234,-1888,-1367,-977,-549
New York County NY,36061,04/17/20,-1060,-239,178,546,1066
Bronx County NY,36005,04/17/20,-1369,-798,-492,-302,-68
Richmond County NY,36085,04/17/20,-408,-211,-123,-32,68
Westchester County NY,36119,04/17/20,-1648,-1109,-782,-532,-283
Bergen County NJ,34003,04/17/20,-809,-389,-200,-18,119
Hudson County NJ,34017,04/17/20,-219,-114,-61,-17,25
Passaic County NJ,34031,04/17/20,-219,-95,-40,11,80
Putnam County NY,36079,04/17/20,-66,-35,-19,-7,2
Rockland County NY,36087,04/17/20,-669,-449,-357,-278,-153
Kings County NY,36047,04/18/20,-3122,-1919,-1272,-824,-411
Queens County NY,36081,04/18/20,-3341,-1978,-1427,-1020,-542
New York County NY,36061,04/18/20,-1184,-312,155,513,1094
Bronx County NY,36005,04/18/20,-1521,-859,-545,-339,-63
Richmond County NY,36085,04/18/20,-431,-236,-138,-34,67
Westchester County NY,36119,04/18/20,-1705,-1134,-817,-556,-278
Bergen County NJ,34003,04/18/20,-919,-409,-220,-24,122
Hudson County NJ,34017,04/18/20,-235,-125,-64,-20,17
Passaic County NJ,34031,04/18/20,-242,-102,-47,8,79
Putnam County NY,36079,04/18/20,-77,-38,-21,-9,2
Rockland County NY,36087,04/18/20,-717,-470,-378,-285,-147
Kings County NY,36047,04/19/20,-3194,-1995,-1295,-811,-416
Queens County NY,36081,04/19/20,-3509,-2049,-1502,-1078,-532
New York County NY,36061,04/19/20,-1263,-422,146,516,1107
Bronx County NY,36005,04/19/20,-1658,-908,-583,-356,-52
Richmond County NY,36085,04/19/20,-459,-242,-153,-35,70
Westchester County NY,36119,04/19/20,-1720,-1136,-843,-570,-274
Bergen County NJ,34003,04/19/20,-996,-443,-240,-29,126
Hudson County NJ,34017,04/19/20,-267,-137,-70,-25,17
Passaic County NJ,34031,04/19/20,-272,-113,-50,2,79
Putnam County NY,36079,04/19/20,-83,-40,-24,-11,1
Rockland County NY,36087,04/19/20,-746,-490,-388,-288,-148
Kings County NY,36047,04/20/20,-3290,-2024,-1348,-830,-395
Queens County NY,36081,04/20/20,-3673,-2112,-1545,-1108,-521
New York County NY,36061,04/20/20,-1406,-462,116,503,1115
Bronx County NY,36005,04/20/20,-1771,-964,-599,-369,-55
Richmond County NY,36085,04/20/20,-501,-248,-169,-37,66
Westchester County NY,36119,04/20/20,-1777,-1148,-859,-573,-273
Bergen County NJ,34003,04/20/20,-1080,-459,-258,-42,131
Hudson County NJ,34017,04/20/20,-285,-148,-77,-28,17
Passaic County NJ,34031,04/20/20,-299,-121,-52,1,80
Putnam County NY,36079,04/20/20,-98,-44,-28,-14,1
Rockland County NY,36087,04/20/20,-754,-511,-398,-297,-142
Kings County NY,36047,04/21/20,-3422,-1992,-1356,-870,-421
Queens County NY,36081,04/21/20,-3670,-2159,-1565,-1139,-531
New York County NY,36061,04/21/20,-1428,-497,117,471,1090
Bronx County NY,36005,04/21/20,-1873,-1007,-622,-387,-36
Richmond County NY,36085,04/21/20,-537,-254,-176,-30,65
Westchester County NY,36119,04/21/20,-1716,-1142,-859,-558,-276
Bergen County NJ,34003,04/21/20,-1123,-467,-269,-55,127
Hudson County NJ,34017,04/21/20,-314,-158,-82,-28,18
Passaic County NJ,34031,04/21/20,-297,-126,-55,-2,83
Putnam County NY,36079,04/21/20,-98,-43,-29,-14,1
Rockland County NY,36087,04/21/20,-766,-527,-400,-294,-150
Kings County NY,36047,04/22/20,-3471,-1932,-1328,-867,-439
Queens County NY,36081,04/22/20,-3705,-2179,-1550,-1136,-527
New York County NY,36061,04/22/20,-1407,-514,113,476,1083
Bronx County NY,36005,04/22/20,-1951,-1035,-632,-390,-23
Richmond County NY,36085,04/22/20,-564,-256,-172,-31,66
Westchester County NY,36119,04/22/20,-1701,-1169,-835,-535,-266
Bergen County NJ,34003,04/22/20,-1181,-477,-278,-59,135
Hudson County NJ,34017,04/22/20,-346,-162,-87,-28,19
Passaic County NJ,34031,04/22/20,-328,-131,-66,-3,77
Putnam County NY,36079,04/22/20,-100,-46,-30,-16,2
